,Concept_ID,fr,uz
0,Auge::N,œil,ko'z
1,Ohr::N,oreille,quloq
2,Nase::N,nez,burun
3,Mund::N,bouche,og'iz
4,Zahn::N,dent,tish
5,Zunge::N,langue,til
6,Lippe::N,lèvre,dudoq
7,Wange::N,joue,bet
8,Gesicht::N,face,yuz
9,Gesicht::N,visage,yuz
10,Stirn::N,front,manglay
11,Haar::N,cheveu,soch
12,Schnurrbart::N,moustache,mo'ylov
13,Bart::N,barbe,soqol
14,Kinn::N,menton,ängak
15,Kiefer[Anatomie]::N,mâchoire,iyak
16,Kehle::N,gorge,bo'g'iz
17,Hals::N,cou,bo'yin
18,Genick::N,nuque,gardan
19,Kopf::N,tête,bosh
20,Rücken::N,dos,orqa
21,Bauch::N,ventre,qorin
22,Nabel::N,nombril,kindik
23,Busen::N,sein,ämchak
24,Brust::N,poitrine,ko'krak
25,Schulter::N,épaule,elka
26,Arm::N,bras,bilak
27,Ellenbogen::N,coude,tirsak
28,Hand::N,main,qo'l
29,Handfläche::N,paume,kaft
30,Finger::N,doigt,barmoq
31,Fingernagel::N,ongle,tirnoq
32,Nagel[Anatomie]::N,ongle,tirnoq
33,Zeh::N,orteil,oyoq barmog'i
34,Zeh::N,doigt de pied,oyoq barmog'i
35,Fuß::N,pied,oyoq
36,Ferse::N,talon,tovon
37,Knie::N,genou,tiz
38,Oberschenkel::N,cuisse,son
39,Bein::N,jambe,oyoq
40,Körper::N,corps,badna
41,Haut::N,peau,teri
42,Blut::N,sang,qon
43,Ader::N,veine,qon tomir
44,Sehne::N,tendon,tomir
45,Knochen::N,os,suyak
46,Gehirn::N,cerveau,miya
47,Herz::N,cœur,qalb
48,Magen::N,estomac,oshqozon
49,Leber::N,foie,bag'ir
50,Atem::N,haleine,dam
51,Hunger::N,faim,ochlik
52,Träne::N,larme,yosh
53,Geschmack::N,goût,tam
54,Geschmack::N,saveur,tam
55,Geruch::N,odeur,jid
56,Schlaf::N,sommeil,uyqu
57,Traum::N,songe,tush
58,Himmel::N,ciel,osmon
59,Sonne::N,soleil,quyosh
60,Mond::N,lune,oy
61,Stern::N,étoile,yulduz
62,Luft::N,air,havo
63,Wind::N,vent,el
64,Welle::N,vague,to'lqin
65,Wasser::N,eau,suv
66,Stein::N,pierre,tosh
67,Boden::N,sol,tuproq
68,Boden::N,terrain,tuproq
69,Erde::N,terre,er
70,Staub::N,poussière,chang
71,Rauch::N,fumée,tutun
72,Funke::N,étincelle,yalt
73,Feuer::N,feu,o't
74,Licht::N,lumière,yorug'
75,Schatten::N,ombre,soya
76,Wetter::N,temps,havo
77,Nebel::N,brume,tuman
78,Nebel::N,brouillard,tuman
79,Wolke::N,nuage,bulut
80,Regen::N,pluie,yomg'ir
81,Schnee::N,neige,qor
82,Eis::N,glace,muz
83,Frost::N,gel,ajoz
84,Frost::N,gelée,ajoz
85,Kälte::N,froid,ajoz
86,Hitze::N,chaleur,issiq
87,Raureif::N,givre,qirov
88,Regenbogen::N,arc-en-ciel,kamalak
89,Donner::N,tonnerre,guldur
90,Strömung::N,courant,oqim
91,Tropfen::N,goutte,tomchi
92,Schaum::N,écume,ko'pik
93,Schaum::N,mousse,ko'pik
94,Schmutz::N,boue,gard
95,Schmutz::N,saleté,gard
96,See::N,lac,ko'l
97,Sumpf::N,marais,botqoq
98,Sumpf::N,marécage,botqoq
99,Moor::N,tourbière,qir-adir
100,Wiese::N,pré,o'tzor
101,Wald::N,bois,o'rmon
102,Wald::N,forêt,o'rmon
103,Hügel::N,coteau,tepa
104,Hügel::N,colline,tepa
105,Anhöhe::N,éminence,adir
106,Anhöhe::N,élévation,adir
107,Berg::N,mont,tog'
108,Berg::N,montagne,tog'
109,Gipfel::N,cime,cho'qqi
110,Gipfel::N,sommet,cho'qqi
111,Höhle::N,caverne,kavak
112,Abhang::N,pente,to'sh
113,Abhang::N,versant,to'sh
114,Quelle::N,source,buloq
115,Quelle::N,fontaine,buloq
116,Bach::N,ruisseau,o'zan
117,Fluss::N,fleuve,daryo
118,Fluss::N,rivière,daryo
119,Ufer::N,bord,sohil
120,Ufer::N,rivage,sohil
121,Küste::N,côte,qirg'oq
122,Festland::N,terre ferme,materik
123,Meer::N,mer,dengiz
124,Bucht::N,baie,qo'ltiq
125,Insel::N,île,orol
126,Blume::N,fleur,gul
127,Gras::N,herbe,sabza
128,Wurzel::N,racine,tub
129,Wurzel::N,racine,tomir
130,Baum::N,arbre,daraxt
131,Stamm::N,tronc,o'simta
132,Rinde::N,écorce,qobiq
133,Ast::N,branche,shox
134,Zweig::N,rameau,butoq
135,Blatt::N,feuille,barg
136,Birke::N,bouleau,qayin
137,Kiefer[Baum]::N,pin,qarag'ay
138,Weide[Baum]::N,saule,shum
139,Tanne::N,sapin,archa
140,Horn::N,corne,mugiz
141,Feder::N,plume,par
142,Fell::N,peau,mo'yna
143,Flügel::N,aile,qanot
144,Klaue::N,serre,tirnoq
145,Kralle::N,ongle,tirnoq
146,Kralle::N,griffe,tirnoq
147,Schwanz::N,queue,quyruq
148,Ei::N,œuf,tuxum
149,Nest::N,nid,oshyon
150,Bau::N,terrier,o'pqon
151,Tier::N,animal,hayvon
152,Herde::N,troupeau,gala
153,Kuh::N,vache,inak
154,Bulle::N,taureau,ho'kiz
155,Pferd::N,cheval,ot
156,Schaf::N,mouton,qo'y
157,Schwein::N,porc,cho'chqa
158,Schwein::N,cochon,cho'chqa
159,Hund::N,chien,it
160,Katze::N,chat,mushuk
161,Bär::N,ours,ayiq
162,Eichhörnchen::N,écureuil,tiyin
163,Elch::N,élan,los
164,Fuchs::N,renard,tulki
165,Hase::N,lièvre,kuyon
166,Maus::N,souris,sichqon
167,Wolf::N,loup,bo'ri
168,Vogel::N,oiseau,qush
169,Schwarm::N,nuée,to'da
170,Schwarm::N,volée,to'da
171,Huhn::N,poule,tovuq
172,Hahn::N,coq,xo'roz
173,Gans::N,oie,g'oz
174,Adler::N,aigle,burgut
175,Ente::N,canard,o'rdak
176,Eule::N,hibou,boyo'g'li
177,Kranich::N,grue,turna
178,Krähe::N,corneille,qarg'a
179,Kuckuck::N,coucou,kakku
180,Schwan::N,cygne,oqkush
181,Fisch::N,poisson,baliq
182,Barsch::N,perche,olabug'a
183,Hecht::N,brochet,cho'rtan
184,Schlange[Tier]::N,serpent,ilon
185,Wurm::N,ver,qurt
