,Concept_ID,cy,nl
0,Auge::N,llygad,oog
1,Ohr::N,clust,oor
2,Nase::N,trwyn,neus
3,Mund::N,ceg,mond
4,Zahn::N,dant,tand
5,Zunge::N,tafod,tong
6,Lippe::N,gwefus,lip
7,Wange::N,boch,wang
8,Gesicht::N,wyneb,gelaat
9,Gesicht::N,wyneb,gezicht
10,Stirn::N,talcen,voorhoofd
11,Haar::N,blew,haar
12,Schnurrbart::N,mwstas,snor
13,Bart::N,barf,baard
14,Kinn::N,gên,kin
15,Kiefer[Anatomie]::N,gên,kaak
16,Kehle::N,gwddf,keel
17,Kehle::N,gwddf,strot
18,Hals::N,gwddf,hals
19,Genick::N,gwar,nek
20,Genick::N,gwegil,nek
21,Kopf::N,pen,hoofd
22,Rücken::N,cefn,rug
23,Bauch::N,bol,buik
24,Nabel::N,bogail,navel
25,Busen::N,bron,boezem
26,Brust::N,brest,borst
27,Schulter::N,ysgwydd,schouder
28,Arm::N,braich,arm
29,Ellenbogen::N,penelin,elleboog
30,Hand::N,llaw,hand
31,Handfläche::N,palf,handpalm
32,Finger::N,bys,vinger
33,Fingernagel::N,ewin,nagel
34,Nagel[Anatomie]::N,ewin,nagel
35,Zeh::N,bys troed,teen
36,Fuß::N,troed,voet
37,Ferse::N,sawdl,hak
38,Ferse::N,sawdl,hiel
39,Knie::N,glin,knie
40,Oberschenkel::N,clun,dij
41,Bein::N,coes,been
42,Körper::N,corff,lichaam
43,Haut::N,croen,huid
44,Blut::N,gwaed,bloed
45,Ader::N,gwythïen,ader
46,Sehne::N,gewyn,pees
47,Knochen::N,asgwrn,bot
48,Knochen::N,asgwrn,been
49,Knochen::N,asgwrn,knook
50,Gehirn::N,ymennydd,hersenen
51,Herz::N,calon,hart
52,Magen::N,cylla,maag
53,Magen::N,stumog,maag
54,Leber::N,iau,lever
55,Atem::N,anadl,adem
56,Hunger::N,newyn,honger
57,Träne::N,deigryn,traan
58,Geschmack::N,cyflas,smaak
59,Geruch::N,aroglau,geur
60,Schlaf::N,cwsg,slaap
61,Traum::N,breuddwyd,droom
62,Himmel::N,awyr,hemel
63,Sonne::N,haul,zon
64,Mond::N,lleuad,maan
65,Stern::N,seren,ster
66,Luft::N,awyr,lucht
67,Wind::N,gwynt,wind
68,Welle::N,ton,golf
69,Wasser::N,dŵr,water
70,Stein::N,carreg,steen
71,Boden::N,llawr,grond
72,Erde::N,pridd,aarde
