,Concept_ID,he,lbe
0,Auge::N,עין,я
1,Ohr::N,אזן,вичӏи
2,Nase::N,אף,май
3,Nase::N,חטם,май
4,Mund::N,פה,кьацӏ
5,Zahn::N,שן,ккарччи
6,Zunge::N,לשון,маз
7,Lippe::N,שפה,мурччи
8,Wange::N,לחי,чӏав
9,Gesicht::N,פנים,лажин
10,Stirn::N,מצח,ненттабакӏ
11,Haar::N,שערה,чӏара
12,Schnurrbart::N,שפם,ссирссилтту
13,Bart::N,זקן,чӏири
14,Kinn::N,סנטר,лунттубакӏ
15,Kiefer[Anatomie]::N,לסת,ххинчулул
16,Kehle::N,גרון,кьакьари
17,Hals::N,צואר,ссурссу
18,Genick::N,ערף,махъабакӏ
19,Kopf::N,ראש,бакӏ
20,Rücken::N,גב,ттиликӏ
21,Bauch::N,בטן,лякьа
22,Nabel::N,טבור,цӏумуккутӏ
23,Busen::N,שד,ккукку
24,Brust::N,חזה,хъазам
25,Schulter::N,כתף,хъачӏ
26,Arm::N,זרוע,ка
27,Ellenbogen::N,מרפק,ссюрхъ
28,Hand::N,יד,бартка
29,Handfläche::N,כף יד,хъат
30,Handfläche::N,כף יד,битӏянхъ
31,Finger::N,אצבע,кӏисса
32,Fingernagel::N,צפרן,михь
33,Nagel[Anatomie]::N,צפרן,михь
34,Zeh::N,אצבע,кӏисса
35,Fuß::N,רגל,чӏанччан
36,Ferse::N,עקב,никъа
37,Knie::N,ברך,ник
38,Oberschenkel::N,ירך,жира
39,Bein::N,רגל,ччан
40,Körper::N,גוף,чурх
41,Haut::N,עור,бурчу
42,Blut::N,דם,оь
43,Ader::N,וריד,тунну
44,Sehne::N,גיד,хьхьа
45,Knochen::N,עצם,ттаркӏ
46,Gehirn::N,מוח,ня
47,Herz::N,לב,дакӏ
48,Herz::N,לב,къюкӏ
49,Magen::N,קבה,лякьа
50,Leber::N,כבד,
51,Atem::N,נשימה,ссихӏ ласаву
52,Atem::N,נשימה,ссихӏ бигьаву
53,Hunger::N,רעב,ккаши
54,Träne::N,דמעה,макь
55,Geschmack::N,טעם,тӏин
56,Geschmack::N,טעם,тӏааьн
57,Geruch::N,ריח,кьанкь
58,Schlaf::N,שנה,шану
59,Traum::N,חלום,макӏру
60,Himmel::N,שמים,ссав
61,Sonne::N,שמש,баргъ
62,Mond::N,ירח,барз
63,Stern::N,כוכב,цӏуку
64,Luft::N,אויר,гьава
65,Wind::N,רוח,марч
66,Welle::N,גל,щатӏи
67,Wasser::N,מים,щин
68,Stein::N,אבן,чару
69,Boden::N,קרקע,аьрщи
70,Erde::N,אדמה,аьрщи
71,Staub::N,אבק,ххит
72,Rauch::N,עשן,пуркӏу
73,Funke::N,ניצוץ,пиягь
74,Feuer::N,אש,цӏу
75,Licht::N,אור,чани
76,Schatten::N,צל,ххют
77,Wetter::N,מזג אויר,гьава
78,Nebel::N,ערפל,шархь ттурлу
79,Wolke::N,ענן,ттурлу
80,Regen::N,גשם,гъарал
81,Schnee::N,שלג,марххала
82,Eis::N,קרח,микӏ
83,Frost::N,צנה,дяркъу
84,Frost::N,צנה,замгьар
85,Kälte::N,קר,дяркъу
86,Hitze::N,חם,кӏиришиву
87,Raureif::N,כפור,сил
88,Raureif::N,כפור,бурса
89,Regenbogen::N,קשת,ссурул ккуртта
90,Donner::N,רעם,къув
91,Strömung::N,זרימה,экьинанаву
92,Tropfen::N,טפה,кӏунтӏ
93,Schaum::N,קצף,хьама
94,Schmutz::N,לכלוך,кьяркьи
95,See::N,אגם,бяр
96,Sumpf::N,בצה,кунцӏа
97,Moor::N,בצה,
98,Wiese::N,מרעה,кьан
99,Wald::N,יער,вацӏа
