,Concept_ID,tt,os
0,Auge::N,күз,цӕст
1,Ohr::N,колак,хъус
2,Nase::N,борын,фындз
3,Mund::N,авыз,дзых
4,Mund::N,тамак,дзых
5,Zahn::N,теш,дӕндаг
6,Zunge::N,тел,ӕвзаг
7,Lippe::N,ирен,был
8,Wange::N,яңак,рус
9,Wange::N,яңак,уадул
10,Wange::N,яңак,ӕхсӕрфарс
11,Gesicht::N,йөз,цӕсгом
12,Stirn::N,маңгай,ных
13,Haar::N,чәч,хил
14,Schnurrbart::N,мыек,рихи
15,Bart::N,сакал,зачъе
16,Kinn::N,ияк,роцъо
17,Kiefer[Anatomie]::N,казналык,ӕфсӕр
18,Kehle::N,тамак,хъуыр
19,Hals::N,бугаз,къубал
20,Genick::N,җилкә,къӕбут
21,Kopf::N,баш,сӕр
22,Rücken::N,сырт,фӕсонтӕ
23,Bauch::N,корсак,гуыбын
24,Nabel::N,кендек,бикъ
25,Busen::N,түш,дзидзи
26,Brust::N,имчәк,риу
27,Brust::N,күкрәк,риу
28,Schulter::N,иңбаш,уӕхск
29,Schulter::N,кулбаш,уӕхск
30,Arm::N,кул,цонг
31,Ellenbogen::N,терсәк,рæмбын
32,Hand::N,кул,къух
33,Handfläche::N,уч,армытъӕпӕн
34,Finger::N,бармак,ӕнруылдз
35,Fingernagel::N,тырнак,ных
36,Nagel[Anatomie]::N,тырнак,ных
37,Zeh::N,бармак,къух
38,Fuß::N,табан,фад
39,Ferse::N,үкчә,зӕвӕт
40,Knie::N,тез,уӕраг
41,Oberschenkel::N,бот,агъд
42,Bein::N,аяк,зӕнг
43,Körper::N,тән,буар
44,Körper::N,җисем,буар
45,Haut::N,тире,царм
46,Blut::N,кан,туг
47,Ader::N,тамыр,дадзин
48,Ader::N,тамыр,тугдадзин
49,Sehne::N,сеңер,хъиутæ
50,Sehne::N,сеңер,нуар
51,Knochen::N,сөяк,стӕг
52,Gehirn::N,ми,магъз
53,Herz::N,йөрәк,зӕрдӕ
54,Magen::N,ашказаны,ахсӕн
55,Leber::N,бавыр,игæр
56,Atem::N,сулыш,улӕфт
57,Hunger::N,ачлык,стонг
58,Träne::N,яшь,цæссыг
59,Geschmack::N,тәм,ад
60,Geschmack::N,зәвык,ад
61,Geruch::N,ис,смаг
62,Schlaf::N,йокы,хуыссӕг
63,Traum::N,төш,фын
64,Himmel::N,күк,арв
65,Himmel::N,күк,уӕларв
66,Sonne::N,кояш,хур
67,Mond::N,ай,мӕй
68,Stern::N,йолдыз,стъалы
69,Luft::N,һава,уӕлдӕф
70,Wind::N,җил,дымгӕ
71,Welle::N,дулкын,уылӕн
72,Wasser::N,су,дон
73,Stein::N,таш,дур
74,Boden::N,туфрак,зӕхх
75,Erde::N,җир,сыджыт
76,Staub::N,тузан,рыг
77,Rauch::N,төтен,фӕздӕг
78,Funke::N,очкын,цӕхӕр
79,Feuer::N,ут,зынг
80,Licht::N,якты,рухс
81,Schatten::N,күләгә,аууон
82,Wetter::N,һава,боныхъӕд
83,Nebel::N,томан,мигъ
84,Wolke::N,болыт,ӕврагъ
85,Regen::N,яңгыр,уарын
86,Schnee::N,кар,мит
87,Eis::N,боз,их
88,Frost::N,суык,ихæн
89,Frost::N,салкын,ихæн
90,Kälte::N,суык,уазал
91,Kälte::N,салкын,уазал
92,Hitze::N,эсселек,ӕнтӕф
93,Raureif::N,бәс,халас
94,Raureif::N,сыкы,халас
95,Regenbogen::N,салават күпере,арвырон
96,Regenbogen::N,салават күпере,арвырдын
97,Donner::N,күкрәү,æрвнæрын
98,Strömung::N,агыш'агым,цыд
99,Tropfen::N,тамчы,æртах
100,Schaum::N,күбек,фынк
101,Schmutz::N,пычрак,цъыф
102,See::N,күл,цад
103,Sumpf::N,саз,цъыфдзаст
104,Moor::N,торфлык,цъыфдзаст
105,Wiese::N,болын,уыгӕрдӕн
106,Wald::N,урман,хъӕд
107,Hügel::N,калку,обау
108,Hügel::N,калку,къуыбыр
109,Anhöhe::N,үр,уæлвæз
110,Anhöhe::N,үр,уæлхох
111,Berg::N,тау,хох
112,Gipfel::N,оч,цъупп
113,Höhle::N,мәгарә,лӕгӕт
114,Abhang::N,кабырга,къул
115,Quelle::N,чишмә,суадон
116,Bach::N,елга,мӕсчъыдон
117,Fluss::N,дәрья,дон
118,Fluss::N,дәрья,цӕугӕдон
119,Ufer::N,су кырые,был
120,Küste::N,яр буе,донбыл
121,Festland::N,коры җир,сурзæхх
122,Meer::N,диңгез,денджыз
123,Bucht::N,бухта,донбакæлæн
124,Bucht::N,култык,донбакæлæн
125,Insel::N,атау,сакъадах
126,Insel::N,утрау,сакъадах
127,Blume::N,чәчкә,дидинӕг
128,Gras::N,үлән,кӕрдӕг
