,Concept_ID,ta,cv
0,Auge::N,கண்,куҫ
1,Ohr::N,காது,хӑлха
2,Nase::N,மூக்கு,сӑмса
3,Mund::N,வாய்,ҫӑвар
4,Zahn::N,பல்,шӑл
5,Zunge::N,நாக்கு,чӗлхе
6,Lippe::N,உதடு,тута
7,Wange::N,கன்னம்,пит ҫӑмарти
8,Gesicht::N,முகம்,пит
9,Gesicht::N,முகம்,пит-куҫ
10,Stirn::N,முன்னெற்றி,ҫамка
11,Haar::N,முடி,ҫӳҫ
12,Schnurrbart::N,மீசை,усси
13,Bart::N,தாடி,сухал
14,Kinn::N,கீழதாடை,янах
15,Kiefer[Anatomie]::N,தாடை,янах
16,Kehle::N,தொண்டை,пыр
17,Kehle::N,தொண்டை,карланкӑ
18,Hals::N,கழுத்து,пыр
19,Genick::N,கழுத்து,ӗнсе
20,Kopf::N,தலை,пуҫ
21,Rücken::N,முதுகு,ҫурӑм
22,Bauch::N,வயிறு,
23,Nabel::N,தொப்புள்,кӑвапа
24,Busen::N,மார்பகம்,кӑкӑр
25,Brust::N, மார்பு,умӗ
26,Schulter::N,தோள்பட்டை,хул пуҫҫи
27,Arm::N,கரம்,алӑ
28,Ellenbogen::N,முழங்கை,чавса
29,Hand::N,கை,алӑ сыппи
30,Handfläche::N,உள்ளங்கை,ал лаппи
31,Finger::N,விரல்,пӳрне
32,Fingernagel::N,விரல் நகம்,чӗрне
33,Nagel[Anatomie]::N,நகம்,чӗрне
34,Zeh::N,கால்விரல்,пӳрне
35,Fuß::N,கால்,ура лаппи
36,Ferse::N,குதிகால்,кӗле
37,Knie::N,முழங்கால்,чӗркуҫҫи
38,Oberschenkel::N,தொடை,пӗҫӗ
39,Bein::N,கால்,ура
40,Körper::N,உடல்,ӳт
41,Körper::N,உடல்,ӳт-пӳ
42,Haut::N,சருமம்,тир
43,Blut::N,இரத்தம்,юн
44,Ader::N,நாளம்,вена
45,Sehne::N,தசைநார்,шӑнӑр
46,Knochen::N,எலுமபு,шӑмӑ
47,Gehirn::N,மூனை,миме
48,Herz::N,இதயம,чӗре
49,Magen::N,வயிறு,хырӑмлӑх
50,Leber::N,கல்லீரல்,пӗвер
51,Atem::N,மூச்சு,сывлав
52,Hunger::N,பசி,выҫлӑх
53,Träne::N,கண்ணீர்,куҫҫуль
54,Geschmack::N,நறுமணம்,техӗм
55,Geruch::N,துர்நாற்றம்,шӑршӑ
56,Schlaf::N,தூக்கம்,ыйхӑ
57,Traum::N,கனவு,тӗлӗк
58,Himmel::N,வானம்,пӗлӗт
59,Sonne::N,சூரியன்,хӗвел
60,Mond::N,சந்திரன்,уйӑх
61,Stern::N,நட்சத்திரம்,ҫӑлтӑр
62,Luft::N,காறறு,сывлӑш
63,Wind::N,காற்று,ҫил
64,Welle::N,அலை,хум
65,Wasser::N,நீர்,шыв
66,Wasser::N,நீர்,шыв-шур
67,Stein::N,கல்,чул
68,Boden::N,தரை,тӑпра
69,Erde::N,மண்,ҫӗр
70,Staub::N,தூசி,тусан
