,Concept_ID,tt,kn
0,Auge::N,күз,ಕಣ್ಣು
1,Ohr::N,колак,ಕಿವಿ
2,Nase::N,борын,ಮೂಗು
3,Mund::N,авыз,ಬಾಯಿ
4,Mund::N,тамак,ಬಾಯಿ
5,Zahn::N,теш,ಹಲ್ಲು
6,Zunge::N,тел,ನಾಲಿಗೆ
7,Lippe::N,ирен,ತುಟಿ
8,Wange::N,яңак,ಗಲ್ಲ
9,Gesicht::N,йөз,ಮುಖ
10,Stirn::N,маңгай,ಹಣೆ
11,Haar::N,чәч,ಕೂದಲು
12,Schnurrbart::N,мыек,ಮೀಸೆ
13,Bart::N,сакал,ಗಡ್ಡ
14,Kinn::N,ияк,ಗದ್ದ
15,Kiefer[Anatomie]::N,казналык,ದವಡೆ
16,Kehle::N,тамак,ಗಂಟಲು
17,Hals::N,бугаз,ಕೊರಳು
18,Genick::N,җилкә,ಹಿಂಗತ್ತು
19,Kopf::N,баш,ತಲೆ
20,Rücken::N,сырт,ಬೆನ್ನು
21,Bauch::N,корсак,ಹೊಟ್ಟೆ
22,Nabel::N,кендек,ಹೊಕ್ಕುಳು
23,Busen::N,түш,ಸ್ತನ
24,Brust::N,имчәк,ಎದೆ
25,Brust::N,күкрәк,ಎದೆ
26,Schulter::N,иңбаш,ಭುಜ
27,Schulter::N,кулбаш,ಭುಜ
28,Arm::N,кул,ತೋಳು
29,Ellenbogen::N,терсәк,ಮೊಣಕೈ
30,Hand::N,кул,ಕೈ
31,Handfläche::N,уч,ಅಂಗೈ
32,Finger::N,бармак,ಕೈಬೆರಳು
33,Fingernagel::N,тырнак,ಉಗುರು
34,Nagel[Anatomie]::N,тырнак,ಉಗುರು
35,Zeh::N,бармак,ಕಾಲ್ಬೆರಳು
36,Fuß::N,табан,ಪಾದ
37,Ferse::N,үкчә,ಹಿಮ್ಮಡಿ
38,Knie::N,тез,ಮಂಡಿ
39,Oberschenkel::N,бот,ತೊಡೆ
40,Bein::N,аяк,ಕಾಲು
41,Körper::N,тән,ದೇಹ
42,Körper::N,җисем,ದೇಹ
43,Haut::N,тире,ಚರ್ಮ
44,Blut::N,кан,ರಕ್ತ
45,Ader::N,тамыр,ನರ
46,Sehne::N,сеңер,ನರ
47,Knochen::N,сөяк,ಮೂಳೆ
48,Gehirn::N,ми,ಮಿದುಳು
49,Herz::N,йөрәк,ಹೃದಯ
50,Magen::N,ашказаны,ಉದರ
51,Leber::N,бавыр,ಯಕೃತ್ತು
52,Atem::N,сулыш,ಉಸಿರು
53,Hunger::N,ачлык,ಹಸಿವು
54,Träne::N,яшь,ಕಣ್ಣೀರು
55,Geschmack::N,тәм,ರುಚಿ
56,Geschmack::N,зәвык,ರುಚಿ
57,Geruch::N,ис,ವಾಸನೆ
58,Schlaf::N,йокы,ನಿದ್ರೆ
59,Traum::N,төш,ಕನಸು
60,Himmel::N,күк,ಬಾನು
61,Sonne::N,кояш,ಸೂರ್ಯ
62,Mond::N,ай,ಚಂದ್ರ
63,Stern::N,йолдыз,ಚುಕ್ಕಿ
64,Luft::N,һава,ವಾಯು
65,Wind::N,җил,ಗಾಳಿ
66,Welle::N,дулкын,ಅಲೆ
67,Wasser::N,су,ನೀರು
68,Stein::N,таш,ಕಲ್ಲು
69,Boden::N,туфрак,ನೆಲ
70,Erde::N,җир,ಭೂಮಿ
71,Staub::N,тузан,ದೂಳು
72,Rauch::N,төтен,ಹೊಗೆ
73,Funke::N,очкын,ಕಿಡಿ
74,Feuer::N,ут,ಬೆಂಕಿ
75,Licht::N,якты,ಬೆಳಕು
76,Schatten::N,күләгә,ನೆರಳು
77,Wetter::N,һава,ಹವ
78,Nebel::N,томан,ಮಂಜು
79,Wolke::N,болыт,ಮೋಡ
80,Regen::N,яңгыр,ಮಳೆ
81,Schnee::N,кар,ಹಿಮ
82,Eis::N,боз,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,суык,ಮಂಜು
84,Frost::N,салкын,ಮಂಜು
85,Kälte::N,суык,ಹಿಮ
86,Kälte::N,салкын,ಹಿಮ
87,Hitze::N,эсселек,ಉಷ್ಣ
88,Raureif::N,бәс,ಇಬ್ಬನಿ
89,Raureif::N,сыкы,ಇಬ್ಬನಿ
90,Regenbogen::N,салават күпере,ಇಂದ್ರಚಾಪ
91,Donner::N,күкрәү,ಗುಡುಗು
92,Strömung::N,агыш'агым,ಪ್ರವಾಹ
93,Tropfen::N,тамчы,ತೊಟ್ಟು
94,Schaum::N,күбек,ನೊರೆ
95,Schmutz::N,пычрак,ಕಸ
96,See::N,күл,ಸರೋವರ
97,Sumpf::N,саз,ಜೌಗುಸ್ಥಳ
98,Moor::N,торфлык,ಬಂಜರು ಭೂಮಿ
99,Wiese::N,болын,ಹುಲ್ಲುಗಾವಲು
100,Wald::N,урман,ಕಾಡು
101,Hügel::N,калку,ಗುಡ್ಡೆ
102,Anhöhe::N,үр,ದಿಬ್ಬ
103,Berg::N,тау,ಮಲೆ
104,Berg::N,тау,ಪರ್ವತ
105,Gipfel::N,оч,ಶೃಂಗ
106,Höhle::N,мәгарә,ಗುಹೆ
107,Abhang::N,кабырга,ಇಳಿಜಾರು
108,Quelle::N,чишмә,ಮೂಲ
109,Bach::N,елга,ತೊರೆ
110,Fluss::N,дәрья,ನದಿ
111,Ufer::N,су кырые,ತೀರ
112,Küste::N,яр буе,ದಂಡೆ
113,Festland::N,коры җир,ಭೂಮಿ
114,Meer::N,диңгез,ಕಡಲು
115,Bucht::N,бухта,ಖಾರಿ
116,Bucht::N,култык,ಖಾರಿ
117,Insel::N,атау,ದ್ವೀಪ
118,Insel::N,утрау,ದ್ವೀಪ
119,Blume::N,чәчкә,ಸುಮ
120,Gras::N,үлән,ಹುಲ್ಲು
121,Wurzel::N,тамыр,ಬೇರು
122,Baum::N,агач,ಮರ
123,Stamm::N,кәүсә,ಕಾಂಡ
124,Rinde::N,кабык,ತೂಗಟಿ
125,Ast::N,ботак,ಶಾಖೆ
126,Zweig::N,ботак,ರೆಂಬೆ
127,Zweig::N,тармак,ರೆಂಬೆ
128,Blatt::N,яфрак,ಎಲೆ
129,Birke::N,каен,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,нарат,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,тал,ವಿಲೋಮರ
132,Tanne::N,чыршы,ಭದ್ರದಾರು
133,Horn::N,мөгез,ಕೊಂಬು
134,Feder::N,йон,ಪುಕ್ಕ
135,Fell::N,тире,ರೋಮ
136,Flügel::N,канат,ರೆಕ್ಕೆ
137,Klaue::N,тырнак,ಪಂಜ
138,Kralle::N,тырнак,ಉಗುರು
139,Schwanz::N,койрык,ಬಾಲ
140,Ei::N,күкәй,ಮೊಟ್ಟೆ
141,Ei::N,йомырка,ಮೊಟ್ಟೆ
142,Nest::N,оя,ಗೂಡು
143,Bau::N,өн,ಅಡಗುದಾಣ
144,Tier::N,хайван,ಪ್ರಾಣಿ
145,Herde::N,көтү,ಗುಂಪು
146,Kuh::N,сыер,ಹಸು
147,Bulle::N,үгез,ಗೂಳಿ
148,Pferd::N,ат,ಕುದುರೆ
149,Schaf::N,сарык,ಕುರಿ
150,Schwein::N,дуңгыз,ಹಂದಿ
151,Hund::N,эт,ನಾಯಿ
152,Katze::N,песи,ಬೆಕ್ಕು
153,Bär::N,аю,ಕರಡಿ
154,Eichhörnchen::N,тиен,ಉಡುತೆ
155,Elch::N,поши,ಕಡವೆ
156,Fuchs::N,төлке,ನರಿ
157,Hase::N,куян,ಮೊಲ
158,Maus::N,тычкан,ಇಲಿ
159,Wolf::N,бүре,ತೋಳ
160,Vogel::N,кош,ಪಕ್ಷಿ
161,Schwarm::N,көтү,ಗುಂಪು
162,Huhn::N,тавык,ಚಿಕ್
163,Hahn::N,әтәч,ಹುಂಜ
164,Gans::N,каз,ವರಟೆ
165,Adler::N,каракош,ಗರುಡ
166,Ente::N,үрдәк,ಬಾತು
167,Eule::N,ябалак,ಗೂಬೆ
168,Kranich::N,торна,ಕೊಕ್ಕರ
169,Krähe::N,карга,ಕಾಗೆ
170,Kuckuck::N,күке,ಕೋಗಿಲೆ
171,Kuckuck::N,кәккүк,ಕೋಗಿಲೆ
172,Schwan::N,аккош,ಹಂಸಪಕ್ಷಿ
173,Fisch::N,балык,ಮೀನು
174,Barsch::N,алабуга,ಪರ್ಚ್ ಮೀನು
175,Hecht::N,чуртан,ಪೈಕ್ ಮೀನು
176,Schlange[Tier]::N,елан,ಹಾವು
177,Wurm::N,корт,ಹುಳು
178,Spinne::N,үрмәкүч,ಊರ್ಣನಾಭ
179,Ameise::N,кырмыска,ಇರುವೆ
180,Laus::N,бет,ಹೇನು
181,Mücke::N,черки,ಸೊಳ್ಳೆ
182,Mücke::N,озынборын,ಸೊಳ್ಳೆ
183,Fliege::N,чебен,ನೊಣ
184,Schmetterling::N,күбәләк,ಪತಂಗ
185,Beere::N,җиләк,ನಯವಣ್ಣು
186,Apfel::N,алма,ಸೇಬು
187,Pilz::N,гөмбә,ಅಣಬೆ
188,Zwiebel::N,суган,ನೀರುಳ್ಳಿ
189,Zwiebel::N,суганбаш,ನೀರುಳ್ಳಿ
190,Saat::N,орлык,ಬಿತ್ತ
191,Korn::N,иген,ಬೀಜ
192,Korn::N,орлык,ಬೀಜ
193,Heu::N,печән,ಕರಡ
194,Schale::N,кабык,ಹೊಟ್ಟು
195,Grube::N,баз,ಗುಂಡಿ
196,Grube::N,чокыр,ಗುಂಡಿ
197,Falle::N,тозак,ಬೋನು
198,Falle::N,капкын,ಬೋನು
199,Schlinge::N,элмәк,ಉರುಲು
200,Spur::N,эз,ಜಾಡು
201,Asche::N,көл,ಬೂದಿ
202,Dreck::N,пычрак,ಹೊಲಸು
203,Eisen::N,тимер,ಕಬ್ಬಿಣ
204,Gold::N,алтын,ಚಿನ್ನ
205,Silber::N,көмеш,ಬೆಳ್ಳಿ
206,Kohle::N,күмер,ಕಲ್ಲಿದ್ದಲು
207,Glas::N,пыяла,ಗಾಜು
208,Lehm::N,балчык,ಜೇಡಿಮಣ್ಣು
209,Sand::N,ком,ಮರಳು
210,Mensch::N,адәм,ಪುರುಷ
211,Mensch::N,инсан,ಪುರುಷ
212,Mann::N,ир,ಆಳು
213,Frau::N,хатын,ಹೆಣ್ಣು
214,Kind::N,бала,ಮಗು
215,Junge::N,малай,ಹುಡುಗ
216,Mädchen::N,кыз,ಹುಡುಗಿ
217,Familie::N,гаилә,ಕುಟುಂಬ
218,Großvater::N,бабай,ಅಜ್ಜ
219,Großmutter::N,әби,ಅಮ್ಮ
220,Eltern::N,ата-ана,ಹೆತ್ತವರು
221,Vater::N,ата,ತಂದೆ
222,Mutter::N,ана,ಅಮ್ಮ
223,Sohn::N,ул,ಮಗ 
224,Tochter::N,кыз,ಮಗಳು
225,Bruder::N,кардәш,ತಮ್ಮ
226,Schwester::N,апа,ತಂಗಿ
227,Schwester::N,сеңел,ತಂಗಿ
228,Onkel::N,дәдә,ಸೋದರಮಾವ
229,Onkel::N,дәдә,ದೊಡ್ಡಪ್ಪ
230,Onkel::N,дәдәй,ಸೋದರಮಾವ
231,Onkel::N,дәдәй,ದೊಡ್ಡಪ್ಪ
232,Tante::N,түти,ಚಿಕ್ಕಮ್ಮ
233,Tante::N,тәтәй,ಚಿಕ್ಕಮ್ಮ
234,Ehemann::N,ир,ಗಂಡ
235,Ehefrau::N,хатын,ಹೆಂಡತಿ
236,Freude::N,сөенеч,ನಲಿವು
237,Gelächter::N,көлү,ನಗೆ
238,Gelächter::N,көлеш,ನಗೆ
239,Glück::N,бәхет,ಆನಂದ
240,Kummer::N,хәсрәт,ದುಃಖ
241,Wunsch::N,теләк,ಬಯಕೆ
242,Lust::N,теләк,ಇಷ್ಟ
243,Lust::N,теләү,ಇಷ್ಟ
244,Geist::N,рух,ಆತ್ಮ
245,Gedanke::N,уй,ಯೋಚನೆ
246,Gedanke::N,фикер,ಯೋಚನೆ
247,Gedächtnis::N,хәтер,ಸ್ಮರಣೆ
248,Verstand::N,акыл,ಮನಸ್ಸು
249,Sinn::N,мәгънә,ಅರ್ಥ
250,Grund::N,сәбәп,ಕಾರಣ
251,Wahrheit::N,хак,ಸತ್ಯ
252,Gespräch::N,әңгәмә,ಸಂಭಾಷಣೆ
253,Märchen::N,әкият,ಸುಳ್ಳು ಕಥೆ
254,Erzählung::N,хикәя,ಕಥೆ
255,Nachricht::N,хәбәр,ಸಂದೇಶ
256,Neuigkeit::N,яңалык,ಸುದ್ದಿ
257,Name::N,исем,ಹೆಸರು
258,Rätsel::N,табышмак,ಒಗಟು
259,Rede::N,нотык,ಮಾತು
260,Sprache::N,тел,ಭಾಷೆ
261,Stimme::N,тавыш,ಧ್ವನಿ
262,Wort::N,сүз,ಮಾತು
263,Zeichen::N,ишарә,ಗುರುತು
264,Ruf::N,дәшү,ಕೂಗು
265,Lärm::N,шау,ಸದ್ದು
266,Laut::N,аваз,ಶಬ್ದ
267,Ton::N,шалтырату,ನಾದ
268,Lied::N,җыр,ಗಾನ
269,Ruhe::N,тынлык,ಶಾಂತಿ
270,Leute::N,халык,ಮಂದಿ
271,Volk::N,халык,ಜನಾಂಗ
272,Arbeit::N,эш,ಕೆಲಸ
273,Arbeit::N,хезмәт,ಕೆಲಸ
274,Gast::N,кунак,ಅತಿಥಿ
275,Geschenk::N,бүләк,ಕಾಣಿಕೆ
276,Spiel::N,уен,ಆಟ
277,Gesellschaft::N,җәмгыять,ಸಂಗ
278,Hilfe::N,ярдәм,ಸಹಾಯ
279,Hilfe::N,булышлык,ಸಹಾಯ
280,Freund::N,дус,ಸ್ನೇಹಿತ
281,Kamerad::N,иптәш,ಜೊತೆಗಾರ
282,Angelegenheit::N,эш,ವಿಚಾರ
283,Anzahl::N,микъдар,ಎಣಿಕೆ
284,Art::N,төр,ತರ
285,Stück::N,кисәк,ತುಂಡು
286,Teil::N,өлеш,ಭಾಗ
287,Hälfte::N,ярым,ಅರ್ಧ
288,Kreis::N,түгәрәк,ವೃತ್ತ
289,Kreuz::N,хач,ಶಿಲುಬೆ
290,Kreuz::N,тәре,ಶಿಲುಬೆ
291,Linie::N,сызык,ರೀಖೆ
292,Strich::N,сызык,ಗೀಟು
293,Abstand::N,ара,ಅಂತರ
294,Entfernung::N,ераклык,ದೂರ
295,Gegend::N,урын,ವಿಸ್ತೀರ್ಣ
296,Platz::N,бушлык,ಅಂತರ
297,Ort::N,урын,ಸ್ಥಳ
298,Seite::N,як,ಪಕ್ಷ
299,Mitte::N,урта,ನಡು
300,Gegenstand::N,нәрсә,ವಸ್ತು
301,Sache::N,нәрсә,ವಸ್ತು
302,Rand::N,чит,ಅಂಚು
303,Kante::N,кырый,ಅಂಚು
304,Ecke::N,почмак,ಮೂಲೆ
305,Spitze::N,оч,ತುದಿ
306,Ende::N,азак,ಕೊನೆ
307,Loch::N,тишек,ತೂತು
308,Winkel::N,почмак,ಕೋನ
309,Muster::N,парча,ನಮೂನೆ
310,Größe::N,зурлык,ಪ್ರಮಾಣ
311,Länge::N,озынлык,ಉದ್ದ
312,Höhe::N,биеклек,ಎತ್ತರ
313,Gewicht::N,авырлык,ತೂಕ
314,Menge::N,микъдар,ಮೊತ್ತ
315,Haufen::N,өем,ರಾಶಿ
316,Reihe::N,рәт,ಸಾಲು
317,Boot::N,каек,ದೋಣಿ
318,Boot::N,көймә,ದೋಣಿ
319,Ruder::N,ишкәк,ಹುಟ್ಟು
320,Schlitten::N,чана,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
321,Ski::N,чаңгы,ಜಾರುಪಟ್ಟಿ
322,Lagerfeuer::N,костёр,ಶಿಬಿರಾಗ್ನಿ
323,Last::N,йөк,ಹೊರೆ
324,Gang::N,йөреш,ತಿರುಗಾಟ
325,Schritt::N,адым,ಹೆಜ್ಜೆ
326,Norden::N,төньяк,ಉತ್ತರ
327,Süden::N,көньяк,ದಕ್ಷಿಣ
328,Westen::N,көнбатыш,ಪಶ್ಚಿಮ
