,Concept_ID,tr,mdf
0,Auge::N,göz,сельме
1,Ohr::N,kulak,пиле
2,Nase::N,burun,шалхка
3,Mund::N,ağız,курга
4,Zahn::N,diş,пей
5,Zunge::N,dil,кяль
6,Lippe::N,dudak,търва́
7,Wange::N,yanak,щёка
8,Gesicht::N,yüz,шама
9,Stirn::N,alın,коня
10,Haar::N,saç,шя́ярь
11,Schnurrbart::N,bıyık,уса́
12,Bart::N,sakal,сакал
13,Kinn::N,çene,ула
14,Kiefer[Anatomie]::N,çene,саласка
15,Kehle::N,boğaz,кълдома
16,Kehle::N,boğaz,кърга́парь
17,Hals::N,boyun,сялдаз
18,Hals::N,gerdan,сялдаз
19,Genick::N,ense,шовонь
20,Kopf::N,baş,пря
21,Kopf::N,kafa,пря
22,Rücken::N,arka,копорь
23,Bauch::N,karın,пеке
24,Nabel::N,göbek,по́кон
25,Busen::N,koyun,потя
26,Brust::N,göğüs,мяште
27,Schulter::N,omuz,лафту
28,Arm::N,kol,кядь
29,Ellenbogen::N,dirsek,кенерьба́карь
30,Hand::N,el,кядь
31,Handfläche::N,avuç,кядьлапш
32,Handfläche::N,el ayası,кядьлапш
33,Finger::N,parmak,сур
34,Fingernagel::N,el tırnağı,кенже
35,Nagel[Anatomie]::N,tırnak,кенже
36,Zeh::N,ayak parmağı,пильгосу́р
37,Fuß::N,ayak,пильге
38,Fuß::N,ayak,пильгелапа
39,Ferse::N,topuk,кочкяря
40,Knie::N,diz,эль
41,Knie::N,diz,пълма́нжа
42,Oberschenkel::N,uyluk,пильгепукша
43,Bein::N,bacak,пильге
44,Körper::N,vücut,ро́нга
45,Körper::N,vücut,по́нда
46,Haut::N,cilt,киське
47,Blut::N,kan,вер
48,Ader::N,damar,сан
49,Ader::N,damar,верза́н
50,Sehne::N,kiriş,коське сан
51,Knochen::N,kemik,пакарь
52,Gehirn::N,beyin,уй
53,Herz::N,kalp,седи
54,Herz::N,yürek,седи
55,Magen::N,mide,коткърдазь
56,Leber::N,karaciğer,макса
57,Atem::N,nefes,лекома
58,Atem::N,nefes,ваймонь тарксема
59,Hunger::N,açlık,вачеши
60,Träne::N,gözyaşı,сельмове́дь
61,Geschmack::N,tat,таньф
62,Geschmack::N,lezzet,таньф
63,Geruch::N,koku,шине
64,Schlaf::N,uyku,удома́
65,Traum::N,düş,он
66,Traum::N,rüya,он
67,Himmel::N,gök,менель
68,Sonne::N,güneş,ши
69,Mond::N,ay,ков
70,Stern::N,yıldız,тяште
71,Luft::N,hava,кожф
72,Wind::N,yel,варма
73,Wind::N,rüzgâr,варма
74,Welle::N,dalga,тавла
75,Wasser::N,su,ведь
76,Stein::N,taş,кев
77,Boden::N,yer,мода
78,Boden::N,yer,потмакс
79,Boden::N,zemin,мода
80,Boden::N,zemin,потмакс
81,Erde::N,toprak,мода
82,Erde::N,toprak,мастор
83,Staub::N,toz,пуль
84,Rauch::N,duman,качам
85,Funke::N,kıvılcım,ця́тка
86,Feuer::N,ateş,тол
87,Licht::N,ışık,ва́лда
88,Schatten::N,gölge,цильф
89,Wetter::N,hava,уша
