,Concept_ID,he,kv
0,Auge::N,עין,син
1,Ohr::N,אזן,пель
2,Nase::N,אף,ныр
3,Nase::N,חטם,ныр
4,Mund::N,פה,ӧм
5,Zahn::N,שן,пинь
6,Zunge::N,לשון,кыв
7,Lippe::N,שפה,тырп
8,Wange::N,לחי,рожабан
9,Gesicht::N,פנים,бан
10,Stirn::N,מצח,кымӧс
11,Haar::N,שערה,юрси
12,Schnurrbart::N,שפם,уссэз
13,Bart::N,זקן,тош
14,Kinn::N,סנטר,тшӧка
15,Kiefer[Anatomie]::N,לסת,ан
16,Kehle::N,גרון,юан
17,Hals::N,צואר,юан
18,Genick::N,ערף,юр бӧр
19,Kopf::N,ראש,юр
20,Rücken::N,גב,мышк
21,Bauch::N,בטן,кынӧм
22,Nabel::N,טבור,гӧг
23,Busen::N,שד,морос
24,Brust::N,חזה,морос
25,Schulter::N,כתף,пельпон
26,Arm::N,זרוע,ки
27,Ellenbogen::N,מרפק,гырдзза
28,Hand::N,יד,кикар
29,Handfläche::N,כף יד,ки пыдӧс
30,Finger::N,אצבע,чунь
31,Fingernagel::N,צפרן,гыж
32,Nagel[Anatomie]::N,צפרן,гыж
33,Zeh::N,אצבע,чунь
34,Fuß::N,רגל,кокпыдӧс
35,Ferse::N,עקב,кокдзир
36,Knie::N,ברך,пидзӧс
37,Oberschenkel::N,ירך,лядьбей
38,Bein::N,רגל,кок
39,Körper::N,גוף,вывтыр
40,Haut::N,עור,кучик
41,Blut::N,דם,вир
42,Ader::N,וריד,сӧн
43,Sehne::N,גיד,жила
44,Knochen::N,עצם,коска
45,Gehirn::N,מוח,вем
46,Herz::N,לב,сьӧлӧм
47,Magen::N,קבה,жӧвдӧк
48,Leber::N,כבד,мус
49,Atem::N,נשימה,лолалӧм
50,Hunger::N,רעב,тшыг
51,Träne::N,דמעה,синва
52,Geschmack::N,טעם,кӧр
53,Geruch::N,ריח,дук
54,Schlaf::N,שנה,он
55,Traum::N,חלום,вӧт
56,Himmel::N,שמים,небо
57,Sonne::N,שמש,шондi
58,Mond::N,ירח,тӧлiсь
59,Stern::N,כוכב,кӧдзыв
60,Luft::N,אויר,ру
