,Concept_ID,ar,ga
0,Auge::N,عين,súil
1,Ohr::N,أذن,cluas
2,Nase::N,أنف,soc
3,Mund::N,فم,béal
4,Zahn::N,سن,fiacail
5,Zunge::N,لسان,teanga
6,Lippe::N,شفة,liopa
7,Wange::N,خد,grua
8,Wange::N,خد,leiceann
9,Wange::N,وجنة,grua
10,Wange::N,وجنة,leiceann
11,Gesicht::N,وجه,éadan
12,Gesicht::N,وجه,aghaidh
13,Stirn::N,جبين,baithis
14,Stirn::N,جبين,clár éadain
15,Haar::N,شعر,gruaig
16,Schnurrbart::N,شارب,croiméal
17,Bart::N,لحية,féasóg
18,Kinn::N,ذقن,smig
19,Kiefer[Anatomie]::N,فك,giall
20,Kehle::N,حلق,scornach
21,Hals::N,عنق,muinéal
22,Hals::N,رقبة,muinéal
23,Genick::N,قفا,baic
24,Kopf::N,رأس,ceann
25,Rücken::N,ظهر,droim
26,Bauch::N,بطن,bolg
27,Nabel::N,سرة,imleacán
28,Busen::N,ثدي,cíoch
29,Brust::N,صدر,brollach
30,Schulter::N,كتف,gualainn
31,Arm::N,ذراع,lámh
32,Ellenbogen::N,كوع,uillinn
33,Hand::N,يد,lámh
34,Handfläche::N,كف,bos
35,Finger::N,إصبع,méar
36,Fingernagel::N,ظفر,ionga
37,Nagel[Anatomie]::N,ظفر,ionga
38,Zeh::N,إصبع القدم,ladhar
39,Fuß::N,قدم,cos
40,Fuß::N,قدم,troigh
41,Ferse::N,كعب,sáil
42,Knie::N,ركبة,glúin
43,Oberschenkel::N,فخذ,ceathrú
44,Bein::N,ساق,cos
45,Körper::N,جسم,corp
46,Körper::N,جسم,colainn
47,Haut::N,بشرة,cneas
48,Haut::N,بشرة,craiceann
49,Blut::N,دم,fuil
50,Ader::N,عرق,
51,Sehne::N,طنب,teannán
52,Sehne::N,طنب,féitheog
53,Knochen::N,عظم,cnámh
54,Gehirn::N,دماغ,inchinn
55,Herz::N,قلب,croí
56,Magen::N,معدة,bolg
57,Magen::N,معدة,goile
58,Leber::N,كبد,ae
59,Atem::N,نفس,anáil
60,Hunger::N,جوع,ocras
61,Träne::N,دمعة,deoir
62,Geschmack::N,طعم,blas
63,Geschmack::N,مذاق,blas
64,Geruch::N,رائحة,boladh
65,Schlaf::N,نوم,suan
66,Schlaf::N,نوم,codladh
67,Schlaf::N,منام,suan
68,Schlaf::N,منام,codladh
69,Traum::N,حلم,taibhreamh
70,Himmel::N,سماء,spéir
71,Sonne::N,شمس,grian
72,Mond::N,قمر,ré
73,Mond::N,قمر,gealach
74,Stern::N,نجم,rinn
75,Stern::N,نجم,réalta
76,Stern::N,كوكب,rinn
77,Stern::N,كوكب,réalta
78,Luft::N,هواء,aer
79,Wind::N,ريح,gaoth
80,Welle::N,موجة,tonn
81,Wasser::N,ماء,uisce
82,Stein::N,حجر,cloch
83,Boden::N,تراب,talamh
84,Erde::N,أرض,cré
85,Erde::N,أرض,ithir
86,Staub::N,غبار,dusta
87,Staub::N,غبار,deannach
88,Rauch::N,دخان,toit
89,Rauch::N,دخان,deatach
90,Funke::N,شرارة,drithle
91,Feuer::N,نار,tine
92,Licht::N,نور,solas
93,Licht::N,ضوء,solas
94,Schatten::N,ظل,scáth
95,Schatten::N,فيء,scáth
96,Wetter::N,جو,aimsir
97,Wetter::N,طقس,aimsir
98,Nebel::N,ضباب,ceo
99,Wolke::N,غيمة,néal
100,Wolke::N,غيمة,scamall
101,Wolke::N,سحابة,néal
102,Wolke::N,سحابة,scamall
103,Regen::N,مطر,báisteach
104,Regen::N,مطر,fearthainn
105,Schnee::N,ثلج,sneachta
106,Eis::N,جليد,oighear
107,Frost::N,صقيع,sioc
108,Kälte::N,برد,fuacht
109,Hitze::N,حر,teas
110,Hitze::N,حر,teocht
111,Hitze::N,حرارة,teas
112,Hitze::N,حرارة,teocht
113,Raureif::N,صقيع,sioc bán
114,Regenbogen::N,قوس قزح,stua ceatha
115,Regenbogen::N,قوس قزح,bogha báistí
116,Donner::N,رعد,toirneach
117,Strömung::N,تيار,sruth
118,Tropfen::N,قطرة,deoir
119,Schaum::N,زبد,cúr
120,Schaum::N,رغوة,cúr
121,Schmutz::N,وسخ,salachar
122,See::N,بحيرة,loch
123,Sumpf::N,مستنقع,portach
124,Moor::N,مستنقع,caorán
125,Moor::N,مستنقع,móinteán
126,Wiese::N,مرج,cluain
127,Wiese::N,مرج,móinéar
128,Wald::N,غابة,coill
129,Wald::N,غابة,foraois
130,Hügel::N,تل,ard
131,Anhöhe::N,تل,ard
132,Anhöhe::N,تل,ardán
133,Berg::N,جبل,sliabh
134,Gipfel::N,قمة,barr
135,Gipfel::N,قمة,mullach
136,Höhle::N,كهف,uaimh
137,Höhle::N,كهف,pluais
138,Abhang::N,منحدر,fána
139,Quelle::N,منبع,foinse
140,Bach::N,مجرى,sruthán
141,Fluss::N,نهر,abhainn
142,Ufer::N,ضفة,bruach
143,Küste::N,ساحل,cósta
144,Küste::N,ساحل,cladach
145,Festland::N,بر,míntír
146,Meer::N,بحر,muir
147,Meer::N,بحر,farraige
148,Bucht::N,خليج,bá
149,Bucht::N,خليج,cuan
150,Insel::N,جزيرة,inis
151,Insel::N,جزيرة,oileán
152,Blume::N,زهرة,bláth
153,Gras::N,حشيش,féar
154,Wurzel::N,أصل,rúta
155,Wurzel::N,أصل,fréamh
156,Baum::N,شجرة,crann
157,Stamm::N,جذع,stoc
158,Stamm::N,جذع,tamhan
159,Rinde::N,قشرة,coirt
160,Rinde::N,قشرة,craiceann
161,Ast::N,فرع,géag
162,Zweig::N,غصن,géag
163,Zweig::N,غصن,craobh
164,Blatt::N,ورقة,duille
165,Blatt::N,ورقة,duilleog
166,Birke::N,قضبان,beith
167,Birke::N,قضبان,crann beithe
168,Kiefer[Baum]::N,صنوبرة,péine
169,Weide[Baum]::N,صفصاف,saileach
170,Tanne::N,شوح,giúis
171,Tanne::N,تبوب,giúis
172,Horn::N,قرن,adharc
173,Feder::N,ريشة,cleite
174,Fell::N,فرو,clúmh
175,Flügel::N,جناح,eite
