,Concept_ID,ro,hy
0,Auge::N,ochi,աչք
1,Ohr::N,ureche,ականջ
2,Nase::N,nas,քիթ
3,Mund::N,gură,բերան
4,Zahn::N,dinte,ատամ
5,Zunge::N,limbă,լեզու
6,Lippe::N,buză,շրթունք
7,Wange::N,bucă,այտ
8,Wange::N,bucă,թուշ
9,Wange::N,obraz,այտ
10,Wange::N,obraz,թուշ
11,Gesicht::N,față,դեմք
12,Gesicht::N,figură,դեմք
13,Stirn::N,frunte,ճակատ
14,Haar::N,păr,մազ
15,Schnurrbart::N,mustață,բեղ
16,Bart::N,barbă,մորուք
17,Kinn::N,bărbie,կզակ
18,Kiefer[Anatomie]::N,falcă,ծնոտ
19,Kehle::N,beregată,կոկորդ
20,Hals::N,gât,վիզ
21,Hals::N,gât,պարանոց
22,Genick::N,ceafă,ծոծրակ
23,Kopf::N,cap,գլուխ
24,Rücken::N,dos,մեջք
25,Rücken::N,spate,մեջք
26,Rücken::N,spinare,մեջք
27,Bauch::N,burtă,փոր
28,Bauch::N,burtă,որովայն
29,Bauch::N,pântece,փոր
30,Bauch::N,pântece,որովայն
31,Nabel::N,buric,պորտ
32,Busen::N,sân,ծոց
33,Brust::N,piept,կուրծք
34,Schulter::N,umăr,ուս
35,Schulter::N,spate,ուս
36,Arm::N,braț,թեւ
37,Arm::N,braț,բազուկ
38,Ellenbogen::N,cot,արմունկ
39,Hand::N,mână,ձեռք
40,Handfläche::N,palmă,ափ
41,Finger::N,deget,մատ
42,Fingernagel::N,unghie,եղունգ
43,Nagel[Anatomie]::N,unghie,եղունգ
44,Zeh::N,deget de la picior,ոտքի մատ
45,Fuß::N,picior,ոտք
46,Ferse::N,călcâi,գարշապար
47,Knie::N,genunchi,ծունկ
48,Oberschenkel::N,coapsă,ազդր
49,Bein::N,picior,ոտք
50,Körper::N,corp,մարմին
51,Haut::N,piele,մաշկ
52,Blut::N,sânge,արյուն
53,Ader::N,vână,երակ
54,Ader::N,arteră,երակ
55,Sehne::N,tendon,ջիղ
56,Sehne::N,tendon,ձգտան
57,Knochen::N,os,ոսկոր
58,Gehirn::N,creier,խելք
59,Herz::N,inimă,սիրտ
60,Magen::N,stomac,ստամոքս
61,Leber::N,ficat,լյարդ
62,Atem::N,răsuflare,շունչ
63,Atem::N,respirație,շունչ
64,Hunger::N,foame,քաղց
65,Träne::N,lacrimă,արտասուք
66,Geschmack::N,gust,համ
67,Geschmack::N,gust,բուրմունք
68,Geruch::N,miros,հոտ
69,Geruch::N,miros,բուրում
70,Schlaf::N,somn,քուն
71,Traum::N,vis,երազ
72,Himmel::N,cer,երկինք
73,Sonne::N,soare,արեւ
74,Mond::N,lună,լուսին
75,Stern::N,stea,աստղ
76,Luft::N,aer,օդ
77,Wind::N,vânt,քամի
78,Welle::N,val,ալիք
79,Welle::N,undă,ալիք
80,Wasser::N,apă,ջուր
81,Stein::N,piatră,քար
82,Boden::N,sol,գետին
83,Boden::N,pământ,գետին
84,Erde::N,pământ,հող
85,Staub::N,praf,փոշի
86,Rauch::N,fum,ծուխ
87,Funke::N,scânteie,կայծ
88,Feuer::N,foc,կրակ
89,Feuer::N,foc,հրդեհ
90,Licht::N,lumină,լույս
91,Schatten::N,umbră,ստվեր
92,Wetter::N,timp,եղանակ
93,Wetter::N,vreme,եղանակ
94,Nebel::N,ceață,մեգ
95,Nebel::N,ceață,մառախուղ
96,Nebel::N,negură,մեգ
97,Nebel::N,negură,մառախուղ
98,Wolke::N,nor,ամպ
99,Regen::N,ploaie,անձրև
100,Schnee::N,zăpadă,ձյուն
101,Eis::N,gheață,սառույց
102,Frost::N,ger,սառնամանիք
103,Kälte::N,frig,դող
104,Hitze::N,arșiță,շոգ
105,Hitze::N,căldură,շոգ
106,Raureif::N,chiciură,ցօղեղեամ
107,Regenbogen::N,curcubeu,ծիածան
108,Donner::N,tunet,որոտ
109,Strömung::N,curent,հոսանք
110,Tropfen::N,picătură,կաթիլ
111,Schaum::N,spumă,փրփուր
112,Schmutz::N,murdărie,կեղտ
113,See::N,lac,լիճ
114,Sumpf::N,mlaștină,ճահիճ
115,Moor::N,bărăgan,ճահիճ
116,Wiese::N,fânaț,մարգագետին
117,Wiese::N,livadă,մարգագետին
118,Wald::N,codru,անտառ
119,Wald::N,pădure,անտառ
120,Hügel::N,deal,բլուր
121,Hügel::N,movilă,բլուր
122,Anhöhe::N,deal,բարձունք
123,Anhöhe::N,ridicătură,բարձունք
124,Berg::N,munte,լեռ
125,Gipfel::N,pisc,գագաթ
126,Gipfel::N,pisc,կատար
127,Höhle::N,peșteră,քարայր
128,Abhang::N,pantă,լանջ
129,Abhang::N,pantă,զառիվայր
130,Abhang::N,versant,լանջ
131,Abhang::N,versant,զառիվայր
132,Quelle::N,izvor,աղբյուր
133,Bach::N,gârlă,վտակ
134,Fluss::N,râu,գետ
135,Fluss::N,fluviu,գետ
136,Ufer::N,mal,ծովափ
137,Ufer::N,țărm,ծովափ
138,Küste::N,coastă,ափ
139,Küste::N,coastă,ծովափ
140,Festland::N,uscat,ցամաք
141,Meer::N,mare,ծով
142,Bucht::N,golf,հաչիւն
143,Insel::N,insulă,վղզի
144,Blume::N,floare,ծաղիկ
145,Gras::N,iarbă,խոտ
146,Wurzel::N,rădăcină,արմատ
147,Baum::N,copac,ծառ
148,Baum::N,arbore,ծառ
149,Stamm::N,tulpină,իրան
150,Rinde::N,scoarță,կեղեւ
151,Rinde::N,scoarță,հաչոց
152,Ast::N,cracă,ճյուղ
153,Ast::N,creangă,ճյուղ
154,Zweig::N,ramură,ճյուղ
155,Zweig::N,creangă,ճյուղ
156,Blatt::N,frunză,տերեւ
157,Birke::N,mesteacăn,ցարասի
158,Kiefer[Baum]::N,pin,սոճի
159,Weide[Baum]::N,salcie,ուռենի
160,Weide[Baum]::N,răchită,ուռենի
161,Tanne::N,brad,եղեւին
162,Horn::N,corn,
163,Feder::N,pană,փետուր
164,Fell::N,piele,մորթի
165,Flügel::N,aripă,թեւ
166,Klaue::N,gheară,չանչ
167,Kralle::N,labă,ճանկ
168,Kralle::N,gheară,ճանկ
169,Schwanz::N,coadă,պոչ
170,Ei::N,ou,ձու
171,Nest::N,cuib,բույն
172,Bau::N,bârlog,որջ
173,Bau::N,bârlog,բայոց
174,Bau::N,vizuină,որջ
175,Bau::N,vizuină,բայոց
176,Tier::N,animal,կենդանի
177,Herde::N,turmă,հոտ
178,Herde::N,cireadă,հոտ
179,Kuh::N,vacă,կով
180,Bulle::N,taur,ցուլ
181,Pferd::N,cal,ձի
182,Schaf::N,oaie,ոչխար
183,Schwein::N,porc,խոզ
184,Hund::N,câine,շուն
185,Katze::N,pisică,կատու
186,Bär::N,urs,արջ
187,Eichhörnchen::N,veveriță,սկյուռ
188,Elch::N,elan,հիւսիսային եղջերու
189,Fuchs::N,vulpe,աղվես
190,Hase::N,iepure,նապաստակ
191,Maus::N,șoarece,մուկ
192,Wolf::N,lup,գայլ
193,Vogel::N,pasăre,թռչուն
194,Schwarm::N,cârd,երամ
195,Huhn::N,găină,հավ
196,Hahn::N,cocoș,աքաղաղ
197,Gans::N,gâscă,սագ
198,Adler::N,vultur,արծիվ
199,Ente::N,rață,բադ
200,Eule::N,bufniță,բու
201,Kranich::N,cocor,կռունկ
202,Krähe::N,cioară,ագռավ
203,Kuckuck::N,cuc,կուկու
204,Schwan::N,lebădă,կարապ
205,Fisch::N,pește,ձուկ
