,Concept_ID,sv,lez
0,Auge::N,öga,вил
1,Ohr::N,öra,яб
2,Nase::N,näsa,нер
3,Mund::N,mun,сив
4,Zahn::N,tand,сас
5,Zahn::N,tand,свах
6,Zunge::N,tunga,мез
7,Lippe::N,läpp,пӏуз
8,Wange::N,kind,хъвехъ
9,Gesicht::N,syn,ччин
10,Gesicht::N,ansikte,ччин
11,Stirn::N,panna,пел
12,Haar::N,hår,чӏар
13,Schnurrbart::N,mustasch,спел
14,Schnurrbart::N,mustasch,спелар
15,Bart::N,skägg,ччуру
16,Kinn::N,haka,чене
17,Kiefer[Anatomie]::N,käke,чене
18,Kehle::N,strupe,туьд
19,Hals::N,hals,гардан
20,Genick::N,nacke,кьам
21,Kopf::N,huvud,кьил
22,Rücken::N,rygg,далу
23,Bauch::N,buk,руфун
24,Bauch::N,mage,руфун
25,Nabel::N,navel,пицӏ
26,Busen::N,barm,мам
27,Brust::N,bröst,хур
28,Schulter::N,skuldra,къуьн
29,Arm::N,arm,гъил
30,Ellenbogen::N,armbåge,кьуьнт
31,Hand::N,hand,капаш
32,Handfläche::N,handflata,капан юкь
33,Finger::N,finger,тӏуб
34,Fingernagel::N,fingernagel,кек
35,Nagel[Anatomie]::N,nagel,кек
36,Zeh::N,tå,кул
37,Fuß::N,fot,кӏвач
38,Ferse::N,häl,дабан
39,Knie::N,knä,мет
40,Oberschenkel::N,lår,
41,Bein::N,ben,кӏвач
42,Körper::N,kropp,беден
43,Haut::N,hud,хам
44,Haut::N,skinn,хам
45,Blut::N,blod,иви
46,Ader::N,åder,дамар
47,Sehne::N,sena,кьуру дамар
48,Knochen::N,ben,кӏараб
49,Gehirn::N,hjärna,мефт
50,Herz::N,hjärta,рикӏ
51,Magen::N,mage,хук
52,Leber::N,lever,лекь
53,Atem::N,anda,ял
54,Atem::N,anda,нефес
55,Atem::N,andedräkt,ял
56,Atem::N,andedräkt,нефес
57,Hunger::N,svält,каш
58,Hunger::N,hunger,каш
59,Träne::N,tår,вилин нагъв
60,Geschmack::N,smak,дад
61,Geschmack::N,smak,тӏям
62,Geruch::N,lukt,ни
63,Schlaf::N,sömn,ахвар
64,Traum::N,dröm,ахвар
65,Himmel::N,himmel,цав
66,Sonne::N,sol,рагъ
67,Mond::N,måne,варз
68,Stern::N,stjärna,гъед
69,Luft::N,luft,гьава
70,Wind::N,vind,гар
71,Welle::N,våg,лепе
72,Welle::N,bölja,лепе
73,Wasser::N,vatten,яд
74,Stein::N,sten,къван
75,Boden::N,mark,накьв
76,Erde::N,jord,ччил
77,Staub::N,damm,руг
78,Rauch::N,rök,гум
79,Funke::N,gnista,цӏелхем
80,Feuer::N,eld,цӏай
81,Licht::N,ljus,экв
82,Schatten::N,skugga,серин
83,Wetter::N,väder,гьава
84,Nebel::N,dimma,ччилин циф
85,Nebel::N,töcken,ччилин циф
86,Wolke::N,sky,циф
87,Wolke::N,moln,циф
88,Regen::N,regn,марф
89,Schnee::N,snö,жив
90,Eis::N,is,мурк
91,Frost::N,frost,аяз
92,Kälte::N,köld,мекь
93,Kälte::N,köld,мекьивал
94,Hitze::N,hetta,зегьем
95,Raureif::N,rimfrost,къирав
96,Regenbogen::N,regnbåge,яргъируш
97,Donner::N,åska,цавун ван
98,Donner::N,dunder,цавун ван
99,Strömung::N,strömning,
100,Tropfen::N,dropper,стӏал
101,Schaum::N,skum,каф
102,Schmutz::N,lort,чирк
103,Schmutz::N,lort,кьуруш
104,Schmutz::N,smuts,чирк
105,Schmutz::N,smuts,кьуруш
106,See::N,sjö,вир
107,Sumpf::N,träsk,уьлен
108,Moor::N,myr,
109,Moor::N,mosse,
110,Wiese::N,äng,векь
111,Wald::N,skog,там
112,Hügel::N,höjd,кӏунтӏ
113,Hügel::N,kulle,кӏунтӏ
114,Anhöhe::N,höjd,тепе
115,Anhöhe::N,höjd,гьуьндуьрвал
116,Anhöhe::N,backe,тепе
117,Anhöhe::N,backe,гьуьндуьрвал
118,Berg::N,berg,дагъ
119,Berg::N,fjäll,дагъ
120,Gipfel::N,topp,кӏукӏ
121,Höhle::N,håla,кьветӏ
122,Höhle::N,grotta,кьветӏ
123,Abhang::N,slänt,гуьне
124,Abhang::N,sluttning,гуьне
125,Quelle::N,källa,чешме
126,Bach::N,bäck,булах
127,Fluss::N,älv,вацӏ
128,Fluss::N,flod,вацӏ
129,Ufer::N,strand,къерех
130,Küste::N,kust,къерех
131,Festland::N,fastland,кьурамат
132,Meer::N,hav,гьуьл
133,Bucht::N,vik,бухта
134,Bucht::N,bukt,бухта
135,Insel::N,ö,остров
136,Blume::N,blomma,цуьк
137,Blume::N,blomster,цуьк
138,Gras::N,gräs,хъач
139,Wurzel::N,rot,дувул
140,Baum::N,träd,ттар
141,Stamm::N,stam,тан
142,Rinde::N,bark,чкал
143,Ast::N,gren,тӏур
144,Zweig::N,kvist,хел
145,Blatt::N,löv,пеш
146,Blatt::N,blad,пеш
147,Birke::N,björk,верх
148,Kiefer[Baum]::N,tall,шамагъаж
149,Weide[Baum]::N,pil,цӏвелин ттар
150,Weide[Baum]::N,vide,цӏвелин ттар
151,Tanne::N,gran,ель
152,Horn::N,horn,карч
153,Feder::N,fjäder,цӏакул
154,Fell::N,fäll,хам
155,Fell::N,skinn,хам
156,Flügel::N,vinge,лув
157,Klaue::N,klöv,къармах
158,Kralle::N,klo,пац
159,Kralle::N,klo,тапас
160,Schwanz::N,svans,ттум
161,Schwanz::N,stjärt,ттум
162,Ei::N,ägg,кака
163,Nest::N,rede,муг
164,Nest::N,näste,муг
165,Bau::N,bo,тӏеквен
166,Tier::N,djur,гьайван
167,Herde::N,flock,суьруь
168,Kuh::N,ko,ккал
169,Bulle::N,tjur,яц
170,Bulle::N,tjur,бугъа
171,Pferd::N,häst,балкӏан
172,Schaf::N,får,хеб
173,Schwein::N,svin,вак
174,Hund::N,hund,кицӏ
175,Katze::N,katt,кац
176,Bär::N,björn,сев
177,Eichhörnchen::N,ekorre,белка
178,Elch::N,älg,лось
179,Fuchs::N,räv,сикӏ
180,Hase::N,hare,къуьр
181,Maus::N,mus,кьиф
182,Wolf::N,varg,жанавур
183,Vogel::N,fågel,луван ничхир
184,Schwarm::N,svärm,луж
185,Huhn::N,höns,верч
186,Hahn::N,tupp,кӏек
187,Gans::N,gås,къаз
188,Adler::N,örn,лекь
189,Ente::N,anka,пӏатӏ
190,Eule::N,uggla,тӏиб
191,Kranich::N,trana,дурна
192,Krähe::N,kråka,къаргъа
193,Kuckuck::N,gök,кукупӏ
194,Schwan::N,svan,къугь
195,Fisch::N,fisk,гъед
196,Barsch::N,abborre,окунь
197,Hecht::N,gädda,щука
198,Schlange[Tier]::N,orm,илан
199,Schlange[Tier]::N,orm,гъуьлягъ
200,Wurm::N,mask,квак
201,Spinne::N,spindel,хуьшрекан
202,Ameise::N,myra,цегв
203,Laus::N,lus,нет
204,Mücke::N,mygga,ветӏ
205,Fliege::N,fluga,тӏветӏ
206,Schmetterling::N,fjäril,чепелукь
207,Beere::N,bär,куьлуь емиш
208,Apfel::N,äpple,ич
209,Pilz::N,svamp,къарникъуз
210,Zwiebel::N,lök,чичӏек
211,Saat::N,sådd,тумар
212,Korn::N,korn,твар
213,Heu::N,hö,векь
214,Heu::N,hö,векьер
215,Schale::N,skal,пириш
216,Schale::N,skal,хъуьруьш
217,Grube::N,grop,фур
218,Falle::N,fälla,ракьар
219,Schlinge::N,snara,гьалкъа
220,Spur::N,spår,гел
221,Asche::N,aska,руьхъ
222,Dreck::N,lort,чирк
223,Dreck::N,lort,кьуруш
224,Eisen::N,järn,ракь
225,Gold::N,guld,алтун
226,Silber::N,silver,гимиш
227,Kohle::N,kol,цӏивин
228,Glas::N,glas,шуьше
229,Lehm::N,lera,ччеб
230,Sand::N,sand,къум
231,Mensch::N,människa,инсан
232,Mann::N,man,итим
233,Frau::N,kvinna,паб
234,Frau::N,kvinna,дишегьли
235,Kind::N,barn,аял
236,Junge::N,pojke,гада
237,Mädchen::N,flicka,руш
238,Familie::N,familj,хзан
239,Familie::N,familj,килфет
240,Großvater::N,morfar,чӏехи буба
241,Großmutter::N,farmor,чӏехи диде
242,Eltern::N,föräldrar,диде-буба
243,Vater::N,far,буба
244,Mutter::N,mor,диде
245,Sohn::N,son,хва
246,Tochter::N,dotter,руш
247,Bruder::N,bror,стха
248,Schwester::N,syster,вах
249,Onkel::N,morbror,ими
250,Onkel::N,morbror,халу
251,Tante::N,tant,эме
252,Tante::N,tant,хала
253,Ehemann::N,äkta man,гъуьл
254,Ehefrau::N,hustru,паб
255,Freude::N,fröjd,шадвал
256,Freude::N,glädje,шадвал
257,Gelächter::N,åtlöje,хъвер
258,Glück::N,lycka,бахт
