,Concept_ID,ba,fa
0,Auge::N,күҙ,چشم
1,Ohr::N,ҡолаҡ,گوش
2,Nase::N,танау,بینی
3,Mund::N,ауыҙ,دهان
4,Zahn::N,теш,دندان
5,Zunge::N,тел,زبان
6,Lippe::N,ирен,لب
7,Wange::N,яцаҡтар,لپ
8,Gesicht::N,бит,رو
9,Gesicht::N,бит,چهره
10,Stirn::N,маңлай,پیشانی
11,Haar::N,сәс,مو
12,Schnurrbart::N,мылтыҡ,سبیل
13,Bart::N,һаҡал,ریش
14,Kinn::N,эйэк,چانه
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,فک
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,آرواره
17,Kehle::N,тамаҡ,حلق
18,Hals::N,муйын,گردن
19,Genick::N,соңҡа,پشت گردن
20,Kopf::N,баш,سر
21,Kopf::N,баш,کله
22,Rücken::N,арҡа,پشت
23,Bauch::N,ҡорһаҡ,شکم
24,Nabel::N,кендек,ناف
25,Busen::N,күкрәк,پستان
26,Brust::N,түш,سینه
27,Schulter::N,яурын,دوش
28,Schulter::N,яурын,شانه
29,Arm::N,ҡул,بازو
30,Ellenbogen::N,терһәк,آرنج
31,Hand::N,ҡул,دست
32,Hand::N,ҡул суғы,دست
33,Handfläche::N,ус төбө,کف دست
34,Finger::N,бармаҡ,انگشت
35,Fingernagel::N,тырнаҡ,ناخن دست
36,Nagel[Anatomie]::N,тырнаҡ,ناخن
37,Zeh::N,бармаҡ,انگشت پا
38,Fuß::N,табан,پا
39,Ferse::N,үксә,پاشنه
40,Knie::N,тубыҡ,زانو
41,Oberschenkel::N,сандыр,ران
42,Bein::N,аяҡ,پا
43,Bein::N,аяҡ,لنگ
44,Körper::N,тән,تن
45,Körper::N,тән,بدن
46,Haut::N,тире,پوست
47,Blut::N,ҡан,خون
48,Ader::N,тамыр,رگ
49,Sehne::N,һеңер,زردپی
50,Sehne::N,тарамыш,زردپی
51,Knochen::N,һойәк,استخوان
52,Gehirn::N,мейе,مخ
53,Gehirn::N,мейе,مغز
54,Herz::N,йорәк,دل
55,Herz::N,йорәк,قلب
56,Magen::N,ашҡаҙан,معده
57,Leber::N,бауыр,کبد
58,Atem::N,һулыш,نفس
59,Hunger::N,аслыҡ,گرسنگی
60,Träne::N,күҙ иәше,اشک
61,Geschmack::N,тәм,مزه
62,Geruch::N,еҫ,بو
63,Schlaf::N,йоҡлау,خواب
64,Traum::N,төш,رؤیا
65,Himmel::N,күк,فلک
66,Himmel::N,күк,آسمان
67,Sonne::N,ҡояш,آفتاب
68,Sonne::N,ҡояш,خورشید
69,Mond::N,ай,ماه
70,Stern::N,йондоҙ,ستاره
71,Luft::N,һауа,هوا
72,Wind::N,ел,باد
73,Welle::N,тулҡын,موج
74,Wasser::N,һыу,آب
75,Stein::N,таш,سنگ
76,Boden::N,тупраҡ,زمین
77,Erde::N,балсҡ,خاک
78,Erde::N,балсҡ,زمین
79,Staub::N,туҙан,گرد
80,Staub::N,туҙан,غبار
81,Rauch::N,төтөн,دود
82,Funke::N,осҡон,جرقه
83,Feuer::N,ут,آتش
84,Licht::N,яҡтылыҡ,نور
85,Licht::N,яҡтылыҡ,روشنی
86,Schatten::N,күләгә,سایه
87,Wetter::N,һауа торошо,هوا
88,Nebel::N,төман,مه
89,Wolke::N,болот,ابر
90,Regen::N,ямғыр,باران
91,Schnee::N,ҡар,برف
92,Eis::N,боҙ,یخ
93,Frost::N,һалҡын,یخبندان
94,Kälte::N,һыуыҡ,سرما
95,Hitze::N,томра,گرما
96,Hitze::N,томра,حرارت
97,Hitze::N,эҫелек,گرما
98,Hitze::N,эҫелек,حرارت
99,Raureif::N,ҡырау,برف ریزه
100,Regenbogen::N,йәйғор,رنگین‌کمان
101,Donner::N,күк күкрәү,رعد
102,Strömung::N,ағым,جریان
103,Tropfen::N,тамсы,قطره
104,Schaum::N,күбек,کف
105,Schmutz::N,батҡаҡ,گل
106,Schmutz::N,батҡаҡ,کثافت
107,See::N,күл,دریاچه
108,Sumpf::N,һаҙлык,مرداب
109,Sumpf::N,һаҙлык,باتلاق
110,Moor::N,һаҙ,باتلاق
111,Wiese::N,болон,چمن
112,Wald::N,урман,جنگل
113,Hügel::N,түбә,تل
114,Hügel::N,түбә,تپه
115,Anhöhe::N,түбә,بلندی
116,Anhöhe::N,ҡалҡыулыҡ,بلندی
117,Berg::N,тау,کوه
118,Gipfel::N,түбә,قله
119,Höhle::N,мәмерйә,غار
120,Abhang::N,ипкен,سرازیری
121,Quelle::N,шишмә,چشمه
122,Bach::N,шишмә,نهر
123,Fluss::N,йылға,رود
124,Ufer::N,яр,ساحل
125,Ufer::N,яр,کرانه
126,Küste::N,яр буйы,ساحل
127,Festland::N,ҡоро ер,خشکی
128,Meer::N,диңгез,دریا
129,Bucht::N,бухта,خلیج
130,Insel::N,үтрау,جزیره
131,Blume::N,сәскә,گل
132,Gras::N,үлән,علف
133,Wurzel::N,тамыр,ریشه
134,Baum::N,ағас,درخت
135,Stamm::N,олон,تنه
136,Stamm::N,көбәк,تنه
137,Rinde::N,ҡабыҡ,توژ
138,Rinde::N,ҡабыҡ,پوست
139,Ast::N,ботаҡ,شاخه
140,Zweig::N,ботаҡ,شاخه
141,Zweig::N,тармаҡ,شاخه
142,Blatt::N,япраҡ,برگ
143,Birke::N,ҡайын,غان
144,Kiefer[Baum]::N,ҡарғай,کاج
145,Weide[Baum]::N,тал,بید
146,Tanne::N,шыршы,صنوبر
147,Horn::N,мөғөҙ,شاخ
148,Feder::N,ҡауырһын,پر
149,Fell::N,тире,خز
150,Flügel::N,ҡанат,پر
151,Flügel::N,ҡанат,بال
152,Klaue::N,тырнаҡ,چنگ
153,Klaue::N,тырнаҡ,پنجه
154,Kralle::N,аяҡ,پنجه
155,Schwanz::N,ҡойроҡ,دم
156,Ei::N,йомортҡа,تخم
157,Nest::N,оя,لانه
158,Bau::N,оң,بنا
159,Bau::N,оң,ساختمان
160,Tier::N,жайуан,هیوان
161,Tier::N,йыртҡыс,هیوان
162,Herde::N,көтөү,رمه
163,Kuh::N,һыйыр,گاو
164,Bulle::N,үгеҙ,گاو نر
165,Pferd::N,ат,اسب
166,Schaf::N,һарыҡ,گوسفند
167,Schwein::N,сусҡа,خوک
168,Hund::N,эт,سگ
169,Katze::N,бесәй,گربه
170,Bär::N,айыу,خرس
171,Eichhörnchen::N,тейен,سنجاب
172,Elch::N,мышы,گوزن شمالی
173,Fuchs::N,төлкө,روباه
174,Hase::N,ҡуян,خرگوش
175,Maus::N,сысҡан,موش
176,Wolf::N,бүре,گرگ
177,Vogel::N,ҡош,پرنده
178,Schwarm::N,көтөү,دسته
179,Huhn::N,тауыҡ,مرغ
180,Hahn::N,әтәс,خروس
181,Gans::N,ҡаҙ,غاز
182,Adler::N,бөркөт,عقاب
183,Ente::N,өйрәк,اردک
184,Ente::N,өйрәк,مرغابی
185,Eule::N,өкө,جغد
186,Eule::N,ябалаҡ,جغد
187,Kranich::N,торна,درنا
188,Krähe::N,ҡарға,زاغ
189,Krähe::N,ҡарға,کلاغ
190,Kuckuck::N,кәкүк,فاخته
191,Schwan::N,аҡҡош,قو
192,Fisch::N,балыҡ,ماهی
193,Barsch::N,алабуға,ماهی خاردار
194,Hecht::N,суртан,اردک ماهی
195,Schlange[Tier]::N,йылан,مار
196,Wurm::N,селяүсен,کرم
197,Spinne::N,үрмәксе,عنکبوت
198,Ameise::N,ҡырмыҫҡа,مورچه
199,Laus::N,бет,شپش
200,Mücke::N,серәкәй,پشه
201,Fliege::N,себен,مگس
202,Schmetterling::N,күбәләк,پروانه
203,Beere::N,еләк,گیله
204,Apfel::N,алма,سیب
205,Pilz::N,бәшмәк,قارچ
206,Zwiebel::N,һуган,پیاز
207,Saat::N,орлоҡ,بذر
208,Korn::N,иген,تخم
209,Korn::N,иген,دانه
210,Heu::N,бесән,علف خشک
211,Schale::N,ҡабыҡ,پوست
212,Grube::N,соҡор,گودال
213,Falle::N,тоҙак,دام
214,Falle::N,ҡапҡан,دام
215,Schlinge::N,тоҙак,حلقه
216,Spur::N,әҫер,رد
217,Asche::N,көл,خاکستر
218,Dreck::N,батҡаҡ,کثافت
219,Eisen::N,тимер,آهن
220,Gold::N,алтын,زر
221,Gold::N,алтын,طلا
222,Silber::N,көмөш,نقره
223,Kohle::N,күмер,زغال
224,Glas::N,быяла,شیشه
225,Lehm::N,балсыҡ,گل
226,Sand::N,ҡом,شن
227,Sand::N,ҡом,ماسه
228,Mensch::N,кеше,آدم
229,Mensch::N,кеше,انسان
230,Mann::N,ир,مرد
231,Frau::N,ҡатын,زن
232,Kind::N,бала,بچه
233,Kind::N,бала,کودک
234,Junge::N,малай,پسر
235,Mädchen::N,ҡыҙ,دختر
236,Mädchen::N,ҡыҙыҡай,دختر
237,Familie::N,ғаилә,فامیل
238,Familie::N,ғаилә,خانواده
239,Großvater::N,олатай,پدربزرگ
240,Großmutter::N,әбәй,مادر‌بزرگ
241,Eltern::N,ата-әсә,والدین
242,Eltern::N,ата-әсә,پدر‌و‌مادر
243,Vater::N,атай,پدر
244,Mutter::N,әсә,مادر
245,Sohn::N,ул,پسر
246,Tochter::N,ҡыҙ,دختر
247,Bruder::N,агай,برادر
248,Schwester::N,алай,خواهر
249,Schwester::N,һеңле,خواهر
250,Onkel::N,ағай,عمو
251,Onkel::N,ағай,دایی
252,Tante::N,апай,عمه
253,Tante::N,апай,خاله
254,Ehemann::N,ир,همسر
255,Ehefrau::N,ҡатын,همسر
256,Freude::N,шатлыҡ,شادی
257,Freude::N,ҡыуаныс,شادی
258,Gelächter::N,көлөү,خنده
259,Gelächter::N,көлөү,قاه‌قاه
