,Concept_ID,bn,kk
0,Auge::N,চক্ষু,көз
1,Ohr::N,কর্ণ,құлақ
2,Nase::N,নাক,мұрын
3,Mund::N,মুখ,ауыз
4,Zahn::N,দাঁত,тіс
5,Zunge::N,জিহবা,тіл
6,Lippe::N,অধর,ерін
7,Wange::N,গণ্ড,ұрт
8,Gesicht::N,মুখমণ্ডল,бет-аузы
9,Stirn::N,কপাল,маңдай
10,Haar::N,চুল,қыл
11,Schnurrbart::N,গোঁফ,мұрт
12,Bart::N,শ্মশ্রু,сақал
13,Kinn::N,চিবুক,иек
14,Kiefer[Anatomie]::N,চোয়াল,жақ
15,Kehle::N,কণ্ঠ,алқым
16,Hals::N,গল,мойын
17,Genick::N,ঘাড়,желке
18,Kopf::N,মাথা,кәллә
19,Rücken::N,পৃষ্ঠ,арқа
20,Bauch::N,উদর,қарын
21,Nabel::N,নাভি,кіндік
22,Busen::N,স্তন,омырау
23,Brust::N,বুক,кеуде
24,Schulter::N,স্কন্ধ,иық
25,Arm::N,বাহু,қол
26,Ellenbogen::N,কনুই,шынтақ
27,Hand::N,হাত,қол
28,Handfläche::N,করতল,алақан
29,Finger::N,আঙ্গুল,саусақ
30,Fingernagel::N,হাতের নখ,тырнақ
31,Nagel[Anatomie]::N,নখ,тырнақ
32,Zeh::N,আঙ্গুল,тырнақ
33,Zeh::N,আঙ্গুল,тұяқ
34,Fuß::N,পা,аяқ-басы
35,Ferse::N,গোড়ালি,өкше
36,Ferse::N,গোড়ালি,өкшелік
37,Knie::N,হাঁটু,тізе
38,Oberschenkel::N,ঊরু,жамбас
39,Bein::N,পা,аяқ
40,Körper::N,দেহ,дене
41,Haut::N,ত্বক,тері
42,Blut::N,রক্ত,қан
43,Ader::N,শিরা,көктамыр
44,Ader::N,শিরা,күретамыр
45,Sehne::N,কণ্ডরা,сіңір
46,Knochen::N,অস্থি,жілік
47,Gehirn::N,মস্তিষ্ক,ми
48,Herz::N,হৃৎপিণ্ড,жүрек
49,Magen::N,পাকস্থলী,асқазан
50,Leber::N,যকৃৎ,бауыр
51,Atem::N,শ্বাস,леп
52,Hunger::N,ক্ষুধা,ашаршылық
53,Träne::N,অশ্রু,жас
54,Geschmack::N,স্বাদ,дәм
55,Geschmack::N,স্বাদ,татым
56,Geschmack::N,স্বাদ,талғам
57,Geruch::N,গন্ধ,иіс
58,Schlaf::N,ঘুম,ұйқы
59,Schlaf::N,ঘুম,ұйықтау
60,Traum::N,স্বপ্ন,түс
61,Himmel::N,আকাশ,аспан
62,Himmel::N,আকাশ,көқ
63,Himmel::N,আকাশ,таңдай
64,Sonne::N,সূর্য,күн
65,Mond::N,চন্দ্র,ай
66,Stern::N,নক্ষত্র,жұлдыз
67,Luft::N,বায়ু,әуе
68,Wind::N,বাতাস,жел
69,Welle::N,ঢেউ,толқын
70,Welle::N,তরঙ্গ,толқын
71,Wasser::N,জল,су
72,Stein::N,ঢিল,тас
73,Stein::N,প্রস্তর,тас
74,Boden::N,ভূতল,қыртыс
75,Erde::N,ভূমি,топырақ
76,Staub::N,ধুলা,шаң
77,Rauch::N,ধোঁয়া,түтін
78,Funke::N,স্ফুলিঙ্গ,ұшқын
79,Feuer::N,অগ্নি,алау
80,Licht::N,আলো,шұғыла
81,Schatten::N,ছায়া,көлеңке
82,Wetter::N,আবহাওয়া,ауа райы
83,Nebel::N,কুহেলিকা,тұман
84,Wolke::N,মেঘ,бұлт
85,Regen::N,বৃষ্টি,жаңбыр
86,Schnee::N,তুষার,қар
87,Eis::N,বরফ,мұз
88,Frost::N,তুষার,суық
89,Kälte::N,শৈত্য,ызғар
90,Kälte::N,শৈত্য,суықтық
91,Hitze::N,তাপ,аптап
92,Raureif::N,তুহিন,қырау
93,Regenbogen::N,রামধনু,кемпірқосақ
94,Donner::N,বজ্রধ্বনি,күн күркіреу
95,Strömung::N,স্রোত,ағын
96,Tropfen::N,ফোঁটা,тамшы
97,Schaum::N,ফেনা,көбік
98,Schmutz::N,ধুলা,кір
99,See::N,হ্রদ,көл
100,Sumpf::N,জলা,саз
101,Moor::N,মাঠ,саз
102,Wiese::N,তৃণভূমি,шалғын
103,Wald::N,বন,орман
104,Hügel::N,পাহাড়,төбе
105,Hügel::N,পাহাড়,белес
106,Hügel::N,পাহাড়,белес-белес
