,Concept_ID,xal,nl
0,Auge::N,нүдн,oog
1,Ohr::N,чикн,oor
2,Nase::N,хамр,neus
3,Mund::N,амн,mond
4,Zahn::N,шүдн,tand
5,Zunge::N,келн,tong
6,Lippe::N,урл,lip
7,Wange::N,халх,wang
8,Gesicht::N,нүр,gelaat
9,Gesicht::N,нүр,gezicht
10,Stirn::N,маңна,voorhoofd
11,Haar::N,үсн,haar
12,Schnurrbart::N,сахл,snor
13,Bart::N,сахл,baard
14,Bart::N,өргнә сахл,baard
15,Kinn::N,өргн,kin
16,Kiefer[Anatomie]::N,өргн,kaak
17,Kehle::N,хол,keel
18,Kehle::N,хол,strot
19,Hals::N,күзүн,hals
20,Genick::N,гиҗг,nek
21,Kopf::N,толһа,hoofd
22,Rücken::N,нурһн,rug
23,Bauch::N,гесн,buik
24,Nabel::N,киисн,navel
25,Busen::N,көкн,boezem
26,Brust::N,чееҗ,borst
27,Schulter::N,ээм,schouder
28,Arm::N,һар,arm
29,Ellenbogen::N,тоха,elleboog
30,Hand::N,баһлцг,hand
31,Handfläche::N,альхн,handpalm
32,Finger::N,хурһн,vinger
33,Finger::N,һарин хурһн,vinger
34,Fingernagel::N,хумсн,nagel
35,Nagel[Anatomie]::N,хумсн,nagel
36,Zeh::N,хурһн,teen
37,Zeh::N,көлин хурһн,teen
38,Fuß::N,тавг,voet
39,Ferse::N,өскә,hak
40,Ferse::N,өскә,hiel
41,Knie::N,өвдг,knie
42,Oberschenkel::N,һуй,dij
43,Bein::N,көл,been
44,Körper::N,махмуд,lichaam
45,Haut::N,арсн,huid
46,Blut::N,цусн,bloed
47,Ader::N,судцн,ader
48,Sehne::N,шүрүсн,pees
49,Knochen::N,ясн,bot
50,Knochen::N,ясн,been
51,Knochen::N,ясн,knook
52,Gehirn::N,экн,hersenen
53,Herz::N,зүркн,hart
54,Magen::N,гесн,maag
55,Leber::N,элкн,lever
56,Atem::N,әмсхл,adem
57,Hunger::N,харһнлһн,honger
58,Träne::N,нульмсн,traan
59,Geschmack::N,амтн,smaak
60,Geruch::N,үнр,geur
61,Schlaf::N,нөр,slaap
62,Traum::N,зүүдн,droom
63,Himmel::N,теңгр,hemel
64,Sonne::N,нарн,zon
65,Mond::N,сар,maan
66,Stern::N,одн,ster
67,Luft::N,аһар,lucht
68,Wind::N,салькн,wind
69,Welle::N,дольган,golf
70,Wasser::N,усн,water
71,Stein::N,чолун,steen
72,Boden::N,Һазр,grond
73,Erde::N,Һазр,aarde
74,Staub::N,тоосн,stof
75,Rauch::N,утан,rook
76,Funke::N,очн,vonk
77,Feuer::N,һал,vuur
78,Licht::N,герл,licht
79,Schatten::N,сүүдр,schaduw
80,Wetter::N,теңгр,weer
81,Nebel::N,будн,mist
82,Nebel::N,будн,nevel
83,Wolke::N,үүлн,wolk
84,Regen::N,хур,regen
85,Schnee::N,цасн,sneeuw
86,Eis::N,мөсн,ijs
87,Frost::N,киитн,vorst
88,Kälte::N,киитн,kou
89,Kälte::N,киитн,koude
90,Hitze::N,халун,hitte
91,Raureif::N,цаң,rijp
92,Raureif::N,кирү,rijp
93,Regenbogen::N,солңһ,regenboog
94,Donner::N,оһтрһун дун,donder
95,Strömung::N,урсхл,stroming
96,Tropfen::N,дусал,druppel
97,Schaum::N,көөсн,schuim
98,Schmutz::N,кир,vuil
99,See::N,нур,meer
100,Sumpf::N,унул,moeras
101,Moor::N,улм,veen
102,Wiese::N,хадлһн,wei
103,Wiese::N,хадлһн,weide
104,Wald::N,ө-модн,bos
105,Hügel::N,толһа,heuvel
106,Anhöhe::N,хамр,hoogte
107,Berg::N,уул,berg
108,Gipfel::N,ора,top
109,Höhle::N,хадин көндә,hol
110,Abhang::N,ташу,helling
111,Quelle::N,булг,bron
112,Bach::N,һооҗур,beek
113,Fluss::N,һол,stroom
114,Ufer::N,көвә,wal
115,Ufer::N,көвә,oever
116,Küste::N,көвә,kust
117,Küste::N,теңгсин көвә,kust
118,Festland::N,хүүрә һазр,vasteland
119,Meer::N,теңгс,zee
120,Bucht::N,цекә,baai
121,Bucht::N,цекә,inham
122,Bucht::N,теңгсин цекә,baai
123,Bucht::N,теңгсин цекә,inham
124,Insel::N,арл,eiland
125,Blume::N,цецг,bloem
126,Gras::N,ноһан,gras
127,Wurzel::N,уңг,wortel
128,Baum::N,модн,boom
129,Stamm::N,шилв,stam
130,Stamm::N,һол модн,stam
131,Rinde::N,көрсн,schors
132,Ast::N,ац,tak
133,Zweig::N,ац,twijg
134,Blatt::N,хамтхасн,blad
135,Birke::N,хусм модн,berk
136,Kiefer[Baum]::N,шар харһа,den
137,Weide[Baum]::N,удн,wilg
138,Tanne::N,җөөлн цаһан модн,spar
139,Horn::N,өвр,hoorn
140,Feder::N,өрвлг,veer
141,Feder::N,өрвлг,pluim
142,Fell::N,арсн,vel
143,Flügel::N,җивр,vleugel
144,Klaue::N,хумсн,klauw
145,Kralle::N,тавг,klauw
146,Schwanz::N,сүл,staart
147,Ei::N,өндгн,ei
148,Nest::N,үр,nest
149,Bau::N,нүкн,hol
150,Tier::N,мал,dier
151,Herde::N,сүрг мал,kudde
152,Kuh::N,үкр,koe
153,Bulle::N,бух,stier
154,Pferd::N,мөрн,paard
155,Schaf::N,хөн,schaap
156,Schwein::N,һаха,varken
157,Hund::N,ноха,hond
158,Katze::N,мис,kat
159,Bär::N,аю,beer
160,Eichhörnchen::N,кермн,eekhoorntje
161,Elch::N,хандһа,eland
162,Fuchs::N,арат,vos
163,Hase::N,туула,haas
164,Maus::N,хулһн,muis
165,Wolf::N,чон,wolf
166,Vogel::N,шовун,vogel
167,Schwarm::N,зел,zwerm
168,Huhn::N,така,kip
169,Huhn::N,така,hoen
170,Hahn::N,эр така,haan
171,Gans::N,һалун,gans
172,Adler::N,һәрд,arend
173,Ente::N,нуһсн,eend
174,Eule::N,һурвлһ,uil
175,Kranich::N,тоһрун,kraanvogel
176,Krähe::N,шаазһа,kraai
177,Kuckuck::N,эргин хуцдг,koekoek
178,Schwan::N,хун,zwaan
179,Fisch::N,заһсн,vis
180,Barsch::N,шүрг,baars
181,Hecht::N,цурх,snoek
182,Schlange[Tier]::N,моһа,slang
183,Wurm::N,өтн,worm
184,Spinne::N,аралҗн,spin
185,Ameise::N,шорһлҗн,mier
186,Laus::N,бөөсн,luis
187,Mücke::N,бөкүн,mug
188,Fliege::N,батхн,vlieg
189,Schmetterling::N,эрвәкә,vlinder
190,Beere::N,бөөлҗрһн,bes
191,Apfel::N,альмн,appel
192,Pilz::N,теңгрин ки,paddestoel
193,Zwiebel::N,мәңгрснә толһа,ui
194,Saat::N,буудян экн,zaad
195,Korn::N,экн,graan
196,Korn::N,экн,korrel
197,Heu::N,өвсн,hooi
198,Schale::N,хальсн,schil
199,Grube::N,нүкн,kuil
200,Falle::N,урх,val
201,Falle::N,хавх,val
202,Schlinge::N,бүтү,strop
203,Spur::N,мөр,spoor
204,Asche::N,үмсн,as
205,Dreck::N,бальчг,drek
206,Eisen::N,төмр,ijzer
207,Gold::N,алтн,goud
208,Silber::N,мөңгн,zilver
209,Silber::N,цаһан мөңгн,zilver
210,Kohle::N,нүүрсн,kool
211,Glas::N,шил,glas
212,Lehm::N,шавр,klei
213,Sand::N,элсн,zand
214,Mensch::N,күн,mens
215,Mensch::N,күмн,mens
216,Mann::N,эр,man
217,Frau::N,күүкд күн,vrouw
218,Kind::N,үрн,kind
219,Junge::N,көвүн,jongen
220,Mädchen::N,бичкн күүкн,meisje
221,Familie::N,бүл,gezin
222,Familie::N,бүл,familie
223,Großvater::N,өвк эцк,grootvader
