,Concept_ID,de,el
0,Auge::N,Auge,μάτι
1,Auge::N,Auge,οφθαλμός
2,Ohr::N,Ohr,αυτί
3,Nase::N,Nase,μύτη
4,Mund::N,Mund,στόμα
5,Zahn::N,Zahn,δόντι
6,Zunge::N,Zunge,γλώσσα
7,Lippe::N,Lippe,χείλος
8,Wange::N,Wange,παρειά
9,Wange::N,Wange,μάγουλο
10,Gesicht::N,Gesicht,πρόσωπο
11,Stirn::N,Stirn,μέτωπο
12,Haar::N,Haar,μαλλιά
13,Schnurrbart::N,Schnurrbart,μουστάκι
14,Bart::N,Bart,γένια
15,Kinn::N,Kinn,πιγούνι
16,Kiefer[Anatomie]::N,Kiefer,σαγόνι
17,Kehle::N,Kehle,λαρύγγι
18,Hals::N,Hals,λαιμός
19,Genick::N,Genick,σβέρκος
20,Kopf::N,Kopf,κεφάλι
21,Rücken::N,Rücken,ράχη
22,Bauch::N,Bauch,κοιλιά
23,Nabel::N,Nabel,αφαλός
24,Busen::N,Busen,στήθος
25,Brust::N,Brust,στήθος
26,Schulter::N,Schulter,ώμος
27,Arm::N,Arm,χέρι
28,Arm::N,Arm,μπράτςο
29,Ellenbogen::N,Ellenbogen,αγκώνας
30,Hand::N,Hand,χέρι
31,Handfläche::N,Handfläche,παλάμη
32,Finger::N,Finger,δάχτυλο
33,Fingernagel::N,Fingernagel,νύχι
34,Nagel[Anatomie]::N,Nagel,νύχι
35,Zeh::N,Zeh,δάχτυλο του ποδιού
36,Fuß::N,Fuß,πόδι
37,Ferse::N,Ferse,φτέρνα
38,Knie::N,Knie,γόνατο
39,Oberschenkel::N,Oberschenkel,μηρός
40,Bein::N,Bein,πόδι
41,Körper::N,Körper,σώμα
42,Körper::N,Körper,κορμί
43,Haut::N,Haut,πετσί
44,Blut::N,Blut,αίμα
45,Ader::N,Ader,φλέβα
46,Sehne::N,Sehne,νεύρο
47,Sehne::N,Sehne,τένοντας
48,Knochen::N,Knochen,οστό
49,Knochen::N,Knochen,κόκκαλο
50,Gehirn::N,Gehirn,μυαλό
51,Gehirn::N,Gehirn,εγκέφαλος
52,Herz::N,Herz,καρδιά
53,Magen::N,Magen,στομάχι
54,Leber::N,Leber,ήπαρ
55,Leber::N,Leber,συκωτί
56,Atem::N,Atem,αναπνοή
57,Hunger::N,Hunger,πείνα
58,Träne::N,Träne,δάκρυ
59,Geschmack::N,Geschmack,γεύση
60,Geruch::N,Geruch,οσμή
61,Geruch::N,Geruch,μυρωδία
62,Schlaf::N,Schlaf,ύπνος
63,Traum::N,Traum,όνειρο
64,Himmel::N,Himmel,ουρανός
65,Sonne::N,Sonne,ήλιος
66,Mond::N,Mond,σελήνη
67,Mond::N,Mond,φεγγάρι
68,Stern::N,Stern,άστρο
69,Stern::N,Stern,αστέρι
70,Luft::N,Luft,αέρας
71,Wind::N,Wind,αέρας
72,Wind::N,Wind,άνεμος
73,Welle::N,Welle,κύμα
74,Wasser::N,Wasser,νερό
75,Stein::N,Stein,πέτρα
76,Boden::N,Boden,χώμα
77,Erde::N,Erde,γη
78,Staub::N,Staub,σκόνη
79,Rauch::N,Rauch,καπνός
80,Funke::N,Funke,σπίθα
81,Funke::N,Funke,σπινθήρας
82,Feuer::N,Feuer,φωτιά
83,Licht::N,Licht,φως
84,Schatten::N,Schatten,σκιά
85,Schatten::N,Schatten,ίσκιος
86,Wetter::N,Wetter,καιρός
87,Nebel::N,Nebel,ομίχλη
88,Wolke::N,Wolke,σύννεφο
89,Regen::N,Regen,βροχή
90,Schnee::N,Schnee,χιόνι
91,Eis::N,Eis,πάγος
92,Frost::N,Frost,παγωνία
93,Kälte::N,Kälte,κρύο
94,Kälte::N,Kälte,ψύχος
95,Hitze::N,Hitze,ζέστη
96,Raureif::N,Raureif,πάχνη
97,Regenbogen::N,Regenbogen,ουράνιο τόξο
98,Donner::N,Donner,βροντή
99,Strömung::N,Strömung,ρεύμα
100,Tropfen::N,Tropfen,στάλα
101,Schaum::N,Schaum,αφρός
102,Schmutz::N,Schmutz,βρωμιά
103,See::N,See,λίμνη
104,Sumpf::N,Sumpf,βάλτος
105,Moor::N,Moor,έλος
106,Wiese::N,Wiese,λιβάδι
107,Wald::N,Wald,δάσος
108,Hügel::N,Hügel,λόφος
109,Anhöhe::N,Anhöhe,ύψωμα
110,Berg::N,Berg,όρος
111,Berg::N,Berg,βουνό
112,Gipfel::N,Gipfel,κορυφή
113,Höhle::N,Höhle,σπηλιά
114,Abhang::N,Abhang,πλαγιά
115,Quelle::N,Quelle,πηγή
116,Quelle::N,Quelle,βρύση
117,Bach::N,Bach,ρυάκι
118,Fluss::N,Fluss,ποτάμι
119,Fluss::N,Fluss,ποταμός
120,Ufer::N,Ufer,όχθη
121,Küste::N,Küste,ακτή
122,Küste::N,Küste,ακρογιαλιά
123,Festland::N,Festland,στεριά
124,Meer::N,Meer,θάλασσα
125,Bucht::N,Bucht,κόλπος
126,Insel::N,Insel,νησί
127,Insel::N,Insel,νήσος
128,Blume::N,Blume,άνθος
129,Blume::N,Blume,λουλούδι
130,Gras::N,Gras,χόρτο
131,Gras::N,Gras,χορτάρι
132,Wurzel::N,Wurzel,ρίζα
133,Baum::N,Baum,δέντρο
134,Stamm::N,Stamm,κορμός
135,Rinde::N,Rinde,φλούδα
136,Ast::N,Ast,κλαδί
137,Zweig::N,Zweig,κλαδί
138,Zweig::N,Zweig,κλάδος
139,Blatt::N,Blatt,φύλλο
140,Birke::N,Birke,σημύδα
141,Kiefer[Baum]::N,Kiefer,πεύκο
142,Weide[Baum]::N,Weide,ιτιά
143,Tanne::N,Tanne,έλατο
144,Horn::N,Horn,κέρας
145,Horn::N,Horn,κέρατο
146,Feder::N,Feder,φτερό
147,Fell::N,Fell,δέρμα
148,Fell::N,Fell,τομάρι
149,Flügel::N,Flügel,πτερύγιο
150,Klaue::N,Klaue,κουλό
151,Kralle::N,Kralle,νύχι
152,Schwanz::N,Schwanz,ουρά
153,Ei::N,Ei,αβγό
154,Nest::N,Nest,φωλιά
155,Bau::N,Bau,φωλιά
156,Tier::N,Tier,ζώο
157,Herde::N,Herde,κοπάδι
158,Kuh::N,Kuh,αγελάδα
159,Bulle::N,Bulle,ταύρος
160,Pferd::N,Pferd,άλογο
161,Schaf::N,Schaf,πρόβατο
162,Schwein::N,Schwein,γουρούνι
163,Hund::N,Hund,σκυλί
164,Hund::N,Hund,σκύλος
165,Katze::N,Katze,γάτα
166,Bär::N,Bär,άρκτος
167,Bär::N,Bär,αρκούδα
