,Concept_ID,hy,ta
0,Auge::N,աչք,கண்
1,Ohr::N,ականջ,காது
2,Nase::N,քիթ,மூக்கு
3,Mund::N,բերան,வாய்
4,Zahn::N,ատամ,பல்
5,Zunge::N,լեզու,நாக்கு
6,Lippe::N,շրթունք,உதடு
7,Wange::N,այտ,கன்னம்
8,Wange::N,թուշ,கன்னம்
9,Gesicht::N,դեմք,முகம்
10,Stirn::N,ճակատ,முன்னெற்றி
11,Haar::N,մազ,முடி
12,Schnurrbart::N,բեղ,மீசை
13,Bart::N,մորուք,தாடி
14,Kinn::N,կզակ,கீழதாடை
15,Kiefer[Anatomie]::N,ծնոտ,தாடை
16,Kehle::N,կոկորդ,தொண்டை
17,Hals::N,վիզ,கழுத்து
18,Hals::N,պարանոց,கழுத்து
19,Genick::N,ծոծրակ,கழுத்து
20,Kopf::N,գլուխ,தலை
21,Rücken::N,մեջք,முதுகு
22,Bauch::N,փոր,வயிறு
23,Bauch::N,որովայն,வயிறு
24,Nabel::N,պորտ,தொப்புள்
25,Busen::N,ծոց,மார்பகம்
26,Brust::N,կուրծք, மார்பு
27,Schulter::N,ուս,தோள்பட்டை
28,Arm::N,թեւ,கரம்
29,Arm::N,բազուկ,கரம்
30,Ellenbogen::N,արմունկ,முழங்கை
31,Hand::N,ձեռք,கை
32,Handfläche::N,ափ,உள்ளங்கை
33,Finger::N,մատ,விரல்
34,Fingernagel::N,եղունգ,விரல் நகம்
35,Nagel[Anatomie]::N,եղունգ,நகம்
36,Zeh::N,ոտքի մատ,கால்விரல்
37,Fuß::N,ոտք,கால்
38,Ferse::N,գարշապար,குதிகால்
39,Knie::N,ծունկ,முழங்கால்
40,Oberschenkel::N,ազդր,தொடை
41,Bein::N,ոտք,கால்
42,Körper::N,մարմին,உடல்
43,Haut::N,մաշկ,சருமம்
44,Blut::N,արյուն,இரத்தம்
45,Ader::N,երակ,நாளம்
46,Sehne::N,ջիղ,தசைநார்
47,Sehne::N,ձգտան,தசைநார்
48,Knochen::N,ոսկոր,எலுமபு
49,Gehirn::N,խելք,மூனை
50,Herz::N,սիրտ,இதயம
51,Magen::N,ստամոքս,வயிறு
52,Leber::N,լյարդ,கல்லீரல்
53,Atem::N,շունչ,மூச்சு
54,Hunger::N,քաղց,பசி
55,Träne::N,արտասուք,கண்ணீர்
56,Geschmack::N,համ,நறுமணம்
57,Geschmack::N,բուրմունք,நறுமணம்
58,Geruch::N,հոտ,துர்நாற்றம்
59,Geruch::N,բուրում,துர்நாற்றம்
60,Schlaf::N,քուն,தூக்கம்
61,Traum::N,երազ,கனவு
62,Himmel::N,երկինք,வானம்
63,Sonne::N,արեւ,சூரியன்
64,Mond::N,լուսին,சந்திரன்
65,Stern::N,աստղ,நட்சத்திரம்
66,Luft::N,օդ,காறறு
67,Wind::N,քամի,காற்று
68,Welle::N,ալիք,அலை
69,Wasser::N,ջուր,நீர்
70,Stein::N,քար,கல்
71,Boden::N,գետին,தரை
72,Erde::N,հող,மண்
73,Staub::N,փոշի,தூசி
74,Rauch::N,ծուխ,புகை
75,Funke::N,կայծ,தீப்பொறி
76,Feuer::N,կրակ,தீ
77,Feuer::N,հրդեհ,தீ
78,Licht::N,լույս,வெளிச்சம்
79,Schatten::N,ստվեր,நிழல்
80,Wetter::N,եղանակ,வானிலை
81,Nebel::N,մեգ,பனிமூட்டம்
82,Nebel::N,մառախուղ,பனிமூட்டம்
83,Wolke::N,ամպ,மேகம்
84,Regen::N,անձրև,மழை
85,Schnee::N,ձյուն,உறைபனி
86,Eis::N,սառույց,பனிக்கட்டி
87,Frost::N,սառնամանիք,உறைபனி
88,Kälte::N,դող,குளிர்ந்த
89,Hitze::N,շոգ,சூடு
90,Raureif::N,ցօղեղեամ,உறைபனி வெண்திரை
91,Regenbogen::N,ծիածան,வானவில்
92,Donner::N,որոտ,இடி
93,Strömung::N,հոսանք,நீரோட்டம்
94,Tropfen::N,կաթիլ,துளி
95,Schaum::N,փրփուր,நுரை
96,Schmutz::N,կեղտ,அழுக்கு
97,See::N,լիճ,ஏரி
98,Sumpf::N,ճահիճ,சதுப்பு நிலம்
99,Moor::N,ճահիճ,முட்புதற்காடு
100,Wiese::N,մարգագետին,பசும் புல்தரை
101,Wald::N,անտառ,காடு
102,Hügel::N,բլուր,குன்று
103,Anhöhe::N,բարձունք,பதுக்கை
104,Berg::N,լեռ,மலை
105,Gipfel::N,գագաթ,உச்சி மாநாடு
106,Gipfel::N,կատար,உச்சி மாநாடு
107,Höhle::N,քարայր,குகை
108,Abhang::N,լանջ,சரிவு
109,Abhang::N,զառիվայր,சரிவு
110,Quelle::N,աղբյուր,மூலம்
111,Bach::N,վտակ,ஓடை
112,Fluss::N,գետ,ஆறு
113,Ufer::N,ծովափ,நீர்க்கரை
114,Küste::N,ափ,கடற்கரை
115,Küste::N,ծովափ,கடற்கரை
116,Festland::N,ցամաք,நிலம்
117,Meer::N,ծով,கடல்
118,Bucht::N,հաչիւն,சிறுகுடா
119,Insel::N,վղզի,தீவு
120,Blume::N,ծաղիկ,பூ
121,Gras::N,խոտ,புல்தரை
122,Wurzel::N,արմատ,வேர்
123,Baum::N,ծառ,மரம்
124,Stamm::N,իրան,அடிமரம்
125,Rinde::N,կեղեւ,பட்டை
126,Rinde::N,կեղեւ,மரப்பட்டை
127,Rinde::N,հաչոց,பட்டை
128,Rinde::N,հաչոց,மரப்பட்டை
129,Ast::N,ճյուղ,கினை
130,Zweig::N,ճյուղ,குச்சி
131,Blatt::N,տերեւ,இலை
132,Birke::N,ցարասի,பிர்ச் மரம்
133,Kiefer[Baum]::N,սոճի,தேவதாரு மரம்
134,Weide[Baum]::N,ուռենի,மர வகைகளுள் ஒன்று
135,Tanne::N,եղեւին,சாதிக்கய்
136,Feder::N,փետուր,இறகு
137,Fell::N,մորթի,மென்முடி
138,Flügel::N,թեւ,இறக்கை
139,Klaue::N,չանչ,நகம்
140,Kralle::N,ճանկ,நகம்
141,Schwanz::N,պոչ,வால்
142,Ei::N,ձու,முட்டை
143,Nest::N,բույն,கூடு
144,Bau::N,որջ,குகை
145,Bau::N,բայոց,குகை
146,Tier::N,կենդանի,விலங்கு
147,Herde::N,հոտ,கூட்டம்
148,Kuh::N,կով,பசு
149,Bulle::N,ցուլ,காளை
150,Pferd::N,ձի,குதிரை
151,Schaf::N,ոչխար,செம்மறிஆடு
152,Schwein::N,խոզ,பன்றி
153,Hund::N,շուն,நாய்
154,Katze::N,կատու,பூனை
155,Bär::N,արջ,கரடி
156,Eichhörnchen::N,սկյուռ,அணில்
157,Elch::N,հիւսիսային եղջերու,கடம்பை
158,Fuchs::N,աղվես,நரி
159,Hase::N,նապաստակ,முயல்
160,Maus::N,մուկ,எலி
161,Wolf::N,գայլ,ஓநாய்
162,Vogel::N,թռչուն,பறவை
163,Schwarm::N,երամ,தொகுதி
164,Huhn::N,հավ,கோழிக்குஞசு
165,Hahn::N,աքաղաղ,சேவல்
166,Gans::N,սագ,பெண் வாத்து
167,Adler::N,արծիվ,பருநது
168,Ente::N,բադ,வாத்து
169,Eule::N,բու,ஆந்தை
170,Kranich::N,կռունկ,நாரை
171,Krähe::N,ագռավ,காகம்
172,Kuckuck::N,կուկու,குயில்
173,Schwan::N,կարապ,அன்னம்
174,Fisch::N,ձուկ,மீன்
175,Barsch::N,պերկես,பேர்ச்
176,Hecht::N,գայլաձուկ,கோலாச்சி மீன்
177,Schlange[Tier]::N,օձ,பாம்பு
178,Wurm::N,որդ,புழு
179,Wurm::N,ճիճու,புழு
180,Spinne::N,սարդ,சிலந்தி
181,Ameise::N,միջյուն,எறும்பு
182,Laus::N,ոջիլ,பேன்
183,Mücke::N,մժղուկ,கொசுவினப்பூச்சி
184,Fliege::N,ճանճ,ஈ
185,Schmetterling::N,թիթեռ,வண்ணத்துப்பூச்சி
186,Beere::N,հատապտուղ,சதைப்பழம்
187,Apfel::N,խնձոր,ஆப்பிள பழம்
188,Pilz::N,սունկ,காளான்
189,Zwiebel::N,սոխ,வெங்காயம்
190,Saat::N,սերմ,விதை
191,Korn::N,հատիկ,தானியம்
192,Heu::N,խոտ,வைக்கோல்
193,Schale::N,կեղեւ,தோல்
194,Grube::N,փոս,குழி
195,Falle::N,ծուղակ,பொறி
196,Schlinge::N,խեղդան,கண்ணி
197,Spur::N,հետք,சுவடு
198,Asche::N,մոխիր,சாம்பல்
199,Dreck::N,աղտ,அழுக்கு
200,Eisen::N,երկաթ,இரும்பு
201,Gold::N,ոսկի,தங்கம்
202,Silber::N,արծաթ,வெள்ளி
203,Kohle::N,քարածուխ,நிலக்கரி
204,Glas::N,ապակի,கண்ணாடி
205,Lehm::N,կավ,களிமண்
206,Sand::N,ավազ,மணல்
207,Mensch::N,մարդ,மனிதர்கள்
208,Mann::N,մարդ,மனிதன்
209,Mann::N,տղամարդ,மனிதன்
210,Frau::N,կին,பெண்
211,Kind::N,զավակ,குழந்தை
212,Junge::N,տղա,பையன்
213,Mädchen::N,աղջիկ,சிறுமி
214,Familie::N,ընտանիք,குடும்பம்
215,Großvater::N,պապ,தாத்தா
216,Großmutter::N,տատ,பாட்டி
217,Eltern::N,ծնողներ,பெற்றோர்
218,Vater::N,հայր,தந்தை
219,Mutter::N,մայր,தாய்
220,Sohn::N,որդի,மகன்
221,Tochter::N,աղջիկ,மகள்
222,Tochter::N,դուստր,மகள்
223,Bruder::N,եղբայր,சகோதரன்
224,Schwester::N,քույր,அக்கா
225,Onkel::N,քեռի,தாய் மாமன்
226,Onkel::N,հորեղբայր,தாய் மாமன்
227,Tante::N,մորաքույր,அத்தை
228,Ehemann::N,մարդ,கணவன்
229,Ehemann::N,ամուսին,கணவன்
230,Ehefrau::N,կին ամուսին,மனைவி
231,Freude::N,ուրախություն,கொண்டாட்டம்
232,Gelächter::N,ծիծաղ,சிரிப்பு
233,Glück::N,երջանկություն,மகிழ்ச்சி
234,Kummer::N,վիշտ,துயரம்
235,Wunsch::N,ցանկություն,விருப்பம்
236,Lust::N,փափագ,விருப்பம்
237,Lust::N,իղձ,விருப்பம்
238,Geist::N,ոգի,ஆன்மா
239,Gedanke::N,միտք,எண்ணம்
240,Gedächtnis::N,հիշողություն,ஞாபகம்
241,Verstand::N,խելք,மனம்
242,Sinn::N,իմաստ,அர்த்தம்
243,Grund::N,պատճառ,காரணம்
244,Wahrheit::N,ճշմարտություն,உண்நை
245,Gespräch::N,զրույց,பெசு
246,Märchen::N,պայիկի պատմություն,நம்பத்தகாத கதை
247,Erzählung::N,պատմվածք,கதை
248,Erzählung::N,պատմություն,கதை
249,Nachricht::N,հաղորդագրություն,செய்தி
250,Neuigkeit::N,լուր,செய்தி
251,Neuigkeit::N,նորություն,செய்தி
252,Name::N,անուն,பெயர்
253,Rätsel::N,բարդ խնդիր,புதிர்
254,Rede::N,ճառ,பேச்சு
255,Rede::N,ելույթ,பேச்சு
256,Sprache::N,լեզու,மொழி
257,Stimme::N,ձայն,குரல்
258,Wort::N,բառ,வார்த்தை
259,Zeichen::N,նշան,குறி
260,Ruf::N,կոչ,அழைப்பு
261,Ruf::N,կանչ,அழைப்பு
262,Lärm::N,աղմուկ,சத்தம்
263,Laut::N,հնչյուն,ஒலி
264,Laut::N,ձայն,ஒலி
265,Ton::N,տոն,குரல்
266,Lied::N,երգ,பாட்டு
267,Ruhe::N,անդորրություն,அமைதி
268,Leute::N,մարդիկ,மக்கள்
269,Volk::N,ազգ,மக்கள்
270,Arbeit::N,գործ,வேலை
271,Arbeit::N,աշխատանք,வேலை
272,Gast::N,հյուր,விருந்தாளி
273,Geschenk::N,նվեր,பரிசுப் பொருள்
274,Spiel::N,խաղ,விளையாட்டு
275,Gesellschaft::N,ընկերություն,சமுதாயம்
276,Hilfe::N,օգնությթուն,உதவி
277,Freund::N,ընկեր,நண்பன்
278,Freund::N,բարեկամ,நண்பன்
279,Kamerad::N,ուղեկից,உடனிருப்பவன்
280,Angelegenheit::N,բան,செய்தி
281,Angelegenheit::N,գործ,செய்தி
282,Anzahl::N,քանակ,எண்ணிக்கை
283,Anzahl::N,գումար,எண்ணிக்கை
284,Art::N,տեսակ,வகை
285,Stück::N,կտոր,துண்டம்
286,Teil::N,մաս,பகுதி
287,Hälfte::N,կես,பாதி
288,Kreis::N,շիջանակ,வட்டம்
289,Kreuz::N,խաչ,சிலுவை
290,Linie::N,գիծ,கோடு
291,Strich::N,գիծ,வாத நோய்
292,Abstand::N,անջրպետ,இடைவெளி
293,Entfernung::N,հեռավորություն,தூரம்
294,Gegend::N,շրջան,வட்டாரம்
295,Platz::N,տարածություն,வெற்றிடம்
296,Ort::N,տեղ,இடம்
297,Ort::N,վայր,இடம்
298,Seite::N,կողմ,பக்கம்
299,Mitte::N,մեջտեղ,இடைப்பகுதி
300,Gegenstand::N,առարկա,உருப்படி
301,Sache::N,բան,பொருள்
302,Rand::N,վերջք,தொங்கு
303,Kante::N,եզր,விளிம்பு
304,Ecke::N,անկյուն,மூலை
305,Spitze::N,ծայր,முனை
306,Ende::N,ծայր,முடிவு
307,Loch::N,անցք,துளை
308,Winkel::N,անկյուն,கோணம்
309,Muster::N,օրինակ,பாங்கு
310,Größe::N,մեծություն,அளவு
311,Länge::N,երկարություն,நீளம்
312,Höhe::N,բարձրություն,உயரம்
313,Gewicht::N,կշիռ,எடை
314,Menge::N,քանակ,தொகை
315,Haufen::N,դեզ,குவியல்
316,Haufen::N,կույտ,குவியல்
317,Reihe::N,շարք,வரிசை
318,Reihe::N,կարգ,வரிசை
319,Boot::N,նավակ,படகு
320,Ruder::N,թի,துடுப்பு
321,Ruder::N,թիակ,துடுப்பு
322,Schlitten::N,բալխիր,சகடையிலா வண்டி
323,Ski::N,դահուկ,பனிச் சறுக்கல்
324,Lagerfeuer::N,բացօդեայ կրակ,மூட்டம்
325,Last::N,բեռ,பாரம்
326,Gang::N,զբոսանք,நடை
327,Schritt::N,քայլ,காலடி
328,Norden::N,հյուսիս,வடக்கு
329,Süden::N,հարավ,தெற்கு
330,Westen::N,արեւմուտք,மேற்கு திசை
331,Osten::N,արեւելք,கிழக்கு
332,Holz::N,փայտ,மரக்கட்டை
333,Brett::N,տախտակ,பலகை
334,Platte::N,թիթեղ,பலகம்
335,Stütze::N,նեցուկ,அடைப்புகன்
336,Stange::N,ձող,கம்பம்
337,Stock::N,փայտ,குச்சி
338,Stab::N,ցուպ,கம்பு
339,Stab::N,գավազան,கம்பு
340,Rohr::N,խողովակ,குழாய்
341,Haus::N,տուն,வீடு
342,Heim::N,տուն,வீடு
343,Ofen::N,վառարան,அடுப்பு
344,Fußboden::N,հատակ,தரை
345,Tisch::N,սեղան,மேசை
346,Stuhl::N,աթոռ,நாற்காலி
347,Wiege::N,օրորոց,தொட்டில்
348,Bett::N,անկողին,படுக்கை
349,Regal::N,դարակ,அலமாரி
350,Kiste::N,տուփ,பெட்டி
351,Fenster::N,պատուհան,சாளரம்
352,Tür::N,դուռ,கதவு
353,Tor::N,դարպաս,வாசற்கதவு
354,Zaun::N,ցանկապատ,வேலி
355,Dach::N,տանիք,கூரை
356,Dach::N,կտուր,கூரை
357,Leiter::N,սանդուղք,ஏணி
358,Besen::N,ավել,விளக்குமாறு
359,Spaten::N,բահ,மண்வெட்டி
360,Schaufel::N,թի,அடிதண்டா
361,Gabel::N,պատառաքաղ,முட்கரண்டி
362,Löffel::N,գդալ,கரண்டி
363,Messer::N,դանակ,கத்தி
364,Nagel::N,մեխ,ஆணி
365,Netz::N,ցանց,வலை
366,Haken::N,կարթ,கொக்கி
367,Griff::N,կոթ,கைப்பிடி
368,Griff::N,բռնակ,கைப்பிடி
369,Schloss::N,կողպեք,பூட்டு
370,Bild::N,նկար,படம்
371,Bild::N,պատկեր,படம்
372,Figur::N,քանդակ,எண்ணிக்கை
373,Figur::N,պատկեր,எண்ணிக்கை
374,Puppe::N,տիկնիկ,பொம்மை
375,Beutel::N,տոպրակ,பை
376,Bündel::N,կապոց,பொதி
377,Tasche::N,պայուսակ,பை
378,Eimer::N,դույլ,வாளி
379,Deckel::N,կափարիչ,உறை
380,Geschirr::N,ամանեղեն,பாத்திரம்
381,Sack::N,պարկ,பை
382,Sack::N,տոպրակ,பை
383,Tasse::N,թաս,கிண்ணம்
384,Tasse::N,գավաթ,கிண்ணம்
385,Topf::N,անոթ,பானை
386,Kessel::N,կաթսա,கெண்டி
387,Essen::N,կերակուր,உணவருந்துதல்
388,Nahrung::N,ուտելիք,உணவு
389,Speise::N,խորտիկ,உணவு வகை
390,Speise::N,կերակուր,உணவு வகை
391,Fleisch::N,միս,இறைச்சி
392,Getreide::N,հացահատիկ,மக்காச்சோளம்
393,Brei::N,լանդակ,கஞ்சி
394,Brot::N,հաց,ரொட்டி
395,Scheibe::N,կտոր,துண்டு
396,Scheibe::N,պատառ,துண்டு
397,Fett::N,ճարպ,கொழுப்பு
398,Butter::N,կարագ,வெண்ணெய்
399,Öl::N,ձեթ,எண்ணெய்
400,Salz::N,աղ,உப்பு
401,Suppe::N,սուպ,ரசம்
402,Suppe::N,ապուր,ரசம்
403,Honig::N,մեղր,தேன்
404,Milch::N,կաթ,பால்
405,Tee::N,թեյ,தெனீர்
406,Leder::N,կաշի,பதம் செய்யப்பட்ட தோல்
407,Wolle::N,բուրդ,கம்பளி
408,Stoff::N,գործվածք,துணி
409,Nadel::N,ասեղ,ஊசி
410,Faden::N,թել,நூல்
411,Knopf::N,կոճակ,பொத்தான்
412,Knoten::N,հանգույց,முடிச்சு
413,Farbe::N,ներկ,வண்ணக் குழம்பு
414,Kleidung::N,հագուստ,ஆடைகள்
415,Hemd::N,վերնաշապիկ,சட்டை
416,Kragen::N,օձիք,கழுத்துப் பட்டை
417,Ärmel::N,թեւք,சட்டைக்கை
418,Hose::N,շալվար,கால்சட்டை
419,Gürtel::N,գոտի,பெல்ட்
420,Mütze::N,կեպի,தொப்பி
421,Schuh::N,կոշիկ,காலணி
422,Stiefel::N,երկարաճիթ կոշիկ,காலணி
423,Ring::N,զնգալ,மோதிரம்
424,Band::N,ժապավեն,நாடா
425,Kamm::N,սանր,கீப்பு
426,Spiegel::N,հայելի,ஆடி
427,Spiegel::N,հայելի,கண்ணாடி
428,Riemen::N,փոկ,வார்
429,Schnur::N,լար,கயிறு
430,Leine::N,փոկ,தோல்வார்
431,Decke::N,վերմակ,போர்வை
432,Kissen::N,բարձ,தலையணை
433,Tuch::N,թաշկինակ,துணி
434,Handtuch::N,սրբիչ,தண்டு
435,Kraft::N,ուժ,நிர்பந்தம்
436,Stärke::N,պնդություն,பலம்
437,Stärke::N,ամրություն,பலம்
438,Gesundheit::N,առողջություն,ஆரோக்கியம்
439,Krankheit::N,ախտ,நோய்
440,Krankheit::N,հիվանդություն,நோய்
441,Schmerz::N,ցավ,வலி
442,Schmerz::N,տանջանք,வலி
443,Wunde::N,վերք,காயம்
444,Fieber::N,տենդ,காய்ச்சல்
445,Arznei::N,դեղ,மருந்து
446,Brücke::N,կամուրջ,பாலம்
447,Brunnen::N,հոր,கேணி
448,Brunnen::N,ջրհոր,கேணி
449,Weide::N,արոտավայր,மேய்ச்சல் நிலம்
450,Pfad::N,արահետ,நடை வழி
451,Weg::N,ուղի,வழி
452,Straße::N,ճանապարհ,சாலை
453,Dorf::N,գյուղ,கிராமம்
454,Stadt::N,քաղաք,நகரம்
455,Brief::N,նամակ,கடிதம்
456,Buch::N,գիրք,புத்தகம்
457,Buchstabe::N,տառ,எழத்து
458,Buchstabe::N,գիր,எழத்து
459,Zeitung::N,լրագիր,செய்தித்தாள்
460,Leben::N,կյանք,வாழ்க்கை
461,Tod::N,մահ,மரணம்
462,Grab::N,գերեզման,சமாதி
463,Kirche::N,եկեղեցի,தேவாலயம்
464,Sünde::N,մեղք,பாவம்
465,Gott::N,աստված,கடவுள்
466,Arbeiter::N,բանվոր,தொழிலாளி
467,Arbeiter::N,աշխատող,தொழிலாளி
468,Chef::N,տեր,மேலாளர்
469,Meister::N,վարպետ,தலைவன்
470,Arzt::N,բժիշկ,மருத்துவர்
471,Lehrer::N,ուսուցիչ,ஆசிரியர்
472,Geld::N,փող,பணம்
473,Geschäft::N,գործ,வாணிபம்
474,Geschäft::N,աշխատանք,வாணிபம்
475,Laden::N,կրպակ,கடை
476,Laden::N,խանութ,கடை
477,Preis::N,գին,விலை
478,Ware::N,ապրանք,சாமன்கள்
479,Nutzen::N,օգուտ,இலாபம்
480,Reichtum::N,հարստություն,சொத்து
481,Welt::N,աշխարհ,உலகம்
482,Land::N,երկիր,நாடு
483,Staat::N,պետություն,நாடு
484,König::N,արքա,அரசன்
485,König::N,թագավոր,அரசன்
486,Macht::N,իշխանություն,அதிகாரம்
487,Grenze::N,սահման,எல்லை
488,Krieg::N,պատերազմ,போர்
489,Feind::N,թշնամի,எதிரி
490,Gewalt::N,բռնություն,வன்முறை
491,Gewalt::N,սաստկություն,வன்முறை
492,Kampf::N,մարտ,போராட்டம்
