,Concept_ID,bg,hu
0,Auge::N,око,szem
1,Ohr::N,ухо,fül
2,Nase::N,нос,orr
3,Mund::N,уста,száj
4,Zahn::N,зъб,fog
5,Zunge::N,език,nyelv
6,Lippe::N,устна,ajak
7,Wange::N,буза,orca
8,Gesicht::N,лице,arc
9,Gesicht::N,образ,arc
10,Stirn::N,чело,homlok
11,Haar::N,коса,haj
12,Haar::N,косъм,haj
13,Schnurrbart::N,мустаци,bajusz
14,Bart::N,брада,szakáll
15,Kinn::N,брада,áll
16,Kinn::N,брадичка,áll
17,Kiefer[Anatomie]::N,челюст,állkapocs
18,Kehle::N,гърло,gége
19,Kehle::N,гърло,torok
20,Hals::N,врат,nyak
21,Genick::N,тил,tarkó
22,Kopf::N,глава,fő
23,Kopf::N,глава,fej
24,Rücken::N,гръб,hát
25,Bauch::N,корем,has
26,Nabel::N,пъп,köldök
27,Busen::N,бозка,mell
28,Busen::N,бозка,kebel
29,Brust::N,гръд,mell
30,Schulter::N,рамо,váll
31,Schulter::N,плещи,váll
32,Arm::N,ръка,kar
33,Ellenbogen::N,лакът,könyök
34,Hand::N,ръка,kéz
35,Hand::N,китка,kéz
36,Handfläche::N,длан,tenyér
37,Finger::N,пръст,ujj
38,Fingernagel::N,нокът,köröm
39,Nagel[Anatomie]::N,нокът,köröm
40,Zeh::N,пръст на крак,lábujj
41,Fuß::N,крак,láb
42,Fuß::N,нога,láb
43,Ferse::N,пета,sarok
44,Knie::N,коляно,térd
45,Oberschenkel::N,бедро,comb
46,Bein::N,крак,láb
47,Bein::N,крак,lábszár
48,Bein::N,нога,láb
49,Bein::N,нога,lábszár
50,Körper::N,тяло,test
51,Haut::N,кожа,bőr
52,Blut::N,кръв,vér
53,Ader::N,вена,ér
54,Ader::N,артерия,ér
55,Sehne::N,жила,ín
56,Sehne::N,сухожилие,ín
57,Knochen::N,кост,csont
58,Gehirn::N,мозък,agy
59,Gehirn::N,мозък,agyvelő
60,Herz::N,сърце,szív
61,Magen::N,стомах,gyomor
62,Leber::N,черен дроб,máj
63,Atem::N,дишане,lehelet
64,Atem::N,дишане,lélegzet
65,Hunger::N,глад,éhség
66,Träne::N,сълза,könny
67,Geschmack::N,вкус,íz
68,Geruch::N,миризма,szag
69,Schlaf::N,сън,álom
70,Schlaf::N,сън,alvás
71,Traum::N,сън,álom
72,Himmel::N,небе,ég
73,Himmel::N,небе,menny
74,Sonne::N,слънце,nap
75,Mond::N,луна,hold
76,Mond::N,месец,hold
77,Stern::N,звезда,csillag
78,Luft::N,въздух,levegő
79,Wind::N,вятър,szél
80,Welle::N,вълна,hullám
81,Wasser::N,вода,víz
82,Stein::N,камък,kő
83,Boden::N,земя,föld
84,Boden::N,земя,talaj
85,Boden::N,почва,föld
86,Boden::N,почва,talaj
87,Erde::N,земя,föld
88,Erde::N,почва,föld
89,Staub::N,прах,por
90,Rauch::N,дим,füst
91,Rauch::N,пушек,füst
92,Funke::N,искра,szikra
93,Feuer::N,огън,tűz
94,Licht::N,светлина,fény
95,Schatten::N,сянка,árnyék
96,Wetter::N,време,idő
97,Wetter::N,време,időjárás
98,Nebel::N,мъгла,köd
99,Wolke::N,облак,felhő
100,Regen::N,дъжд,eső
101,Schnee::N,сняг,hó
102,Eis::N,лед,jég
103,Frost::N,мраз,fagy
104,Kälte::N,студ,hideg
105,Hitze::N,жега,hő
106,Hitze::N,жега,hőség
107,Hitze::N,горещина,hő
108,Hitze::N,горещина,hőség
109,Raureif::N,скреж,zúzmara
110,Raureif::N,слана,zúzmara
111,Regenbogen::N,дъга,szivárvány
112,Donner::N,гръм,dörgés
113,Donner::N,гръм,mennydörgés
114,Strömung::N,течение,áramlat
115,Tropfen::N,капка,csepp
116,Schaum::N,пяна,hab
117,Schaum::N,пяна,tajték
118,Schmutz::N,кал,piszok
119,Schmutz::N,мръсотия,piszok
120,See::N,езеро,tó
121,Sumpf::N,блато,mocsár
122,Moor::N,мочурище,láp
123,Wiese::N,ливада,rét
124,Wiese::N,ливада,mező
125,Wald::N,гора,erdő
126,Hügel::N,рид,domb
127,Hügel::N,хълм,domb
128,Anhöhe::N,могила,magaslat
129,Anhöhe::N,възвишение,magaslat
130,Berg::N,планина,hegy
131,Gipfel::N,връх,csúcs
132,Höhle::N,пещера,barlang
133,Abhang::N,склон,lejtő
134,Abhang::N,стръмнина,lejtő
