,Concept_ID,zh,sq
0,Auge::N,眼睛,sy
1,Ohr::N,耳朵,vesh
2,Nase::N,鼻子,hundë
3,Mund::N,嘴,gojë
4,Zahn::N,牙齿,dhëmb
5,Zunge::N,舌头,gjuhë
6,Lippe::N,嘴唇,buzë
7,Wange::N,面颊,faqe
8,Wange::N,面颊,mollëz
9,Gesicht::N,脸,fytyrë
10,Stirn::N,额,ballë
11,Haar::N,头发,flokë
12,Schnurrbart::N,髭须,mustaqe
13,Bart::N,胡子,mjekër
14,Kinn::N,下巴,mjekër
15,Kiefer[Anatomie]::N,颌,nofull
16,Kehle::N,嗓子,fyt
17,Kehle::N,嗓子,grykë
18,Hals::N,颈,qafë
19,Genick::N,后颈,arrëz
20,Kopf::N,头,kokë
21,Rücken::N,背,kurriz
22,Bauch::N,肚子,bark
23,Nabel::N,肚脐,kërthizë
24,Busen::N,胸脯,gji
25,Brust::N,胸,gjoks
26,Brust::N,胸,kraharor
27,Schulter::N,肩膀,sup
28,Schulter::N,肩膀,krah
29,Arm::N,臂膀,krah
30,Ellenbogen::N,肘,bërryl
31,Hand::N,手,dorë
32,Handfläche::N,手掌,pëllëmbë
33,Finger::N,手指,gisht
34,Fingernagel::N,指甲,thua
35,Nagel[Anatomie]::N,指甲,thua
36,Zeh::N,脚趾,gisht i këmbës
37,Fuß::N,脚,këmbë
38,Ferse::N,后跟,thembër
39,Knie::N,膝,gju
40,Oberschenkel::N,大腿,kofshë
41,Bein::N,腿,këmbë
42,Körper::N,身体,trup
43,Haut::N,皮肤,lëkurë
44,Blut::N,血,gjak
45,Ader::N,血管,venë
46,Sehne::N,腱,dell
47,Knochen::N,骨,asht
48,Knochen::N,骨,kockë
49,Gehirn::N,脑,tru
50,Herz::N,心,zemër
51,Magen::N,胃,stomak
52,Leber::N,肝,mëlçi
53,Atem::N,呼吸,frymë
54,Hunger::N,饿,uri
55,Träne::N,眼泪,lot
56,Geschmack::N,味道,shije
57,Geruch::N,气味,erë
58,Schlaf::N,睡眠,gjumë
59,Traum::N,梦,ëndërr
60,Himmel::N,天空,qiell
61,Sonne::N,太阳,diell
62,Mond::N,月亮,hënë
63,Stern::N,星,yll
64,Luft::N,空气,ajër
65,Wind::N,风,erë
66,Welle::N,波,valë
67,Welle::N,波,dallgë
68,Wasser::N,水,ujë
69,Stein::N,石头,gur
70,Boden::N,地面,tokë
71,Boden::N,地面,truall
72,Erde::N,地,dhe
73,Erde::N,地,baltë
74,Staub::N,灰尘,pluhur
75,Rauch::N,烟,tym
76,Funke::N,火花,xixë
77,Funke::N,火花,shkëndijë
78,Feuer::N,火,zjarr
79,Licht::N,光,dritë
80,Schatten::N,影子,hije
81,Wetter::N,天气,mot
82,Nebel::N,雾,mjegull
83,Wolke::N,云,re
84,Regen::N,雨,shi
85,Schnee::N,雪,borë
86,Eis::N,冰,akull
87,Frost::N,霜冻,ngricë
88,Kälte::N,寒冷,të ftohtë
89,Hitze::N,炎热,vapë
90,Hitze::N,炎热,nxehtësi
91,Raureif::N,霜,cikmë
92,Regenbogen::N,虹,ylber
93,Donner::N,雷,gjëmim
94,Donner::N,雷,bubullimë
95,Strömung::N,水流,rrymë
96,Tropfen::N,滴,pikë
97,Schaum::N,泡沫,shkumë
98,Schmutz::N,赃物,baltë
99,See::N,湖,liqen
100,Sumpf::N,沼泽,batak
