,Concept_ID,pl,udm
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,usta,ым
4,Zahn::N,ząb,пинь
5,Zunge::N,język,кыл
6,Lippe::N,warga,ымдур
7,Wange::N,policzek,бам
8,Gesicht::N,twarz,ымныр
9,Stirn::N,czoło,кымес
10,Haar::N,włos,йырси
11,Haar::N,włosy,йырси
12,Schnurrbart::N,wąsy,мыйык
13,Bart::N,broda,туш
14,Kinn::N,podbródek,ангес
15,Kiefer[Anatomie]::N,czeluść,ан
16,Kiefer[Anatomie]::N,czeluść,анлы
17,Kehle::N,gardło,гульым
18,Hals::N,szyja,чырты
19,Genick::N,kark,йырбер
20,Kopf::N,głowa,йыр
21,Rücken::N,plecy,мыш
22,Rücken::N,grzbiet,мыш
23,Bauch::N,brzuch,кӧт
24,Nabel::N,pępek,гогы
25,Busen::N,biust,ноны
26,Brust::N,pierś,мӧля
27,Schulter::N,bark,пельпум
28,Schulter::N,ramię,пельпум
29,Arm::N,ręka,суй
30,Arm::N,ramię,суй
31,Ellenbogen::N,łokieć,гырпум
32,Hand::N,dłoń,ки
33,Handfläche::N,dłoń,ки пыдэс
34,Handfläche::N,dłoń,кырым пыдэс
35,Finger::N,palec,чиньы
36,Fingernagel::N,paznokieć,гижы
37,Fingernagel::N,paznokieć,гиждӥнь
38,Nagel[Anatomie]::N,paznokieć,гижы
39,Zeh::N,palec,пыдчиньы
40,Fuß::N,stopa,пыд
41,Ferse::N,pięta,пыдбер
42,Knie::N,kolano,пыдес
43,Oberschenkel::N,udo,макес
44,Bein::N,noga,пыд
45,Körper::N,ciało,мугор
46,Körper::N,ciało,вылтыр
47,Haut::N,skóra,ку
48,Blut::N,krew,вир
49,Ader::N,żyła,вирсэр
50,Sehne::N,ścięgno,вуж
51,Knochen::N,kość,лы
52,Gehirn::N,mózg,вим
53,Herz::N,serce,сюлэм
54,Magen::N,żołądek,ӝуш
55,Leber::N,wątroba,мус
56,Atem::N,dech,лул
57,Atem::N,dech,шокан
58,Atem::N,oddech,лул
59,Atem::N,oddech,шокан
60,Hunger::N,głód,кӧтсюман
61,Träne::N,łza,синкыли
62,Geschmack::N,smak,шӧм
63,Geruch::N,woń,зын
64,Geruch::N,zapach,зын
65,Schlaf::N,sen,вӧт
66,Traum::N,sen,уйвӧт
67,Himmel::N,niebo,ин
68,Sonne::N,słońce,шунды
69,Mond::N,księżyc,толэзь
70,Stern::N,gwiazda,кизили
71,Luft::N,powietrze,омыр
72,Wind::N,wiatr,тӧл
73,Welle::N,fala,тулкым
74,Wasser::N,woda,ву
75,Stein::N,kamień,из
76,Boden::N,grunt,музъем
77,Erde::N,ziemia,му
78,Staub::N,pył,пыль
79,Staub::N,kurz,пыль
80,Rauch::N,dym,ӵын
81,Funke::N,iskra,гизьы
82,Feuer::N,ogień,тыл
83,Licht::N,światło,тыл
84,Schatten::N,cień,вужер
85,Wetter::N,pogoda,куазь
86,Nebel::N,mgła,бус
87,Wolke::N,obłok,пилем
88,Wolke::N,chmura,пилем
89,Regen::N,deszcz,зор
90,Schnee::N,śnieg,лымы
91,Eis::N,lód,йӧ
