,Concept_ID,lbe,be
0,Auge::N,я,вока
1,Ohr::N,вичӏи,вуха
2,Nase::N,май,нос
3,Mund::N,кьацӏ,рот
4,Zahn::N,ккарччи,зуб
5,Zunge::N,маз,язык
6,Lippe::N,мурччи,губа
7,Wange::N,чӏав,шчака
8,Gesicht::N,лажин,твар
9,Stirn::N,ненттабакӏ,лоб
10,Haar::N,чӏара,волас
11,Haar::N,чӏара,валасы
12,Schnurrbart::N,ссирссилтту,вус
13,Schnurrbart::N,ссирссилтту,вусы
14,Bart::N,чӏири,барада
15,Kinn::N,лунттубакӏ,падбародак
16,Kiefer[Anatomie]::N,ххинчулул,сківіца
17,Kehle::N,кьакьари,горла
18,Hals::N,ссурссу,шыя
19,Genick::N,махъабакӏ,патыліца
20,Kopf::N,бакӏ,галава
21,Rücken::N,ттиликӏ,спіна
22,Bauch::N,лякьа,жывот
23,Nabel::N,цӏумуккутӏ,пупок
24,Busen::N,ккукку,грудзі
25,Brust::N,хъазам,грудзі
26,Schulter::N,хъачӏ,плячо
27,Arm::N,ка,рука
28,Ellenbogen::N,ссюрхъ,локаць
29,Hand::N,бартка,кісць
30,Handfläche::N,хъат,далонь
31,Handfläche::N,битӏянхъ,далонь
32,Finger::N,кӏисса,палец
33,Fingernagel::N,михь,ногаць
34,Nagel[Anatomie]::N,михь,ногаць
35,Zeh::N,кӏисса,палец
36,Fuß::N,чӏанччан,нага
37,Ferse::N,никъа,пята
38,Ferse::N,никъа,пятка
39,Knie::N,ник,калена
40,Oberschenkel::N,жира,бядро
41,Oberschenkel::N,жира,сцягно
42,Bein::N,ччан,нага
43,Körper::N,чурх,цела
44,Haut::N,бурчу,скура
45,Blut::N,оь,кроў
46,Ader::N,тунну,вена
47,Ader::N,тунну,сасуд
48,Sehne::N,хьхьа,жыла
49,Sehne::N,хьхьа,цеціва
50,Sehne::N,хьхьа,сухажылле
51,Knochen::N,ттаркӏ,косць
52,Gehirn::N,ня,мозг
53,Herz::N,дакӏ,сэрца
54,Herz::N,къюкӏ,сэрца
55,Magen::N,лякьа,страўнік
56,Atem::N,ссихӏ ласаву,дыханне
57,Atem::N,ссихӏ бигьаву,дыханне
58,Hunger::N,ккаши,голад
59,Träne::N,макь,сляза
60,Geschmack::N,тӏин,смак
61,Geschmack::N,тӏааьн,смак
62,Geruch::N,кьанкь,пах
63,Schlaf::N,шану,сон
64,Traum::N,макӏру,сон
65,Himmel::N,ссав,неба
66,Sonne::N,баргъ,сонца
67,Mond::N,барз,месяц
68,Stern::N,цӏуку,зорка
69,Luft::N,гьава,паветра
70,Wind::N,марч,вецер
71,Welle::N,щатӏи,хваля
72,Wasser::N,щин,вада
73,Stein::N,чару,камень
74,Boden::N,аьрщи,глеба
75,Erde::N,аьрщи,зямля
76,Staub::N,ххит,пыл
77,Rauch::N,пуркӏу,дым
78,Funke::N,пиягь,іскра
79,Feuer::N,цӏу,агонь
80,Licht::N,чани,святло
81,Schatten::N,ххют,цень
82,Wetter::N,гьава,пагода
83,Wetter::N,гьава,надворʼе
84,Nebel::N,шархь ттурлу,туман
85,Wolke::N,ттурлу,воблака
86,Regen::N,гъарал,дождж
87,Schnee::N,марххала,снег
