,Concept_ID,la,ka
0,Auge::N,oculus,თვალი
1,Ohr::N,auris,ყური
2,Nase::N,nasus,ცხვირი
3,Mund::N,os,პირი
4,Zahn::N,dens,კბილი
5,Zunge::N,lingua,ენა
6,Lippe::N,labrum,ბაგე
7,Wange::N,gena,ლოყა
8,Gesicht::N,vultus,სახე
9,Stirn::N,frons,შუბლი
10,Haar::N,capillus,თმა
11,Schnurrbart::N,barba labri superioris,ულვაში
12,Bart::N,barba,წვერი
13,Kinn::N,mentum,ნიკაპი
14,Kiefer[Anatomie]::N,mala,ყბა
15,Kehle::N,iugulums,ყელი
16,Hals::N,collum,ყელი
17,Hals::N,collum,კისერი
18,Genick::N,cervices,კეფა
19,Kopf::N,caput,თავი
20,Rücken::N,tergum,ზურგი
21,Bauch::N,venter,მუცელი
22,Nabel::N,umbilicus,ჭიპი
23,Busen::N,sinus,ძუძუ
24,Brust::N,pectus,მკერდი
25,Schulter::N,umerus,მხარი
26,Schulter::N,umerus,მკლავი
27,Arm::N,bracchium,ხელი
28,Ellenbogen::N,cubitum,იდაყვი
29,Hand::N,manus,ხელი
30,Handfläche::N,palma,ნები
31,Handfläche::N,palma,ხელისგული
32,Finger::N,digitus,თითი
33,Fingernagel::N,unguiculus,ფრჩხილი
34,Nagel[Anatomie]::N,unguis,ფრჩხილი
35,Zeh::N,digitus,ფეხის თითი
36,Fuß::N,pes,ტერფი
37,Fuß::N,pes,ფეხისგული
38,Ferse::N,calx,ქუსლი
39,Knie::N,genu,მუხლი
40,Oberschenkel::N,femur,ბარძაყი
41,Bein::N,crus,ფეხი
42,Körper::N,corpus,ტანი
43,Körper::N,corpus,სხეული
44,Haut::N,cutis,კანი
45,Haut::N,pellis,კანი
46,Blut::N,sanguis,სისხლი
47,Ader::N,vena,ძარღვი
48,Sehne::N,nervus,მყესი
49,Knochen::N,os,ძვალი
50,Gehirn::N,cerebrum,ტვინი
51,Herz::N,cor,გული
52,Herz::N,animus,გული
53,Magen::N,stomachus,კუჭი
54,Leber::N,iecur,ღვიძლი
55,Atem::N,spiritus,სუნთქვა
56,Hunger::N,fames,შიმშილი
57,Träne::N,lacrima,ცრემლი
58,Geschmack::N,sapor,გემო
59,Geschmack::N,gustus,გემო
60,Geruch::N,odor,სუნი
61,Schlaf::N,somnus,ძილი
62,Traum::N,somnium,სიზმარი
63,Himmel::N,caelum,ცა
64,Sonne::N,sol,მზე
65,Mond::N,luna,მთვარე
66,Stern::N,sidus,ვარსკვლავი
67,Stern::N,stella,ვარსკვლავი
68,Luft::N,aer,ჰაერი
69,Wind::N,ventus,ქარი
70,Welle::N,unda,ტალღა
71,Wasser::N,aqua,წყალი
72,Stein::N,lapis,ქვა
73,Boden::N,solum,მიწა
74,Erde::N,terra,ნიადაგი
75,Staub::N,pulvis,მტვერი
76,Rauch::N,fumus,ბოლი
77,Rauch::N,fumus,კვამლი
78,Funke::N,scintilla,ნაკვესი
79,Feuer::N,ignis,ცეცხლი
80,Licht::N,lux,შუქი
81,Licht::N,lux,სინათლე
82,Licht::N,lumen,შუქი
83,Licht::N,lumen,სინათლე
84,Schatten::N,umbra,ლანდი
85,Schatten::N,umbra,ჩრდილი
86,Wetter::N,caelum,ამინდი
87,Wetter::N,tempestas,ამინდი
88,Nebel::N,nebula,ნისლი
89,Wolke::N,nubes,ღრუბელი
90,Regen::N,imber,წვიმა
91,Regen::N,pluvia,წვიმა
92,Schnee::N,nix,თოვლი
93,Eis::N,glacies,თოში
94,Eis::N,glacies,ყინული
95,Frost::N,gelu,ყინვა
96,Kälte::N,frigus,სიცივე
97,Hitze::N,calor,სიცხე
98,Hitze::N,aestus,სიცხე
99,Raureif::N,pruina,ჭირხლი
100,Raureif::N,pruina,თრთვილი
101,Regenbogen::N,arcus,ცისარტყელა
102,Donner::N,tonitrus,ქუხილი
103,Strömung::N,fluctus,დინება
104,Tropfen::N,gutta,წვეთი
105,Schaum::N,spuma,ქაფი
106,Schaum::N,spuma,დორბლი
107,Schmutz::N,sordes,ჭუჭყი
108,Schmutz::N,sordes,ტალახი
109,Schmutz::N,squalor,ჭუჭყი
110,Schmutz::N,squalor,ტალახი
111,See::N,lacus,ტბა
112,Sumpf::N,palus,ჭაობი
113,Moor::N,palus,ტორფნარი
114,Wiese::N,pratum,ველი
115,Wiese::N,pratum,მდელო
116,Wald::N,silva,ტყე
117,Hügel::N,collis,ბორცვი
118,Anhöhe::N,specula,მაღლობი
119,Berg::N,mons,მთა
120,Gipfel::N,vertex,მწვერვალი
121,Höhle::N,caverna,მღვიმე
122,Höhle::N,caverna,გამოქვებული
123,Höhle::N,spelunca,მღვიმე
124,Höhle::N,spelunca,გამოქვებული
125,Abhang::N,declivum,ფერდობი
126,Quelle::N,fons,წყარო
127,Quelle::N,fons,სათავე
128,Bach::N,rivus,რუ
129,Bach::N,rivus,ნაკადული
130,Fluss::N,flumen,მდინარე
131,Ufer::N,ripa,კიდე
132,Ufer::N,ripa,ნაპირი
133,Küste::N,litus,ნაპირი
134,Festland::N,continens,ხმელეთი
135,Meer::N,mare,ზღვა
136,Bucht::N,sinus,ყურე
137,Insel::N,insula,კუნძული
138,Blume::N,flos,ყვავილი
139,Gras::N,herba,ბალახი
140,Gras::N,gramen,ბალახი
141,Wurzel::N,radix,ძირი
142,Wurzel::N,radix,ფესვი
143,Baum::N,arbor,ხე
144,Stamm::N,truncus,ტანი
145,Rinde::N,cortex,ქერქი
146,Ast::N,ramus,ტოტი
147,Zweig::N,ramus,შტო
148,Blatt::N,folium,ფოთოლი
149,Birke::N,betulla,არყი
150,Kiefer[Baum]::N,pinus,ფიჭვი
151,Weide[Baum]::N,salix,ტირიფი
152,Tanne::N,abies,ნაძვი
153,Horn::N,cornu,რქა
154,Feder::N,penna,ფრთა
155,Fell::N,pellis,ტყავი
156,Flügel::N,ala,ფრთა
157,Klaue::N,unguis,კლანჭი
158,Kralle::N,unguis,ტორი
159,Schwanz::N,cauda,კუდი
160,Ei::N,ovum,კვერცხი
161,Nest::N,nidus,ბუდე
162,Bau::N,cavum,სორო
163,Bau::N,latibulum,სორო
164,Tier::N,bestia,ნადირი
165,Tier::N,bestia,ცხოველი
166,Herde::N,grex,ფარა
167,Kuh::N,vacca,ფური
168,Kuh::N,vacca,ძროხა
169,Bulle::N,taurus,ხარი
170,Pferd::N,equus,რაში
171,Pferd::N,equus,ცხენი
172,Schaf::N,ovis,ცხვარი
173,Schwein::N,sus,ღორი
174,Schwein::N,porcus,ღორი
175,Hund::N,canis,ძაღლი
176,Katze::N,felis,კატა
177,Bär::N,ursus,დათვი
178,Eichhörnchen::N,sciurus,ციყვი
179,Elch::N,alces,ცხენ-ირემი
180,Fuchs::N,vulpes,მელა
181,Hase::N,lepus,კურდღელი
182,Maus::N,mus,თაგვი
183,Wolf::N,lupus,მგელი
184,Vogel::N,avis,ჩიტი
185,Vogel::N,avis,ფრინველი
186,Schwarm::N,examen,გუნდი
187,Huhn::N,gallina,დედალი
188,Hahn::N,gallus,მამალი
189,Gans::N,anser,ბატი
190,Adler::N,aquila,არწივი
191,Ente::N,anas,იხვი
192,Eule::N,ulula,ბუ
193,Eule::N,noctua,ბუ
194,Kranich::N,grus,წერო
195,Krähe::N,cornix,ყვავი
196,Kuckuck::N,cuculus,გუგული
197,Schwan::N,olor,გედი
198,Schwan::N,cycnus,გედი
199,Fisch::N,piscis,თევზი
200,Barsch::N,perca,ქორჭილა
201,Hecht::N,esox,ქარიყლაპია
202,Schlange[Tier]::N,serpens,გველი
203,Wurm::N,vermis,ჭია
204,Spinne::N,aranea,ობობა
205,Ameise::N,formica,ჭიანჭველა
206,Laus::N,pediculus,ტილი
207,Laus::N,pediculus,მკბენარი
208,Mücke::N,culex,კოღო
209,Fliege::N,musca,ბუზი
210,Schmetterling::N,papilio,პეპელა
211,Beere::N,baca,კენკრა
212,Apfel::N,malum,ვაშლი
213,Pilz::N,fungus,სოკო
214,Zwiebel::N,cepa,ხახვი
215,Saat::N,seges,თესლი
216,Korn::N,granum,მარცვალი
217,Heu::N,faenum,თივა
218,Schale::N,putamen,ჩენჩო
219,Grube::N,fovea,ორმო
220,Falle::N,pedica,ხაფანგი
221,Schlinge::N,laqueus,მახე
222,Spur::N,vestigium,კვალი
223,Asche::N,cinis,ფერფლი
224,Dreck::N,lutum,ტალახი
225,Dreck::N,lutum,სიბინძურე
226,Eisen::N,ferrum,რკინა
227,Gold::N,aurum,ოქრო
228,Silber::N,argentum,ვერცხლი
229,Kohle::N,carbo,ნახშირი
230,Glas::N,vitrum,მინა
231,Lehm::N,lutum,თიხა
232,Sand::N,arena,ქვიშა
233,Mensch::N,homo,ადამიანი
234,Mann::N,vir,კაცი
235,Frau::N,mulier,ქალი
236,Kind::N,puer,ბავშვი
237,Kind::N,infans,ბავშვი
238,Junge::N,puer,ვაჟი
239,Mädchen::N,puella,გოგო
240,Familie::N,familia,ოჯახი
241,Großvater::N,avus,პაპა
242,Großvater::N,avus,ბაბუა
243,Großmutter::N,avia,ბებია
244,Großmutter::N,avia,დიდედა
245,Eltern::N,parentes,მშობლები
246,Vater::N,pater,მამა
247,Mutter::N,mater,დედა
248,Sohn::N,filius,ვაჟიშვილი
249,Tochter::N,filia,ქალიშვილი
250,Bruder::N,frater,ძმა
251,Schwester::N,soror,და
252,Onkel::N,patruus,ბიძა
253,Onkel::N,avunculus,ბიძა
254,Tante::N,amita,დეიდა
255,Tante::N,amita,მამიდა
256,Ehemann::N,maritus,ქმარი
257,Ehefrau::N,uxor,ცოლი
258,Freude::N,gaudium,სიხარული
259,Freude::N,laetitia,სიხარული
260,Gelächter::N,risus,სიცილი
261,Glück::N,felicitas,ბედნიერება
262,Kummer::N,aegritudo,მწუხარება
263,Wunsch::N,voluntas,წადილი
264,Wunsch::N,voluntas,სურვილი
265,Wunsch::N,desiderium,წადილი
266,Wunsch::N,desiderium,სურვილი
267,Lust::N,libido,წადილი
268,Lust::N,voluptas,წადილი
269,Geist::N,mens,სული
270,Geist::N,animus,სული
271,Gedanke::N,sententia,ფიქრი
272,Gedächtnis::N,memoria,მეხსიერება
273,Verstand::N,ratio,ჭკუა
274,Verstand::N,ratio,გონება
275,Verstand::N,ingenium,ჭკუა
276,Verstand::N,ingenium,გონება
277,Sinn::N,sensus,მნიშვნელობა
278,Grund::N,causa,მიზეზი
279,Wahrheit::N,veritas,სიმართლე
280,Wahrheit::N,veritas,ჭეშმარიტება
281,Gespräch::N,sermo,ბაასი
282,Gespräch::N,sermo,საუბარი
283,Märchen::N,fabula,არაკი
284,Märchen::N,fabula,ზღაპარი
285,Erzählung::N,fabula,თქმულება
286,Erzählung::N,narratio,თქმულება
287,Nachricht::N,nuntius,ცნობა
288,Nachricht::N,nuntius,ამბავი
289,Neuigkeit::N,novitas,სიახლე
290,Name::N,nomen,სახელი
291,Rätsel::N,aenigma,გამოცანა
292,Rede::N,oratio,სიტყვა
293,Sprache::N,lingua,ენა
294,Stimme::N,vox,ხმა
295,Wort::N,verbum,სიტყვა
296,Wort::N,vocabulum,სიტყვა
297,Zeichen::N,signum,ნიშანი
298,Ruf::N,clamor,ძახილი
299,Lärm::N,strepitus,ხმაური
300,Laut::N,sonus,ხმა
301,Laut::N,sonus,ბგერა
302,Ton::N,sonus,ტონი
303,Lied::N,carmen,სიმღერა
304,Ruhe::N,quies,სიწყნარე
305,Leute::N,homines,ადამიანები
306,Volk::N,populus,ერი
307,Volk::N,populus,ხალხი
308,Arbeit::N,labor,მუშაობა
309,Gast::N,hospes,სტუმარი
310,Gast::N,conviva,სტუმარი
311,Geschenk::N,munus,საჩუქარი
312,Spiel::N,ludus,თამაში
313,Gesellschaft::N,societas,საზოგადოება
314,Hilfe::N,auxilium,შველა
315,Hilfe::N,auxilium,დახმარება
316,Hilfe::N,subsidium,შველა
317,Hilfe::N,subsidium,დახმარება
318,Freund::N,amicus,მეგობარი
319,Kamerad::N,socius,ამხანაგი
320,Angelegenheit::N,res,საქმე
321,Anzahl::N,numerus,ოდენობა
322,Art::N,genus,სახეობა
323,Stück::N,frustum,ნატეხი
324,Stück::N,fragmentum,ნატეხი
325,Teil::N,pars,წილი
326,Hälfte::N,dimidium,ნახევარი
327,Kreis::N,orbis,წრე
328,Kreis::N,circus,წრე
329,Kreuz::N,crux,ჯვარი
330,Linie::N,linea,ხაზი
331,Strich::N,lineamentum,შტრიხი
332,Abstand::N,intervallum,მანძილი
333,Entfernung::N,spatium,სიშორე
334,Gegend::N,loca,არე
335,Gegend::N,loca,მხარე
336,Gegend::N,regio,არე
337,Gegend::N,regio,მხარე
338,Platz::N,locus,ფართობი
339,Ort::N,locus,ადგილი
340,Seite::N,latus,მხარე
341,Mitte::N,medium,შუა
342,Gegenstand::N,res,საგანი
343,Sache::N,res,ნივთი
344,Rand::N,margo,კიდე
345,Kante::N,angulus,ნაწიბული
346,Ecke::N,angulus,კუთხე
347,Spitze::N,cacumen,წვეტი
348,Ende::N,caput,ბოლო
349,Loch::N,foramen,ხვრელი
350,Winkel::N,angulus,კუთხე
351,Muster::N,exemplum,მოხატულობა
352,Größe::N,magnitudo,ზომა
353,Größe::N,magnitudo,სიდიდე
354,Länge::N,longitudo,სიგრძე
355,Höhe::N,altitudo,სიმაღლე
356,Gewicht::N,pondus,წონა
357,Menge::N,copia,რაოდენობა
358,Haufen::N,acervus,გროვა
359,Reihe::N,ordo,რიგი
360,Reihe::N,ordo,წყება
361,Boot::N,navicula,გემი
362,Ruder::N,remus,ხოფი
363,Ruder::N,remus,ნიჩაბი
364,Schlitten::N,sclodia,მარხილი
365,Ski::N,narta,თხილამური
366,Lagerfeuer::N,ignis,კოცონი
367,Last::N,onus,ტვირთი
368,Gang::N,cursus,სვლა
369,Schritt::N,gradus,ბიჯი
370,Norden::N,septentriones,ჩრდილოეთი
371,Süden::N,meridies,სამხრეთი
372,Westen::N,occidens,დასავლეთი
373,Osten::N,oriens,აღმოსავლეთი
374,Holz::N,lignum,ხე
375,Brett::N,tabula,დაფა
376,Brett::N,tabula,ფიცარი
377,Platte::N,lamina,თლილი ქვა
378,Stütze::N,adminiculum,საყრდენი
379,Stange::N,pertica,ჭოკი
380,Stock::N,baculum,კეტი
381,Stab::N,scipio,ლატანი
382,Rohr::N,tubus,მილაკი
383,Haus::N,aedes,სახლი
384,Heim::N,domicilium,ოჯახის კერა
385,Ofen::N,fornax,ღუმელი
386,Fußboden::N,solum,იატაკი
387,Tisch::N,mensa,სუფრა
388,Tisch::N,mensa,მაგიდა
389,Stuhl::N,sella,სკამი
390,Wiege::N,cunae,აკვანი
391,Bett::N,lectus,საწოლი
392,Bett::N,lectus,სარეცელი
393,Regal::N,foruli,თაროები
394,Kiste::N,cista,ყუთი
395,Kiste::N,cista,სკივრი
396,Fenster::N,fenestra,ფანჯარა
397,Fenster::N,fenestra,სარკმელი
398,Tür::N,ianua,ბჭე
399,Tür::N,ianua,კარი
400,Tor::N,porta,ჭიშკარი
401,Zaun::N,saepes,ღობე
402,Zaun::N,saepes,გალავანი
403,Dach::N,tectum,სახურავი
404,Leiter::N,scalae,კიბე
405,Besen::N,scopae,ცოცხი
406,Spaten::N,pala,ნიჩაბი
407,Schaufel::N,pala,ბარი
408,Gabel::N,fuscinula,ჩანგალი
409,Löffel::N,coclear,კოვზი
410,Messer::N,culter,დანა
411,Nagel::N,clavus,ლურსმანი
412,Netz::N,rete,ბადე
413,Haken::N,hamus,კავი
414,Haken::N,hamus,კაუჭი
415,Griff::N,manubrium,ტარი
416,Schloss::N,claustra,კლიტე
417,Schloss::N,claustra,საკეტი
418,Bild::N,tabula,სურათი
419,Bild::N,pictura,სურათი
