,Concept_ID,te,ps
0,Auge::N,కన్ను,سترګه
1,Ohr::N,చెవి,غوږ
2,Nase::N,ముక్కు,پوزه
3,Mund::N,నోరు,خوله
4,Zahn::N,పల్లు,غاښ
5,Zunge::N,నాలుక,جبه
6,Lippe::N,పెదవి,شونډه
7,Wange::N,చెంప,باړخو
8,Gesicht::N,ముఖము,مخ
9,Stirn::N,నుదురు,تندی
10,Stirn::N,నుదురు,وچولی
11,Haar::N,వెండ్రుక,وېښته
12,Schnurrbart::N,మీసము,برېت
13,Bart::N,గడ్డము,ږیره
14,Kinn::N,గడ్డము,زنه
15,Kiefer[Anatomie]::N,దౌడ,جامه
16,Kehle::N,గొంతు,غاړه
17,Hals::N,మెడ,غاړه
18,Genick::N,మూపు,ورمېږ
19,Kopf::N,తల,سر
20,Rücken::N,వెన్ను,شا
21,Bauch::N,కడుపు,نس
22,Bauch::N,కడుపు,ګېډه
23,Nabel::N,బొడ్డు,نوم
24,Busen::N,స్తనము,تی
25,Brust::N,ఱొమ్ము,سینه
26,Schulter::N,భుజము,اوږه
27,Arm::N,చేయి,لاس
28,Ellenbogen::N,మోచేయి,څنګل
29,Hand::N,చేయి,لاس
30,Handfläche::N,అరచేయు,ورغوی
31,Finger::N,చేతిప్రేలు,ګوته
32,Fingernagel::N,గోరు,نوک
33,Nagel[Anatomie]::N,గోరు,نوک
34,Zeh::N,కాలిప్రేలు,ګوته
35,Fuß::N,అడుగు,پښه
36,Ferse::N,మడమ,پونده
37,Knie::N,మోకాలు,زنګون
38,Oberschenkel::N,తొడ,پتون
39,Bein::N,కాలు,پښه
40,Körper::N,కాయము,ځان
41,Haut::N,చర్మము,پوټکی
42,Blut::N,రక్తము,وینه
43,Ader::N,సిర,رګ
44,Sehne::N,స్నాయువు,پله
45,Knochen::N,ఎముక,هډوکی
46,Gehirn::N,మెదడు,ماغزه
47,Herz::N,హృదయము,زړه
48,Magen::N,కడుపు,معده
49,Leber::N,కాలేయము,ينه
50,Leber::N,కాలేయము,ځیګر
51,Atem::N,ఉపిరి,نفس
52,Hunger::N,ఆకలి,ولږه
53,Träne::N,కన్నీటిచుక్క,اوښکه
54,Geschmack::N,రుచి,مزه
55,Geschmack::N,రుచి,خوند
56,Geruch::N,వాసన,بوی
57,Schlaf::N,నిద్ర,خوب
58,Traum::N,కల,خوب
59,Himmel::N,ఆకాశము,اسمان
60,Sonne::N,సూర్యుడు,لمر
61,Mond::N,చంద్రుడు,سپوږمۍ
62,Stern::N,నక్షత్రము,ستوری
63,Luft::N,గాలి,هوا
64,Wind::N,వీచుచున్నగాలి,ورښ
65,Welle::N,అల,موج
66,Wasser::N,నీరు,اوبه
67,Stein::N,ఱాయి,ډبره
68,Boden::N,నేల,مځکه
69,Erde::N,మన్ను,خاوره
70,Staub::N,దుమ్ము,ګرد
71,Staub::N,దుమ్ము,خاوره
72,Rauch::N,పొగ,دود
73,Rauch::N,పొగ,لوګی
74,Funke::N,అగ్నికణము,سپرغۍ
75,Feuer::N,అగ్ని,اور
76,Licht::N,కాంతి,رڼا
77,Schatten::N,నీడ,سیوری
78,Wetter::N,వాతావరణ స్థితి,هوا
79,Nebel::N,పొగమంచు,لړه
80,Wolke::N,మేఘము,ورېځ
81,Regen::N,వాన,وریا
82,Regen::N,వాన,باران
83,Schnee::N,హిమము,واوره
84,Eis::N,మంచుగడ్డ,یخ
85,Eis::N,మంచుగడ్డ,کنګل
86,Frost::N,పేరిన మంచు,یخ
87,Kälte::N,చలి,ساړه
88,Hitze::N,వేడిమి,تودوخي
89,Raureif::N,మంచు,سپینه پرخه
90,Regenbogen::N,ఇంద్రధనుస్సు,بوډۍ ټال
91,Regenbogen::N,ఇంద్రధనుస్సు,سره زرغونه
92,Donner::N,ఉరుము,تالنده
93,Strömung::N,ప్రవాహము,بهېدنه
94,Tropfen::N,చుక్క,قطره
95,Tropfen::N,చుక్క,څاڅکی
96,Schaum::N,నురుగు,ځګ
97,Schmutz::N,మైల,ناپاکي
98,See::N,సరస్సు,جهیل
99,Sumpf::N,చిత్తడినేల,جبه
100,Moor::N,చిత్తడినేల,جبه
101,Wiese::N,పచ్చిక బయలు,چمن
102,Wiese::N,పచ్చిక బయలు,شنېلی
103,Wald::N,అడవి,ځنګل
104,Hügel::N,చివ్నకొండ,تپه
105,Anhöhe::N,కొండ,غونډۍ
106,Berg::N,పర్వతము,غ‍‍‍‍‍ر
