,Concept_ID,el,ka
0,Auge::N,μάτι,თვალი
1,Auge::N,οφθαλμός,თვალი
2,Ohr::N,αυτί,ყური
3,Nase::N,μύτη,ცხვირი
4,Mund::N,στόμα,პირი
5,Zahn::N,δόντι,კბილი
6,Zunge::N,γλώσσα,ენა
7,Lippe::N,χείλος,ბაგე
8,Wange::N,παρειά,ლოყა
9,Wange::N,μάγουλο,ლოყა
10,Gesicht::N,πρόσωπο,სახე
11,Stirn::N,μέτωπο,შუბლი
12,Haar::N,μαλλιά,თმა
13,Schnurrbart::N,μουστάκι,ულვაში
14,Bart::N,γένια,წვერი
15,Kinn::N,πιγούνι,ნიკაპი
16,Kiefer[Anatomie]::N,σαγόνι,ყბა
17,Kehle::N,λαρύγγι,ყელი
18,Hals::N,λαιμός,ყელი
19,Hals::N,λαιμός,კისერი
20,Genick::N,σβέρκος,კეფა
21,Kopf::N,κεφάλι,თავი
22,Rücken::N,ράχη,ზურგი
23,Bauch::N,κοιλιά,მუცელი
24,Nabel::N,αφαλός,ჭიპი
25,Busen::N,στήθος,ძუძუ
26,Brust::N,στήθος,მკერდი
27,Schulter::N,ώμος,მხარი
28,Schulter::N,ώμος,მკლავი
29,Arm::N,χέρι,ხელი
30,Arm::N,μπράτςο,ხელი
31,Ellenbogen::N,αγκώνας,იდაყვი
32,Hand::N,χέρι,ხელი
33,Handfläche::N,παλάμη,ნები
34,Handfläche::N,παλάμη,ხელისგული
35,Finger::N,δάχτυλο,თითი
36,Fingernagel::N,νύχι,ფრჩხილი
37,Nagel[Anatomie]::N,νύχι,ფრჩხილი
38,Zeh::N,δάχτυλο του ποδιού,ფეხის თითი
39,Fuß::N,πόδι,ტერფი
40,Fuß::N,πόδι,ფეხისგული
41,Ferse::N,φτέρνα,ქუსლი
42,Knie::N,γόνατο,მუხლი
43,Oberschenkel::N,μηρός,ბარძაყი
44,Bein::N,πόδι,ფეხი
45,Körper::N,σώμα,ტანი
46,Körper::N,σώμα,სხეული
47,Körper::N,κορμί,ტანი
48,Körper::N,κορμί,სხეული
49,Haut::N,πετσί,კანი
50,Blut::N,αίμα,სისხლი
51,Ader::N,φλέβα,ძარღვი
52,Sehne::N,νεύρο,მყესი
53,Sehne::N,τένοντας,მყესი
54,Knochen::N,οστό,ძვალი
55,Knochen::N,κόκκαλο,ძვალი
56,Gehirn::N,μυαλό,ტვინი
57,Gehirn::N,εγκέφαλος,ტვინი
58,Herz::N,καρδιά,გული
59,Magen::N,στομάχι,კუჭი
60,Leber::N,ήπαρ,ღვიძლი
61,Leber::N,συκωτί,ღვიძლი
62,Atem::N,αναπνοή,სუნთქვა
63,Hunger::N,πείνα,შიმშილი
64,Träne::N,δάκρυ,ცრემლი
65,Geschmack::N,γεύση,გემო
66,Geruch::N,οσμή,სუნი
67,Geruch::N,μυρωδία,სუნი
68,Schlaf::N,ύπνος,ძილი
69,Traum::N,όνειρο,სიზმარი
70,Himmel::N,ουρανός,ცა
71,Sonne::N,ήλιος,მზე
72,Mond::N,σελήνη,მთვარე
73,Mond::N,φεγγάρι,მთვარე
74,Stern::N,άστρο,ვარსკვლავი
75,Stern::N,αστέρι,ვარსკვლავი
76,Luft::N,αέρας,ჰაერი
77,Wind::N,αέρας,ქარი
78,Wind::N,άνεμος,ქარი
79,Welle::N,κύμα,ტალღა
80,Wasser::N,νερό,წყალი
81,Stein::N,πέτρα,ქვა
82,Boden::N,χώμα,მიწა
83,Erde::N,γη,ნიადაგი
84,Staub::N,σκόνη,მტვერი
85,Rauch::N,καπνός,ბოლი
86,Rauch::N,καπνός,კვამლი
87,Funke::N,σπίθα,ნაკვესი
88,Funke::N,σπινθήρας,ნაკვესი
89,Feuer::N,φωτιά,ცეცხლი
90,Licht::N,φως,შუქი
91,Licht::N,φως,სინათლე
92,Schatten::N,σκιά,ლანდი
93,Schatten::N,σκιά,ჩრდილი
94,Schatten::N,ίσκιος,ლანდი
