,Concept_ID,is,ps
0,Auge::N,auga,سترګه
1,Ohr::N,eyra,غوږ
2,Nase::N,nef,پوزه
3,Mund::N,munnur,خوله
4,Zahn::N,tönn,غاښ
5,Zunge::N,tunga,جبه
6,Lippe::N,vör,شونډه
7,Wange::N,kinn,باړخو
8,Wange::N,vangi,باړخو
9,Gesicht::N,andlit,مخ
10,Stirn::N,enni,تندی
11,Stirn::N,enni,وچولی
12,Haar::N,hár,وېښته
13,Schnurrbart::N,yfirskegg,برېت
14,Bart::N,skegg,ږیره
15,Kinn::N,haka,زنه
16,Kiefer[Anatomie]::N,kjálki,جامه
17,Kiefer[Anatomie]::N,skoltur,جامه
18,Kehle::N,kverk,غاړه
19,Hals::N,háls,غاړه
20,Genick::N,hnakki,ورمېږ
21,Kopf::N,höfuð,سر
22,Rücken::N,hryggur,شا
23,Bauch::N,kviður,نس
24,Bauch::N,kviður,ګېډه
25,Nabel::N,nafli,نوم
26,Busen::N,barmur,تی
27,Brust::N,brjóst,سینه
28,Schulter::N,öxl,اوږه
29,Arm::N,armur,لاس
30,Ellenbogen::N,olnbogi,څنګل
31,Hand::N,hönd,لاس
32,Handfläche::N,lófi,ورغوی
33,Finger::N,fingur,ګوته
34,Fingernagel::N,fingurnögl,نوک
35,Nagel[Anatomie]::N,nögl,نوک
36,Zeh::N,tá,ګوته
37,Fuß::N,fótur,پښه
38,Ferse::N,hæll,پونده
39,Knie::N,kné,زنګون
40,Oberschenkel::N,læri,پتون
41,Bein::N,fótleggur,پښه
42,Körper::N,búkur,ځان
43,Körper::N,líkami,ځان
44,Haut::N,húð,پوټکی
45,Haut::N,skinn,پوټکی
46,Blut::N,blóð,وینه
47,Ader::N,æð,رګ
48,Sehne::N,sin,پله
49,Knochen::N,bein,هډوکی
50,Gehirn::N,heili,ماغزه
51,Herz::N,hjarta,زړه
52,Magen::N,magi,معده
53,Leber::N,lifur,ينه
54,Leber::N,lifur,ځیګر
55,Atem::N,andi,نفس
56,Atem::N,andardráttur,نفس
57,Hunger::N,hungur,ولږه
58,Träne::N,tár,اوښکه
59,Geschmack::N,smekkur,مزه
60,Geschmack::N,smekkur,خوند
61,Geruch::N,lykt,بوی
62,Schlaf::N,svefn,خوب
63,Traum::N,draumur,خوب
64,Himmel::N,himinn,اسمان
65,Sonne::N,sól,لمر
66,Mond::N,tungl,سپوږمۍ
67,Stern::N,stjarna,ستوری
68,Luft::N,loft,هوا
69,Wind::N,vindur,ورښ
70,Welle::N,alda,موج
71,Welle::N,bylgja,موج
72,Wasser::N,vatn,اوبه
73,Stein::N,steinn,ډبره
74,Boden::N,botn,مځکه
75,Erde::N,jörð,خاوره
76,Staub::N,ryk,ګرد
77,Staub::N,ryk,خاوره
78,Staub::N,duft,ګرد
79,Staub::N,duft,خاوره
80,Rauch::N,reykur,دود
81,Rauch::N,reykur,لوګی
82,Funke::N,neisti,سپرغۍ
83,Feuer::N,eldur,اور
84,Licht::N,ljós,رڼا
85,Schatten::N,skuggi,سیوری
86,Wetter::N,veður,هوا
87,Nebel::N,þoka,لړه
88,Wolke::N,ský,ورېځ
89,Regen::N,regn,وریا
90,Regen::N,regn,باران
91,Schnee::N,snjór,واوره
92,Eis::N,ís,یخ
