,Concept_ID,be,ru
0,Auge::N,вока,глаз
1,Ohr::N,вуха,ухо
2,Nase::N,нос,нос
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язык,язык
6,Lippe::N,губа,губа
7,Wange::N,шчака,щека
8,Gesicht::N,твар,лицо
9,Stirn::N,лоб,лоб
10,Haar::N,волас,волос
11,Haar::N,волас,волосы
12,Haar::N,валасы,волос
13,Haar::N,валасы,волосы
14,Schnurrbart::N,вус,ус
15,Schnurrbart::N,вус,усы
16,Schnurrbart::N,вусы,ус
17,Schnurrbart::N,вусы,усы
18,Bart::N,барада,борода
19,Kinn::N,падбародак,подбородок
20,Kiefer[Anatomie]::N,сківіца,челюсть
21,Kehle::N,горла,горло
22,Hals::N,шыя,шея
23,Genick::N,патыліца,затылок
24,Kopf::N,галава,голова
25,Rücken::N,спіна,спина
26,Bauch::N,жывот,живот
27,Nabel::N,пупок,пупок
28,Busen::N,грудзі,женская грудь
29,Brust::N,грудзі,грудь
30,Schulter::N,плячо,плечо
31,Arm::N,рука,рука
32,Ellenbogen::N,локаць,локоть
33,Hand::N,кісць,кисть
34,Handfläche::N,далонь,ладонь
35,Finger::N,палец,палец
36,Fingernagel::N,ногаць,ноготь
37,Nagel[Anatomie]::N,ногаць,ноготь
38,Zeh::N,палец,палец
39,Fuß::N,нага,ступня
40,Ferse::N,пята,пята
41,Ferse::N,пята,пятка
42,Ferse::N,пятка,пята
43,Ferse::N,пятка,пятка
44,Knie::N,калена,колено
45,Oberschenkel::N,бядро,бедро
46,Oberschenkel::N,сцягно,бедро
47,Bein::N,нага,нога
48,Körper::N,цела,тело
49,Haut::N,скура,кожа
50,Blut::N,кроў,кровь
51,Ader::N,вена,вена
52,Ader::N,вена,сосуд
53,Ader::N,сасуд,вена
54,Ader::N,сасуд,сосуд
55,Sehne::N,жыла,жила
56,Sehne::N,жыла,тетива
57,Sehne::N,жыла,сухожилие
58,Sehne::N,цеціва,жила
59,Sehne::N,цеціва,тетива
60,Sehne::N,цеціва,сухожилие
61,Sehne::N,сухажылле,жила
62,Sehne::N,сухажылле,тетива
63,Sehne::N,сухажылле,сухожилие
64,Knochen::N,косць,кость
65,Gehirn::N,мозг,мозг
66,Herz::N,сэрца,сердце
67,Magen::N,страўнік,желудок
68,Leber::N,печань,печень
69,Atem::N,дыханне,дух
70,Atem::N,дыханне,дыхание
71,Hunger::N,голад,голод
72,Träne::N,сляза,слеза
73,Geschmack::N,смак,вкус
74,Geruch::N,пах,запах
75,Schlaf::N,сон,сон
76,Traum::N,сон,сновидение
77,Himmel::N,неба,небо
78,Sonne::N,сонца,солнце
79,Mond::N,месяц,луна
80,Stern::N,зорка,звезда
81,Luft::N,паветра,воздух
82,Wind::N,вецер,ветер
83,Welle::N,хваля,волна
84,Wasser::N,вада,вода
85,Stein::N,камень,камень
86,Boden::N,глеба,почва
87,Erde::N,зямля,земля
88,Staub::N,пыл,пыль
89,Rauch::N,дым,дым
90,Funke::N,іскра,искра
91,Feuer::N,агонь,огонь
92,Licht::N,святло,свет
93,Schatten::N,цень,тень
94,Wetter::N,пагода,погода
95,Wetter::N,надворʼе,погода
96,Nebel::N,туман,туман
97,Wolke::N,воблака,облако
98,Regen::N,дождж,дождь
99,Schnee::N,снег,снег
100,Eis::N,лёд,лед
101,Frost::N,мароз,мороз
102,Kälte::N,холад,холод
103,Hitze::N,спёка,жара
104,Raureif::N,іней,иней
105,Regenbogen::N,вясёлка,радуга
106,Donner::N,гром,гром
107,Strömung::N,цячэнне,течение
108,Tropfen::N,кропля,капля
109,Schaum::N,пена,пена
110,Schmutz::N,гразь,грязь
111,See::N,возера,озеро
112,Sumpf::N,багна,топь
113,Moor::N,балота,болото
114,Wiese::N,луг,луг
115,Wald::N,лес,лес
116,Hügel::N,узгорак,холм
117,Anhöhe::N,узвышша,возвышенность
118,Berg::N,гара,гора
119,Gipfel::N,вяршыня,вершина
120,Höhle::N,пячора,пещера
121,Abhang::N,схіл,склон
122,Quelle::N,крыніца,источник
123,Bach::N,ручай,ручей
124,Fluss::N,рака,река
125,Ufer::N,бераг,берег
126,Küste::N,узбярэжжа,побережье
127,Festland::N,суша,суша
128,Meer::N,мора,море
129,Bucht::N,бухта,бухта
130,Insel::N,востраў,остров
131,Blume::N,кветка,цветок
132,Gras::N,трава,трава
133,Wurzel::N,корань,корень
134,Baum::N,дрэва,дерево
135,Stamm::N,ствол,ствол
136,Rinde::N,кара,кора
137,Ast::N,сук,сук
138,Zweig::N,галіна,ветвь
139,Blatt::N,ліст,лист
140,Birke::N,бяроза,береза
141,Kiefer[Baum]::N,хвоя,сосна
142,Kiefer[Baum]::N,сасна,сосна
143,Weide[Baum]::N,вярба,ива
144,Tanne::N,яліна,ель
145,Horn::N,рог,рог
146,Feder::N,пяро,перо
147,Fell::N,шкура,шкура
148,Flügel::N,крыло,крыло
149,Klaue::N,кіпцюр,коготь
150,Kralle::N,лапа,лапа
151,Schwanz::N,хвост,хвост
152,Ei::N,яйка,яйцо
153,Nest::N,гняздо,гнездо
154,Bau::N,нара,нора
155,Tier::N,жывёла,животное
156,Herde::N,статак,стадо
157,Kuh::N,карова,корова
158,Bulle::N,бык,бык
159,Pferd::N,конь,лошадь
160,Schaf::N,авечка,овца
161,Schwein::N,свіння,свинья
162,Hund::N,сабака,собака
163,Katze::N,кошка,кошка
164,Bär::N,мядзведзь,медведь
165,Eichhörnchen::N,вавёрка,белка
166,Elch::N,лось,лось
167,Fuchs::N,ліса,лиса
168,Hase::N,заяц,заяц
169,Maus::N,мыш,мышь
170,Wolf::N,воўк,волк
171,Vogel::N,птах,птица
172,Vogel::N,птушка,птица
173,Schwarm::N,чарада,стая
174,Huhn::N,курыца,курица
175,Hahn::N,певень,петух
176,Gans::N,гусь,гусь
177,Adler::N,арол,орел
178,Ente::N,качка,утка
179,Eule::N,сава,сова
180,Kranich::N,жораў,журавль
181,Kranich::N,журавель,журавль
182,Krähe::N,варона,ворона
183,Kuckuck::N,зязюля,кукушка
184,Schwan::N,лебедзь,лебедь
185,Fisch::N,рыба,рыба
186,Barsch::N,акунь,окунь
187,Hecht::N,шчупак,щука
188,Schlange[Tier]::N,змяя,змея
189,Wurm::N,чарвяк,червяк
190,Spinne::N,павук,паук
191,Ameise::N,мурашка,муравей
192,Laus::N,вош,вошь
193,Mücke::N,камар,комар
194,Fliege::N,муха,муха
195,Schmetterling::N,матыль,бабочка
196,Beere::N,ягада,ягода
197,Apfel::N,яблык,яблоко
198,Pilz::N,грыб,гриб
199,Zwiebel::N,цыбуля,луковица
200,Saat::N,семя,семя
201,Korn::N,зерне,зерно
202,Heu::N,сена,сено
203,Schale::N,шалупінне,шелуха
204,Grube::N,яма,яма
205,Falle::N,пастка,ловушка
206,Schlinge::N,сіло,силок
207,Spur::N,след,след
208,Asche::N,попел,зола
209,Asche::N,попел,пепел
210,Dreck::N,бруд,грязь
211,Eisen::N,жалеза,железо
212,Gold::N,золата,золото
213,Silber::N,сребра,серебро
214,Kohle::N,вугаль,уголь
215,Glas::N,шкло,стекло
216,Lehm::N,гліна,глина
217,Sand::N,пясок,песок
218,Mensch::N,чалавек,человек
219,Mann::N,мужчына,мужчина
220,Frau::N,жанчына,женщина
221,Kind::N,дзіця,ребенок
222,Junge::N,хлопчык,мальчик
223,Mädchen::N,дзяўчынка,девочка
224,Familie::N,сямʼя,семья
225,Großvater::N,дзядуля,дедушка
226,Großmutter::N,бабуля,бабушка
227,Eltern::N,бацькі,родители
228,Vater::N,бацька,отец
229,Mutter::N,маці,мать
230,Sohn::N,сын,сын
231,Tochter::N,дачка,дочь
232,Bruder::N,брат,брат
233,Schwester::N,сястра,сестра
234,Onkel::N,дзядзька,дядя
235,Tante::N,цётка,тетя
236,Ehemann::N,муж,муж
237,Ehefrau::N,жонка,жена
238,Freude::N,радасць,радость
239,Gelächter::N,смех,смех
240,Glück::N,шчасце,счастье
241,Kummer::N,гора,горе
242,Wunsch::N,жаданне,желание
243,Lust::N,цяга,влечение
244,Geist::N,дух,дух
245,Gedanke::N,думка,мысль
246,Gedächtnis::N,памяць,память
247,Verstand::N,розум,ум
248,Sinn::N,сэнс,смысл
249,Grund::N,зачэпка,повод
250,Wahrheit::N,праўда,правда
251,Gespräch::N,размова,беседа
252,Märchen::N,казка,сказка
253,Erzählung::N,расказ,рассказ
254,Erzählung::N,апавяданне,рассказ
255,Nachricht::N,вестка,сообщение
256,Nachricht::N,паведамленне,сообщение
257,Neuigkeit::N,навіна,новость
258,Name::N,імя,имя
259,Rätsel::N,загадка,загадка
260,Rede::N,прамова,речь
261,Sprache::N,мова,язык
262,Stimme::N,голас,голос
263,Wort::N,слова,слово
264,Zeichen::N,знак,знак
265,Ruf::N,кліч,зов
266,Lärm::N,шум,шум
267,Laut::N,гук,звук
268,Ton::N,гучанне,звучание
269,Lied::N,песня,песня
270,Ruhe::N,спакой,покой
271,Leute::N,людзі,люди
272,Volk::N,народ,народ
273,Arbeit::N,праца,работа
274,Arbeit::N,работа,работа
275,Gast::N,госць,гость
276,Geschenk::N,падарунак,подарок
277,Spiel::N,гульня,игра
278,Gesellschaft::N,таварыства,общество
279,Hilfe::N,дапамога,помощь
280,Freund::N,друг,друг
281,Freund::N,сябар,друг
282,Kamerad::N,прыяцель,приятель
283,Angelegenheit::N,справа,дело
284,Anzahl::N,колькасць,количество
285,Art::N,від,вид
286,Stück::N,кусок,кусок
287,Stück::N,кавалак,кусок
288,Teil::N,частка,часть
289,Hälfte::N,палова,половина
290,Hälfte::N,палавіна,половина
291,Kreis::N,круг,круг
292,Kreuz::N,крыж,крест
293,Linie::N,лінія,линия
294,Strich::N,рыса,черта
295,Abstand::N,прамежак,промежуток
296,Entfernung::N,адлегласць,расстояние
297,Gegend::N,мясцовасць,местность
298,Platz::N,месца,пространство
299,Ort::N,месца,место
300,Seite::N,бок,сторона
301,Mitte::N,сярэдзіна,середина
302,Gegenstand::N,прадмет,предмет
303,Sache::N,рэч,вещь
304,Rand::N,край,край
305,Kante::N,руб,ребро
306,Kante::N,кант,ребро
307,Ecke::N,вугал,угол
308,Spitze::N,кончык,кончик
309,Ende::N,канец,конец
310,Loch::N,дзірка,дыра
311,Winkel::N,вугал,угол
312,Muster::N,узор,узор
313,Größe::N,памер,размер
314,Länge::N,даўжыня,длина
315,Höhe::N,вышыня,высота
316,Gewicht::N,вага,вес
317,Menge::N,колькасць,количество
318,Haufen::N,куча,куча
319,Reihe::N,рад,ряд
320,Boot::N,лодка,лодка
321,Ruder::N,вясло,весло
322,Schlitten::N,сані,сани
323,Ski::N,лыжа,лыжа
324,Lagerfeuer::N,вогнішча,костер
325,Last::N,цяжар,тяжесть
326,Gang::N,ход,ход
327,Schritt::N,шаг,шаг
328,Schritt::N,крок,шаг
329,Norden::N,поўнач,север
330,Süden::N,поўдзень,юг
331,Westen::N,захад,запад
332,Osten::N,усход,восток
333,Holz::N,дрэва,древесина
334,Holz::N,драўніна,древесина
335,Brett::N,дошка,доска
336,Platte::N,пліта,плита
337,Stütze::N,падпорка,подпорка
338,Stange::N,жэрдка,жердь
339,Stock::N,палка,палка
340,Stab::N,шост,шест
341,Rohr::N,труба,труба
342,Haus::N,дом,дом
343,Heim::N,дом,дом
344,Heim::N,хата,дом
345,Ofen::N,печ,печь
346,Fußboden::N,падлога,пол
347,Tisch::N,стол,стол
348,Stuhl::N,стул,стул
349,Stuhl::N,крэсла,стул
350,Wiege::N,калыска,колыбель
351,Bett::N,ложак,постель
352,Bett::N,пасцель,постель
353,Regal::N,паліца,полка
354,Kiste::N,скрынка,ящик
355,Fenster::N,акно,окно
356,Tür::N,дзверы,дверь
357,Tor::N,вароты,ворота
358,Zaun::N,агароджа,забор
359,Dach::N,дах,крыша
360,Leiter::N,лесвіца,лестница
361,Besen::N,мятла,метла
362,Spaten::N,лапата,лопата
363,Spaten::N,жалязняк,лопата
364,Schaufel::N,шуфлік,совок
365,Schaufel::N,лапатка,совок
366,Gabel::N,відэлец,вилка
367,Löffel::N,лыжка,ложка
368,Messer::N,нож,нож
369,Nagel::N,цвік,гвоздь
370,Netz::N,сетка,сеть
371,Haken::N,крук,крюк
372,Griff::N,ручка,ручка
373,Schloss::N,замок,замок
374,Bild::N,карціна,картина
375,Figur::N,фігура,фигура
376,Puppe::N,лялька,кукла
377,Beutel::N,мяшок,мешок
378,Bündel::N,вязка,связка
379,Tasche::N,торба,сумка
380,Eimer::N,вядро,ведро
381,Deckel::N,накрыўка,крышка
382,Geschirr::N,пасуда,посуда
383,Sack::N,мех,мешок
384,Tasse::N,кубак,чашка
385,Topf::N,каструля,кастрюля
386,Kessel::N,кацёл,котел
387,Essen::N,ежа,еда
388,Nahrung::N,харч,пища
389,Speise::N,страва,блюдо
390,Speise::N,страва,кушанье
391,Fleisch::N,мяса,мясо
392,Getreide::N,збожжа,хлеб
393,Brei::N,каша,каша
394,Brot::N,хлеб,хлеб
395,Scheibe::N,луста,ломоть
396,Scheibe::N,скібка,ломоть
397,Fett::N,тлушч,жир
398,Butter::N,масла,масло
399,Öl::N,алей,масло
400,Salz::N,соль,соль
401,Suppe::N,суп,суп
402,Honig::N,мёд,мед
403,Milch::N,малако,молоко
404,Tee::N,чай,чай
405,Tee::N,гарбата,чай
406,Leder::N,скура,кожа
407,Wolle::N,воўна,шерсть
408,Stoff::N,тканіна,ткань
409,Nadel::N,іголка,игла
410,Faden::N,нітка,нитка
411,Knopf::N,гузік,пуговица
412,Knoten::N,вузел,узел
413,Farbe::N,фарба,краска
414,Kleidung::N,адзенне,одежда
415,Hemd::N,кашуля,рубашка
416,Kragen::N,каўнер,воротник
417,Ärmel::N,рукаў,рукав
418,Hose::N,штаны,брюки
419,Gürtel::N,пояс,пояс
420,Mütze::N,шапка,шапка
421,Schuh::N,чаравік,ботинок
422,Stiefel::N,бот,сапог
423,Ring::N,кольца,кольцо
424,Band::N,стужка,лента
425,Kamm::N,расчоска,расческа
426,Spiegel::N,люстра,зеркало
427,Riemen::N,рэмень,ремень
428,Schnur::N,вяроўка,веревка
429,Leine::N,павадок,поводок
430,Decke::N,коўдра,одеяло
431,Kissen::N,падушка,подушка
432,Tuch::N,хустка,платок
433,Handtuch::N,ручнік,полотенце
434,Kraft::N,сіла,сила
435,Stärke::N,моц,крепость
436,Gesundheit::N,здароўе,здоровье
437,Krankheit::N,хвароба,болезнь
438,Schmerz::N,боль,боль
439,Wunde::N,рана,рана
440,Fieber::N,гарачка,лихорадка
441,Fieber::N,гарачка,температура
442,Fieber::N,ліхаманка,лихорадка
443,Fieber::N,ліхаманка,температура
444,Arznei::N,лекі,лекарство
445,Brücke::N,мост,мост
446,Brunnen::N,калодзеж,колодец
447,Weide::N,паша,пастбище
448,Pfad::N,сцежка,тропа
449,Weg::N,шлях,путь
450,Weg::N,шлях,дорога
451,Weg::N,дарога,путь
452,Weg::N,дарога,дорога
453,Straße::N,вуліца,улица
454,Straße::N,вуліца,дорога
455,Dorf::N,вёска,деревня
456,Stadt::N,горад,город
457,Brief::N,ліст,письмо
458,Brief::N,пісьмо,письмо
459,Buch::N,кніга,книга
460,Buchstabe::N,літара,буква
461,Zeitung::N,газета,газета
462,Leben::N,жыццё,жизнь
463,Tod::N,смерць,смерть
464,Grab::N,магіла,могила
465,Kirche::N,касцёл,церковь
466,Kirche::N,царква,церковь
467,Sünde::N,грэх,грех
468,Gott::N,бог,бог
469,Arbeiter::N,рабочы,рабочий
470,Chef::N,начальнік,начальник
471,Meister::N,майстар,мастер
472,Arzt::N,урач,врач
473,Lehrer::N,настаўнік,учитель
474,Geld::N,грошы,деньги
475,Geschäft::N,заняцце,занятие
476,Laden::N,крама,магазин
477,Laden::N,магазін,магазин
478,Preis::N,цана,цена
479,Ware::N,тавар,товар
480,Nutzen::N,выгада,выгода
481,Reichtum::N,багацце,богатство
482,Welt::N,свет,мир
483,Land::N,краіна,страна
484,Staat::N,дзяржава,государство
485,König::N,кароль,король
486,Macht::N,улада,власть
487,Grenze::N,граніца,граница
488,Krieg::N,вайна,война
489,Feind::N,вораг,враг
490,Gewalt::N,насілле,насилие
491,Kampf::N,барацьба,борьба
492,Bogen[Waffe]::N,лук,лук
493,Pfeil::N,страла,стрела
494,Gewehr::N,ружжо,ружье
495,Fehler::N,памылка,ошибка
496,Lüge::N,хлусня,ложь
497,Schaden::N,шкода,вред
498,Unglück::N,ліха,беда
499,Unglück::N,бядота,беда
500,Schuld::N,віна,вина
501,Alter::N,узрост,возраст
502,Schluss::N,канец,окончание
503,Zeit::N,час,время
504,Tag::N,дзень,день
505,Morgen::N,ранак,утро
506,Morgen::N,раніца,утро
507,Mittag::N,паўдня,полдень
508,Mittag::N,поўдзень,полдень
509,Abend::N,вечар,вечер
510,Nacht::N,ноч,ночь
511,Woche::N,тыдзень,неделя
512,Monat::N,месяц,месяц
513,Jahr::N,год,год
514,Frühling::N,вясна,весна
515,Sommer::N,лета,лето
516,Herbst::N,восень,осень
517,Winter::N,зіма,зима
518,Januar::N,студзень,январь
519,Februar::N,люты,февраль
520,März::N,сакавік,март
521,April::N,красавік,апрель
522,Mai::N,май,май
523,Mai::N,травень,май
524,Juni::N,чэрвень,июнь
525,Juli::N,ліпень,июль
526,August::N,жнівень,август
527,September::N,верасень,сентябрь
528,Oktober::N,кастрычнік,октябрь
529,November::N,лістапад,ноябрь
530,Dezember::N,снежань,декабрь
531,Montag::N,панядзелак,понедельник
532,Dienstag::N,аўторак,вторник
533,Mittwoch::N,серада,среда
534,Donnerstag::N,чацвер,четверг
535,Freitag::N,пятніца,пятница
536,Samstag::N,субота,суббота
537,Sonntag::N,нядзеля,воскресенье
538,groß::A,вялікі,большой
539,klein::A,маленькі,маленький
540,lang::A,доўгі,длинный
541,kurz::A,кароткі,короткий
542,breit::A,шырокі,широкий
543,schmal::A,вузкі,узкий
544,dicht::A,густы,густой
545,dick[Gegenstand]::A,тоўсты,толстый
546,dünn::A,тонкі,тонкий
547,fein::A,тонкі,тонкий
548,fest::A,моцны,крепкий
549,flach::A,плоскі,плоский
550,glatt::A,гладкі,гладкий
551,hart::A,цвёрды,твердый
552,weich::A,мяккі,мягкий
553,rund::A,круглы,круглый
554,spitz::A,спічасты,остроконечный
555,spitz::A,востраканцовы,остроконечный
556,scharf::A,востры,острый
557,stumpf::A,тупы,тупой
558,schwer::A,цяжкі,тяжелый
559,schön::A,прыгожы,красивый
560,heiß::A,гарачы,жаркий
561,warm::A,цёплы,теплый
562,kalt::A,холадны,холодный
563,kühl::A,халаднаваты,прохладный
564,frisch::A,свежы,свежий
565,feucht::A,вільготны,влажный
566,nass::A,мокры,мокрый
567,trocken::A,сухі,сухой
568,voll::A,поўны,полный
569,voll::A,поўны,наполненный
570,leer::A,пусты,пустой
571,offen::A,адкрыты,открытый
572,offen::A,адчынены,открытый
573,geschlossen::A,закрыты,закрытый
574,geschlossen::A,зачынены,закрытый
575,sauber::A,чысты,чистый
576,schmutzig::A,брудны,грязный
577,roh::A,сыры,сырой
578,reif::A,спелы,зрелый
579,lecker::A,смачны,вкусный
580,süß::A,салодкі,сладкий
581,bitter::A,горкі,горький
582,sauer::A,кіслы,кислый
583,hell::A,светлы,светлый
584,dunkel::A,цёмны,темный
585,schwarz::A,чорны,черный
586,weiß::A,белы,белый
587,rot::A,чырвоны,красный
588,gelb::A,жоўты,желтый
589,blau::A,сіні,синий
590,grün::A,зялёны,зеленый
591,grau::A,шэры,серый
592,bunt::A,пяресты,пестрый
593,billig::A,танны,дешевый
594,teuer::A,дарагі,дорогой
595,wertvoll::A,цэнны,ценный
596,wertvoll::A,каштоўны,ценный
597,blind::A,сляпы,слепой
