,Concept_ID,ca,hi
0,Auge::N,ull,आँख
1,Auge::N,ull,चक्षु
2,Ohr::N,orella,कान
3,Ohr::N,orella,कर्ण
4,Nase::N,nas,नाक
5,Nase::N,nas,नासा
6,Mund::N,boca,मुख
7,Mund::N,boca,मुँह
8,Zahn::N,dent,दंत
9,Zahn::N,dent,दाँत
10,Zunge::N,llēngua,जीभ
11,Zunge::N,llēngua,ज़बान
12,Zunge::N,llēngua,जिह्वा
13,Lippe::N,llavi,ओंठ
14,Lippe::N,llavi,होंठ
15,Wange::N,galta,गाल
16,Wange::N,galta,कपोल
17,Gesicht::N,cara,मुँह
18,Gesicht::N,cara,चेहरा
19,Stirn::N,front,माथा
20,Stirn::N,front,मस्तक
21,Haar::N,cabēll,बाल
22,Schnurrbart::N,bigoti,मूँछें
23,Bart::N,barba,दाढ़ी
24,Kinn::N,mentó,चिबुक
25,Kinn::N,barbeta,चिबुक
26,Kiefer[Anatomie]::N,queix,जबड़ा
27,Kiefer[Anatomie]::N,mandíbula,जबड़ा
28,Kehle::N,gola,गला
29,Kehle::N,gorja,गला
30,Hals::N,coll,गला
31,Hals::N,coll,गरदन
32,Genick::N,nuca,गरदन
33,Genick::N,nuca,ग्रीवा
34,Kopf::N,cap,सिर
35,Kopf::N,cap,शीर्ष
36,Rücken::N,esquena,पीठ
37,Bauch::N,panxa,उदर
38,Nabel::N,llombrígol,नाभि
39,Nabel::N,llombrígol,ढोंढी
40,Busen::N,pit,कुच
41,Busen::N,pit,स्तन
42,Busen::N,mama,कुच
43,Busen::N,mama,स्तन
44,Brust::N,pit,वक्ष
45,Schulter::N,espatlla,कंधा
46,Schulter::N,espatlla,स्कंध
47,Arm::N,braç,बाँह
48,Arm::N,braç,बाज़ू
49,Ellenbogen::N,colze,कुहनी
50,Hand::N,mà,हाथ
51,Hand::N,mà,हस्त
52,Handfläche::N,palma,हथेली
53,Finger::N,dit,उँगली
54,Finger::N,dit,अँगुली
55,Fingernagel::N,ungla,नख
56,Fingernagel::N,ungla,नाख़ून
57,Nagel[Anatomie]::N,ungla,नख
58,Nagel[Anatomie]::N,ungla,नाख़ून
59,Zeh::N,dit del peu,उँगली
60,Zeh::N,dit del peu,पाँव की उँगली
61,Fuß::N,peu,चरण
62,Fuß::N,peu,पाँव
63,Ferse::N,taló,एड़ी
64,Knie::N,genoll,जानु
65,Knie::N,genoll,घुटना
66,Oberschenkel::N,cuixa,उरु
67,Bein::N,cama,टाँग
68,Körper::N,cos,तन
69,Körper::N,cos,देह
70,Körper::N,cos,शरीर
71,Haut::N,pell,चर्म
72,Haut::N,pell,त्वचा
73,Blut::N,sang,लहू
74,Blut::N,sang,ख़ून
75,Ader::N,vena,रग
76,Ader::N,vena,शिरा
77,Sehne::N,tendó,कंडरा
78,Sehne::N,tendó,स्नायु
79,Knochen::N,os,अस्थि
80,Gehirn::N,cervell,दिमाग़
81,Gehirn::N,cervell,मस्तिष्क
82,Herz::N,cor,दिल
83,Herz::N,cor,हृदय
84,Magen::N,estómac,मेदा
85,Magen::N,estómac,अमाशय
86,Leber::N,fetge,जिगर
87,Leber::N,fetge,यकृत्
88,Atem::N,alè,दम
89,Atem::N,alè,साँस
90,Atem::N,alè,श्वास
91,Atem::N,hàlit,दम
92,Atem::N,hàlit,साँस
93,Atem::N,hàlit,श्वास
94,Hunger::N,fam,भूख
95,Hunger::N,fam,क्षुधा
96,Hunger::N,gana,भूख
97,Hunger::N,gana,क्षुधा
98,Träne::N,llàgrima,आँसू
99,Träne::N,llàgrima,अश्रु
100,Geschmack::N,gust,स्वाद
101,Geschmack::N,gust,ज़ायक़ा
102,Geschmack::N,sabor,स्वाद
103,Geschmack::N,sabor,ज़ायक़ा
104,Geruch::N,olor,बू
105,Geruch::N,olor,गंध
106,Schlaf::N,son,नींद
107,Schlaf::N,son,निद्रा
108,Traum::N,somni,सपना
109,Traum::N,somni,स्वप्न
110,Himmel::N,celm,आकाश
111,Himmel::N,celm,आसमान
112,Sonne::N,sol,रवि
113,Sonne::N,sol,सूरज
114,Sonne::N,sol,सूर्य
115,Mond::N,lluna,चाँद
116,Mond::N,lluna,चंद्र
117,Stern::N,estel,तारा
118,Stern::N,estel,सितारा
119,Stern::N,estrella,तारा
120,Stern::N,estrella,सितारा
121,Luft::N,aire,हवा
122,Luft::N,aire,वायु
123,Wind::N,vent,पाद
124,Welle::N,ona,लहर
125,Welle::N,ona,तरंग
126,Wasser::N,āigua,जल
127,Wasser::N,āigua,पानी
128,Stein::N,pedra,पत्थर
129,Boden::N,sòl,मिट्टी
