,Concept_ID,fa,lez
0,Auge::N,چشم,вил
1,Ohr::N,گوش,яб
2,Nase::N,بینی,нер
3,Mund::N,دهان,сив
4,Zahn::N,دندان,сас
5,Zahn::N,دندان,свах
6,Zunge::N,زبان,мез
7,Lippe::N,لب,пӏуз
8,Wange::N,لپ,хъвехъ
9,Gesicht::N,رو,ччин
10,Gesicht::N,چهره,ччин
11,Stirn::N,پیشانی,пел
12,Haar::N,مو,чӏар
13,Schnurrbart::N,سبیل,спел
14,Schnurrbart::N,سبیل,спелар
15,Bart::N,ریش,ччуру
16,Kinn::N,چانه,чене
17,Kiefer[Anatomie]::N,فک,чене
18,Kiefer[Anatomie]::N,آرواره,чене
19,Kehle::N,حلق,туьд
20,Hals::N,گردن,гардан
21,Genick::N,پشت گردن,кьам
22,Kopf::N,سر,кьил
23,Kopf::N,کله,кьил
24,Rücken::N,پشت,далу
25,Bauch::N,شکم,руфун
26,Nabel::N,ناف,пицӏ
27,Busen::N,پستان,мам
28,Brust::N,سینه,хур
29,Schulter::N,دوش,къуьн
30,Schulter::N,شانه,къуьн
31,Arm::N,بازو,гъил
32,Ellenbogen::N,آرنج,кьуьнт
33,Hand::N,دست,капаш
34,Handfläche::N,کف دست,капан юкь
35,Finger::N,انگشت,тӏуб
36,Fingernagel::N,ناخن دست,кек
37,Nagel[Anatomie]::N,ناخن,кек
38,Zeh::N,انگشت پا,кул
39,Fuß::N,پا,кӏвач
40,Ferse::N,پاشنه,дабан
41,Knie::N,زانو,мет
42,Oberschenkel::N,ران,
43,Bein::N,پا,кӏвач
44,Bein::N,لنگ,кӏвач
45,Körper::N,تن,беден
46,Körper::N,بدن,беден
47,Haut::N,پوست,хам
48,Blut::N,خون,иви
49,Ader::N,رگ,дамар
50,Sehne::N,زردپی,кьуру дамар
51,Knochen::N,استخوان,кӏараб
52,Gehirn::N,مخ,мефт
53,Gehirn::N,مغز,мефт
54,Herz::N,دل,рикӏ
55,Herz::N,قلب,рикӏ
56,Magen::N,معده,хук
57,Leber::N,کبد,лекь
58,Atem::N,نفس,ял
59,Atem::N,نفس,нефес
60,Hunger::N,گرسنگی,каш
61,Träne::N,اشک,вилин нагъв
62,Geschmack::N,مزه,дад
63,Geschmack::N,مزه,тӏям
64,Geruch::N,بو,ни
65,Schlaf::N,خواب,ахвар
66,Traum::N,رؤیا,ахвар
67,Himmel::N,فلک,цав
68,Himmel::N,آسمان,цав
69,Sonne::N,آفتاب,рагъ
70,Sonne::N,خورشید,рагъ
71,Mond::N,ماه,варз
72,Stern::N,ستاره,гъед
73,Luft::N,هوا,гьава
74,Wind::N,باد,гар
75,Welle::N,موج,лепе
76,Wasser::N,آب,яд
77,Stein::N,سنگ,къван
78,Boden::N,زمین,накьв
79,Erde::N,خاک,ччил
80,Erde::N,زمین,ччил
81,Staub::N,گرد,руг
82,Staub::N,غبار,руг
83,Rauch::N,دود,гум
84,Funke::N,جرقه,цӏелхем
85,Feuer::N,آتش,цӏай
86,Licht::N,نور,экв
87,Licht::N,روشنی,экв
88,Schatten::N,سایه,серин
89,Wetter::N,هوا,гьава
90,Nebel::N,مه,ччилин циф
91,Wolke::N,ابر,циф
92,Regen::N,باران,марф
93,Schnee::N,برف,жив
94,Eis::N,یخ,мурк
95,Frost::N,یخبندان,аяз
96,Kälte::N,سرما,мекь
97,Kälte::N,سرما,мекьивал
98,Hitze::N,گرما,зегьем
99,Hitze::N,حرارت,зегьем
100,Raureif::N,برف ریزه,къирав
101,Regenbogen::N,رنگین‌کمان,яргъируш
102,Donner::N,رعد,цавун ван
103,Strömung::N,جریان,
104,Tropfen::N,قطره,стӏал
105,Schaum::N,کف,каф
106,Schmutz::N,گل,чирк
107,Schmutz::N,گل,кьуруш
108,Schmutz::N,کثافت,чирк
109,Schmutz::N,کثافت,кьуруш
110,See::N,دریاچه,вир
111,Sumpf::N,مرداب,уьлен
112,Sumpf::N,باتلاق,уьлен
113,Moor::N,باتلاق,
114,Wiese::N,چمن,векь
115,Wald::N,جنگل,там
116,Hügel::N,تل,кӏунтӏ
117,Hügel::N,تپه,кӏунтӏ
118,Anhöhe::N,بلندی,тепе
119,Anhöhe::N,بلندی,гьуьндуьрвал
120,Berg::N,کوه,дагъ
121,Gipfel::N,قله,кӏукӏ
122,Höhle::N,غار,кьветӏ
123,Abhang::N,سرازیری,гуьне
124,Quelle::N,چشمه,чешме
125,Bach::N,نهر,булах
126,Fluss::N,رود,вацӏ
127,Ufer::N,ساحل,къерех
128,Ufer::N,کرانه,къерех
129,Küste::N,ساحل,къерех
130,Festland::N,خشکی,кьурамат
131,Meer::N,دریا,гьуьл
132,Bucht::N,خلیج,бухта
133,Insel::N,جزیره,остров
134,Blume::N,گل,цуьк
135,Gras::N,علف,хъач
136,Wurzel::N,ریشه,дувул
137,Baum::N,درخت,ттар
138,Stamm::N,تنه,тан
139,Rinde::N,توژ,чкал
140,Rinde::N,پوست,чкал
141,Ast::N,شاخه,тӏур
142,Zweig::N,شاخه,хел
143,Blatt::N,برگ,пеш
144,Birke::N,غان,верх
145,Kiefer[Baum]::N,کاج,шамагъаж
146,Weide[Baum]::N,بید,цӏвелин ттар
147,Tanne::N,صنوبر,ель
148,Horn::N,شاخ,карч
149,Feder::N,پر,цӏакул
150,Fell::N,خز,хам
151,Flügel::N,پر,лув
152,Flügel::N,بال,лув
153,Klaue::N,چنگ,къармах
154,Klaue::N,پنجه,къармах
155,Kralle::N,پنجه,пац
156,Kralle::N,پنجه,тапас
157,Schwanz::N,دم,ттум
158,Ei::N,تخم,кака
159,Nest::N,لانه,муг
160,Bau::N,بنا,тӏеквен
161,Bau::N,ساختمان,тӏеквен
162,Tier::N,هیوان,гьайван
163,Herde::N,رمه,суьруь
164,Kuh::N,گاو,ккал
165,Bulle::N,گاو نر,яц
166,Bulle::N,گاو نر,бугъа
167,Pferd::N,اسب,балкӏан
168,Schaf::N,گوسفند,хеб
169,Schwein::N,خوک,вак
