,Concept_ID,sq,hy
0,Auge::N,sy,աչք
1,Ohr::N,vesh,ականջ
2,Nase::N,hundë,քիթ
3,Mund::N,gojë,բերան
4,Zahn::N,dhëmb,ատամ
5,Zunge::N,gjuhë,լեզու
6,Lippe::N,buzë,շրթունք
7,Wange::N,faqe,այտ
8,Wange::N,faqe,թուշ
9,Wange::N,mollëz,այտ
10,Wange::N,mollëz,թուշ
11,Gesicht::N,fytyrë,դեմք
12,Stirn::N,ballë,ճակատ
13,Haar::N,flokë,մազ
14,Schnurrbart::N,mustaqe,բեղ
15,Bart::N,mjekër,մորուք
16,Kinn::N,mjekër,կզակ
17,Kiefer[Anatomie]::N,nofull,ծնոտ
18,Kehle::N,fyt,կոկորդ
19,Kehle::N,grykë,կոկորդ
20,Hals::N,qafë,վիզ
21,Hals::N,qafë,պարանոց
22,Genick::N,arrëz,ծոծրակ
23,Kopf::N,kokë,գլուխ
24,Rücken::N,kurriz,մեջք
25,Bauch::N,bark,փոր
26,Bauch::N,bark,որովայն
27,Nabel::N,kërthizë,պորտ
28,Busen::N,gji,ծոց
29,Brust::N,gjoks,կուրծք
30,Brust::N,kraharor,կուրծք
31,Schulter::N,sup,ուս
32,Schulter::N,krah,ուս
33,Arm::N,krah,թեւ
34,Arm::N,krah,բազուկ
35,Ellenbogen::N,bërryl,արմունկ
36,Hand::N,dorë,ձեռք
37,Handfläche::N,pëllëmbë,ափ
38,Finger::N,gisht,մատ
39,Fingernagel::N,thua,եղունգ
40,Nagel[Anatomie]::N,thua,եղունգ
41,Zeh::N,gisht i këmbës,ոտքի մատ
42,Fuß::N,këmbë,ոտք
43,Ferse::N,thembër,գարշապար
44,Knie::N,gju,ծունկ
45,Oberschenkel::N,kofshë,ազդր
46,Bein::N,këmbë,ոտք
47,Körper::N,trup,մարմին
48,Haut::N,lëkurë,մաշկ
49,Blut::N,gjak,արյուն
50,Ader::N,venë,երակ
51,Sehne::N,dell,ջիղ
52,Sehne::N,dell,ձգտան
53,Knochen::N,asht,ոսկոր
54,Knochen::N,kockë,ոսկոր
55,Gehirn::N,tru,խելք
56,Herz::N,zemër,սիրտ
57,Magen::N,stomak,ստամոքս
58,Leber::N,mëlçi,լյարդ
59,Atem::N,frymë,շունչ
60,Hunger::N,uri,քաղց
61,Träne::N,lot,արտասուք
62,Geschmack::N,shije,համ
63,Geschmack::N,shije,բուրմունք
64,Geruch::N,erë,հոտ
65,Geruch::N,erë,բուրում
66,Schlaf::N,gjumë,քուն
67,Traum::N,ëndërr,երազ
68,Himmel::N,qiell,երկինք
69,Sonne::N,diell,արեւ
70,Mond::N,hënë,լուսին
71,Stern::N,yll,աստղ
72,Luft::N,ajër,օդ
73,Wind::N,erë,քամի
74,Welle::N,valë,ալիք
75,Welle::N,dallgë,ալիք
76,Wasser::N,ujë,ջուր
77,Stein::N,gur,քար
78,Boden::N,tokë,գետին
79,Boden::N,truall,գետին
80,Erde::N,dhe,հող
81,Erde::N,baltë,հող
82,Staub::N,pluhur,փոշի
83,Rauch::N,tym,ծուխ
84,Funke::N,xixë,կայծ
85,Funke::N,shkëndijë,կայծ
86,Feuer::N,zjarr,կրակ
87,Feuer::N,zjarr,հրդեհ
88,Licht::N,dritë,լույս
89,Schatten::N,hije,ստվեր
90,Wetter::N,mot,եղանակ
91,Nebel::N,mjegull,մեգ
92,Nebel::N,mjegull,մառախուղ
93,Wolke::N,re,ամպ
94,Regen::N,shi,անձրև
95,Schnee::N,borë,ձյուն
96,Eis::N,akull,սառույց
97,Frost::N,ngricë,սառնամանիք
98,Kälte::N,të ftohtë,դող
99,Hitze::N,vapë,շոգ
100,Hitze::N,nxehtësi,շոգ
101,Raureif::N,cikmë,ցօղեղեամ
102,Regenbogen::N,ylber,ծիածան
103,Donner::N,gjëmim,որոտ
104,Donner::N,bubullimë,որոտ
105,Strömung::N,rrymë,հոսանք
106,Tropfen::N,pikë,կաթիլ
107,Schaum::N,shkumë,փրփուր
108,Schmutz::N,baltë,կեղտ
109,See::N,liqen,լիճ
110,Sumpf::N,batak,ճահիճ
111,Moor::N,kënetë,ճահիճ
112,Wiese::N,livadh,մարգագետին
113,Wald::N,pyll,անտառ
114,Hügel::N,kodër,բլուր
115,Anhöhe::N,bregore,բարձունք
116,Berg::N,mal,լեռ
117,Gipfel::N,kulm,գագաթ
118,Gipfel::N,kulm,կատար
119,Höhle::N,shpellë,քարայր
120,Höhle::N,zgafelle,քարայր
121,Abhang::N,shpat,լանջ
122,Abhang::N,shpat,զառիվայր
123,Abhang::N,tatëpjetë,լանջ
124,Abhang::N,tatëpjetë,զառիվայր
125,Quelle::N,krua,աղբյուր
126,Quelle::N,burim,աղբյուր
127,Bach::N,virua,վտակ
128,Fluss::N,lumë,գետ
129,Ufer::N,breg,ծովափ
130,Küste::N,anëdet,ափ
131,Küste::N,anëdet,ծովափ
132,Küste::N,bregdet,ափ
133,Küste::N,bregdet,ծովափ
134,Festland::N,kontinent,ցամաք
135,Meer::N,det,ծով
136,Bucht::N,gji deti,հաչիւն
137,Insel::N,ishull,վղզի
138,Insel::N,ujdhesë,վղզի
139,Blume::N,lule,ծաղիկ
140,Gras::N,bar,խոտ
141,Wurzel::N,rrënjë,արմատ
142,Baum::N,pemë,ծառ
143,Stamm::N,trung,իրան
144,Rinde::N,lëvore,կեղեւ
145,Rinde::N,lëvore,հաչոց
146,Ast::N,degë,ճյուղ
147,Zweig::N,bisk,ճյուղ
148,Blatt::N,fletë,տերեւ
149,Blatt::N,gjethe,տերեւ
150,Birke::N,mështekën,ցարասի
