,Concept_ID,ar,kl
78,Erde::N,أرض,issoq
79,Staub::N,غبار,pujualanerit
80,Staub::N,غبار,pujoralanerit
81,Rauch::N,دخان,iseq
82,Rauch::N,دخان,pujoq
83,Funke::N,شرارة,illoorneq
84,Feuer::N,نار,inneq
85,Licht::N,نور,qaamaneq
86,Licht::N,ضوء,qaamaneq
87,Schatten::N,ظل,tarraq
88,Schatten::N,فيء,tarraq
89,Wetter::N,جو,sila
90,Wetter::N,طقس,sila
91,Nebel::N,ضباب,pujoq
92,Wolke::N,غيمة,nuia
93,Wolke::N,سحابة,nuia
94,Regen::N,مطر,sialuk
95,Schnee::N,ثلج,aput
96,Eis::N,جليد,siku
97,Frost::N,صقيع,issi
98,Frost::N,صقيع,issik
99,Kälte::N,برد,issi
100,Hitze::N,حر,kianneq
101,Hitze::N,حر,kiassuseq
102,Hitze::N,حرارة,kianneq
103,Hitze::N,حرارة,kiassuseq
104,Raureif::N,صقيع,kaneq
105,Regenbogen::N,قوس قزح,neriusaaq
106,Donner::N,رعد,kalleq
107,Strömung::N,تيار,
108,Tropfen::N,قطرة,kuseriarneq
109,Schaum::N,زبد,qapuk
110,Schaum::N,رغوة,qapuk
111,Schmutz::N,وسخ,minguk
112,See::N,بحيرة,taseq
113,Sumpf::N,مستنقع,maqulluk
114,Moor::N,مستنقع,
115,Wiese::N,مرج,masarsuk
116,Wald::N,غابة,
117,Hügel::N,تل,qattuneq
118,Hügel::N,تل,majuariaq
119,Hügel::N,تل,majorajaaq
120,Hügel::N,تل,qaqqannguaq
121,Anhöhe::N,تل,
122,Berg::N,جبل,qaqqaq
123,Gipfel::N,قمة,
124,Höhle::N,كهف,qaarusuk
125,Abhang::N,منحدر,ippik
126,Abhang::N,منحدر,sivinganeq
127,Abhang::N,منحدر,sivingajaaq
128,Abhang::N,منحدر,kussangajaaq
129,Quelle::N,منبع,
130,Bach::N,مجرى,kuunnguaq
131,Fluss::N,نهر,kuuk
132,Ufer::N,ضفة,sissap sinaa
133,Küste::N,ساحل,sineriak
134,Festland::N,بر,
135,Meer::N,بحر,imaq
136,Bucht::N,خليج,ikeq
137,Bucht::N,خليج,kangerluk
138,Bucht::N,خليج,kangerliumaneq
139,Insel::N,جزيرة,qeqertaq
140,Blume::N,زهرة,naasoq
141,Gras::N,حشيش,ivigaq
142,Wurzel::N,أصل,niulutaq
143,Baum::N,شجرة,orpik
144,Stamm::N,جذع,kanaartaq
145,Rinde::N,قشرة,ameraq
146,Ast::N,فرع,avalequt
147,Zweig::N,غصن,avalequt
148,Blatt::N,ورقة,pilutaq
149,Birke::N,قضبان,patitsit
150,Kiefer[Baum]::N,صنوبرة,
151,Weide[Baum]::N,صفصاف,palleq
152,Tanne::N,شوح,orsuerneq
153,Tanne::N,تبوب,orsuerneq
154,Horn::N,قرن,nassuk
155,Feder::N,ريشة,suluk
156,Fell::N,فرو,ameq
157,Flügel::N,جناح,suluk
158,Flügel::N,جناح,isaroq
159,Klaue::N,مخلب,kukik
160,Kralle::N,مخلب,kukik
161,Schwanz::N,ذيل,pamioq
