,Concept_ID,ml,fi
0,Auge::N,കണ്ണ്,silmä
1,Ohr::N,ചെവി,korva
2,Nase::N,മൂക്ക്,nenä
3,Mund::N,വായ,suu
4,Zahn::N,പല്ല്,hammas
5,Zunge::N,നാക്ക്,kieli
6,Lippe::N,ചുണ്ട്,huuli
7,Wange::N,കവിൾത്തടം,poski
8,Gesicht::N,മുഖം,naama
9,Gesicht::N,മുഖം,kasvot
10,Stirn::N,നെറ്റി,otsa
11,Haar::N,തലമുടി,hius
12,Haar::N,തലമുടി,tukka
13,Schnurrbart::N,മീശ,viikset
14,Bart::N,താടിരോമം,parta
15,Kinn::N,താടി,leuka
16,Kiefer[Anatomie]::N,താടിയെല്ല്,leukaluu
17,Kehle::N,കണ്ഠനാളം,kurkku
18,Hals::N,കഴുത്ത്,kaula
19,Genick::N,പിടലി,niska
20,Kopf::N,തല,pää
21,Rücken::N,മുതുക്,selkä
22,Bauch::N,നയറ്,maha
23,Bauch::N,നയറ്,vatsa
24,Nabel::N,നാഭി,napa
25,Busen::N,സ്തനം,rinta
26,Brust::N,സ്തനം,rinta
27,Schulter::N,തോൾ,olka
28,Schulter::N,തോൾ,hartia
29,Schulter::N,തോൾ,olkapää
30,Arm::N,കൈ,käsivarsi
31,Ellenbogen::N,കൈമുട്ട്,kyynärpää
32,Hand::N,കൈ,käsi
33,Handfläche::N,ഉള്ളം കൈ,kämmen
34,Finger::N,വിരൽ,sormi
35,Fingernagel::N,നഖം,kynsi
36,Nagel[Anatomie]::N,നഖം,kynsi
37,Zeh::N,കാൽവിരൽ,varvas
38,Fuß::N,കാൽപ്പാദം,jalka
39,Ferse::N,ഉപ്പൂറ്റി,kantapää
40,Knie::N,കാൽമുട്ട്,polvi
41,Oberschenkel::N,തുട,reisi
42,Bein::N,കാൽ,jalka
43,Körper::N,ശരീരം,keho
44,Körper::N,ശരീരം,ruumis
45,Haut::N,ചർമ്മം,iho
46,Blut::N,രക്തം,veri
47,Ader::N,ഞരമ്പ്,suoni
48,Sehne::N,സ്നായു,jänne
49,Knochen::N,അസ്ഥി,luu
50,Gehirn::N,തലച്ചോറ്,aivot
51,Herz::N,ഹൃദയം,sydän
52,Magen::N,വയർ,maha
53,Magen::N,വയർ,vatsa
54,Leber::N,കരൾ,maksa
55,Atem::N,ശ്വാസം,henki
56,Atem::N,ശ്വാസം,hengitys
57,Hunger::N,വിശപ്പ്,nälkä
58,Träne::N,കണ്ണീർ,kyynel
59,Geschmack::N,രുചി,maku
60,Geruch::N,ഗന്ധം,haju
61,Schlaf::N,ഉറകും,uni
62,Traum::N,സ്വപ്നം,uni
63,Himmel::N,ആകാശം,taivas
64,Sonne::N,സൂര്യൻ,aurinko
65,Mond::N,ചന്ദ്രൻ,kuu
66,Stern::N,നക്ഷത്രം,tähti
67,Luft::N,കാറ്റ്,ilma
68,Wind::N,കാറ്റ്,tuuli
69,Welle::N,തിരമാല,aalto
70,Wasser::N,വെള്ളം,vesi
71,Stein::N,ശില,kivi
72,Stein::N,കല്ല്,kivi
73,Boden::N,തറ,maa
74,Boden::N,തറ,maaperä
75,Boden::N,നിലം,maa
76,Boden::N,നിലം,maaperä
77,Erde::N,മണ്ണ്,maa
78,Staub::N,പൊടി,pöly
79,Rauch::N,പുക,savu
