,Concept_ID,eu,et
0,Auge::N,begi,silm
1,Ohr::N,belarri,kõrv
2,Nase::N,sudur,nina
3,Mund::N,aho,suu
4,Zahn::N,hortz,hammas
5,Zunge::N,mihi,keel
6,Lippe::N,ezpain,huul
7,Wange::N,masail,põsk
8,Gesicht::N,aurpegi,nägu
9,Stirn::N,bekoki,otsmik
10,Haar::N,ile,juus
11,Haar::N,bilo,juus
12,Schnurrbart::N,bibote,vurrud
13,Schnurrbart::N,bibote,vuntsid
14,Schnurrbart::N,sudurpeko,vurrud
15,Schnurrbart::N,sudurpeko,vuntsid
16,Bart::N,bizar,habe
17,Kinn::N,kokots,lõug
18,Kiefer[Anatomie]::N,masailezur,lõualuu
19,Kehle::N,eztarri,kõri
20,Hals::N,sama,kael
21,Genick::N,garondo,kukal
22,Kopf::N,buru,pea
23,Rücken::N,bizkar,selg
24,Bauch::N,sabel,kõht
25,Nabel::N,zilbor,naba
26,Busen::N,titi,rind
27,Busen::N,ugatz,rind
28,Brust::N,bular,rind
29,Schulter::N,besaburu,õlg
30,Arm::N,beso,käsivars
31,Ellenbogen::N,ukondo,küünarnukk
32,Hand::N,esku,käsi
33,Handfläche::N,ahur,pihk
34,Finger::N,hatz,sõrm
35,Fingernagel::N,azazkal,küüs
36,Nagel[Anatomie]::N,azazkal,küüs
37,Zeh::N,behatz,varvas
38,Fuß::N,oin,jalg
39,Ferse::N,orpo,kand
40,Ferse::N,oinburu,kand
41,Knie::N,belaun,põlv
42,Oberschenkel::N,izter,reis
43,Bein::N,zango,jalg
44,Körper::N,soin,ihu
45,Körper::N,soin,keha
46,Haut::N,azal,nahk
47,Blut::N,odol,veri
48,Ader::N,zain,veen
49,Sehne::N,gihar-zain,kõõlus
50,Knochen::N,hezur,luu
51,Gehirn::N,garun,aju
52,Gehirn::N,burmuin,aju
53,Herz::N,bihotz,süda
54,Magen::N,urdail,magu
55,Leber::N,gibel,maks
56,Atem::N,hats,hingeõhk
57,Atem::N,hats,hingamine
58,Atem::N,arnasa,hingeõhk
59,Atem::N,arnasa,hingamine
60,Hunger::N,gose,nälg
61,Träne::N,malko,pisar
62,Geschmack::N,dasta,maitse
63,Geruch::N,usain,lõhn
64,Schlaf::N,lo,uni
65,Traum::N,amets,unenägu
66,Himmel::N,zeru,taevas
67,Sonne::N,eguzki,päike
68,Mond::N,ilargi,kuu
69,Stern::N,izar,täht
70,Luft::N,aire,õhk
71,Wind::N,haize,tuul
72,Welle::N,uhin,laine
73,Welle::N,olatu,laine
74,Wasser::N,ur,vesi
75,Stein::N,harri,kivi
76,Boden::N,lur,maa
77,Boden::N,lur,pinnas
78,Boden::N,zoru,maa
79,Boden::N,zoru,pinnas
80,Erde::N,lur,maa
81,Staub::N,hauts,põrm
82,Rauch::N,ke,suits
83,Funke::N,zirta,säde
84,Funke::N,txinparta,säde
85,Feuer::N,su,tuli
86,Licht::N,argi,valgus
87,Schatten::N,itzal,vari
88,Schatten::N,geriza,vari
89,Wetter::N,eguraldi,ilm
90,Nebel::N,laino,udu
91,Wolke::N,hodei,pilv
92,Regen::N,euri,sadu
93,Schnee::N,elur,lumi
94,Eis::N,horma,jää
95,Frost::N,izotzaldi,pakane
96,Kälte::N,hotz,külm
97,Kälte::N,hotz,külmus
98,Hitze::N,bero,kuumus
99,Hitze::N,bero,palavus
100,Raureif::N,antzigar,härmatis
101,Regenbogen::N,ostadar,vikerkaar
102,Regenbogen::N,ortzadar,vikerkaar
103,Donner::N,ostots,kõu
104,Donner::N,ostots,müristamine
105,Donner::N,ihurtzuri,kõu
106,Donner::N,ihurtzuri,müristamine
107,Strömung::N,laster,voolus
108,Strömung::N,laster,jõevool
109,Tropfen::N,xorta,tilk
110,Schaum::N,bits,vaht
111,Schmutz::N,lohi,pori
112,Schmutz::N,lohi,mustus
113,Schmutz::N,zikin,pori
114,Schmutz::N,zikin,mustus
115,See::N,laku,järv
116,See::N,aintzira,järv
117,Sumpf::N,zingira,soo
118,Moor::N,zohikaztegi,raba
119,Wiese::N,larre,aas
120,Wiese::N,larre,nurm
121,Wiese::N,belardi,aas
122,Wiese::N,belardi,nurm
123,Wald::N,baso,mets
124,Wald::N,oihan,mets
125,Hügel::N,muino,küngas
