,Concept_ID,da,sah
0,Auge::N,øje,харах
1,Ohr::N,øre,кулгаах
2,Nase::N,næse,мурун
3,Mund::N,mund,айах
4,Zahn::N,tand,тиис
5,Zunge::N,tunge,тыл
6,Lippe::N,læbe,уос
7,Wange::N,kind,иэдэс
8,Gesicht::N,ansigt,сирэй
9,Stirn::N,pande,сүүс
10,Haar::N,hår,баттах
11,Schnurrbart::N,overskæg,уос бытыга
12,Bart::N,skæg,сэҥийэ бытыга
13,Kinn::N,hage,сэҥийэ
14,Kiefer[Anatomie]::N,kæbe,сыҥаах
15,Kehle::N,strube,тамах
16,Kehle::N,strube,күөмэй
17,Hals::N,hals,моой
18,Genick::N,nakke,кэтэх
19,Kopf::N,hoved,бас
20,Rücken::N,ryg,көҕүс
21,Bauch::N,mave,ис
22,Nabel::N,navle,киин
23,Busen::N,barm,эмиий
24,Brust::N,bryst,түөс
25,Schulter::N,skulder,сарын
26,Arm::N,arm,илии
27,Ellenbogen::N,albue,тоҕонох
28,Hand::N,hånd,илии
29,Handfläche::N,håndflade,ытыс
30,Finger::N,finger,тарбах
31,Fingernagel::N,fingernegl,тыҥырах
32,Nagel[Anatomie]::N,negl,тыҥырах
33,Zeh::N,tå,тарбах
34,Fuß::N,fod,уллуҥах
35,Ferse::N,hæl,тилэх
36,Knie::N,knæ,тобук
37,Knie::N,knæ,дьилбэк
38,Oberschenkel::N,lår,уллук
39,Oberschenkel::N,lår,өттүк
40,Bein::N,ben,атах
41,Körper::N,krop,бэйэ
42,Körper::N,legeme,бэйэ
43,Haut::N,hud,тирии
44,Blut::N,blod,хаан
45,Ader::N,åre,вена
46,Ader::N,åre,күөх_тымыр
47,Sehne::N,sene,иҥиир
48,Knochen::N,ben,уҥуох
49,Knochen::N,ben,уҥгуох
50,Gehirn::N,hjerne,мэйии
51,Herz::N,hjerte,сүрэх
52,Magen::N,mave,куртах
53,Leber::N,lever,быар
54,Atem::N,ånde,тыын
55,Hunger::N,sult,аас
56,Träne::N,tåre,харах уута
57,Geschmack::N,smag,амтан
58,Geruch::N,lugt,сыт
59,Schlaf::N,søvn,утуйуу
60,Traum::N,drøm,түүл
61,Himmel::N,himmel,халлаан
62,Sonne::N,sol,күн
63,Mond::N,måne,ый
64,Stern::N,stjerne,сулус
65,Luft::N,luft,салгын
66,Wind::N,vind,тыал
67,Welle::N,bølge,долгун
68,Welle::N,bølge,балхаан
69,Wasser::N,vand,уу
70,Stein::N,sten,таас
71,Boden::N,jord,сир
72,Erde::N,jord,буор
73,Staub::N,støv,быыл
74,Rauch::N,røg,буруо
75,Funke::N,gnist,кыым
76,Feuer::N,ild,уот
77,Licht::N,lys,уот
78,Schatten::N,skygge,күлүк
79,Wetter::N,vejr,күн-дьыл
80,Nebel::N,tåge,туман
81,Wolke::N,sky,былыт
82,Regen::N,regn,самыыр
83,Schnee::N,sne,хаар
84,Eis::N,is,муус
85,Frost::N,frost,тымныы
86,Kälte::N,kulde,тымныы
87,Hitze::N,hede,куйаас
88,Raureif::N,rimfrost,кырыа
89,Regenbogen::N,regnbue,кустук
90,Donner::N,torden,этиҥ
91,Strömung::N,strømning,сүүрүк
92,Tropfen::N,dråbe,таммах
93,Tropfen::N,dråbe,хааппыла
94,Schaum::N,skum,күүгэн
95,Schmutz::N,snavs,кир
96,See::N,sø,күөл
97,Sumpf::N,sump,бадараан
98,Moor::N,mose,дьэбэрэ
99,Wiese::N,eng,ходуһа
100,Wald::N,skov,ойуур
101,Hügel::N,høj,булгунньах
102,Hügel::N,bakke,булгунньах
103,Anhöhe::N,høj,үрдэл
104,Anhöhe::N,bakke,үрдэл
105,Berg::N,bjerg,хайа
106,Gipfel::N,top,чыпчаал
107,Höhle::N,hule,хайа_хаспаҕа
108,Höhle::N,hule,көҥүс
109,Abhang::N,skrænt,эниэ
110,Abhang::N,skråning,эниэ
111,Quelle::N,kilde,дьүүктэ
112,Bach::N,bæk,үрүйэ
113,Fluss::N,flod,өрүс
114,Ufer::N,bred,биэрэк
115,Küste::N,kyst,кытыл
116,Festland::N,fastland,кураанах сир
117,Meer::N,hav,муора
118,Bucht::N,bugt,хомо
119,Bucht::N,bugt,бухта
120,Insel::N,ø,арыы
121,Blume::N,blomst,сибэкки
122,Gras::N,græs,от
123,Wurzel::N,rod,силис
124,Baum::N,træ,мас
125,Stamm::N,stamme,умнас
126,Rinde::N,bark,хатырык
127,Ast::N,gren,мутук
128,Zweig::N,kvist,лабаа
129,Blatt::N,blad,сэбирдэх
130,Birke::N,birk,хатыҥ
131,Kiefer[Baum]::N,fyrretræ,бэс
132,Weide[Baum]::N,piletræ,үөт
133,Weide[Baum]::N,piletræ,талах
134,Tanne::N,gran,харыйа
135,Horn::N,horn,муос
136,Feder::N,fjer,куорсун
137,Fell::N,skind,тирии
138,Flügel::N,vinge,кынат
139,Klaue::N,klov,тыҥырах
140,Kralle::N,klo,баппаҕай
141,Schwanz::N,hale,кутурук
142,Ei::N,æg,сымыыт
143,Nest::N,rede,уйа
144,Bau::N,bo,хороон
145,Tier::N,dyr,кыыл
146,Tier::N,dyr,харамай
147,Herde::N,flok,үөр
148,Kuh::N,ko,ынах
149,Bulle::N,tyr,оҕус
150,Pferd::N,hest,сылгы
151,Schaf::N,får,овца
152,Schwein::N,gris,сибиинньэ
153,Hund::N,hund,ыт
154,Katze::N,kat,куоска
155,Bär::N,bjørn,эһэ
156,Eichhörnchen::N,egern,тииҥ
157,Elch::N,elg,тайах
158,Fuchs::N,ræv,саһыл
159,Hase::N,hare,куобах
160,Maus::N,mus,кутуйах
161,Wolf::N,ulv,бөрө
162,Vogel::N,fugl,көтөр
163,Schwarm::N,sværm,бөлөх
164,Huhn::N,høne,куурусса
165,Hahn::N,hane,бөтүүк
166,Gans::N,gås,хаас
167,Adler::N,ørn,хотой
168,Ente::N,and,кус
169,Eule::N,ugle,мэкчиргэ
170,Kranich::N,trane,туруйа
171,Krähe::N,krage,тураах
172,Kuckuck::N,gøg,кэҕэ
173,Schwan::N,svane,куба
174,Fisch::N,fisk,балык
175,Barsch::N,aborre,алыһар
176,Hecht::N,gedde,сордон
177,Schlange[Tier]::N,slange,моҕой
178,Schlange[Tier]::N,slange,эриэн үөн
179,Wurm::N,orm,үөн
180,Spinne::N,edderkop,ооҕуй
181,Ameise::N,myre,кымырдаҕас
182,Laus::N,lus,быт
183,Mücke::N,myg,кумаар
184,Fliege::N,flue,сахсырҕа
185,Schmetterling::N,sommerfugl,лыах
186,Schmetterling::N,sommerfugl,үрүмэччи
187,Beere::N,bær,отон
188,Apfel::N,æble,яблоко
189,Pilz::N,svamp,тэллэй
190,Zwiebel::N,løg,луук
191,Saat::N,sæd,сиэмэ
192,Korn::N,korn,сиэмэ
193,Heu::N,hø,от
194,Schale::N,skræl,хах
195,Grube::N,grav,дьаама
196,Falle::N,fælde,сохсо
197,Schlinge::N,snare,уктаа
198,Spur::N,spor,суол
199,Asche::N,aske,күл
200,Dreck::N,snavs,бадараан
201,Eisen::N,jern,тимир
202,Gold::N,guld,көмүс
203,Gold::N,guld,кыһыл көмүс
204,Silber::N,sølv,көмүс
205,Silber::N,sølv,үрүҥ көмүс
206,Kohle::N,kul,чох
207,Glas::N,glas,өстүөкүлэ
208,Lehm::N,ler,туой
209,Sand::N,sand,кумах
210,Mensch::N,mennesge,киһи
211,Mann::N,mand,эр
212,Frau::N,kvinde,дьахтар
213,Kind::N,barn,оҕо
214,Junge::N,dreng,уол
215,Mädchen::N,pige,кыыс оҕо
216,Familie::N,familie,кэргэн
217,Großvater::N,bedstefar,эһэ
218,Großmutter::N,bedstemor,эбэ
219,Eltern::N,forældre,аҕа-ийэ
220,Vater::N,far,аҕа
221,Mutter::N,mor,ийэ
222,Sohn::N,søn,уол
223,Tochter::N,datter,кыыс
224,Bruder::N,bror,убай
225,Bruder::N,bror,быраат
226,Schwester::N,søster,аҕас
227,Schwester::N,søster,балыс
228,Onkel::N,onkel,таай
229,Onkel::N,onkel,абаҕа
230,Tante::N,tante,эдьиий
231,Ehemann::N,ægtemand,эр
232,Ehefrau::N,hustru,ойох
233,Freude::N,glæde,үөрүү
234,Gelächter::N,latter,күлүү
235,Glück::N,lykke,дьол
236,Glück::N,lykke,соргу
237,Kummer::N,sorg,кутурҕан
238,Wunsch::N,ønske,баҕарыы
239,Lust::N,lyst,баҕа
240,Geist::N,ånd,тыын
241,Gedanke::N,tanke,санаа
242,Gedächtnis::N,hukommelse,өй
243,Verstand::N,forstand,өй
244,Sinn::N,mening,суолта
245,Sinn::N,betydning,суолта
246,Grund::N,grund,төрүөт
247,Wahrheit::N,sandhed,кырдьык
248,Gespräch::N,samtale,бэсиэдэ
249,Gespräch::N,samtale,кэпсэтии
