,Concept_ID,it,it
0,Auge::N,occhio,occhio
1,Ohr::N,orecchio,orecchio
2,Nase::N,naso,naso
3,Mund::N,bocca,bocca
4,Zahn::N,dente,dente
5,Zunge::N,lingua,lingua
6,Lippe::N,labbro,labbro
7,Wange::N,guancia,guancia
8,Gesicht::N,viso,viso
9,Gesicht::N,viso,faccia
10,Gesicht::N,faccia,viso
11,Gesicht::N,faccia,faccia
12,Stirn::N,fronte,fronte
13,Haar::N,capello,capello
14,Schnurrbart::N,baffi,baffi
15,Schnurrbart::N,baffi,mustacchi
16,Schnurrbart::N,mustacchi,baffi
17,Schnurrbart::N,mustacchi,mustacchi
18,Bart::N,barba,barba
19,Kinn::N,mento,mento
20,Kiefer[Anatomie]::N,mascella,mascella
21,Kehle::N,gola,gola
22,Hals::N,collo,collo
23,Genick::N,nuca,nuca
24,Kopf::N,capo,capo
25,Kopf::N,capo,testa
26,Kopf::N,testa,capo
27,Kopf::N,testa,testa
28,Rücken::N,dorso,dorso
29,Rücken::N,dorso,schiena
30,Rücken::N,schiena,dorso
31,Rücken::N,schiena,schiena
32,Bauch::N,ventre,ventre
33,Nabel::N,ombelico,ombelico
34,Busen::N,seno,seno
35,Brust::N,petto,petto
36,Schulter::N,spalla,spalla
37,Arm::N,braccio,braccio
38,Ellenbogen::N,gomito,gomito
39,Hand::N,mano,mano
40,Handfläche::N,palma,palma
41,Finger::N,dito,dito
42,Fingernagel::N,unghia,unghia
43,Nagel[Anatomie]::N,unghia,unghia
44,Zeh::N,dito del piede,dito del piede
45,Fuß::N,piede,piede
46,Ferse::N,tallone,tallone
47,Ferse::N,tallone,calcagno
48,Ferse::N,calcagno,tallone
49,Ferse::N,calcagno,calcagno
50,Knie::N,ginocchio,ginocchio
51,Oberschenkel::N,fèmore,fèmore
52,Bein::N,gamba,gamba
53,Körper::N,corpo,corpo
54,Haut::N,pelle,pelle
55,Blut::N,sangue,sangue
56,Ader::N,vena,vena
57,Sehne::N,tèndine,tèndine
58,Knochen::N,osso,osso
59,Gehirn::N,cervello,cervello
60,Herz::N,cuore,cuore
61,Magen::N,stòmaco,stòmaco
62,Leber::N,fegato,fegato
63,Atem::N,fiato,fiato
64,Atem::N,fiato,respiro
65,Atem::N,respiro,fiato
66,Atem::N,respiro,respiro
67,Hunger::N,fame,fame
68,Träne::N,làcrima,làcrima
69,Geschmack::N,gusto,gusto
70,Geschmack::N,gusto,sapore
71,Geschmack::N,sapore,gusto
72,Geschmack::N,sapore,sapore
73,Geruch::N,odore,odore
74,Schlaf::N,sonno,sonno
75,Traum::N,sogno,sogno
76,Himmel::N,cielo,cielo
77,Sonne::N,sole,sole
78,Mond::N,luna,luna
79,Stern::N,stella,stella
80,Luft::N,aria,aria
81,Wind::N,vento,vento
82,Welle::N,onda,onda
83,Wasser::N,acqua,acqua
84,Stein::N,sasso,sasso
85,Stein::N,sasso,pietra
86,Stein::N,pietra,sasso
87,Stein::N,pietra,pietra
88,Boden::N,suolo,suolo
89,Boden::N,suolo,terreno
90,Boden::N,terreno,suolo
91,Boden::N,terreno,terreno
92,Erde::N,terra,terra
93,Staub::N,polvere,polvere
94,Rauch::N,fumo,fumo
95,Funke::N,scintilla,scintilla
96,Feuer::N,fuoco,fuoco
97,Licht::N,luce,luce
98,Schatten::N,ombra,ombra
99,Wetter::N,tempo,tempo
100,Nebel::N,nebbia,nebbia
101,Wolke::N,nube,nube
102,Wolke::N,nube,nùvola
103,Wolke::N,nùvola,nube
104,Wolke::N,nùvola,nùvola
105,Regen::N,pioggia,pioggia
106,Schnee::N,neve,neve
107,Eis::N,ghiaccio,ghiaccio
108,Frost::N,gelo,gelo
109,Kälte::N,freddo,freddo
110,Hitze::N,caldo,caldo
111,Hitze::N,caldo,calura
112,Hitze::N,calura,caldo
113,Hitze::N,calura,calura
114,Raureif::N,brina,brina
115,Regenbogen::N,arcobaleno,arcobaleno
116,Donner::N,tuono,tuono
117,Strömung::N,corrente,corrente
118,Tropfen::N,goccia,goccia
119,Schaum::N,spuma,spuma
120,Schaum::N,spuma,schiuma
121,Schaum::N,schiuma,spuma
122,Schaum::N,schiuma,schiuma
123,Schmutz::N,sudiciume,sudiciume
124,See::N,lago,lago
125,Sumpf::N,palude,palude
126,Moor::N,torbiera,torbiera
127,Wiese::N,prato,prato
128,Wald::N,bosco,bosco
129,Wald::N,bosco,foresta
130,Wald::N,foresta,bosco
131,Wald::N,foresta,foresta
132,Hügel::N,colle,colle
133,Hügel::N,colle,collina
134,Hügel::N,collina,colle
135,Hügel::N,collina,collina
136,Anhöhe::N,altura,altura
137,Berg::N,monte,monte
138,Berg::N,monte,montagna
139,Berg::N,montagna,monte
140,Berg::N,montagna,montagna
141,Gipfel::N,cima,cima
142,Höhle::N,grotta,grotta
143,Höhle::N,grotta,caverna
144,Höhle::N,caverna,grotta
145,Höhle::N,caverna,caverna
146,Abhang::N,pendìo,pendìo
147,Quelle::N,sorgente,sorgente
148,Bach::N,ruscello,ruscello
149,Fluss::N,fiume,fiume
150,Ufer::N,riva,riva
151,Küste::N,costa,costa
152,Festland::N,terraferma,terraferma
153,Meer::N,mare,mare
154,Bucht::N,cala,cala
155,Insel::N,ìsola,ìsola
156,Blume::N,fiore,fiore
157,Gras::N,erba,erba
158,Wurzel::N,radice,radice
159,Baum::N,àlbero,àlbero
160,Stamm::N,tronco,tronco
161,Rinde::N,corteccia,corteccia
162,Ast::N,ramo,ramo
163,Zweig::N,ramo,ramo
164,Blatt::N,foglia,foglia
165,Birke::N,betulla,betulla
166,Kiefer[Baum]::N,pino,pino
167,Weide[Baum]::N,sàlice,sàlice
168,Tanne::N,abete,abete
169,Horn::N,corno,corno
170,Feder::N,penna,penna
171,Fell::N,manto,manto
172,Fell::N,manto,pelame
173,Fell::N,pelame,manto
174,Fell::N,pelame,pelame
175,Flügel::N,ala,ala
176,Klaue::N,grinfia,grinfia
177,Kralle::N,unghia,unghia
178,Kralle::N,unghia,artiglio
179,Kralle::N,artiglio,unghia
180,Kralle::N,artiglio,artiglio
181,Schwanz::N,coda,coda
182,Ei::N,uovo,uovo
183,Nest::N,nido,nido
184,Bau::N,covo,covo
185,Tier::N,bestia,bestia
186,Tier::N,bestia,animale
187,Tier::N,animale,bestia
188,Tier::N,animale,animale
189,Herde::N,gregge,gregge
190,Kuh::N,vacca,vacca
191,Bulle::N,toro,toro
192,Pferd::N,cavallo,cavallo
193,Schaf::N,pècora,pècora
194,Schwein::N,porco,porco
195,Schwein::N,porco,maiale
196,Schwein::N,maiale,porco
