,Concept_ID,ro,ba
0,Auge::N,ochi,күҙ
1,Ohr::N,ureche,ҡолаҡ
2,Nase::N,nas,танау
3,Mund::N,gură,ауыҙ
4,Zahn::N,dinte,теш
5,Zunge::N,limbă,тел
6,Lippe::N,buză,ирен
7,Wange::N,bucă,яцаҡтар
8,Wange::N,obraz,яцаҡтар
9,Gesicht::N,față,бит
10,Gesicht::N,figură,бит
11,Stirn::N,frunte,маңлай
12,Haar::N,păr,сәс
13,Schnurrbart::N,mustață,мылтыҡ
14,Bart::N,barbă,һаҡал
15,Kinn::N,bărbie,эйэк
16,Kiefer[Anatomie]::N,falcă,яңаҡ һөйәге
17,Kehle::N,beregată,тамаҡ
18,Hals::N,gât,муйын
19,Genick::N,ceafă,соңҡа
20,Kopf::N,cap,баш
21,Rücken::N,dos,арҡа
22,Rücken::N,spate,арҡа
23,Rücken::N,spinare,арҡа
24,Bauch::N,burtă,ҡорһаҡ
25,Bauch::N,pântece,ҡорһаҡ
26,Nabel::N,buric,кендек
27,Busen::N,sân,күкрәк
28,Brust::N,piept,түш
29,Schulter::N,umăr,яурын
30,Schulter::N,spate,яурын
31,Arm::N,braț,ҡул
32,Ellenbogen::N,cot,терһәк
33,Hand::N,mână,ҡул
34,Hand::N,mână,ҡул суғы
35,Handfläche::N,palmă,ус төбө
36,Finger::N,deget,бармаҡ
37,Fingernagel::N,unghie,тырнаҡ
38,Nagel[Anatomie]::N,unghie,тырнаҡ
39,Zeh::N,deget de la picior,бармаҡ
40,Fuß::N,picior,табан
41,Ferse::N,călcâi,үксә
42,Knie::N,genunchi,тубыҡ
43,Oberschenkel::N,coapsă,сандыр
44,Bein::N,picior,аяҡ
45,Körper::N,corp,тән
46,Haut::N,piele,тире
47,Blut::N,sânge,ҡан
48,Ader::N,vână,тамыр
49,Ader::N,arteră,тамыр
50,Sehne::N,tendon,һеңер
51,Sehne::N,tendon,тарамыш
52,Knochen::N,os,һойәк
53,Gehirn::N,creier,мейе
54,Herz::N,inimă,йорәк
55,Magen::N,stomac,ашҡаҙан
56,Leber::N,ficat,бауыр
57,Atem::N,răsuflare,һулыш
58,Atem::N,respirație,һулыш
59,Hunger::N,foame,аслыҡ
60,Träne::N,lacrimă,күҙ иәше
61,Geschmack::N,gust,тәм
62,Geruch::N,miros,еҫ
63,Schlaf::N,somn,йоҡлау
64,Traum::N,vis,төш
65,Himmel::N,cer,күк
66,Sonne::N,soare,ҡояш
67,Mond::N,lună,ай
68,Stern::N,stea,йондоҙ
69,Luft::N,aer,һауа
70,Wind::N,vânt,ел
71,Welle::N,val,тулҡын
72,Welle::N,undă,тулҡын
73,Wasser::N,apă,һыу
74,Stein::N,piatră,таш
75,Boden::N,sol,тупраҡ
76,Boden::N,pământ,тупраҡ
77,Erde::N,pământ,балсҡ
78,Staub::N,praf,туҙан
79,Rauch::N,fum,төтөн
80,Funke::N,scânteie,осҡон
81,Feuer::N,foc,ут
82,Licht::N,lumină,яҡтылыҡ
83,Schatten::N,umbră,күләгә
84,Wetter::N,timp,һауа торошо
85,Wetter::N,vreme,һауа торошо
86,Nebel::N,ceață,төман
87,Nebel::N,negură,төман
88,Wolke::N,nor,болот
89,Regen::N,ploaie,ямғыр
90,Schnee::N,zăpadă,ҡар
91,Eis::N,gheață,боҙ
92,Frost::N,ger,һалҡын
93,Kälte::N,frig,һыуыҡ
94,Hitze::N,arșiță,томра
95,Hitze::N,arșiță,эҫелек
96,Hitze::N,căldură,томра
97,Hitze::N,căldură,эҫелек
98,Raureif::N,chiciură,ҡырау
99,Regenbogen::N,curcubeu,йәйғор
100,Donner::N,tunet,күк күкрәү
101,Strömung::N,curent,ағым
102,Tropfen::N,picătură,тамсы
103,Schaum::N,spumă,күбек
104,Schmutz::N,murdărie,батҡаҡ
105,See::N,lac,күл
106,Sumpf::N,mlaștină,һаҙлык
107,Moor::N,bărăgan,һаҙ
108,Wiese::N,fânaț,болон
109,Wiese::N,livadă,болон
110,Wald::N,codru,урман
111,Wald::N,pădure,урман
112,Hügel::N,deal,түбә
113,Hügel::N,movilă,түбә
114,Anhöhe::N,deal,түбә
115,Anhöhe::N,deal,ҡалҡыулыҡ
116,Anhöhe::N,ridicătură,түбә
117,Anhöhe::N,ridicătură,ҡалҡыулыҡ
118,Berg::N,munte,тау
119,Gipfel::N,pisc,түбә
120,Höhle::N,peșteră,мәмерйә
121,Abhang::N,pantă,ипкен
122,Abhang::N,versant,ипкен
123,Quelle::N,izvor,шишмә
124,Bach::N,gârlă,шишмә
125,Fluss::N,râu,йылға
126,Fluss::N,fluviu,йылға
127,Ufer::N,mal,яр
128,Ufer::N,țărm,яр
129,Küste::N,coastă,яр буйы
130,Festland::N,uscat,ҡоро ер
131,Meer::N,mare,диңгез
132,Bucht::N,golf,бухта
133,Insel::N,insulă,үтрау
134,Blume::N,floare,сәскә
135,Gras::N,iarbă,үлән
136,Wurzel::N,rădăcină,тамыр
137,Baum::N,copac,ағас
138,Baum::N,arbore,ағас
139,Stamm::N,tulpină,олон
140,Stamm::N,tulpină,көбәк
141,Rinde::N,scoarță,ҡабыҡ
142,Ast::N,cracă,ботаҡ
143,Ast::N,creangă,ботаҡ
144,Zweig::N,ramură,ботаҡ
145,Zweig::N,ramură,тармаҡ
146,Zweig::N,creangă,ботаҡ
147,Zweig::N,creangă,тармаҡ
148,Blatt::N,frunză,япраҡ
149,Birke::N,mesteacăn,ҡайын
150,Kiefer[Baum]::N,pin,ҡарғай
151,Weide[Baum]::N,salcie,тал
152,Weide[Baum]::N,răchită,тал
153,Tanne::N,brad,шыршы
154,Horn::N,corn,мөғөҙ
155,Feder::N,pană,ҡауырһын
156,Fell::N,piele,тире
157,Flügel::N,aripă,ҡанат
158,Klaue::N,gheară,тырнаҡ
159,Kralle::N,labă,аяҡ
160,Kralle::N,gheară,аяҡ
161,Schwanz::N,coadă,ҡойроҡ
