,Concept_ID,lbe,ko
0,Auge::N,я,눈
1,Ohr::N,вичӏи,귀
2,Nase::N,май,코
3,Mund::N,кьацӏ,입
4,Zahn::N,ккарччи,이
5,Zunge::N,маз,혀
6,Lippe::N,мурччи,입술
7,Wange::N,чӏав,뺨
8,Gesicht::N,лажин,얼굴
9,Stirn::N,ненттабакӏ,이마
10,Haar::N,чӏара,털
11,Schnurrbart::N,ссирссилтту,윗수몀
12,Schnurrbart::N,ссирссилтту,코밑수염
13,Bart::N,чӏири,수엄
14,Kinn::N,лунттубакӏ,아래턱
15,Kiefer[Anatomie]::N,ххинчулул,턱
16,Kehle::N,кьакьари,인후
17,Hals::N,ссурссу,목
18,Genick::N,махъабакӏ,먹덜이
19,Kopf::N,бакӏ,머리
20,Rücken::N,ттиликӏ,든
21,Bauch::N,лякьа,배
22,Nabel::N,цӏумуккутӏ,배꼽
23,Busen::N,ккукку,가슴속
24,Brust::N,хъазам,가슴
25,Schulter::N,хъачӏ,어깨
26,Arm::N,ка,팔
27,Ellenbogen::N,ссюрхъ,팔쿰치
28,Hand::N,бартка,손
29,Handfläche::N,хъат,손바닥
30,Handfläche::N,битӏянхъ,손바닥
31,Finger::N,кӏисса,속가락
32,Fingernagel::N,михь,손톱
33,Nagel[Anatomie]::N,михь,손톱
34,Zeh::N,кӏисса,발가락
35,Fuß::N,чӏанччан,발
36,Ferse::N,никъа,발꿈치
37,Knie::N,ник,무릎
38,Oberschenkel::N,жира,허벅다리
39,Bein::N,ччан,다리
40,Körper::N,чурх,구간
41,Haut::N,бурчу,살갗
42,Blut::N,оь,피
43,Ader::N,тунну,정맥
44,Sehne::N,хьхьа,현
45,Knochen::N,ттаркӏ,뼈
46,Gehirn::N,ня,뇌
47,Gehirn::N,ня,뇌수
48,Herz::N,дакӏ,염통
49,Herz::N,къюкӏ,염통
50,Magen::N,лякьа,위
51,Atem::N,ссихӏ ласаву,기식
52,Atem::N,ссихӏ бигьаву,기식
53,Hunger::N,ккаши,공복
54,Träne::N,макь,눈물
55,Geschmack::N,тӏин,기호
56,Geschmack::N,тӏааьн,기호
57,Geruch::N,кьанкь,냄새
58,Schlaf::N,шану,수면
59,Traum::N,макӏру,쿰
60,Himmel::N,ссав,하늘
61,Sonne::N,баргъ,해
62,Mond::N,барз,달
63,Stern::N,цӏуку,별
64,Luft::N,гьава,동준
65,Luft::N,гьава,가스채
66,Wind::N,марч,바람
67,Welle::N,щатӏи,물결
68,Wasser::N,щин,물
69,Stein::N,чару,돌
70,Boden::N,аьрщи,바닥
71,Erde::N,аьрщи,흙
72,Staub::N,ххит,먼지
73,Rauch::N,пуркӏу,연기
74,Funke::N,пиягь,불티
75,Feuer::N,цӏу,불
76,Licht::N,чани,불
77,Schatten::N,ххют,어스레함
78,Wetter::N,гьава,기상
79,Nebel::N,шархь ттурлу,안개
80,Wolke::N,ттурлу,구름
81,Regen::N,гъарал,비
82,Schnee::N,марххала,눈
83,Eis::N,микӏ,얼음
84,Frost::N,дяркъу,혹한
85,Frost::N,замгьар,혹한
86,Kälte::N,дяркъу,추위
87,Kälte::N,дяркъу,차가움
88,Hitze::N,кӏиришиву,고온
89,Hitze::N,кӏиришиву,더위
90,Raureif::N,сил,
91,Raureif::N,бурса,
92,Regenbogen::N,ссурул ккуртта,무지개
93,Donner::N,къув,뇌명
94,Strömung::N,экьинанаву,유동
95,Tropfen::N,кӏунтӏ,물방울
96,Schaum::N,хьама,포말
97,Schmutz::N,кьяркьи,때
98,See::N,бяр,호수
99,Sumpf::N,кунцӏа,습지
100,Wiese::N,кьан,목초지
101,Wald::N,вацӏа,숲
102,Hügel::N,бакӏу,언덕
103,Berg::N,зунтту,산
104,Gipfel::N,мицӏ,졀졍
105,Höhle::N,нух,공동
106,Abhang::N,сун,몰매
107,Quelle::N,дайдихьу,근원
108,Quelle::N,бакӏ,근원
109,Bach::N,чӏрир нех,내
110,Fluss::N,нех,강
111,Ufer::N,зума,강변
112,Ufer::N,зума,바닷가
113,Küste::N,зумаинхалу,해변
114,Küste::N,зумаинхалу,해변가
115,Küste::N,зуманицӏалу,해변
116,Küste::N,зуманицӏалу,해변가
117,Festland::N,кьири,본토
118,Meer::N,хьхьири,바다
119,Insel::N,жазира,섬
120,Blume::N,тӏутӏи,꽃
121,Gras::N,уртту,풀
122,Wurzel::N,мархха,뿌리
123,Baum::N,мурхь,나무
124,Stamm::N,ттарцӏ,대
125,Rinde::N,ккамара,나무껍질
126,Ast::N,матӏи,가지
127,Zweig::N,къяртта,가지
128,Blatt::N,чӏапӏи,잎
129,Birke::N,кӏялахӏи,자작나무
130,Birke::N,кӏялахӏилул мурхь,자작나무
131,Kiefer[Baum]::N,ттар,소나무
132,Kiefer[Baum]::N,ттарлил мурхь,소나무
133,Weide[Baum]::N,щавщи,쉬양버들
134,Tanne::N,ттарлил мурхь,전나무
135,Horn::N,хъи,뿔
136,Feder::N,лелуххул тӏиму,깃털
137,Fell::N,бурчу,피혁모피
138,Flügel::N,хъа,날개
139,Flügel::N,ххурупӏайрал тӏиму,날개
140,Klaue::N,михь,갈고리 발톺
141,Kralle::N,ххяппа,발툭
142,Schwanz::N,магъ,꼬리
143,Ei::N,ккунук,알
144,Nest::N,кюру,보금자리
145,Bau::N,цукъуккутӏ,굴
146,Tier::N,хӏайван,짐승
147,Herde::N,газу,가축의떼
148,Kuh::N,оьл,암소
149,Bulle::N,ниц,황소
150,Pferd::N,чу,말
151,Schaf::N,тта,양
152,Schwein::N,дунгъуз,돼지
153,Hund::N,ккаччи,개
154,Katze::N,ччиту,고양이
155,Bär::N,цуша,콤
156,Eichhörnchen::N,бюрхттукку,다람쥐
157,Elch::N,ниц-бюрин,고라니
