,Concept_ID,os,lt
0,Auge::N,цӕст,akis
1,Ohr::N,хъус,ausis
2,Nase::N,фындз,nosis
3,Mund::N,дзых,burna
4,Zahn::N,дӕндаг,dantis
5,Zunge::N,ӕвзаг,liežuvis
6,Lippe::N,был,lūpa
7,Wange::N,рус,žandas
8,Wange::N,рус,skruostas
9,Wange::N,уадул,žandas
10,Wange::N,уадул,skruostas
11,Wange::N,ӕхсӕрфарс,žandas
12,Wange::N,ӕхсӕрфарс,skruostas
13,Gesicht::N,цӕсгом,veidas
14,Stirn::N,ных,kakta
15,Haar::N,хил,plaukai
16,Schnurrbart::N,рихи,ūsai
17,Bart::N,зачъе,barzda
18,Kinn::N,роцъо,smakras
19,Kiefer[Anatomie]::N,ӕфсӕр,žandikaulis
20,Kehle::N,хъуыр,gerklė
21,Hals::N,къубал,kaklas
22,Genick::N,къӕбут,sprandas
23,Kopf::N,сӕр,galva
24,Rücken::N,фӕсонтӕ,nugara
25,Bauch::N,гуыбын,pilvas
26,Nabel::N,бикъ,bamba
27,Busen::N,дзидзи,krūtinė
28,Brust::N,риу,krūtis
29,Schulter::N,уӕхск,petys
30,Arm::N,цонг,ranka
31,Ellenbogen::N,рæмбын,alkūnė
32,Hand::N,къух,ranka
33,Hand::N,къух,plaštaka
34,Handfläche::N,армытъӕпӕн,delnas
35,Handfläche::N,армытъӕпӕн,plaštaka
36,Finger::N,ӕнруылдз,pirštas
37,Fingernagel::N,ных,nagas
38,Nagel[Anatomie]::N,ных,nagas
39,Zeh::N,къух,pirštas
40,Fuß::N,фад,pėda
41,Ferse::N,зӕвӕт,kulnas
42,Knie::N,уӕраг,kelis
43,Oberschenkel::N,агъд,kulšis
44,Oberschenkel::N,агъд,šlaunis
45,Bein::N,зӕнг,koja
46,Körper::N,буар,kūnas
47,Haut::N,царм,oda
48,Blut::N,туг,kraujas
49,Ader::N,дадзин,kraujagyslė
50,Ader::N,тугдадзин,kraujagyslė
51,Sehne::N,хъиутæ,sausgyslė
