,Concept_ID,ady,cy
0,Auge::N,нэ,llygad
1,Ohr::N,тхьакӏу́м,clust
2,Nase::N,пэ,trwyn
3,Mund::N,жэ,ceg
4,Zahn::N,цэ,dant
5,Zunge::N,бзэгу,tafod
6,Lippe::N,ӏупшӏэ́,gwefus
7,Wange::N,нэкӏу́шъу,boch
8,Gesicht::N,нэ́гу,wyneb
9,Stirn::N,натӏэ́,talcen
10,Haar::N,шъхьацы́,blew
11,Bart::N,жакӏэ́,barf
12,Kinn::N,жэкӏэпэпкъ,gên
13,Kiefer[Anatomie]::N,жэпкъы́,gên
14,Kehle::N,чый,gwddf
15,Hals::N,пшъэ,gwddf
16,Genick::N,шъхьэпхэтыку,gwar
17,Genick::N,шъхьэпхэтыку,gwegil
18,Kopf::N,шъхьэ́,pen
19,Rücken::N,кӏыбы́,cefn
20,Bauch::N,ныбэ́,bol
21,Busen::N,бгъэ́,bron
22,Brust::N,бгъэ́,brest
23,Schulter::N,блыпкъ,ysgwydd
24,Arm::N,ӏэ,braich
25,Ellenbogen::N,ӏэнтэ́гъу,penelin
26,Hand::N,ӏэтхьэцу,llaw
27,Handfläche::N,ӏэ́гу,palf
28,Finger::N,ӏэхъуа́мб,bys
29,Fingernagel::N,ӏэбжъа́н,ewin
30,Nagel[Anatomie]::N,ӏэбжъа́н,ewin
31,Zeh::N,ӏэхъуа́мб,bys troed
32,Fuß::N,лъэгу,troed
33,Ferse::N,лъэдакъэ,sawdl
34,Knie::N,лъагуа́ндж,glin
35,Oberschenkel::N,ко,clun
36,Bein::N,лъакъо́,coes
37,Körper::N,пкъышъол,corff
38,Haut::N,кӏы́шъу,croen
39,Blut::N,лъы,gwaed
40,Ader::N,льытф,gwythïen
41,Sehne::N,фэ,gewyn
42,Knochen::N,къупшъхьэ́,asgwrn
43,Gehirn::N,куцӏы,ymennydd
44,Herz::N,гу,calon
45,Magen::N,мышкӏу,cylla
46,Magen::N,мышкӏу,stumog
47,Leber::N,шӏу,iau
48,Atem::N,къэщэныр,anadl
49,Hunger::N,гъаблэ́,newyn
50,Träne::N,нэпсы,deigryn
51,Geschmack::N,ӏэшӏугъа́кӏ,cyflas
52,Geruch::N,мэ,aroglau
53,Schlaf::N,пчыхьы́пӏ,cwsg
54,Traum::N,пчыхьы́пӏ,breuddwyd
55,Himmel::N,уашъо́,awyr
56,Sonne::N,тыгъэ,haul
57,Mond::N,мазэ,lleuad
58,Stern::N,жъуагъо́,seren
59,Luft::N,жьы,awyr
60,Wind::N,жьыбгъэ́,gwynt
61,Welle::N,ор,ton
62,Welle::N,оры,ton
63,Wasser::N,псы,dŵr
64,Stein::N,мыжъо́,carreg
65,Boden::N,чӏ́ыгу,llawr
66,Erde::N,чӏ́ыгу,pridd
67,Staub::N,сап,llwch
68,Rauch::N,ӏугъо́,mwg
69,Funke::N,мэшӏуа́ч,gwreichioni
70,Feuer::N,машӏо́,tân
71,Licht::N,нэфы,golau
72,Licht::N,нэфын,golau
73,Schatten::N,жьау́,cysgod
74,Schatten::N,ныбжьыкъу,cysgod
75,Nebel::N,пща́гъу,niwl
76,Wolke::N,ошъуапщэ,cwmwl
77,Regen::N,ощхы,glaw
78,Schnee::N,осы́,ôd
79,Schnee::N,осы́,eira
80,Eis::N,мылы,iâ
81,Kälte::N,чъыӏэ́,oerni
82,Kälte::N,чъыӏэ́,annwyd
83,Hitze::N,фэба́е,gwres
84,Regenbogen::N, лэгъупэкъо́пс,enfys
85,Donner::N,шыблэ́,tyrfau
86,Strömung::N,ток,cerrynt
87,Tropfen::N,ткӏопс,dafn
88,Tropfen::N,ткӏопс,diferyn
89,Tropfen::N,гъуаткӏу,dafn
90,Tropfen::N,гъуаткӏу,diferyn
91,Schaum::N,тхъурбэ,ewyn
92,Schmutz::N,псынжъы,baw
93,Schmutz::N,псынжъы,budreddi
94,See::N,хыку́м,llyn
95,See::N,псыхъура́й,llyn
96,Sumpf::N,орыжъ,cors
97,Moor::N,орыжъ,rhos
98,Wiese::N,хъупӏэ́,dôl
99,Wiese::N,мэкъупӏ,dôl
100,Wald::N,мэзы́,coedwig
101,Hügel::N,ӏуашъхь,bryn
102,Anhöhe::N,чӏыӏэтыгъ,bryn
103,Berg::N,къушъхьэ́,mynydd
104,Gipfel::N,шыгу,copa
105,Höhle::N,гъочӏэгъ,ogof
106,Abhang::N,чапэ,llethr
107,Quelle::N,псынэчэ́чъ,tarddiad
108,Quelle::N,псынэчэ́чъ,ffynhonnell
109,Bach::N,псышкуашку,nant
110,Bach::N,псышкуашку,afonig
111,Bach::N,псышкуашку,cornant
112,Fluss::N,псыхъо́,afon
113,Ufer::N,нэпкъы,glan
114,Küste::N,ӏушъо,traeth
115,Küste::N,ӏушъо,arfordir
116,Festland::N,чӏл́ыгу,tir
117,Meer::N,хы,môr
118,Bucht::N,хыблыгу,bae
119,Insel::N,хыгъэхъу́н,ynys
