,Concept_ID,tr,ba
0,Auge::N,göz,күҙ
1,Ohr::N,kulak,ҡолаҡ
2,Nase::N,burun,танау
3,Mund::N,ağız,ауыҙ
4,Zahn::N,diş,теш
5,Zunge::N,dil,тел
6,Lippe::N,dudak,ирен
7,Wange::N,yanak,яцаҡтар
8,Gesicht::N,yüz,бит
9,Stirn::N,alın,маңлай
10,Haar::N,saç,сәс
11,Schnurrbart::N,bıyık,мылтыҡ
12,Bart::N,sakal,һаҡал
13,Kinn::N,çene,эйэк
14,Kiefer[Anatomie]::N,çene,яңаҡ һөйәге
15,Kehle::N,boğaz,тамаҡ
16,Hals::N,boyun,муйын
17,Hals::N,gerdan,муйын
18,Genick::N,ense,соңҡа
19,Kopf::N,baş,баш
20,Kopf::N,kafa,баш
21,Rücken::N,arka,арҡа
22,Bauch::N,karın,ҡорһаҡ
23,Nabel::N,göbek,кендек
24,Busen::N,koyun,күкрәк
25,Brust::N,göğüs,түш
26,Schulter::N,omuz,яурын
27,Arm::N,kol,ҡул
28,Ellenbogen::N,dirsek,терһәк
29,Hand::N,el,ҡул
30,Hand::N,el,ҡул суғы
31,Handfläche::N,avuç,ус төбө
32,Handfläche::N,el ayası,ус төбө
33,Finger::N,parmak,бармаҡ
34,Fingernagel::N,el tırnağı,тырнаҡ
35,Nagel[Anatomie]::N,tırnak,тырнаҡ
36,Zeh::N,ayak parmağı,бармаҡ
37,Fuß::N,ayak,табан
38,Ferse::N,topuk,үксә
39,Knie::N,diz,тубыҡ
40,Oberschenkel::N,uyluk,сандыр
41,Bein::N,bacak,аяҡ
42,Körper::N,vücut,тән
43,Haut::N,cilt,тире
44,Blut::N,kan,ҡан
45,Ader::N,damar,тамыр
46,Sehne::N,kiriş,һеңер
47,Sehne::N,kiriş,тарамыш
48,Knochen::N,kemik,һойәк
49,Gehirn::N,beyin,мейе
50,Herz::N,kalp,йорәк
51,Herz::N,yürek,йорәк
52,Magen::N,mide,ашҡаҙан
53,Leber::N,karaciğer,бауыр
54,Atem::N,nefes,һулыш
55,Hunger::N,açlık,аслыҡ
56,Träne::N,gözyaşı,күҙ иәше
57,Geschmack::N,tat,тәм
58,Geschmack::N,lezzet,тәм
59,Geruch::N,koku,еҫ
60,Schlaf::N,uyku,йоҡлау
61,Traum::N,düş,төш
62,Traum::N,rüya,төш
63,Himmel::N,gök,күк
64,Sonne::N,güneş,ҡояш
65,Mond::N,ay,ай
66,Stern::N,yıldız,йондоҙ
67,Luft::N,hava,һауа
68,Wind::N,yel,ел
69,Wind::N,rüzgâr,ел
70,Welle::N,dalga,тулҡын
71,Wasser::N,su,һыу
72,Stein::N,taş,таш
73,Boden::N,yer,тупраҡ
74,Boden::N,zemin,тупраҡ
75,Erde::N,toprak,балсҡ
76,Staub::N,toz,туҙан
77,Rauch::N,duman,төтөн
78,Funke::N,kıvılcım,осҡон
79,Feuer::N,ateş,ут
80,Licht::N,ışık,яҡтылыҡ
81,Schatten::N,gölge,күләгә
82,Wetter::N,hava,һауа торошо
83,Nebel::N,pus,төман
84,Wolke::N,bulut,болот
85,Regen::N,yağmur,ямғыр
86,Schnee::N,kar,ҡар
87,Eis::N,buz,боҙ
88,Frost::N,don,һалҡын
89,Kälte::N,soğukluk,һыуыҡ
90,Hitze::N,sıcaklık,томра
91,Hitze::N,sıcaklık,эҫелек
92,Raureif::N,kırç,ҡырау
93,Regenbogen::N,gökkuşağı,йәйғор
94,Donner::N,gök gürlemesi,күк күкрәү
95,Strömung::N,akıntı,ағым
96,Strömung::N,cereyan,ағым
97,Tropfen::N,damla,тамсы
98,Schaum::N,köpük,күбек
99,Schmutz::N,çamur,батҡаҡ
100,Schmutz::N,pislik,батҡаҡ
101,See::N,göl,күл
102,Sumpf::N,batak,һаҙлык
103,Moor::N,cılgıt,һаҙ
104,Wiese::N,çimen,болон
105,Wald::N,koru,урман
106,Wald::N,orman,урман
