,Concept_ID,hr,ce
0,Auge::N,oko,бӏаьрг
1,Ohr::N,uho,лерг
2,Nase::N,nos,мара
3,Mund::N,usta,бага
4,Zahn::N,zub,церг
5,Zunge::N,jezik,мотт
6,Lippe::N,usna,балда
7,Wange::N,obraz,бесни
8,Gesicht::N,lice,юьхь
9,Stirn::N,čelo,хьаж
10,Haar::N,kosa,мас
11,Schnurrbart::N,brkovi,мекх
12,Bart::N,brada,маж
13,Kinn::N,brada,чӏениг
14,Kinn::N,podbradak,чӏениг
15,Kiefer[Anatomie]::N,čeljust,мочхал
16,Kehle::N,grlo,къамкъарг
17,Hals::N,vrat,ворта
18,Genick::N,zatiljak,кӏесаркӏаг
19,Kopf::N,glava,корта
20,Rücken::N,leđa,букъ
21,Rücken::N,hrbat,букъ
22,Bauch::N,trbuh,кийра
23,Nabel::N,pupak,цӏонга
24,Busen::N,sisa,зударийн накха
25,Busen::N,njedra,зударийн накха
26,Brust::N,prsa,накха
27,Schulter::N,rame,белш
28,Schulter::N,pleći,белш
29,Arm::N,ruka,пхьарс
30,Ellenbogen::N,lakat,пхьаьрсан гола
31,Hand::N,ruka,куьг
32,Handfläche::N,dlan,кераюкъ
33,Finger::N,prst,пӏелг
34,Fingernagel::N,nokat,мӏара
35,Nagel[Anatomie]::N,nokat,мӏара
36,Zeh::N,nozni prst,кога пӏелг
37,Fuß::N,noga,ког
38,Fuß::N,stopalo,ког
39,Ferse::N,peta,кӏажа
40,Knie::N,koljeno,гола
41,Oberschenkel::N,bedro,варе
42,Bein::N,noga,ког
43,Körper::N,tijelo,хӏума
44,Haut::N,put,чкъор
45,Haut::N,koža,чкъор
46,Blut::N,krv,цӏий
47,Ader::N,žila,пха
48,Sehne::N,tetiva,хьорзам
49,Knochen::N,kost,даьӏахк
50,Herz::N,srce,дог
51,Magen::N,stomak,зорх
52,Magen::N,želudac,зорх
53,Leber::N,jetra,доӏах
54,Atem::N,dah,садеӏар
55,Hunger::N,glad,мацалла
56,Träne::N,suza,бӏаьрхи
57,Geschmack::N,ukus,чам
58,Geruch::N,njuh,хьожа
59,Geruch::N,miris,хьожа
60,Schlaf::N,san,наб
61,Traum::N,san,гӏан
62,Himmel::N,nebo,стигал
63,Sonne::N,sunce,малх
64,Mond::N,mjesec,бутт
65,Stern::N,zvijezda,седа
66,Luft::N,zrak,xӏаваъ
67,Wind::N,vjetar,мох
68,Welle::N,val,тулгӏе
69,Welle::N,talas,тулгӏе
70,Wasser::N,voda,хи
71,Stein::N,kamen,тӏулг
72,Boden::N,tlo,цӏенкъа
73,Boden::N,zemlja,цӏенкъа
74,Erde::N,zemlja,латта
75,Staub::N,prah,чан
76,Staub::N,prašina,чан
77,Rauch::N,dim,кӏур
78,Funke::N,iskra,суй
79,Funke::N,varnica,суй
80,Feuer::N,vatra,цӏе
81,Licht::N,svjetlo,серло
82,Schatten::N,hlad,ӏиндагӏ
83,Schatten::N,sjena,ӏиндагӏ
84,Wetter::N,vrijeme,хенан хӏоттам
85,Nebel::N,magla,дохк
86,Wolke::N,oblak,марха
87,Regen::N,kiša,догӏа
88,Schnee::N,snijeg,ло
89,Eis::N,led,ша
90,Frost::N,mraz,шело
91,Kälte::N,studen,шело
92,Kälte::N,hladnoća,шело
93,Hitze::N,vrućina,йовхо
94,Raureif::N,inje,йис
95,Regenbogen::N,duga,стелаӏад
96,Donner::N,grom,ткъес
97,Donner::N,grmljavina,ткъес
98,Strömung::N,struja,дӏаэхар
99,Strömung::N,struja,дӏасалелар
100,Strömung::N,strujanje,дӏаэхар
101,Strömung::N,strujanje,дӏасалелар
102,Tropfen::N,kap,тӏадам
103,Tropfen::N,kaplja,тӏадам
104,Schaum::N,pjena,чопа
105,Schmutz::N,nečistoća,хатт
106,Schmutz::N,prljavština,хатт
107,See::N,jezero,ӏам
108,Sumpf::N,bara,уьшал
109,Moor::N,močvara,уьшал
110,Wiese::N,livada,бай
111,Wald::N,šuma,хьун
112,Hügel::N,brijeg,гу
113,Hügel::N,brijeg,шу
114,Hügel::N,brijeg,барз
115,Hügel::N,brežuljak,гу
116,Hügel::N,brežuljak,шу
117,Hügel::N,brežuljak,барз
118,Anhöhe::N,uzvišica,акъари
119,Berg::N,brdo,лам
120,Gipfel::N,vrh,бохь
121,Höhle::N,pećina,хьех
122,Höhle::N,spilja,хьех
123,Abhang::N,obronak,басе
124,Abhang::N,nizbrdica,басе
125,Quelle::N,izvor,шовда
126,Quelle::N,vrelo,шовда
127,Bach::N,potok,татол
128,Fluss::N,rijeka,хи
129,Ufer::N,obala,хийист
130,Küste::N,obala,йист
131,Küste::N,morska obala,йист
132,Festland::N,kopno,латта
133,Meer::N,more,xӏорд
134,Bucht::N,zaliv,чож
135,Insel::N,ada,гӏайре
136,Insel::N,otok,гӏайре
137,Blume::N,cvijet,зезаг
138,Gras::N,trava,буц
139,Wurzel::N,korijen,орам
140,Baum::N,drvo,дитт
141,Baum::N,stablo,дитт
142,Stamm::N,deblo,гӏад
143,Stamm::N,deblo,тайпа
144,Stamm::N,stablo,гӏад
145,Stamm::N,stablo,тайпа
146,Rinde::N,kora,кевстиг
147,Ast::N,grana,га
148,Zweig::N,grana,га
149,Blatt::N,list,гӏа
150,Birke::N,breza,дакх
151,Kiefer[Baum]::N,bor,бага
152,Weide[Baum]::N,iva,дак
153,Weide[Baum]::N,vŕba,дак
154,Tanne::N,jela,база
155,Horn::N,rog,маӏа
156,Feder::N,pero,пелаг
157,Fell::N,koža,цӏока
158,Flügel::N,krilo,тӏам
159,Klaue::N,papak,мӏара
160,Kralle::N,pandža,тlод
161,Schwanz::N,rep,цӏога
162,Ei::N,jaje,xӏoa
163,Nest::N,gnijezdo,бен
164,Bau::N,jazbina,lуьрг
165,Tier::N,životinja,дийнат
166,Herde::N,krdo,жа
