,Concept_ID,ar,pt
0,Auge::N,عين,olho
1,Ohr::N,أذن,orelha
2,Nase::N,أنف,nariz
3,Mund::N,فم,boca
4,Zahn::N,سن,dente
5,Zunge::N,لسان,língua
6,Lippe::N,شفة,lábio
7,Wange::N,خد,face
8,Wange::N,وجنة,face
9,Gesicht::N,وجه,cara
10,Gesicht::N,وجه,rosto
11,Stirn::N,جبين,testa
12,Haar::N,شعر,cabelo
13,Schnurrbart::N,شارب,bigode
14,Bart::N,لحية,barba
15,Kinn::N,ذقن,queixo
16,Kiefer[Anatomie]::N,فك,maxila
17,Kiefer[Anatomie]::N,فك,mandíbula
18,Kehle::N,حلق,garganta
19,Hals::N,عنق,colo
20,Hals::N,عنق,pescoço
21,Hals::N,رقبة,colo
22,Hals::N,رقبة,pescoço
23,Genick::N,قفا,nuca
24,Kopf::N,رأس,cabeça
25,Rücken::N,ظهر,dorso
26,Rücken::N,ظهر,costas
27,Bauch::N,بطن,ventre
28,Bauch::N,بطن,barriga
29,Nabel::N,سرة,umbigo
30,Busen::N,ثدي,seio
31,Brust::N,صدر,peito
32,Schulter::N,كتف,ombro
33,Arm::N,ذراع,braço
34,Ellenbogen::N,كوع,cotovelo
35,Hand::N,يد,mão
36,Handfläche::N,كف,palma
37,Handfläche::N,كف,palma da mão
38,Finger::N,إصبع,dedo
39,Fingernagel::N,ظفر,unha
40,Nagel[Anatomie]::N,ظفر,unha
41,Zeh::N,إصبع القدم,dedo do pé
42,Fuß::N,قدم,pé
43,Ferse::N,كعب,calcanhar
44,Knie::N,ركبة,joelho
45,Oberschenkel::N,فخذ,coxa
46,Bein::N,ساق,perna
47,Körper::N,جسم,corpo
48,Haut::N,بشرة,pele
49,Blut::N,دم,sangue
50,Ader::N,عرق,veia
51,Sehne::N,طنب,tendão
52,Knochen::N,عظم,osso
53,Gehirn::N,دماغ,cérebro
54,Herz::N,قلب,coração
55,Magen::N,معدة,estômago
56,Leber::N,كبد,fígado
57,Atem::N,نفس,fôlego
58,Hunger::N,جوع,fome
59,Träne::N,دمعة,lágrima
60,Geschmack::N,طعم,gosto
61,Geschmack::N,مذاق,gosto
62,Geruch::N,رائحة,odor
63,Geruch::N,رائحة,cheiro
64,Schlaf::N,نوم,sono
65,Schlaf::N,منام,sono
66,Traum::N,حلم,sonho
67,Himmel::N,سماء,céu
68,Sonne::N,شمس,sol
69,Mond::N,قمر,lua
70,Stern::N,نجم,estrela
71,Stern::N,كوكب,estrela
72,Luft::N,هواء,ar
73,Wind::N,ريح,vento
74,Welle::N,موجة,onda
75,Wasser::N,ماء,água
76,Stein::N,حجر,pedra
77,Boden::N,تراب,solo
78,Erde::N,أرض,terra
79,Staub::N,غبار,pó
80,Rauch::N,دخان,fumo
81,Funke::N,شرارة,faísca
82,Funke::N,شرارة,centelha
83,Feuer::N,نار,fogo
84,Licht::N,نور,luz
85,Licht::N,ضوء,luz
86,Schatten::N,ظل,sombra
87,Schatten::N,فيء,sombra
88,Wetter::N,جو,tempo
89,Wetter::N,طقس,tempo
90,Nebel::N,ضباب,nevoeiro
91,Wolke::N,غيمة,nuvem
92,Wolke::N,سحابة,nuvem
93,Regen::N,مطر,chuva
94,Schnee::N,ثلج,neve
95,Eis::N,جليد,gelo
96,Frost::N,صقيع,gelo
97,Frost::N,صقيع,geada
98,Kälte::N,برد,frio
99,Hitze::N,حر,ardor
100,Hitze::N,حرارة,ardor
101,Raureif::N,صقيع,geada
102,Regenbogen::N,قوس قزح,arco-iris
103,Donner::N,رعد,trovão
104,Strömung::N,تيار,corrente
105,Tropfen::N,قطرة,gota
106,Schaum::N,زبد,espuma
107,Schaum::N,رغوة,espuma
108,Schmutz::N,وسخ,sujidade
109,Schmutz::N,وسخ,imundície
110,See::N,بحيرة,lago
111,Sumpf::N,مستنقع,charco
112,Sumpf::N,مستنقع,pântano
113,Moor::N,مستنقع,pântano
114,Wiese::N,مرج,prado
115,Wald::N,غابة,bosque
116,Wald::N,غابة,floresta
117,Hügel::N,تل,colina
118,Anhöhe::N,تل,alto
119,Anhöhe::N,تل,outeiro
120,Berg::N,جبل,monte
121,Berg::N,جبل,montanha
122,Gipfel::N,قمة,pico
123,Höhle::N,كهف,caverna
124,Abhang::N,منحدر,encosta
125,Quelle::N,منبع,fonte
126,Bach::N,مجرى,regato
127,Bach::N,مجرى,ribeiro
128,Fluss::N,نهر,rio
129,Ufer::N,ضفة,beira
130,Küste::N,ساحل,costa
131,Festland::N,بر,terra firme
132,Meer::N,بحر,mar
133,Bucht::N,خليج,baía
134,Insel::N,جزيرة,ilha
135,Blume::N,زهرة,flor
136,Gras::N,حشيش,erva
137,Wurzel::N,أصل,raiz
138,Baum::N,شجرة,árvore
139,Stamm::N,جذع,tronco
140,Rinde::N,قشرة,casca
141,Ast::N,فرع,ramo
142,Zweig::N,غصن,galho
143,Blatt::N,ورقة,folha
144,Birke::N,قضبان,bétula
145,Kiefer[Baum]::N,صنوبرة,pinheiro
146,Weide[Baum]::N,صفصاف,salgueiro
147,Tanne::N,شوح,abeto
148,Tanne::N,تبوب,abeto
149,Horn::N,قرن,corno
150,Horn::N,قرن,chifre
151,Feder::N,ريشة,pena
152,Fell::N,فرو,pele
153,Flügel::N,جناح,asa
154,Klaue::N,مخلب,pata
155,Kralle::N,مخلب,unha
156,Kralle::N,مخلب,garra
157,Schwanz::N,ذيل,rabo
158,Schwanz::N,ذيل,cauda
159,Ei::N,بيض,ovo
160,Nest::N,عش,ninho
161,Bau::N,جحر,toca
162,Bau::N,جحر,covil
163,Tier::N,حيوان,animal
164,Herde::N,قطيع,rebanho
165,Kuh::N,بقرة,vaca
166,Bulle::N,ثور,touro
167,Pferd::N,خيل,cavalo
168,Schaf::N,شاة,ovelha
169,Schwein::N,خنزير,porco
170,Hund::N,كلب,cão
171,Katze::N,قطة,gata
172,Bär::N,دب,urso
173,Eichhörnchen::N,سنجاب,esquilo
174,Elch::N,موظ,alce
175,Fuchs::N,ثعلب,raposa
176,Hase::N,أرنب,lebre
