,Concept_ID,cv,de
0,Auge::N,куҫ,Auge
1,Ohr::N,хӑлха,Ohr
2,Nase::N,сӑмса,Nase
3,Mund::N,ҫӑвар,Mund
4,Zahn::N,шӑл,Zahn
5,Zunge::N,чӗлхе,Zunge
6,Lippe::N,тута,Lippe
7,Wange::N,пит ҫӑмарти,Wange
8,Gesicht::N,пит,Gesicht
9,Gesicht::N,пит-куҫ,Gesicht
10,Stirn::N,ҫамка,Stirn
11,Haar::N,ҫӳҫ,Haar
12,Schnurrbart::N,усси,Schnurrbart
13,Bart::N,сухал,Bart
14,Kinn::N,янах,Kinn
15,Kiefer[Anatomie]::N,янах,Kiefer
16,Kehle::N,пыр,Kehle
17,Kehle::N,карланкӑ,Kehle
18,Hals::N,пыр,Hals
19,Genick::N,ӗнсе,Genick
20,Kopf::N,пуҫ,Kopf
21,Rücken::N,ҫурӑм,Rücken
22,Nabel::N,кӑвапа,Nabel
23,Busen::N,кӑкӑр,Busen
24,Brust::N,умӗ,Brust
25,Schulter::N,хул пуҫҫи,Schulter
26,Arm::N,алӑ,Arm
27,Ellenbogen::N,чавса,Ellenbogen
28,Hand::N,алӑ сыппи,Hand
29,Handfläche::N,ал лаппи,Handfläche
30,Finger::N,пӳрне,Finger
31,Fingernagel::N,чӗрне,Fingernagel
32,Nagel[Anatomie]::N,чӗрне,Nagel
33,Zeh::N,пӳрне,Zeh
34,Fuß::N,ура лаппи,Fuß
35,Ferse::N,кӗле,Ferse
36,Knie::N,чӗркуҫҫи,Knie
37,Oberschenkel::N,пӗҫӗ,Oberschenkel
38,Bein::N,ура,Bein
39,Körper::N,ӳт,Körper
40,Körper::N,ӳт-пӳ,Körper
41,Haut::N,тир,Haut
42,Blut::N,юн,Blut
43,Ader::N,вена,Ader
44,Sehne::N,шӑнӑр,Sehne
45,Knochen::N,шӑмӑ,Knochen
46,Gehirn::N,миме,Gehirn
47,Herz::N,чӗре,Herz
48,Magen::N,хырӑмлӑх,Magen
49,Leber::N,пӗвер,Leber
50,Atem::N,сывлав,Atem
51,Hunger::N,выҫлӑх,Hunger
52,Träne::N,куҫҫуль,Träne
53,Geschmack::N,техӗм,Geschmack
54,Geruch::N,шӑршӑ,Geruch
55,Schlaf::N,ыйхӑ,Schlaf
56,Traum::N,тӗлӗк,Traum
57,Himmel::N,пӗлӗт,Himmel
58,Sonne::N,хӗвел,Sonne
59,Mond::N,уйӑх,Mond
60,Stern::N,ҫӑлтӑр,Stern
61,Luft::N,сывлӑш,Luft
62,Wind::N,ҫил,Wind
63,Welle::N,хум,Welle
64,Wasser::N,шыв,Wasser
65,Wasser::N,шыв-шур,Wasser
66,Stein::N,чул,Stein
67,Boden::N,тӑпра,Boden
68,Erde::N,ҫӗр,Erde
69,Staub::N,тусан,Staub
70,Rauch::N,тӗтӗм,Rauch
71,Funke::N,хӗм,Funke
72,Feuer::N,вут,Feuer
73,Feuer::N,ҫулӑм,Feuer
74,Licht::N,ҫутӑ,Licht
75,Schatten::N,сулхӑн,Schatten
