,Concept_ID,eu,mdf
0,Auge::N,begi,сельме
1,Ohr::N,belarri,пиле
2,Nase::N,sudur,шалхка
3,Mund::N,aho,курга
4,Zahn::N,hortz,пей
5,Zunge::N,mihi,кяль
6,Lippe::N,ezpain,търва́
7,Wange::N,masail,щёка
8,Gesicht::N,aurpegi,шама
9,Stirn::N,bekoki,коня
10,Haar::N,ile,шя́ярь
11,Haar::N,bilo,шя́ярь
12,Schnurrbart::N,bibote,уса́
13,Schnurrbart::N,sudurpeko,уса́
14,Bart::N,bizar,сакал
15,Kinn::N,kokots,ула
16,Kiefer[Anatomie]::N,masailezur,саласка
17,Kehle::N,eztarri,кълдома
18,Kehle::N,eztarri,кърга́парь
19,Hals::N,sama,сялдаз
20,Genick::N,garondo,шовонь
21,Kopf::N,buru,пря
22,Rücken::N,bizkar,копорь
23,Bauch::N,sabel,пеке
24,Nabel::N,zilbor,по́кон
25,Busen::N,titi,потя
26,Busen::N,ugatz,потя
27,Brust::N,bular,мяште
28,Schulter::N,besaburu,лафту
29,Arm::N,beso,кядь
30,Ellenbogen::N,ukondo,кенерьба́карь
31,Hand::N,esku,кядь
32,Handfläche::N,ahur,кядьлапш
33,Finger::N,hatz,сур
34,Fingernagel::N,azazkal,кенже
35,Nagel[Anatomie]::N,azazkal,кенже
36,Zeh::N,behatz,пильгосу́р
37,Fuß::N,oin,пильге
38,Fuß::N,oin,пильгелапа
39,Ferse::N,orpo,кочкяря
40,Ferse::N,oinburu,кочкяря
41,Knie::N,belaun,эль
42,Knie::N,belaun,пълма́нжа
43,Oberschenkel::N,izter,пильгепукша
44,Bein::N,zango,пильге
45,Körper::N,soin,ро́нга
46,Körper::N,soin,по́нда
47,Haut::N,azal,киське
48,Blut::N,odol,вер
49,Ader::N,zain,сан
50,Ader::N,zain,верза́н
51,Sehne::N,gihar-zain,коське сан
52,Knochen::N,hezur,пакарь
53,Gehirn::N,garun,уй
54,Gehirn::N,burmuin,уй
55,Herz::N,bihotz,седи
56,Magen::N,urdail,коткърдазь
57,Leber::N,gibel,макса
58,Atem::N,hats,лекома
59,Atem::N,hats,ваймонь тарксема
60,Atem::N,arnasa,лекома
61,Atem::N,arnasa,ваймонь тарксема
62,Hunger::N,gose,вачеши
63,Träne::N,malko,сельмове́дь
64,Geschmack::N,dasta,таньф
65,Geruch::N,usain,шине
66,Schlaf::N,lo,удома́
67,Traum::N,amets,он
68,Himmel::N,zeru,менель
69,Sonne::N,eguzki,ши
70,Mond::N,ilargi,ков
71,Stern::N,izar,тяште
72,Luft::N,aire,кожф
73,Wind::N,haize,варма
74,Welle::N,uhin,тавла
75,Welle::N,olatu,тавла
76,Wasser::N,ur,ведь
77,Stein::N,harri,кев
78,Boden::N,lur,мода
79,Boden::N,lur,потмакс
80,Boden::N,zoru,мода
81,Boden::N,zoru,потмакс
82,Erde::N,lur,мода
83,Erde::N,lur,мастор
84,Staub::N,hauts,пуль
85,Rauch::N,ke,качам
86,Funke::N,zirta,ця́тка
87,Funke::N,txinparta,ця́тка
88,Feuer::N,su,тол
89,Licht::N,argi,ва́лда
90,Schatten::N,itzal,цильф
91,Schatten::N,geriza,цильф
92,Wetter::N,eguraldi,уша
93,Nebel::N,laino,тума́н
94,Wolke::N,hodei,ковол
95,Regen::N,euri,пизем
96,Schnee::N,elur,лов
97,Eis::N,horma,эй
98,Frost::N,izotzaldi,ке́льме
99,Kälte::N,hotz,якшама
100,Hitze::N,bero,пси
101,Raureif::N,antzigar,леш
102,Regenbogen::N,ostadar,а́тямъёнга
103,Regenbogen::N,ortzadar,а́тямъёнга
104,Donner::N,ostots,атям
105,Donner::N,ihurtzuri,атям
106,Strömung::N,laster,шудема́
107,Tropfen::N,xorta,путькс
108,Tropfen::N,xorta,пътняфкс
109,Schaum::N,bits,шов
110,Schmutz::N,lohi,ърда́з
111,Schmutz::N,zikin,ърда́з
112,See::N,laku,эрьхке
113,See::N,aintzira,эрьхке
114,Sumpf::N,zingira,шяй
115,Moor::N,zohikaztegi,шяй
116,Wiese::N,larre,луга
117,Wiese::N,belardi,луга
118,Wald::N,baso,вирь
119,Wald::N,oihan,вирь
120,Hügel::N,muino,губо́р
121,Hügel::N,muino,пандоня
122,Hügel::N,pentoka,губо́р
123,Hügel::N,pentoka,пандоня
124,Anhöhe::N,garai,губо́р
125,Anhöhe::N,goragune,губо́р
126,Berg::N,mendi,панда
127,Gipfel::N,gain,пря
128,Gipfel::N,tontor,пря
129,Höhle::N,kobazulo,у́нда
130,Abhang::N,aldapa,па́нда ша́ма
131,Quelle::N,iturri,эшиня
132,Quelle::N,iturbegi,эшиня
133,Bach::N,lats,шудерькс
134,Bach::N,erreka,шудерькс
135,Fluss::N,ibai,ляй
136,Fluss::N,uhaitz,ляй
137,Ufer::N,bazter,търва́
138,Küste::N,itsasalde,ляйтърва́
139,Festland::N,lehor,мода
140,Meer::N,itsaso,моря
141,Bucht::N,golko,ведьуське
142,Insel::N,irla,цёнга
143,Insel::N,uharte,цёнга
144,Blume::N,lili,панчф
145,Gras::N,belar,тише
146,Wurzel::N,zuztar,юр
147,Wurzel::N,zuztar,ункс
