,Concept_ID,ro,udm
0,Auge::N,ochi,син
1,Ohr::N,ureche,пель
2,Nase::N,nas,ныр
3,Mund::N,gură,ым
4,Zahn::N,dinte,пинь
5,Zunge::N,limbă,кыл
6,Lippe::N,buză,ымдур
7,Wange::N,bucă,бам
8,Wange::N,obraz,бам
9,Gesicht::N,față,ымныр
10,Gesicht::N,figură,ымныр
11,Stirn::N,frunte,кымес
12,Haar::N,păr,йырси
13,Schnurrbart::N,mustață,мыйык
14,Bart::N,barbă,туш
15,Kinn::N,bărbie,ангес
16,Kiefer[Anatomie]::N,falcă,ан
17,Kiefer[Anatomie]::N,falcă,анлы
18,Kehle::N,beregată,гульым
19,Hals::N,gât,чырты
20,Genick::N,ceafă,йырбер
21,Kopf::N,cap,йыр
22,Rücken::N,dos,мыш
23,Rücken::N,spate,мыш
24,Rücken::N,spinare,мыш
25,Bauch::N,burtă,кӧт
26,Bauch::N,pântece,кӧт
27,Nabel::N,buric,гогы
28,Busen::N,sân,ноны
29,Brust::N,piept,мӧля
30,Schulter::N,umăr,пельпум
31,Schulter::N,spate,пельпум
32,Arm::N,braț,суй
33,Ellenbogen::N,cot,гырпум
34,Hand::N,mână,ки
35,Handfläche::N,palmă,ки пыдэс
36,Handfläche::N,palmă,кырым пыдэс
37,Finger::N,deget,чиньы
38,Fingernagel::N,unghie,гижы
39,Fingernagel::N,unghie,гиждӥнь
40,Nagel[Anatomie]::N,unghie,гижы
41,Zeh::N,deget de la picior,пыдчиньы
42,Fuß::N,picior,пыд
43,Ferse::N,călcâi,пыдбер
44,Knie::N,genunchi,пыдес
45,Oberschenkel::N,coapsă,макес
46,Bein::N,picior,пыд
47,Körper::N,corp,мугор
48,Körper::N,corp,вылтыр
49,Haut::N,piele,ку
50,Blut::N,sânge,вир
51,Ader::N,vână,вирсэр
52,Ader::N,arteră,вирсэр
53,Sehne::N,tendon,вуж
54,Knochen::N,os,лы
55,Gehirn::N,creier,вим
56,Herz::N,inimă,сюлэм
57,Magen::N,stomac,ӝуш
58,Leber::N,ficat,мус
59,Atem::N,răsuflare,лул
60,Atem::N,răsuflare,шокан
61,Atem::N,respirație,лул
62,Atem::N,respirație,шокан
63,Hunger::N,foame,кӧтсюман
64,Träne::N,lacrimă,синкыли
65,Geschmack::N,gust,шӧм
66,Geruch::N,miros,зын
67,Schlaf::N,somn,вӧт
68,Traum::N,vis,уйвӧт
69,Himmel::N,cer,ин
70,Sonne::N,soare,шунды
71,Mond::N,lună,толэзь
72,Stern::N,stea,кизили
73,Luft::N,aer,омыр
74,Wind::N,vânt,тӧл
75,Welle::N,val,тулкым
76,Welle::N,undă,тулкым
77,Wasser::N,apă,ву
78,Stein::N,piatră,из
79,Boden::N,sol,музъем
80,Boden::N,pământ,музъем
81,Erde::N,pământ,му
82,Staub::N,praf,пыль
83,Rauch::N,fum,ӵын
84,Funke::N,scânteie,гизьы
85,Feuer::N,foc,тыл
86,Licht::N,lumină,тыл
87,Schatten::N,umbră,вужер
88,Wetter::N,timp,куазь
89,Wetter::N,vreme,куазь
90,Nebel::N,ceață,бус
91,Nebel::N,negură,бус
92,Wolke::N,nor,пилем
93,Regen::N,ploaie,зор
94,Schnee::N,zăpadă,лымы
95,Eis::N,gheață,йӧ
96,Frost::N,ger,кезьыт
97,Kälte::N,frig,кезьыт
98,Hitze::N,arșiță,пӧсь
99,Hitze::N,căldură,пӧсь
100,Raureif::N,chiciură,гӧр
101,Regenbogen::N,curcubeu,вуюись
102,Donner::N,tunet,гудыри
103,Strömung::N,curent,бызён
104,Tropfen::N,picătură,шапык
105,Schaum::N,spumă,шукы
106,Schmutz::N,murdărie,нӧд
107,Schmutz::N,murdărie,дэри
108,See::N,lac,ты
109,Sumpf::N,mlaștină,нюр
110,Moor::N,bărăgan,нюр
111,Wiese::N,fânaț,возь
112,Wiese::N,fânaț,возьвыл
113,Wiese::N,livadă,возь
114,Wiese::N,livadă,возьвыл
115,Wald::N,codru,сик
116,Wald::N,codru,нюлэс
117,Wald::N,pădure,сик
118,Wald::N,pădure,нюлэс
119,Hügel::N,deal,выр
120,Hügel::N,deal,вырйыл
121,Hügel::N,movilă,выр
122,Hügel::N,movilă,вырйыл
