,Concept_ID,udm,uz
0,Auge::N,син,ko'z
1,Ohr::N,пель,quloq
2,Nase::N,ныр,burun
3,Mund::N,ым,og'iz
4,Zahn::N,пинь,tish
5,Zunge::N,кыл,til
6,Lippe::N,ымдур,dudoq
7,Wange::N,бам,bet
8,Gesicht::N,ымныр,yuz
9,Stirn::N,кымес,manglay
10,Haar::N,йырси,soch
11,Schnurrbart::N,мыйык,mo'ylov
12,Bart::N,туш,soqol
13,Kinn::N,ангес,ängak
14,Kiefer[Anatomie]::N,ан,iyak
15,Kiefer[Anatomie]::N,анлы,iyak
16,Kehle::N,гульым,bo'g'iz
17,Hals::N,чырты,bo'yin
18,Genick::N,йырбер,gardan
19,Kopf::N,йыр,bosh
20,Rücken::N,мыш,orqa
21,Bauch::N,кӧт,qorin
22,Nabel::N,гогы,kindik
23,Busen::N,ноны,ämchak
24,Brust::N,мӧля,ko'krak
25,Schulter::N,пельпум,elka
26,Arm::N,суй,bilak
27,Ellenbogen::N,гырпум,tirsak
28,Hand::N,ки,qo'l
29,Handfläche::N,ки пыдэс,kaft
30,Handfläche::N,кырым пыдэс,kaft
31,Finger::N,чиньы,barmoq
32,Fingernagel::N,гижы,tirnoq
33,Fingernagel::N,гиждӥнь,tirnoq
34,Nagel[Anatomie]::N,гижы,tirnoq
35,Zeh::N,пыдчиньы,oyoq barmog'i
36,Fuß::N,пыд,oyoq
37,Ferse::N,пыдбер,tovon
38,Knie::N,пыдес,tiz
39,Oberschenkel::N,макес,son
40,Bein::N,пыд,oyoq
41,Körper::N,мугор,badna
42,Körper::N,вылтыр,badna
43,Haut::N,ку,teri
44,Blut::N,вир,qon
45,Ader::N,вирсэр,qon tomir
46,Sehne::N,вуж,tomir
47,Knochen::N,лы,suyak
48,Gehirn::N,вим,miya
49,Herz::N,сюлэм,qalb
50,Magen::N,ӝуш,oshqozon
51,Leber::N,мус,bag'ir
52,Atem::N,лул,dam
53,Atem::N,шокан,dam
54,Hunger::N,кӧтсюман,ochlik
55,Träne::N,синкыли,yosh
56,Geschmack::N,шӧм,tam
57,Geruch::N,зын,jid
58,Schlaf::N,вӧт,uyqu
59,Traum::N,уйвӧт,tush
60,Himmel::N,ин,osmon
61,Sonne::N,шунды,quyosh
62,Mond::N,толэзь,oy
63,Stern::N,кизили,yulduz
64,Luft::N,омыр,havo
65,Wind::N,тӧл,el
66,Welle::N,тулкым,to'lqin
67,Wasser::N,ву,suv
68,Stein::N,из,tosh
69,Boden::N,музъем,tuproq
70,Erde::N,му,er
71,Staub::N,пыль,chang
72,Rauch::N,ӵын,tutun
73,Funke::N,гизьы,yalt
74,Feuer::N,тыл,o't
75,Licht::N,тыл,yorug'
76,Schatten::N,вужер,soya
77,Wetter::N,куазь,havo
78,Nebel::N,бус,tuman
79,Wolke::N,пилем,bulut
80,Regen::N,зор,yomg'ir
81,Schnee::N,лымы,qor
82,Eis::N,йӧ,muz
83,Frost::N,кезьыт,ajoz
84,Kälte::N,кезьыт,ajoz
85,Hitze::N,пӧсь,issiq
86,Raureif::N,гӧр,qirov
87,Regenbogen::N,вуюись,kamalak
88,Donner::N,гудыри,guldur
89,Strömung::N,бызён,oqim
90,Tropfen::N,шапык,tomchi
91,Schaum::N,шукы,ko'pik
92,Schmutz::N,нӧд,gard
93,Schmutz::N,дэри,gard
94,See::N,ты,ko'l
95,Sumpf::N,нюр,botqoq
96,Moor::N,нюр,qir-adir
97,Wiese::N,возь,o'tzor
98,Wiese::N,возьвыл,o'tzor
99,Wald::N,сик,o'rmon
100,Wald::N,нюлэс,o'rmon
101,Hügel::N,выр,tepa
102,Hügel::N,вырйыл,tepa
103,Anhöhe::N,выр,adir
104,Anhöhe::N,вырйыл,adir
105,Berg::N,гурезь,tog'
106,Gipfel::N,йыл,cho'qqi
107,Höhle::N,гу,kavak
108,Abhang::N,бам,to'sh
109,Quelle::N,ошмес,buloq
110,Bach::N,пичи шур,o'zan
111,Fluss::N,шур,daryo
112,Ufer::N,ярдур,sohil
113,Küste::N,вудур,qirg'oq
114,Festland::N,мувыр,materik
115,Meer::N,зарезь,dengiz
116,Bucht::N,вукож,qo'ltiq
117,Insel::N,вумуӵ,orol
118,Insel::N,шормуӵ,orol
119,Blume::N,сяська,gul
120,Gras::N,турын,sabza
121,Wurzel::N,выжы,tub
122,Wurzel::N,выжы,tomir
123,Baum::N,пу,daraxt
124,Stamm::N,модос,o'simta
125,Rinde::N,сул,qobiq
126,Ast::N,ул,shox
127,Zweig::N,вай,butoq
128,Blatt::N,куар,barg
129,Birke::N,кызьпу,qayin
130,Kiefer[Baum]::N,пужым,qarag'ay
131,Weide[Baum]::N,бадьпу,shum
132,Tanne::N,кыз,archa
133,Horn::N,сюр,mugiz
134,Feder::N,тылы,par
135,Fell::N,ку,mo'yna
136,Flügel::N,бурд,qanot
137,Klaue::N,гижы,tirnoq
138,Kralle::N,пыд,tirnoq
139,Schwanz::N,быж,quyruq
140,Ei::N,пуз,tuxum
141,Ei::N,кукей,tuxum
142,Nest::N,кар,oshyon
143,Nest::N,пузкар,oshyon
144,Bau::N,кар,o'pqon
145,Bau::N,гу,o'pqon
146,Tier::N,пӧйшур,hayvon
147,Herde::N,уллё,gala
148,Kuh::N,скал,inak
149,Bulle::N,ош,ho'kiz
150,Bulle::N,пороз,ho'kiz
151,Pferd::N,вал,ot
152,Schaf::N,ыж,qo'y
153,Schwein::N,парсь,cho'chqa
154,Hund::N,пуны,it
155,Katze::N,коӵыш,mushuk
156,Bär::N,гондыр,ayiq
157,Eichhörnchen::N,коньы,tiyin
158,Elch::N,койык,los
159,Fuchs::N,ӟичы,tulki
160,Hase::N,кеч,kuyon
161,Maus::N,шыр,sichqon
162,Wolf::N,кион,bo'ri
163,Vogel::N,тылобурдо,qush
164,Schwarm::N,уллё,to'da
165,Huhn::N,курег,tovuq
166,Hahn::N,атас,xo'roz
167,Gans::N,ӟазег,g'oz
168,Adler::N,ӧрзи,burgut
169,Ente::N,ӵӧж,o'rdak
170,Eule::N,кучыран,boyo'g'li
171,Kranich::N,тури,turna
172,Krähe::N,куака,qarg'a
173,Kuckuck::N,кикы,kakku
174,Schwan::N,юсь,oqkush
175,Fisch::N,чорыг,baliq
176,Barsch::N,юш,olabug'a
177,Hecht::N,чипей,cho'rtan
178,Schlange[Tier]::N,кый,ilon
179,Wurm::N,нумыр,qurt
180,Spinne::N,чонари,o'rgimchak
181,Ameise::N,кузьыли,chumoli
182,Laus::N,тэй,bit
183,Mücke::N,нымы,chivin
184,Mücke::N,чибинь,chivin
185,Fliege::N,кут,pashsha
186,Schmetterling::N,бубыли,kapalak
187,Beere::N,узы-боры,meva
188,Apfel::N,яблок,olma
189,Pilz::N,губи,qo'ziqorin
190,Zwiebel::N,сугон,piyoz
191,Saat::N,кидыс,äkin
192,Korn::N,тысь,zarra
193,Heu::N,турын,xashak
194,Schale::N,кыд,po'choq
195,Grube::N,гу,co'ra
196,Grube::N,гоп,co'ra
197,Falle::N,налик,qopqon
198,Schlinge::N,гиӟ,sirtmoq
199,Schlinge::N,герд,sirtmoq
200,Spur::N,пытьы,iz
201,Spur::N,бервыл,iz
202,Asche::N,пень,kul
203,Dreck::N,дэри,kir
204,Eisen::N,корт,temir
205,Gold::N,зарни,tilla
206,Silber::N,азвесь,kumush
207,Kohle::N,эгыр,ko'mir
208,Glas::N,стекло,oyna
209,Glas::N,пияла,oyna
210,Lehm::N,сюй,loy
211,Sand::N,луо,qum
212,Mensch::N,мурт,odam
213,Mensch::N,адями,odam
214,Mann::N,воргорон,ärkak
215,Frau::N,кышномурт,ayol
216,Kind::N,нуны,bola
217,Kind::N,нуны,kichkintoy
218,Kind::N,пинал,bola
219,Kind::N,пинал,kichkintoy
220,Junge::N,пи,bola
221,Mädchen::N,ныл,qiz
222,Familie::N,семья,oila
223,Großvater::N,песятай,buva
224,Großvater::N,песятай,katta ota
225,Großvater::N,пересь атай,buva
226,Großvater::N,пересь атай,katta ota
227,Großmutter::N,песянай,buvi
228,Großmutter::N,песянай,katta oyi
229,Großmutter::N,пересь анай,buvi
230,Großmutter::N,пересь анай,katta oyi
231,Eltern::N,атай-анай,ota-ona
232,Eltern::N,бубы-мумы,ota-ona
233,Vater::N,айы,ota
234,Vater::N,атай,ota
235,Mutter::N,мумы,ona
236,Sohn::N,пи,o'g'il
237,Tochter::N,ныл,qiz
238,Bruder::N,агай,og'a
239,Bruder::N,агай,uka
240,Schwester::N,апа,opa
241,Schwester::N,апа,singil
242,Schwester::N,сузэр,opa
243,Schwester::N,сузэр,singil
244,Onkel::N,агай,amaki
245,Tante::N,апа,amma
246,Tante::N,апа,xola
247,Tante::N,кенак,amma
248,Tante::N,кенак,xola
249,Ehemann::N,карт,är
