,Concept_ID,az,zh
0,Auge::N,göz,眼睛
1,Ohr::N,qulaq,耳朵
2,Nase::N,burun,鼻子
3,Mund::N,ağız,嘴
4,Zahn::N,diş,牙齿
5,Zunge::N,dil,舌头
6,Lippe::N,dodaq,嘴唇
7,Wange::N,yanaq,面颊
8,Gesicht::N,üz,脸
9,Stirn::N,alın,额
10,Haar::N,saç,头发
11,Schnurrbart::N,bığ,髭须
12,Bart::N,saqqal,胡子
13,Kinn::N,çənə,下巴
14,Kiefer[Anatomie]::N,çənə,颌
15,Kehle::N,boğaz,嗓子
16,Hals::N,boyun,颈
17,Genick::N,ənsə,后颈
18,Kopf::N,baş,头
19,Rücken::N,bel,背
20,Bauch::N,qarın,肚子
21,Nabel::N,göbək,肚脐
22,Busen::N,məmə,胸脯
23,Brust::N,döş,胸
24,Schulter::N,çiyin,肩膀
25,Arm::N,qol,臂膀
26,Ellenbogen::N,dirsək,肘
27,Hand::N,əl,手
28,Handfläche::N,ovuc,手掌
29,Finger::N,barmaq,手指
30,Fingernagel::N,barmaq dırnağı,指甲
31,Nagel[Anatomie]::N,dırnak,指甲
32,Zeh::N,ayaq barmağı,脚趾
33,Fuß::N,ayaq,脚
34,Ferse::N,daban,后跟
35,Knie::N,diz,膝
36,Oberschenkel::N,bud,大腿
37,Bein::N,qıç,腿
38,Körper::N,əndam,身体
39,Haut::N,dəri,皮肤
40,Blut::N,qan,血
41,Ader::N,damar,血管
42,Sehne::N,vətər,腱
43,Knochen::N,sümük,骨
44,Gehirn::N,beyin,脑
45,Herz::N,ürək,心
46,Magen::N,mədə,胃
47,Leber::N,qara ciyər,肝
48,Atem::N,nəfəs,呼吸
49,Hunger::N,aclıq,饿
50,Träne::N,göz yaşı,眼泪
51,Geschmack::N,tam,味道
52,Geschmack::N,ləzzət,味道
53,Geruch::N,qoxu,气味
54,Schlaf::N,yuxu,睡眠
55,Traum::N,röya,梦
56,Himmel::N,göy,天空
57,Himmel::N,səma,天空
58,Sonne::N,günəş,太阳
59,Mond::N,ay,月亮
60,Stern::N,ulduz,星
61,Luft::N,hava,空气
62,Wind::N,yel,风
63,Wind::N,külək,风
64,Welle::N,dalğa,波
65,Wasser::N,su,水
66,Stein::N,daş,石头
67,Boden::N,yer,地面
68,Boden::N,zəmin,地面
69,Erde::N,yer torpaq,地
70,Staub::N,toz,灰尘
71,Rauch::N,tüstü,烟
72,Funke::N,qığılcım,火花
73,Feuer::N,od,火
74,Licht::N,işıq,光
75,Schatten::N,kölgə,影子
76,Wetter::N,hava,天气
77,Nebel::N,duman,雾
78,Wolke::N,bulud,云
79,Regen::N,yağış,雨
80,Regen::N,yağmur,雨
81,Schnee::N,qar,雪
82,Eis::N,buz,冰
83,Frost::N,ayaz,霜冻
84,Kälte::N,soyuq,寒冷
85,Hitze::N,coşğunluq,炎热
86,Raureif::N,qırov,霜
87,Regenbogen::N,göy qurşağı,虹
88,Donner::N,göy gurultusu,雷
89,Strömung::N,axın,水流
90,Tropfen::N,damcı,滴
91,Schaum::N,köpük,泡沫
92,Schmutz::N,çamır,赃物
93,See::N,göl,湖
94,Sumpf::N,bataqlıq,沼泽
95,Moor::N,bataqlıq,沼泽
96,Wiese::N,çəmən,草地
97,Wald::N,meşə,森林
98,Hügel::N,təpə,丘陵
99,Anhöhe::N,təpə,山丘
100,Berg::N,dağ,山
101,Gipfel::N,zirvə,峰
102,Höhle::N,mağara,洞穴
103,Abhang::N,yamac,斜坡
104,Quelle::N,bulaq,泉
105,Bach::N,kiçik çay,溪
106,Fluss::N,çay,河流
107,Ufer::N,kənar,岸
108,Küste::N,sahil,海岸
109,Festland::N,materik,大陆
110,Meer::N,dəniz,海
111,Bucht::N,körfəz,海湾
112,Insel::N,ada,岛
113,Blume::N,çiçək,花
114,Gras::N,ot,草
115,Wurzel::N,kök,根
116,Baum::N,ağac,树
117,Stamm::N,gövdə,树干
118,Rinde::N,qabıq,树皮
119,Ast::N,şax,树枝
120,Zweig::N,budaq,树枝
121,Blatt::N,yarpaq,叶子
122,Birke::N,tozağacı,桦木
123,Kiefer[Baum]::N,şam,松树
124,Weide[Baum]::N,söyüd,柳树
125,Tanne::N,küknar,冷杉
126,Horn::N,buynuz,角
127,Feder::N,tük,羽毛
128,Feder::N,lələk,羽毛
129,Fell::N,xəz,皮毛
130,Flügel::N,qanad,翅膀
131,Klaue::N,pəncə,爪子
132,Kralle::N,dırnaq,爪子
133,Schwanz::N,quyruq,尾巴
134,Ei::N,yumurta,蛋
135,Nest::N,yuva,巢
136,Bau::N,yuva,穴
137,Tier::N,heyvan,动物
138,Herde::N,sürü,群
139,Kuh::N,inək,母牛
140,Bulle::N,öküz,公牛
141,Pferd::N,at,马
142,Schaf::N,qoyun,羊
143,Schwein::N,donuz,猪
144,Hund::N,it,狗
145,Hund::N,köpək,狗
146,Katze::N,pişik,猫
147,Bär::N,ayı,熊
148,Eichhörnchen::N,dələ,松鼠
149,Elch::N,sığın,麋鹿
150,Fuchs::N,tülkü,狐狸
151,Hase::N,dovşan,兔子
152,Maus::N,siçan,老鼠
153,Wolf::N,qurd,狼
154,Vogel::N,quş,鸟
155,Schwarm::N,sürü,群
156,Huhn::N,toyuq,鸡
157,Hahn::N,xoruz,公鸡
158,Gans::N,qaz,鹅
159,Adler::N,qartal,鹰
160,Adler::N,qaraquş,鹰
161,Ente::N,ördək,鸭
162,Eule::N,bayquş,猫头鹰
163,Kranich::N,durna,鹤
164,Krähe::N,qarğa,乌鸦
165,Kuckuck::N,ququ,布谷鸟
166,Schwan::N,qu quşu,天鹅
167,Fisch::N,balıq,鱼
168,Barsch::N,tar,鲈鱼
169,Hecht::N,durnabalığı,狗鱼
170,Schlange[Tier]::N,ilan,蛇
171,Wurm::N,qurd,蠕虫
172,Spinne::N,hörümçək,蜘蛛
173,Ameise::N,qarışqa,蚂蚁
174,Laus::N,bit,虱子
175,Mücke::N,ağcaqanad,蚊子
176,Fliege::N,milçək,苍蝇
177,Schmetterling::N,kəpənək,蝴蝶
178,Beere::N,gilə,将果
179,Apfel::N,alma,苹果
180,Pilz::N,göbələk,蘑菇
181,Zwiebel::N,soğan,洋葱
182,Saat::N,əkin,种子
183,Korn::N,taxıl,谷粒
184,Heu::N,quru ot,干草
185,Schale::N,qabıq,壳
186,Grube::N,çuxur,坑
187,Falle::N,tələ,圈套
188,Falle::N,duzaq,圈套
189,Schlinge::N,ilmək,活扣
190,Spur::N,iz,踪迹
191,Asche::N,kül,灰烬
192,Dreck::N,kir,污垢
193,Eisen::N,dəmir,铁
194,Gold::N,altun,金子
195,Silber::N,gümüş,银
196,Kohle::N,kömür,煤
197,Glas::N,şüşə,玻璃
198,Lehm::N,gil,粘土
199,Lehm::N,palçıq,粘土
200,Sand::N,qum,沙
201,Mensch::N,adam,人
202,Mensch::N,insan,人
203,Mann::N,kişi,男子
204,Frau::N,qadın,妇女
205,Kind::N,uşaq,小孩
206,Junge::N,oğlan,男孩
207,Mädchen::N,qız,女孩
208,Familie::N,ailə,家庭
209,Großvater::N,baba,祖父
210,Großmutter::N,nənə,祖母
211,Eltern::N,valideyn,父母
212,Vater::N,ata,父亲
213,Mutter::N,ana,母亲
214,Sohn::N,oğul,儿子
215,Tochter::N,qız,女儿
216,Bruder::N,qardaş,兄弟
217,Schwester::N,bacı,姐妹
218,Onkel::N,əmi,伯父
219,Onkel::N,dayı,伯父
220,Tante::N,bibi,阿姨
221,Ehemann::N,ər,丈夫
222,Ehefrau::N,arvad,妻子
223,Freude::N,nəşə,愉快
224,Freude::N,sevinc,愉快
225,Gelächter::N,gülüş,大笑
226,Gelächter::N,qəhqəhə,大笑
227,Glück::N,səadət,运气
228,Glück::N,xoşbəxtlik,运气
229,Kummer::N,qəm,苦恼
230,Kummer::N,kədər,苦恼
231,Wunsch::N,arzu,愿望
232,Lust::N,həvəs,乐趣
233,Geist::N,ruh,精神
234,Gedanke::N,fikir,思想
235,Gedanke::N,düşüncə,思想
236,Gedächtnis::N,xatir,记性
237,Gedächtnis::N,hafizə,记性
238,Verstand::N,ağıl,理智
239,Sinn::N,məna,感觉
240,Grund::N,səbəb,理由
241,Wahrheit::N,haqq,真理
242,Wahrheit::N,doğruluq,真理
243,Gespräch::N,söhbət,谈话
244,Gespräch::N,qonuşma,谈话
245,Märchen::N,nağıl,童话
246,Erzählung::N,hekayə,故事
247,Nachricht::N,xəbər,消息
248,Neuigkeit::N,xəbər,新闻
249,Neuigkeit::N,yenilik,新闻
250,Name::N,ad,名字
251,Rätsel::N,tapmaca,谜语
252,Rede::N,nitq,讲话
253,Sprache::N,dil,语言
254,Stimme::N,səs,声音
255,Wort::N,söz,词
256,Wort::N,kəlmə,词
257,Zeichen::N,nişan,标记
258,Ruf::N,çığırtı,呼喊
259,Lärm::N,gurultu,噪音
260,Laut::N,səs,响声
261,Ton::N,ton,声音
262,Lied::N,mahnı,歌曲
263,Ruhe::N,sakitlik,安静
264,Leute::N,xalq,人们
265,Volk::N,millət,人民
266,Arbeit::N,iş,劳动
267,Arbeit::N,əmək,劳动
268,Gast::N,qonaq,客人
269,Gast::N,müsafir,客人
270,Geschenk::N,hədiyyə,礼物
271,Spiel::N,oyun,游戏
272,Spiel::N,tamaşa,游戏
273,Gesellschaft::N,cəmiyyet,陪同
274,Hilfe::N,kömək,帮助
275,Hilfe::N,yardım,帮助
276,Freund::N,dost,朋友
277,Kamerad::N,yoldaş,同志
278,Angelegenheit::N,iş,事情
279,Anzahl::N,say,数目
280,Art::N,çeşid,种类
281,Stück::N,dənə,块
282,Stück::N,parça,块
283,Teil::N,qisim,部分
284,Hälfte::N,yarım,一半
285,Kreis::N,dairə,圆
286,Kreuz::N,xaç,十字架
287,Linie::N,xətt,线条
288,Strich::N,cızıq,划
289,Abstand::N,məsafə,距离
290,Entfernung::N,məsafə,距离
291,Entfernung::N,uzaqlıq,距离
292,Gegend::N,bölgə,地区
293,Platz::N,yer,场所
294,Ort::N,yer,地点
295,Seite::N,yan,面
296,Seite::N,tərəf,面
297,Mitte::N,orta,中间
298,Gegenstand::N,şey,物品
299,Sache::N,şey,物
300,Rand::N,kənar,边
301,Kante::N,tiyə,棱
302,Kante::N,kənar,棱
303,Ecke::N,bucaq,角
304,Spitze::N,uc,尖
305,Ende::N,son,结尾
306,Ende::N,axır,结尾
307,Loch::N,deşik,洞
308,Winkel::N,guşə,角度
309,Muster::N,ülgü,模型
310,Größe::N,böyüklük,大小
311,Länge::N,uzunluq,长度
312,Höhe::N,yüksəklik,高度
313,Gewicht::N,çəki,重量
314,Gewicht::N,ağırlıq,重量
315,Menge::N,miqdar,数量
316,Haufen::N,yığın,堆
317,Reihe::N,səf,行
318,Reihe::N,sıra,行
319,Boot::N,qayıq,小船
320,Ruder::N,kürək,奖
321,Schlitten::N,kirşə,雪橇
322,Ski::N,xizək,雪板
