,Concept_ID,ga,hr
0,Auge::N,súil,oko
1,Ohr::N,cluas,uho
2,Nase::N,soc,nos
3,Mund::N,béal,usta
4,Zahn::N,fiacail,zub
5,Zunge::N,teanga,jezik
6,Lippe::N,liopa,usna
7,Wange::N,grua,obraz
8,Wange::N,leiceann,obraz
9,Gesicht::N,éadan,lice
10,Gesicht::N,aghaidh,lice
11,Stirn::N,baithis,čelo
12,Stirn::N,clár éadain,čelo
13,Haar::N,gruaig,kosa
14,Schnurrbart::N,croiméal,brkovi
15,Bart::N,féasóg,brada
16,Kinn::N,smig,brada
17,Kinn::N,smig,podbradak
18,Kiefer[Anatomie]::N,giall,čeljust
19,Kehle::N,scornach,grlo
20,Hals::N,muinéal,vrat
21,Genick::N,baic,zatiljak
22,Kopf::N,ceann,glava
23,Rücken::N,droim,leđa
24,Rücken::N,droim,hrbat
25,Bauch::N,bolg,trbuh
26,Nabel::N,imleacán,pupak
27,Busen::N,cíoch,sisa
28,Busen::N,cíoch,njedra
29,Brust::N,brollach,prsa
30,Schulter::N,gualainn,rame
31,Schulter::N,gualainn,pleći
32,Arm::N,lámh,ruka
33,Ellenbogen::N,uillinn,lakat
34,Hand::N,lámh,ruka
35,Handfläche::N,bos,dlan
36,Finger::N,méar,prst
37,Fingernagel::N,ionga,nokat
38,Nagel[Anatomie]::N,ionga,nokat
39,Zeh::N,ladhar,nozni prst
40,Fuß::N,cos,noga
41,Fuß::N,cos,stopalo
42,Fuß::N,troigh,noga
43,Fuß::N,troigh,stopalo
44,Ferse::N,sáil,peta
45,Knie::N,glúin,koljeno
46,Oberschenkel::N,ceathrú,bedro
47,Bein::N,cos,noga
48,Körper::N,corp,tijelo
49,Körper::N,colainn,tijelo
50,Haut::N,cneas,put
51,Haut::N,cneas,koža
52,Haut::N,craiceann,put
53,Haut::N,craiceann,koža
54,Blut::N,fuil,krv
55,Sehne::N,teannán,tetiva
56,Sehne::N,féitheog,tetiva
57,Knochen::N,cnámh,kost
58,Gehirn::N,inchinn,
59,Herz::N,croí,srce
60,Magen::N,bolg,stomak
61,Magen::N,bolg,želudac
62,Magen::N,goile,stomak
63,Magen::N,goile,želudac
64,Leber::N,ae,jetra
65,Atem::N,anáil,dah
66,Hunger::N,ocras,glad
67,Träne::N,deoir,suza
68,Geschmack::N,blas,ukus
69,Geruch::N,boladh,njuh
70,Geruch::N,boladh,miris
71,Schlaf::N,suan,san
72,Schlaf::N,codladh,san
73,Traum::N,taibhreamh,san
74,Himmel::N,spéir,nebo
75,Sonne::N,grian,sunce
76,Mond::N,ré,mjesec
77,Mond::N,gealach,mjesec
78,Stern::N,rinn,zvijezda
79,Stern::N,réalta,zvijezda
80,Luft::N,aer,zrak
81,Wind::N,gaoth,vjetar
82,Welle::N,tonn,val
83,Welle::N,tonn,talas
84,Wasser::N,uisce,voda
85,Stein::N,cloch,kamen
86,Boden::N,talamh,tlo
87,Boden::N,talamh,zemlja
88,Erde::N,cré,zemlja
89,Erde::N,ithir,zemlja
90,Staub::N,dusta,prah
91,Staub::N,dusta,prašina
92,Staub::N,deannach,prah
93,Staub::N,deannach,prašina
94,Rauch::N,toit,dim
95,Rauch::N,deatach,dim
96,Funke::N,drithle,iskra
97,Funke::N,drithle,varnica
98,Feuer::N,tine,vatra
99,Licht::N,solas,svjetlo
100,Schatten::N,scáth,hlad
101,Schatten::N,scáth,sjena
102,Wetter::N,aimsir,vrijeme
103,Nebel::N,ceo,magla
104,Wolke::N,néal,oblak
105,Wolke::N,scamall,oblak
106,Regen::N,báisteach,kiša
107,Regen::N,fearthainn,kiša
108,Schnee::N,sneachta,snijeg
109,Eis::N,oighear,led
110,Frost::N,sioc,mraz
111,Kälte::N,fuacht,studen
112,Kälte::N,fuacht,hladnoća
113,Hitze::N,teas,vrućina
114,Hitze::N,teocht,vrućina
115,Raureif::N,sioc bán,inje
116,Regenbogen::N,stua ceatha,duga
117,Regenbogen::N,bogha báistí,duga
118,Donner::N,toirneach,grom
119,Donner::N,toirneach,grmljavina
120,Strömung::N,sruth,struja
121,Strömung::N,sruth,strujanje
122,Tropfen::N,deoir,kap
123,Tropfen::N,deoir,kaplja
124,Schaum::N,cúr,pjena
125,Schmutz::N,salachar,nečistoća
126,Schmutz::N,salachar,prljavština
127,See::N,loch,jezero
128,Sumpf::N,portach,bara
129,Moor::N,caorán,močvara
130,Moor::N,móinteán,močvara
131,Wiese::N,cluain,livada
132,Wiese::N,móinéar,livada
133,Wald::N,coill,šuma
134,Wald::N,foraois,šuma
135,Hügel::N,ard,brijeg
136,Hügel::N,ard,brežuljak
137,Anhöhe::N,ard,uzvišica
138,Anhöhe::N,ardán,uzvišica
139,Berg::N,sliabh,brdo
140,Gipfel::N,barr,vrh
141,Gipfel::N,mullach,vrh
142,Höhle::N,uaimh,pećina
143,Höhle::N,uaimh,spilja
144,Höhle::N,pluais,pećina
145,Höhle::N,pluais,spilja
146,Abhang::N,fána,obronak
147,Abhang::N,fána,nizbrdica
148,Quelle::N,foinse,izvor
149,Quelle::N,foinse,vrelo
150,Bach::N,sruthán,potok
151,Fluss::N,abhainn,rijeka
152,Ufer::N,bruach,obala
153,Küste::N,cósta,obala
154,Küste::N,cósta,morska obala
155,Küste::N,cladach,obala
156,Küste::N,cladach,morska obala
157,Festland::N,míntír,kopno
158,Meer::N,muir,more
159,Meer::N,farraige,more
160,Bucht::N,bá,zaliv
