,Concept_ID,ba,mn
0,Auge::N,күҙ,нүд
1,Ohr::N,ҡолаҡ,чих
2,Nase::N,танау,хамар
3,Mund::N,ауыҙ,ам
4,Zahn::N,теш,шүд
5,Zunge::N,тел,хэл
6,Lippe::N,ирен,уруул
7,Wange::N,яцаҡтар,хацар
8,Gesicht::N,бит,царай
9,Gesicht::N,бит,нүүр
10,Stirn::N,маңлай,дух
11,Haar::N,сәс,үс
12,Schnurrbart::N,мылтыҡ,дээд сахал
13,Schnurrbart::N,мылтыҡ,живэр сахал
14,Bart::N,һаҡал,сахал
15,Kinn::N,эйэк,эрүү
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,эрүү
17,Kehle::N,тамаҡ,хоолой
18,Hals::N,муйын,хүзүү
19,Genick::N,соңҡа,шил
20,Genick::N,соңҡа,хүзүү
21,Kopf::N,баш,толгой
22,Rücken::N,арҡа,ар
23,Rücken::N,арҡа,нуруу
24,Bauch::N,ҡорһаҡ,хэвлий
25,Bauch::N,ҡорһаҡ,гэдэс
26,Nabel::N,кендек,хүйс
27,Busen::N,күкрәк,хөх
28,Brust::N,түш,цээж
29,Schulter::N,яурын,мөр
30,Schulter::N,яурын,бугалга
31,Arm::N,ҡул,гар
32,Ellenbogen::N,терһәк,тохой
33,Hand::N,ҡул,гар
34,Hand::N,ҡул,алга
35,Hand::N,ҡул суғы,гар
36,Hand::N,ҡул суғы,алга
37,Handfläche::N,ус төбө,алга
38,Finger::N,бармаҡ,хуруу
39,Fingernagel::N,тырнаҡ,хурууны хумс
40,Nagel[Anatomie]::N,тырнаҡ,хумс
41,Zeh::N,бармаҡ,хуруу
42,Fuß::N,табан,хөл
43,Ferse::N,үксә,өсгий
44,Knie::N,тубыҡ,өвдөг
45,Oberschenkel::N,сандыр,гуя
46,Bein::N,аяҡ,хөл
47,Körper::N,тән,бие
48,Haut::N,тире,арьс
49,Blut::N,ҡан,цус
50,Ader::N,тамыр,судас
51,Sehne::N,һеңер,бүлх
52,Sehne::N,һеңер,шандас
53,Sehne::N,тарамыш,бүлх
54,Sehne::N,тарамыш,шандас
55,Knochen::N,һойәк,яс
56,Gehirn::N,мейе,тархи
57,Herz::N,йорәк,зүрх
58,Magen::N,ашҡаҙан,ходоод
59,Leber::N,бауыр,элэг
60,Atem::N,һулыш,амьсгаа
61,Hunger::N,аслыҡ,өлсгөлөн
62,Träne::N,күҙ иәше,нулимс
63,Geschmack::N,тәм,амт
64,Geruch::N,еҫ,үнэр
65,Schlaf::N,йоҡлау,нойр
66,Traum::N,төш,зүүд
67,Himmel::N,күк,тэнгэр
68,Himmel::N,күк,огторгуй
69,Sonne::N,ҡояш,нар
70,Mond::N,ай,сар
71,Stern::N,йондоҙ,од
72,Luft::N,һауа,агаар
73,Wind::N,ел,салхи
74,Welle::N,тулҡын,долгио
75,Welle::N,тулҡын,давалгаа
76,Wasser::N,һыу,ус
77,Stein::N,таш,чулуу
78,Boden::N,тупраҡ,хөрс
79,Erde::N,балсҡ,газар
80,Erde::N,балсҡ,шороо
81,Staub::N,туҙан,тоос
82,Rauch::N,төтөн,утаа
83,Funke::N,осҡон,оч
84,Feuer::N,ут,гал
85,Licht::N,яҡтылыҡ,гэрэл
86,Licht::N,яҡтылыҡ,гэгээ
87,Schatten::N,күләгә,сүүдэр
88,Wetter::N,һауа торошо,тэнгэр
89,Wetter::N,һауа торошо,цаг уур
90,Nebel::N,төман,будан
91,Wolke::N,болот,үүл
92,Regen::N,ямғыр,бороо
93,Schnee::N,ҡар,цас
94,Eis::N,боҙ,мөс
95,Frost::N,һалҡын,хүйт
96,Kälte::N,һыуыҡ,хүйт
97,Hitze::N,томра,халуун
98,Hitze::N,эҫелек,халуун
99,Raureif::N,ҡырау,цан
100,Raureif::N,ҡырау,хяруу
101,Regenbogen::N,йәйғор,солонго
102,Donner::N,күк күкрәү,тэнгэрийн дуу
103,Strömung::N,ағым,урсгал
104,Tropfen::N,тамсы,дусал
