,Concept_ID,cv,no
0,Auge::N,куҫ,øye
1,Ohr::N,хӑлха,øre
2,Nase::N,сӑмса,nese
3,Mund::N,ҫӑвар,munn
4,Zahn::N,шӑл,tann
5,Zunge::N,чӗлхе,tunge
6,Lippe::N,тута,leppe
7,Wange::N,пит ҫӑмарти,kinn
8,Gesicht::N,пит,fjes
9,Gesicht::N,пит,ansikt
10,Gesicht::N,пит-куҫ,fjes
11,Gesicht::N,пит-куҫ,ansikt
12,Stirn::N,ҫамка,panne
13,Haar::N,ҫӳҫ,hår
14,Schnurrbart::N,усси,bart
15,Bart::N,сухал,skjegg
16,Kinn::N,янах,hake
17,Kiefer[Anatomie]::N,янах,kjeve
18,Kehle::N,пыр,strupe
19,Kehle::N,карланкӑ,strupe
20,Hals::N,пыр,hals
21,Genick::N,ӗнсе,nakke
22,Kopf::N,пуҫ,hode
23,Rücken::N,ҫурӑм,rygg
24,Nabel::N,кӑвапа,navle
25,Busen::N,кӑкӑр,barm
26,Brust::N,умӗ,bryst
27,Schulter::N,хул пуҫҫи,skulder
28,Arm::N,алӑ,arm
29,Ellenbogen::N,чавса,albue
30,Hand::N,алӑ сыппи,hånd
31,Handfläche::N,ал лаппи,håndflate
32,Finger::N,пӳрне,finger
33,Fingernagel::N,чӗрне,fingernegl
34,Nagel[Anatomie]::N,чӗрне,negl
35,Zeh::N,пӳрне,tå
36,Fuß::N,ура лаппи,fot
37,Ferse::N,кӗле,hæl
38,Knie::N,чӗркуҫҫи,kne
39,Oberschenkel::N,пӗҫӗ,lår
40,Bein::N,ура,bein
41,Körper::N,ӳт,kropp
42,Körper::N,ӳт,legeme
43,Körper::N,ӳт-пӳ,kropp
44,Körper::N,ӳт-пӳ,legeme
45,Haut::N,тир,hud
46,Haut::N,тир,skinn
47,Blut::N,юн,blod
48,Ader::N,вена,åre
49,Sehne::N,шӑнӑр,sene
50,Knochen::N,шӑмӑ,bein
51,Knochen::N,шӑмӑ,knokkel
52,Gehirn::N,миме,hjerne
53,Herz::N,чӗре,hjerte
54,Magen::N,хырӑмлӑх,mage
55,Leber::N,пӗвер,lever
56,Atem::N,сывлав,pust
57,Hunger::N,выҫлӑх,sult
58,Träne::N,куҫҫуль,tåre
59,Geschmack::N,техӗм,smak
60,Geruch::N,шӑршӑ,lukt
61,Schlaf::N,ыйхӑ,søvn
62,Traum::N,тӗлӗк,drøm
63,Himmel::N,пӗлӗт,himmel
64,Sonne::N,хӗвел,sol
65,Mond::N,уйӑх,måne
66,Stern::N,ҫӑлтӑр,stjerne
67,Luft::N,сывлӑш,luft
68,Wind::N,ҫил,vind
69,Welle::N,хум,bølge
70,Wasser::N,шыв,vann
71,Wasser::N,шыв-шур,vann
72,Stein::N,чул,stein
73,Boden::N,тӑпра,bakke
74,Erde::N,ҫӗр,jord
75,Staub::N,тусан,støv
76,Rauch::N,тӗтӗм,røyk
77,Funke::N,хӗм,gnist
78,Feuer::N,вут,ild
79,Feuer::N,ҫулӑм,ild
80,Licht::N,ҫутӑ,lys
81,Schatten::N,сулхӑн,skygge
82,Wetter::N,ҫанталӑк,vær
83,Nebel::N,тӗтре,tåke
84,Wolke::N,пӗлӗт,sky
85,Regen::N,ҫумӑр,regn
86,Schnee::N,юр,snø
87,Eis::N,пӑр,is
88,Frost::N,сивӗ,frost
89,Kälte::N,сивӗ,kulde
90,Hitze::N,вӗри,hete
91,Hitze::N,шӑрӑх,hete
92,Raureif::N,пас,rimfrost
93,Regenbogen::N,асамат кӗперӗ,regnbue
94,Donner::N,аслати,torden
95,Strömung::N,юхӑ,strømning
96,Tropfen::N,тумлам,dråpe
97,Schaum::N,кӑпӑк,skum
98,Schmutz::N,пылчӑк,søl
99,Schmutz::N,пылчӑк,skitt
100,See::N,кӳлӗ,sjø
101,Sumpf::N,шур,sump
102,Sumpf::N,шур,myrlende
103,Sumpf::N,шурлӑх,sump
104,Sumpf::N,шурлӑх,myrlende
105,Moor::N,торфлӑ шурлӑх,myr
106,Moor::N,торфлӑ шурлӑх,myrhei
107,Wiese::N,улӑх,eng
108,Wiese::N,ҫаран,eng
109,Wald::N,вӑрман,skog
110,Hügel::N,сӑрт,haug
111,Hügel::N,сӑрт,bakke
112,Hügel::N,тӗмеске,haug
113,Hügel::N,тӗмеске,bakke
114,Anhöhe::N,сӑрт,haug
115,Anhöhe::N,сӑрт,bakke
116,Berg::N,ту,berg
117,Berg::N,ту,fjell
118,Gipfel::N,тӳпе,topp
119,Höhle::N,ҫӗр хӑвӑлӗ,hule
120,Abhang::N,тӑвайкки,li
121,Abhang::N,тӑвайкки,skråning
122,Quelle::N,ҫӑл куҫ,kilde
123,Bach::N,пӗчӗк шыв,bekk
124,Fluss::N,юхан шыв,elv
125,Ufer::N,ҫыран,bredd
126,Küste::N,тинӗс ҫыранӗ,kyst
127,Festland::N,тип ҫӗр,fastland
128,Meer::N,тинӗс,hav
129,Bucht::N,тинӗс кукӑрӗ,bukt
130,Insel::N,утрав,øy
131,Blume::N,чечек,blomst
132,Gras::N,курӑк,gress
133,Wurzel::N,тымар,rot
134,Baum::N,йывӑҫ,tre
135,Stamm::N,вулӑ,stamme
136,Rinde::N,хуйӑр,bark
137,Ast::N,турат,gren
138,Zweig::N,турат,kvist
139,Blatt::N,ҫулҫӑ,blad
140,Birke::N,хурӑн,bjørk
141,Kiefer[Baum]::N,хыр,furu
142,Weide[Baum]::N,хӑва,selje
143,Weide[Baum]::N,хӑва,piletre
144,Tanne::N,чӑрӑш,gran
145,Horn::N,мӑйрака,horn
146,Feder::N,тӗк,fjær
147,Fell::N,ҫӑм,skinn
148,Flügel::N,ҫунат,vinge
149,Klaue::N,чӗрне,klauv
150,Kralle::N,ура,klo
151,Schwanz::N,хӳре,hale
152,Ei::N,ҫӑмарта,egg
153,Nest::N,йӑва,rede
154,Bau::N,йӗнӗ,hi
155,Tier::N,выльӑх,dyr
156,Herde::N,кӗтӳ,flokk
157,Kuh::N,ӗне,ku
158,Bulle::N,вӑкӑр,tyr
159,Pferd::N,лаша,hest
160,Schaf::N,сурӑх,får
161,Schwein::N,сысна,gris
162,Hund::N,йытӑ,hund
163,Katze::N,кушак,katt
164,Bär::N,упа,bjørn
165,Eichhörnchen::N,пакша,ekorn
166,Elch::N,пӑши,elg
167,Fuchs::N,тилӗ,rev
168,Hase::N,куян,hare
169,Hase::N,мулкач,hare
170,Maus::N,шӑши,mus
171,Wolf::N,кашкӑр,ulv
172,Wolf::N,кашкӑр,varg
173,Vogel::N,кайӑк,fugl
174,Vogel::N,вӗҫен кайӑк,fugl
175,Schwarm::N,ушкӑн,sverm
176,Huhn::N,чӑх,høne
177,Huhn::N,чӑхӑ,høne
178,Hahn::N,автан,hane
179,Gans::N,хур,gås
180,Adler::N,ӑмӑрт кайӑк,ørn
181,Ente::N,кӑвакал,and
182,Eule::N,тӑмана,ugle
183,Kranich::N,тӑрна,trane
184,Krähe::N,ула курак,kråke
185,Kuckuck::N,куккук,gjøk
186,Schwan::N,акӑш,svane
187,Fisch::N,пулӑ,fisk
188,Barsch::N,уланкӑ,abbor
189,Hecht::N,ҫӑрттан,gjedde
