,Concept_ID,udm,hy
172,Elch::N,койык,հիւսիսային եղջերու
173,Fuchs::N,ӟичы,աղվես
174,Hase::N,кеч,նապաստակ
175,Maus::N,шыр,մուկ
176,Wolf::N,кион,գայլ
177,Vogel::N,тылобурдо,թռչուն
178,Schwarm::N,уллё,երամ
179,Huhn::N,курег,հավ
180,Hahn::N,атас,աքաղաղ
181,Gans::N,ӟазег,սագ
182,Adler::N,ӧрзи,արծիվ
183,Ente::N,ӵӧж,բադ
184,Eule::N,кучыран,բու
185,Kranich::N,тури,կռունկ
186,Krähe::N,куака,ագռավ
187,Kuckuck::N,кикы,կուկու
188,Schwan::N,юсь,կարապ
189,Fisch::N,чорыг,ձուկ
190,Barsch::N,юш,պերկես
191,Hecht::N,чипей,գայլաձուկ
192,Schlange[Tier]::N,кый,օձ
193,Wurm::N,нумыр,որդ
194,Wurm::N,нумыр,ճիճու
195,Spinne::N,чонари,սարդ
196,Ameise::N,кузьыли,միջյուն
197,Laus::N,тэй,ոջիլ
198,Mücke::N,нымы,մժղուկ
199,Mücke::N,чибинь,մժղուկ
200,Fliege::N,кут,ճանճ
201,Schmetterling::N,бубыли,թիթեռ
202,Beere::N,узы-боры,հատապտուղ
203,Apfel::N,яблок,խնձոր
204,Pilz::N,губи,սունկ
205,Zwiebel::N,сугон,սոխ
206,Saat::N,кидыс,սերմ
207,Korn::N,тысь,հատիկ
208,Heu::N,турын,խոտ
209,Schale::N,кыд,կեղեւ
210,Grube::N,гу,փոս
211,Grube::N,гоп,փոս
212,Falle::N,налик,ծուղակ
213,Schlinge::N,гиӟ,խեղդան
214,Schlinge::N,герд,խեղդան
215,Spur::N,пытьы,հետք
216,Spur::N,бервыл,հետք
217,Asche::N,пень,մոխիր
218,Dreck::N,дэри,աղտ
219,Eisen::N,корт,երկաթ
220,Gold::N,зарни,ոսկի
221,Silber::N,азвесь,արծաթ
222,Kohle::N,эгыр,քարածուխ
223,Glas::N,стекло,ապակի
224,Glas::N,пияла,ապակի
225,Lehm::N,сюй,կավ
226,Sand::N,луо,ավազ
227,Mensch::N,мурт,մարդ
228,Mensch::N,адями,մարդ
229,Mann::N,воргорон,մարդ
230,Mann::N,воргорон,տղամարդ
231,Frau::N,кышномурт,կին
232,Kind::N,нуны,զավակ
233,Kind::N,пинал,զավակ
234,Junge::N,пи,տղա
235,Mädchen::N,ныл,աղջիկ
236,Familie::N,семья,ընտանիք
237,Großvater::N,песятай,պապ
238,Großvater::N,пересь атай,պապ
239,Großmutter::N,песянай,տատ
240,Großmutter::N,пересь анай,տատ
241,Eltern::N,атай-анай,ծնողներ
242,Eltern::N,бубы-мумы,ծնողներ
243,Vater::N,айы,հայր
244,Vater::N,атай,հայր
245,Mutter::N,мумы,մայր
246,Sohn::N,пи,որդի
247,Tochter::N,ныл,աղջիկ
248,Tochter::N,ныл,դուստր
249,Bruder::N,агай,եղբայր
250,Schwester::N,апа,քույր
251,Schwester::N,сузэр,քույր
252,Onkel::N,агай,քեռի
253,Onkel::N,агай,հորեղբայր
254,Tante::N,апа,մորաքույր
255,Tante::N,кенак,մորաքույր
256,Ehemann::N,карт,մարդ
257,Ehemann::N,карт,ամուսին
258,Ehefrau::N,кышно,կին ամուսին
259,Freude::N,шумпотон,ուրախություն
260,Gelächter::N,горем,ծիծաղ
261,Glück::N,шуд,երջանկություն
262,Kummer::N,кайгу,վիշտ
263,Kummer::N,куректон,վիշտ
264,Wunsch::N,мылпотон,ցանկություն
265,Lust::N,потон,փափագ
266,Lust::N,потон,իղձ
267,Geist::N,лул,ոգի
268,Gedanke::N,малпан,միտք
269,Gedächtnis::N,йырсазь,հիշողություն
270,Gedächtnis::N,тодэваён,հիշողություն
271,Verstand::N,йырвизь,խելք
272,Sinn::N,смысл,իմաստ
273,Grund::N,муг,պատճառ
274,Grund::N,ньӧм,պատճառ
275,Wahrheit::N,зэм,ճշմարտություն
276,Wahrheit::N,шонер,ճշմարտություն
277,Gespräch::N,вераськон,զրույց
278,Märchen::N,выжыкыл,պայիկի պատմություն
279,Erzählung::N,верос,պատմվածք
280,Erzählung::N,верос,պատմություն
281,Nachricht::N,ивор,հաղորդագրություն
282,Neuigkeit::N,выльивор,լուր
283,Neuigkeit::N,выльивор,նորություն
284,Name::N,ним,անուն
285,Rätsel::N,мадькыл,բարդ խնդիր
286,Rede::N,верам,ճառ
287,Rede::N,верам,ելույթ
288,Sprache::N,кыл,լեզու
289,Stimme::N,куара,ձայն
290,Wort::N,кыл,բառ
291,Zeichen::N,пус,նշան
292,Zeichen::N,тодмет,նշան
293,Ruf::N,ӧтён,կոչ
294,Ruf::N,ӧтён,կանչ
295,Ruf::N,чортон,կոչ
296,Ruf::N,чортон,կանչ
297,Lärm::N,ӵашетон,աղմուկ
298,Laut::N,куара,հնչյուն
299,Laut::N,куара,ձայն
300,Ton::N,куара,տոն
301,Lied::N,кырӟан,երգ
302,Ruhe::N,чалмыт улон,անդորրություն
303,Leute::N,адямиос,մարդիկ
304,Volk::N,калык,ազգ
305,Arbeit::N,уж,գործ
306,Arbeit::N,уж,աշխատանք
307,Gast::N,куно,հյուր
308,Geschenk::N,салам,նվեր
309,Geschenk::N,кузьым,նվեր
310,Spiel::N,шудон,խաղ
311,Gesellschaft::N,калык,ընկերություն
312,Hilfe::N,юрттон,օգնությթուն
313,Freund::N,эш,ընկեր
314,Freund::N,эш,բարեկամ
315,Freund::N,юлтош,ընկեր
316,Freund::N,юлтош,բարեկամ
317,Kamerad::N,тодмо,ուղեկից
318,Angelegenheit::N,уж,բան
319,Angelegenheit::N,уж,գործ
320,Anzahl::N,лыд,քանակ
321,Anzahl::N,лыд,գումար
322,Art::N,тус,տեսակ
323,Stück::N,юдэс,կտոր
324,Teil::N,люкет,մաս
325,Hälfte::N,ӝыны,կես
326,Kreis::N,котырес,շիջանակ
327,Kreuz::N,крест,խաչ
328,Linie::N,гож,գիծ
329,Strich::N,гож,գիծ
330,Abstand::N,вис,անջրպետ
331,Abstand::N,кусып,անջրպետ
332,Entfernung::N,кусып,հեռավորություն
333,Gegend::N,инты,շրջան
334,Platz::N,инты,տարածություն
335,Ort::N,инты,տեղ
336,Ort::N,инты,վայր
337,Ort::N,места,տեղ
338,Ort::N,места,վայր
339,Seite::N,пал,կողմ
340,Mitte::N,шор,մեջտեղ
341,Gegenstand::N,арбери,առարկա
342,Sache::N,котыр,բան
343,Rand::N,дур,վերջք
344,Rand::N,шаер,վերջք
345,Kante::N,дур,եզր
346,Ecke::N,сэрег,անկյուն
347,Spitze::N,йыл,ծայր
348,Ende::N,пум,ծայր
349,Loch::N,пась,անցք
350,Winkel::N,сэрег,անկյուն
351,Muster::N,пужы,օրինակ
352,Größe::N,быдӟала,մեծություն
353,Länge::N,кузьдала,երկարություն
354,Höhe::N,ӝуждала,բարձրություն
355,Gewicht::N,сектала,կշիռ
356,Gewicht::N,секытлык,կշիռ
357,Menge::N,лыд,քանակ
358,Menge::N,лыдпус,քանակ
359,Haufen::N,люк,դեզ
360,Haufen::N,люк,կույտ
361,Reihe::N,чур,շարք
362,Reihe::N,чур,կարգ
363,Boot::N,пыж,նավակ
364,Boot::N,лодка,նավակ
365,Ruder::N,полыс,թի
366,Ruder::N,полыс,թիակ
367,Schlitten::N,додьы,բալխիր
368,Ski::N,куас,դահուկ
369,Lagerfeuer::N,тылскем,բացօդեայ կրակ
370,Last::N,секыт,բեռ
371,Gang::N,ветлон,զբոսանք
372,Schritt::N,вамыш,քայլ
373,Norden::N,уйпал,հյուսիս
374,Süden::N,лымшор,հարավ
375,Westen::N,шунды пуксён,արեւմուտք
376,Osten::N,шунды ӝужан,արեւելք
377,Holz::N,пу,փայտ
378,Brett::N,пул,տախտակ
379,Platte::N,плита,թիթեղ
380,Stütze::N,пыкет,նեցուկ
381,Stange::N,пуӵ,ձող
382,Stock::N,боды,փայտ
383,Stab::N,пуӵ,ցուպ
384,Stab::N,пуӵ,գավազան
385,Stab::N,боды,ցուպ
386,Stab::N,боды,գավազան
387,Rohr::N,труба,խողովակ
388,Haus::N,юрт,տուն
389,Heim::N,корка,տուն
390,Ofen::N,гур,վառարան
391,Fußboden::N,выж,հատակ
392,Tisch::N,ӝӧк,սեղան
393,Stuhl::N,пукон,աթոռ
394,Wiege::N,кӧкы,օրորոց
395,Wiege::N,зыбка,օրորոց
396,Bett::N,валес,անկողին
397,Regal::N,ӝажы,դարակ
398,Kiste::N,ящик,տուփ
399,Fenster::N,укно,պատուհան
400,Fenster::N,косяк,պատուհան
401,Tür::N,ӧс,դուռ
402,Tor::N,ӟезьы,դարպաս
403,Zaun::N,забор,ցանկապատ
404,Dach::N,липет,տանիք
405,Dach::N,липет,կտուր
406,Leiter::N,падӟа,սանդուղք
407,Besen::N,ӵужон,ավել
408,Besen::N,исьнер,ավել
409,Spaten::N,лопатка,բահ
410,Schaufel::N,ютырон,թի
411,Gabel::N,тэчы,պատառաքաղ
412,Gabel::N,вилка,պատառաքաղ
413,Löffel::N,пуньы,գդալ
414,Messer::N,пурт,դանակ
415,Nagel::N,кортӵог,մեխ
416,Netz::N,сеть,ցանց
417,Haken::N,курик,կարթ
418,Griff::N,ныд,կոթ
419,Griff::N,ныд,բռնակ
420,Schloss::N,тунгон,կողպեք
421,Bild::N,суред,նկար
422,Bild::N,суред,պատկեր
423,Figur::N,фигура,քանդակ
424,Figur::N,фигура,պատկեր
425,Puppe::N,мунё,տիկնիկ
426,Beutel::N,пуйы,տոպրակ
427,Bündel::N,керттэт,կապոց
428,Tasche::N,пуйы,պայուսակ
429,Tasche::N,сумка,պայուսակ
430,Eimer::N,ведра,դույլ
