,Concept_ID,vep,myv
0,Auge::N,sil'm,сельме
1,Ohr::N,korv,пиле
2,Nase::N,nena,судо
3,Mund::N,su,курго
4,Zahn::N,pi,пей
5,Zahn::N,hambaz,пей
6,Zunge::N,kel',кель
7,Lippe::N,hul',турва
8,Wange::N,modpolišk,чамабока
9,Wange::N,modpolišk,чамаумарь
10,Gesicht::N,mod,чама
11,Stirn::N,oc,коня
12,Haar::N,tuk,черь
13,Haar::N,hibuz,черь
14,Schnurrbart::N,habinod,ус
15,Schnurrbart::N,habinod,муюк
16,Bart::N,bard,сакал
17,Kinn::N,löug,уло
18,Kiefer[Anatomie]::N,hambazlu,пейпакар
19,Kiefer[Anatomie]::N,hambazlu,пейловажа
20,Kehle::N,kurk,кирьгапарь
21,Hals::N,kagl,кирьга
22,Genick::N,tagarai,човонь
23,Kopf::N,pä,пря
24,Rücken::N,sel'g,копорь
25,Bauch::N,vac,пеке
26,Bauch::N,koht,пеке
27,Nabel::N,naba,почо
28,Busen::N,niža,поте
29,Brust::N,rind,меште
30,Schulter::N,oug,лавтов
31,Arm::N,käzi,кедь
32,Ellenbogen::N,künambruz,кенерепакарь
33,Hand::N,käzi,кедь
34,Hand::N,käzitera,кедь
35,Handfläche::N,kämen,кедькуншка
36,Handfläche::N,kämen,кедьлапушка
37,Finger::N,sor'm,сур
38,Fingernagel::N,künz',кенже
39,Nagel[Anatomie]::N,künz',кенже
40,Zeh::N,barbaz,пильге сур
41,Fuß::N,jaug,пильге
42,Ferse::N,kand,кочкаря
43,Knie::N,komb,эле
44,Knie::N,komb,эзне
45,Knie::N,komb,кумажа
46,Knie::N,pol'v,эле
47,Knie::N,pol'v,эзне
48,Knie::N,pol'v,кумажа
49,Oberschenkel::N,riiže,качо
50,Bein::N,jaug,пильге
51,Körper::N,hibj,рунго
52,Haut::N,nahk,киське
53,Blut::N,čak,верь
54,Blut::N,veri,верь
55,Ader::N,son',сан
56,Sehne::N,jände,коське сан
57,Knochen::N,lu,пакарь
58,Gehirn::N,aivod,удем
59,Herz::N,südäin,седей
60,Magen::N,südäikoht,пеке
61,Leber::N,maks,максо
62,Atem::N,hengaiduz,лексема
63,Atem::N,hengaiduz,оймень таргсема
64,Hunger::N,näl'g,вачочи
65,Träne::N,kündal',селведь
66,Geschmack::N,magu,тансть
67,Geruch::N,haju,чине
68,Schlaf::N,uni,удома
69,Traum::N,unikuva,он
70,Himmel::N,taivaz,менель
71,Sonne::N,päiväine,чи
72,Mond::N,kudmaine,ков
73,Stern::N,tähtaz,теште
74,Luft::N,il'm,кошт
75,Wind::N,döl,варма
76,Wind::N,tullei,варма
77,Welle::N,ald,толкун
78,Welle::N,laineh,толкун
79,Wasser::N,vezi,ведь
80,Stein::N,kivi,кев
81,Boden::N,ma,мода
82,Boden::N,pohj,мода
83,Erde::N,ma,мастор
84,Staub::N,pölü,пуль
85,Rauch::N,savu,качамо
86,Funke::N,kibin,сятко
87,Feuer::N,lämoi,тол
88,Licht::N,vauktuz,валдо
89,Schatten::N,pil'vez,сулей
90,Schatten::N,pil'vez,сулейкс
91,Schatten::N,kuvahaine,сулей
92,Schatten::N,kuvahaine,сулейкс
93,Wetter::N,sä,ушо
94,Nebel::N,sumeg,сув
95,Wolke::N,pil'v,пель
96,Regen::N,vihm,пиземс
97,Schnee::N,lumi,лов
98,Eis::N,jä,эй
99,Frost::N,hala,кельме
100,Frost::N,pakaine,кельме
101,Kälte::N,vilu,якшамо
102,Hitze::N,räk,пси
103,Raureif::N,hüde,лекш
104,Regenbogen::N,jumalanbembel',пурьгинечирьке
105,Regenbogen::N,jumalanbembel',пурьгинеёнкс
106,Donner::N,juru,пурьгине
107,Donner::N,jumalanjuru,пурьгине
108,Strömung::N,joksmuz,чудема
109,Strömung::N,joksmuz,чудевкс
110,Tropfen::N,tilkuine,петнявкс
111,Schaum::N,vaht,чов
112,Schmutz::N,redu,рудаз
113,Schmutz::N,pačak,рудаз
114,See::N,järv,эрьке
115,Sumpf::N,so,чей
116,Moor::N,so,чей
117,Wiese::N,nit,луга
118,Wald::N,mec,вирь
119,Hügel::N,kukaz,губорь
120,Hügel::N,kukaz,пандыне
121,Anhöhe::N,kukaz,губорь
122,Anhöhe::N,kukaz,пандыне
123,Berg::N,mägi,пандо
124,Gipfel::N,ladv,пря
125,Höhle::N,mägionduz,пещера
126,Abhang::N,paute,пандочама
127,Quelle::N,lähte,ушодкс
128,Bach::N,oja,чудикерькс
129,Fluss::N,jogi,лей
130,Ufer::N,rand,чире
131,Küste::N,randišt,лейчире
132,Festland::N,kuivma,мода
133,Meer::N,meri,моря
134,Bucht::N,laht,усия
135,Insel::N,sar',усия
136,Blume::N,änik,цеця
137,Gras::N,hein,тикше
138,Wurzel::N,jur',юр
139,Wurzel::N,jur',ундокс
140,Baum::N,pu,чувто
141,Stamm::N,tüvi,рунго
142,Rinde::N,kor',суд
143,Rinde::N,kor',керь
144,Ast::N,oks,морго
145,Zweig::N,oks,тарад
146,Zweig::N,barb,тарад
147,Blatt::N,lehtez,лопа
148,Birke::N,koiv,килей
149,Kiefer[Baum]::N,pedai,пиче
150,Weide[Baum]::N,raid,каль
151,Tanne::N,kuz',куз
152,Horn::N,sar'v,сюро
153,Feder::N,höuneh,толга
154,Fell::N,nahk,пона
155,Flügel::N,suug,сёлмо
156,Klaue::N,künz',кенже
157,Kralle::N,künz',кенже
158,Schwanz::N,händ,пуло
159,Ei::N,muna,ал
160,Nest::N,peza,пизэ
161,Bau::N,uru,варя
162,Bau::N,uru,пизе
163,Tier::N,živat,ракша
164,Herde::N,kogo,стада
165,Kuh::N,lehm,скал
166,Bulle::N,härg,бука
167,Pferd::N,hebo,лишме
168,Schaf::N,lambaz,реве
169,Schwein::N,siga,туво
170,Hund::N,koir,пине
171,Hund::N,koir,киска
172,Katze::N,kaži,псака
173,Bär::N,kondi,овто
174,Eichhörnchen::N,orav,ур
175,Elch::N,hirb',сярдо
176,Fuchs::N,reboi,ривезь
177,Hase::N,jäniš,нумоло
178,Maus::N,hir',чеерь
179,Wolf::N,händikaz,верьгиз
180,Vogel::N,lind,нармунь
181,Schwarm::N,parveh,полк
182,Schwarm::N,parveh,стада
183,Huhn::N,kana,сараз
184,Hahn::N,kukoi,атякш
185,Gans::N,hanh',гала
186,Gans::N,hanh',мацей
187,Adler::N,orl,куцькан
188,Adler::N,orl,тумоатякш
189,Ente::N,sorz,яксярго
190,Eule::N,hir'pulo,корж
191,Kranich::N,kurg,карго
192,Krähe::N,variš,варака
193,Kuckuck::N,kägi,куко
194,Schwan::N,joucen,локсей
195,Fisch::N,kala,кал
196,Barsch::N,ahven,окунь
197,Hecht::N,haug',щука
198,Schlange[Tier]::N,kü,гуй
199,Schlange[Tier]::N,mado,гуй
200,Wurm::N,mado,сукс
201,Spinne::N,hämähouk,шанжав
202,Ameise::N,murahaine,коткудав
203,Laus::N,täi,сий
204,Mücke::N,säs'k,сеське
205,Fliege::N,kärbhaine,карво
206,Schmetterling::N,lipkaine,нимиляв
207,Beere::N,marj,умарь
208,Apfel::N,jablok,умарь
209,Pilz::N,sen',панго
210,Pilz::N,babuk,панго
211,Zwiebel::N,lauk,чурька
212,Saat::N,semned,видьметь
213,Korn::N,jüvä,сюро
214,Korn::N,vill',сюро
215,Heu::N,hein,тикше
216,Schale::N,kor',кедь
217,Schale::N,kor',ваткавкс
218,Grube::N,kop,латко
219,Falle::N,rida,тувор
220,Falle::N,rida,кундамка
221,Schlinge::N,rihm,килькш
222,Spur::N,jäl'g,челькс
223,Spur::N,jäl'g,пильгеки
224,Asche::N,tuhk,кулов
225,Dreck::N,redu,рудаз
226,Dreck::N,pačak,рудаз
227,Eisen::N,raud,кшни
228,Gold::N,kuld,сырне
229,Silber::N,hobed,сия
230,Kohle::N,hil',сэдь
231,Kohle::N,hil',уголия
232,Glas::N,stökol,сулика
233,Lehm::N,savi,сёвонь
234,Sand::N,lete,човар
235,Mensch::N,mez',ломань
236,Mensch::N,ristit,ломань
237,Mann::N,mez',аля
238,Mann::N,mez',цёраломань
239,Frau::N,naine,ава
240,Kind::N,laps',эйкакш
241,Junge::N,poig,цёрыне
242,Junge::N,prihaine,цёрыне
243,Mädchen::N,neičukaine,тейтерне
244,Familie::N,kanz,семия
245,Familie::N,pereh,семия
246,Großvater::N,ded,покштя
247,Großmutter::N,bab,баба
248,Eltern::N,vanhembad,тетят-ават
249,Eltern::N,kazvatajad,тетят-ават
250,Vater::N,tat,тетя
251,Mutter::N,mam,ава
252,Sohn::N,poig,цёра
253,Tochter::N,tütär,тейтерь
254,Bruder::N,veik,леля
255,Bruder::N,veik,ялакс
256,Bruder::N,vell',леля
257,Bruder::N,vell',ялакс
258,Schwester::N,čiža,сазор
259,Schwester::N,sizar,сазор
260,Onkel::N,däd',леля
