,Concept_ID,vep,kn
0,Auge::N,sil'm,ಕಣ್ಣು
1,Ohr::N,korv,ಕಿವಿ
2,Nase::N,nena,ಮೂಗು
3,Mund::N,su,ಬಾಯಿ
4,Zahn::N,pi,ಹಲ್ಲು
5,Zahn::N,hambaz,ಹಲ್ಲು
6,Zunge::N,kel',ನಾಲಿಗೆ
7,Lippe::N,hul',ತುಟಿ
8,Wange::N,modpolišk,ಗಲ್ಲ
9,Gesicht::N,mod,ಮುಖ
10,Stirn::N,oc,ಹಣೆ
11,Haar::N,tuk,ಕೂದಲು
12,Haar::N,hibuz,ಕೂದಲು
13,Schnurrbart::N,habinod,ಮೀಸೆ
14,Bart::N,bard,ಗಡ್ಡ
15,Kinn::N,löug,ಗದ್ದ
16,Kiefer[Anatomie]::N,hambazlu,ದವಡೆ
17,Kehle::N,kurk,ಗಂಟಲು
18,Hals::N,kagl,ಕೊರಳು
19,Genick::N,tagarai,ಹಿಂಗತ್ತು
20,Kopf::N,pä,ತಲೆ
21,Rücken::N,sel'g,ಬೆನ್ನು
22,Bauch::N,vac,ಹೊಟ್ಟೆ
23,Bauch::N,koht,ಹೊಟ್ಟೆ
24,Nabel::N,naba,ಹೊಕ್ಕುಳು
25,Busen::N,niža,ಸ್ತನ
26,Brust::N,rind,ಎದೆ
27,Schulter::N,oug,ಭುಜ
28,Arm::N,käzi,ತೋಳು
29,Ellenbogen::N,künambruz,ಮೊಣಕೈ
30,Hand::N,käzi,ಕೈ
31,Hand::N,käzitera,ಕೈ
32,Handfläche::N,kämen,ಅಂಗೈ
33,Finger::N,sor'm,ಕೈಬೆರಳು
34,Fingernagel::N,künz',ಉಗುರು
35,Nagel[Anatomie]::N,künz',ಉಗುರು
36,Zeh::N,barbaz,ಕಾಲ್ಬೆರಳು
37,Fuß::N,jaug,ಪಾದ
38,Ferse::N,kand,ಹಿಮ್ಮಡಿ
39,Knie::N,komb,ಮಂಡಿ
40,Knie::N,pol'v,ಮಂಡಿ
41,Oberschenkel::N,riiže,ತೊಡೆ
42,Bein::N,jaug,ಕಾಲು
43,Körper::N,hibj,ದೇಹ
44,Haut::N,nahk,ಚರ್ಮ
45,Blut::N,čak,ರಕ್ತ
46,Blut::N,veri,ರಕ್ತ
47,Ader::N,son',ನರ
48,Sehne::N,jände,ನರ
49,Knochen::N,lu,ಮೂಳೆ
50,Gehirn::N,aivod,ಮಿದುಳು
51,Herz::N,südäin,ಹೃದಯ
52,Magen::N,südäikoht,ಉದರ
53,Leber::N,maks,ಯಕೃತ್ತು
54,Atem::N,hengaiduz,ಉಸಿರು
55,Hunger::N,näl'g,ಹಸಿವು
56,Träne::N,kündal',ಕಣ್ಣೀರು
57,Geschmack::N,magu,ರುಚಿ
58,Geruch::N,haju,ವಾಸನೆ
59,Schlaf::N,uni,ನಿದ್ರೆ
60,Traum::N,unikuva,ಕನಸು
61,Himmel::N,taivaz,ಬಾನು
62,Sonne::N,päiväine,ಸೂರ್ಯ
63,Mond::N,kudmaine,ಚಂದ್ರ
64,Stern::N,tähtaz,ಚುಕ್ಕಿ
65,Luft::N,il'm,ವಾಯು
66,Wind::N,döl,ಗಾಳಿ
