,Concept_ID,fa,mrj
0,Auge::N,چشم,сӹнзӓ
1,Ohr::N,گوش,пӹлӹш
2,Nase::N,بینی,нер
3,Mund::N,دهان,ышма
4,Zahn::N,دندان,пӱ
5,Zunge::N,زبان,йӹлмӹ
6,Lippe::N,لب,тӹрвӹ
7,Wange::N,لپ,шӹргӹ
8,Gesicht::N,رو,лицӓ
9,Gesicht::N,چهره,лицӓ
10,Stirn::N,پیشانی,лепкӓ
11,Haar::N,مو,ӱп
12,Schnurrbart::N,سبیل,öрш
13,Bart::N,ریش,пандаш
14,Kinn::N,چانه,онгылаш
15,Kiefer[Anatomie]::N,فک,пӱ арата
16,Kiefer[Anatomie]::N,آرواره,пӱ арата
17,Kehle::N,حلق,логер
18,Hals::N,گردن,шӱ
19,Genick::N,پشت گردن,ланга
20,Kopf::N,سر,вуй
21,Kopf::N,کله,вуй
22,Rücken::N,پشت,туп
23,Bauch::N,شکم,мӹшкӹр
24,Nabel::N,ناف,кӹлӹмдӹ
25,Busen::N,پستان,цӹзӹ
26,Brust::N,سینه,мел
27,Schulter::N,دوش,ӹнгӹжӓ
28,Schulter::N,شانه,ӹнгӹжӓ
29,Arm::N,بازو,кид
30,Ellenbogen::N,آرنج,кӹнервуй
31,Hand::N,دست,лапа
32,Handfläche::N,کف دست,кид лапа
33,Finger::N,انگشت,парня
34,Fingernagel::N,ناخن دست,кӹч
35,Nagel[Anatomie]::N,ناخن,кӹч
36,Zeh::N,انگشت پا,парня
37,Fuß::N,پا,ял лапа
38,Ferse::N,پاشنه,ялгавал
39,Ferse::N,پاشنه,ял кавал
40,Knie::N,زانو,пылвуй
41,Oberschenkel::N,ران,ӓрдӹ
42,Bein::N,پا,ял
43,Bein::N,لنگ,ял
44,Körper::N,تن,монгыр
45,Körper::N,بدن,монгыр
46,Haut::N,پوست,кавашты
47,Blut::N,خون,вӹр
48,Ader::N,رگ,вӹршӓр
49,Sehne::N,زردپی,кукшышӱн
50,Knochen::N,استخوان,лу
51,Gehirn::N,مخ,вим
52,Gehirn::N,مغز,вим
53,Herz::N,دل,шӱм
54,Herz::N,قلب,шӱм
55,Magen::N,معده,шӱм
56,Leber::N,کبد,мокш
57,Atem::N,نفس,шӱлӹш
58,Hunger::N,گرسنگی,шужымаш
59,Träne::N,اشک,сӹнзӓвӹд
60,Geschmack::N,مزه,тот
61,Geruch::N,بو,пыш
62,Schlaf::N,خواب,ом
63,Traum::N,رؤیا,ом
64,Himmel::N,فلک,пӹлгом
65,Himmel::N,آسمان,пӹлгом
66,Sonne::N,آفتاب,кечӹ
67,Sonne::N,خورشید,кечӹ
68,Mond::N,ماه,тӹлзӹ
69,Stern::N,ستاره,шӹдӹр
70,Luft::N,هوا,юж
71,Luft::N,هوا,воздух
72,Wind::N,باد,мардеж
73,Welle::N,موج,ко
74,Welle::N,موج,коэ
75,Wasser::N,آب,вӹд
76,Stein::N,سنگ,кӱ
77,Boden::N,زمین,рок
78,Erde::N,خاک,свет
79,Erde::N,زمین,свет
80,Staub::N,گرد,пырак
81,Staub::N,غبار,пырак
82,Rauch::N,دود,шӹкш
83,Funke::N,جرقه,ип
84,Funke::N,جرقه,тылип
85,Feuer::N,آتش,тыл
86,Licht::N,نور,соты
87,Licht::N,نور,валгыды
