,Concept_ID,,lez
0,Auge::N,,вил
1,Ohr::N,,яб
2,Nase::N,,нер
3,Mund::N,,сив
4,Zahn::N,,сас
5,Zahn::N,,свах
6,Zunge::N,,мез
7,Lippe::N,,пӏуз
8,Wange::N,,хъвехъ
9,Gesicht::N,,ччин
10,Stirn::N,,пел
11,Haar::N,,чӏар
12,Schnurrbart::N,,спел
13,Schnurrbart::N,,спелар
14,Bart::N,,ччуру
15,Kinn::N,,чене
16,Kiefer[Anatomie]::N,,чене
17,Kehle::N,,туьд
18,Hals::N,,гардан
19,Genick::N,,кьам
20,Kopf::N,,кьил
21,Rücken::N,,далу
22,Bauch::N,,руфун
23,Nabel::N,,пицӏ
24,Busen::N,,мам
25,Brust::N,,хур
26,Schulter::N,,къуьн
27,Arm::N,,гъил
28,Ellenbogen::N,,кьуьнт
29,Hand::N,,капаш
30,Handfläche::N,,капан юкь
31,Finger::N,,тӏуб
32,Fingernagel::N,,кек
33,Nagel[Anatomie]::N,,кек
34,Zeh::N,,кул
35,Fuß::N,,кӏвач
36,Ferse::N,,дабан
37,Knie::N,,мет
38,Bein::N,,кӏвач
39,Körper::N,,беден
40,Haut::N,,хам
41,Blut::N,,иви
42,Ader::N,,дамар
43,Sehne::N,,кьуру дамар
44,Knochen::N,,кӏараб
45,Gehirn::N,,мефт
46,Herz::N,,рикӏ
47,Magen::N,,хук
48,Leber::N,,лекь
49,Atem::N,,ял
50,Atem::N,,нефес
51,Hunger::N,,каш
52,Träne::N,,вилин нагъв
53,Geschmack::N,,дад
54,Geschmack::N,,тӏям
55,Geruch::N,,ни
56,Schlaf::N,,ахвар
57,Traum::N,,ахвар
58,Himmel::N,,цав
59,Sonne::N,,рагъ
60,Mond::N,,варз
61,Stern::N,,гъед
62,Luft::N,,гьава
63,Wind::N,,гар
64,Welle::N,,лепе
65,Wasser::N,,яд
66,Stein::N,,къван
67,Boden::N,,накьв
68,Erde::N,,ччил
69,Staub::N,,руг
70,Rauch::N,,гум
71,Funke::N,,цӏелхем
72,Feuer::N,,цӏай
73,Licht::N,,экв
74,Schatten::N,,серин
75,Wetter::N,,гьава
76,Nebel::N,,ччилин циф
77,Wolke::N,,циф
78,Regen::N,,марф
79,Schnee::N,,жив
80,Eis::N,,мурк
81,Frost::N,,аяз
82,Kälte::N,,мекь
83,Kälte::N,,мекьивал
84,Hitze::N,,зегьем
85,Raureif::N,,къирав
86,Regenbogen::N,,яргъируш
87,Donner::N,,цавун ван
88,Tropfen::N,,стӏал
89,Schaum::N,,каф
90,Schmutz::N,,чирк
91,Schmutz::N,,кьуруш
92,See::N,,вир
93,Sumpf::N,,уьлен
94,Wiese::N,,векь
95,Wald::N,,там
96,Hügel::N,,кӏунтӏ
97,Anhöhe::N,,тепе
98,Anhöhe::N,,гьуьндуьрвал
99,Berg::N,,дагъ
100,Gipfel::N,,кӏукӏ
101,Höhle::N,,кьветӏ
102,Abhang::N,,гуьне
103,Quelle::N,,чешме
104,Bach::N,,булах
105,Fluss::N,,вацӏ
106,Ufer::N,,къерех
107,Küste::N,,къерех
108,Festland::N,,кьурамат
109,Meer::N,,гьуьл
110,Bucht::N,,бухта
111,Insel::N,,остров
112,Blume::N,,цуьк
113,Gras::N,,хъач
114,Wurzel::N,,дувул
115,Baum::N,,ттар
116,Stamm::N,,тан
117,Rinde::N,,чкал
118,Ast::N,,тӏур
119,Zweig::N,,хел
120,Blatt::N,,пеш
121,Birke::N,,верх
122,Kiefer[Baum]::N,,шамагъаж
123,Weide[Baum]::N,,цӏвелин ттар
124,Tanne::N,,ель
125,Horn::N,,карч
126,Feder::N,,цӏакул
127,Fell::N,,хам
128,Flügel::N,,лув
129,Klaue::N,,къармах
130,Kralle::N,,пац
131,Kralle::N,,тапас
132,Schwanz::N,,ттум
133,Ei::N,,кака
134,Nest::N,,муг
135,Bau::N,,тӏеквен
136,Tier::N,,гьайван
137,Herde::N,,суьруь
138,Kuh::N,,ккал
139,Bulle::N,,яц
140,Bulle::N,,бугъа
141,Pferd::N,,балкӏан
142,Schaf::N,,хеб
143,Schwein::N,,вак
144,Hund::N,,кицӏ
145,Katze::N,,кац
146,Bär::N,,сев
147,Eichhörnchen::N,,белка
148,Elch::N,,лось
149,Fuchs::N,,сикӏ
150,Hase::N,,къуьр
151,Maus::N,,кьиф
152,Wolf::N,,жанавур
153,Vogel::N,,луван ничхир
154,Schwarm::N,,луж
155,Huhn::N,,верч
156,Hahn::N,,кӏек
157,Gans::N,,къаз
158,Adler::N,,лекь
159,Ente::N,,пӏатӏ
160,Eule::N,,тӏиб
161,Kranich::N,,дурна
162,Krähe::N,,къаргъа
163,Kuckuck::N,,кукупӏ
164,Schwan::N,,къугь
165,Fisch::N,,гъед
166,Barsch::N,,окунь
167,Hecht::N,,щука
168,Schlange[Tier]::N,,илан
169,Schlange[Tier]::N,,гъуьлягъ
170,Wurm::N,,квак
171,Spinne::N,,хуьшрекан
172,Ameise::N,,цегв
173,Laus::N,,нет
174,Mücke::N,,ветӏ
175,Fliege::N,,тӏветӏ
176,Schmetterling::N,,чепелукь
177,Beere::N,,куьлуь емиш
178,Apfel::N,,ич
179,Pilz::N,,къарникъуз
180,Zwiebel::N,,чичӏек
181,Saat::N,,тумар
182,Korn::N,,твар
183,Heu::N,,векь
184,Heu::N,,векьер
185,Schale::N,,пириш
186,Schale::N,,хъуьруьш
187,Grube::N,,фур
188,Falle::N,,ракьар
189,Schlinge::N,,гьалкъа
190,Spur::N,,гел
191,Asche::N,,руьхъ
192,Dreck::N,,чирк
193,Dreck::N,,кьуруш
194,Eisen::N,,ракь
195,Gold::N,,алтун
196,Silber::N,,гимиш
197,Kohle::N,,цӏивин
198,Glas::N,,шуьше
199,Lehm::N,,ччеб
200,Sand::N,,къум
201,Mensch::N,,инсан
202,Mann::N,,итим
203,Frau::N,,паб
204,Frau::N,,дишегьли
205,Kind::N,,аял
206,Junge::N,,гада
207,Mädchen::N,,руш
208,Familie::N,,хзан
209,Familie::N,,килфет
210,Großvater::N,,чӏехи буба
211,Großmutter::N,,чӏехи диде
212,Eltern::N,,диде-буба
213,Vater::N,,буба
214,Mutter::N,,диде
