,Concept_ID,is,kn
0,Auge::N,auga,ಕಣ್ಣು
1,Ohr::N,eyra,ಕಿವಿ
2,Nase::N,nef,ಮೂಗು
3,Mund::N,munnur,ಬಾಯಿ
4,Zahn::N,tönn,ಹಲ್ಲು
5,Zunge::N,tunga,ನಾಲಿಗೆ
6,Lippe::N,vör,ತುಟಿ
7,Wange::N,kinn,ಗಲ್ಲ
8,Wange::N,vangi,ಗಲ್ಲ
9,Gesicht::N,andlit,ಮುಖ
10,Stirn::N,enni,ಹಣೆ
11,Haar::N,hár,ಕೂದಲು
12,Schnurrbart::N,yfirskegg,ಮೀಸೆ
13,Bart::N,skegg,ಗಡ್ಡ
14,Kinn::N,haka,ಗದ್ದ
15,Kiefer[Anatomie]::N,kjálki,ದವಡೆ
16,Kiefer[Anatomie]::N,skoltur,ದವಡೆ
17,Kehle::N,kverk,ಗಂಟಲು
18,Hals::N,háls,ಕೊರಳು
19,Genick::N,hnakki,ಹಿಂಗತ್ತು
20,Kopf::N,höfuð,ತಲೆ
21,Rücken::N,hryggur,ಬೆನ್ನು
22,Bauch::N,kviður,ಹೊಟ್ಟೆ
23,Nabel::N,nafli,ಹೊಕ್ಕುಳು
24,Busen::N,barmur,ಸ್ತನ
25,Brust::N,brjóst,ಎದೆ
26,Schulter::N,öxl,ಭುಜ
27,Arm::N,armur,ತೋಳು
28,Ellenbogen::N,olnbogi,ಮೊಣಕೈ
29,Hand::N,hönd,ಕೈ
30,Handfläche::N,lófi,ಅಂಗೈ
31,Finger::N,fingur,ಕೈಬೆರಳು
32,Fingernagel::N,fingurnögl,ಉಗುರು
33,Nagel[Anatomie]::N,nögl,ಉಗುರು
34,Zeh::N,tá,ಕಾಲ್ಬೆರಳು
35,Fuß::N,fótur,ಪಾದ
36,Ferse::N,hæll,ಹಿಮ್ಮಡಿ
37,Knie::N,kné,ಮಂಡಿ
38,Oberschenkel::N,læri,ತೊಡೆ
39,Bein::N,fótleggur,ಕಾಲು
40,Körper::N,búkur,ದೇಹ
41,Körper::N,líkami,ದೇಹ
42,Haut::N,húð,ಚರ್ಮ
43,Haut::N,skinn,ಚರ್ಮ
44,Blut::N,blóð,ರಕ್ತ
45,Ader::N,æð,ನರ
46,Sehne::N,sin,ನರ
47,Knochen::N,bein,ಮೂಳೆ
48,Gehirn::N,heili,ಮಿದುಳು
49,Herz::N,hjarta,ಹೃದಯ
50,Magen::N,magi,ಉದರ
51,Leber::N,lifur,ಯಕೃತ್ತು
52,Atem::N,andi,ಉಸಿರು
53,Atem::N,andardráttur,ಉಸಿರು
54,Hunger::N,hungur,ಹಸಿವು
55,Träne::N,tár,ಕಣ್ಣೀರು
56,Geschmack::N,smekkur,ರುಚಿ
57,Geruch::N,lykt,ವಾಸನೆ
58,Schlaf::N,svefn,ನಿದ್ರೆ
59,Traum::N,draumur,ಕನಸು
60,Himmel::N,himinn,ಬಾನು
61,Sonne::N,sól,ಸೂರ್ಯ
62,Mond::N,tungl,ಚಂದ್ರ
63,Stern::N,stjarna,ಚುಕ್ಕಿ
64,Luft::N,loft,ವಾಯು
65,Wind::N,vindur,ಗಾಳಿ
66,Welle::N,alda,ಅಲೆ
67,Welle::N,bylgja,ಅಲೆ
68,Wasser::N,vatn,ನೀರು
69,Stein::N,steinn,ಕಲ್ಲು
70,Boden::N,botn,ನೆಲ
71,Erde::N,jörð,ಭೂಮಿ
72,Staub::N,ryk,ದೂಳು
73,Staub::N,duft,ದೂಳು
74,Rauch::N,reykur,ಹೊಗೆ
75,Funke::N,neisti,ಕಿಡಿ
76,Feuer::N,eldur,ಬೆಂಕಿ
77,Licht::N,ljós,ಬೆಳಕು
78,Schatten::N,skuggi,ನೆರಳು
79,Wetter::N,veður,ಹವ
80,Nebel::N,þoka,ಮಂಜು
81,Wolke::N,ský,ಮೋಡ
82,Regen::N,regn,ಮಳೆ
83,Schnee::N,snjór,ಹಿಮ
84,Eis::N,ís,ಮಂಜುಗಡ್ಡೆ
85,Frost::N,frost,ಮಂಜು
86,Kälte::N,kuldi,ಹಿಮ
87,Hitze::N,hiti,ಉಷ್ಣ
88,Raureif::N,hrím,ಇಬ್ಬನಿ
89,Regenbogen::N,regnbogi,ಇಂದ್ರಚಾಪ
90,Donner::N,þruma,ಗುಡುಗು
91,Strömung::N,straumur,ಪ್ರವಾಹ
92,Tropfen::N,dropi,ತೊಟ್ಟು
93,Schaum::N,froða,ನೊರೆ
94,Schmutz::N,óhreinindi,ಕಸ
95,See::N,stöðuvatn,ಸರೋವರ
96,Sumpf::N,fen,ಜೌಗುಸ್ಥಳ
97,Moor::N,mýri,ಬಂಜರು ಭೂಮಿ
98,Wiese::N,engi,ಹುಲ್ಲುಗಾವಲು
