,Concept_ID,pt,fa
0,Auge::N,olho,چشم
1,Ohr::N,orelha,گوش
2,Nase::N,nariz,بینی
3,Mund::N,boca,دهان
4,Zahn::N,dente,دندان
5,Zunge::N,língua,زبان
6,Lippe::N,lábio,لب
7,Wange::N,face,لپ
8,Gesicht::N,cara,رو
9,Gesicht::N,cara,چهره
10,Gesicht::N,rosto,رو
11,Gesicht::N,rosto,چهره
12,Stirn::N,testa,پیشانی
13,Haar::N,cabelo,مو
14,Schnurrbart::N,bigode,سبیل
15,Bart::N,barba,ریش
16,Kinn::N,queixo,چانه
17,Kiefer[Anatomie]::N,maxila,فک
18,Kiefer[Anatomie]::N,maxila,آرواره
19,Kiefer[Anatomie]::N,mandíbula,فک
20,Kiefer[Anatomie]::N,mandíbula,آرواره
21,Kehle::N,garganta,حلق
22,Hals::N,colo,گردن
23,Hals::N,pescoço,گردن
24,Genick::N,nuca,پشت گردن
25,Kopf::N,cabeça,سر
26,Kopf::N,cabeça,کله
27,Rücken::N,dorso,پشت
28,Rücken::N,costas,پشت
29,Bauch::N,ventre,شکم
30,Bauch::N,barriga,شکم
31,Nabel::N,umbigo,ناف
32,Busen::N,seio,پستان
33,Brust::N,peito,سینه
34,Schulter::N,ombro,دوش
35,Schulter::N,ombro,شانه
36,Arm::N,braço,بازو
37,Ellenbogen::N,cotovelo,آرنج
38,Hand::N,mão,دست
39,Handfläche::N,palma,کف دست
40,Handfläche::N,palma da mão,کف دست
41,Finger::N,dedo,انگشت
42,Fingernagel::N,unha,ناخن دست
43,Nagel[Anatomie]::N,unha,ناخن
44,Zeh::N,dedo do pé,انگشت پا
45,Fuß::N,pé,پا
46,Ferse::N,calcanhar,پاشنه
47,Knie::N,joelho,زانو
48,Oberschenkel::N,coxa,ران
49,Bein::N,perna,پا
50,Bein::N,perna,لنگ
51,Körper::N,corpo,تن
52,Körper::N,corpo,بدن
53,Haut::N,pele,پوست
54,Blut::N,sangue,خون
55,Ader::N,veia,رگ
56,Sehne::N,tendão,زردپی
57,Knochen::N,osso,استخوان
58,Gehirn::N,cérebro,مخ
59,Gehirn::N,cérebro,مغز
60,Herz::N,coração,دل
61,Herz::N,coração,قلب
62,Magen::N,estômago,معده
63,Leber::N,fígado,کبد
64,Atem::N,fôlego,نفس
65,Hunger::N,fome,گرسنگی
66,Träne::N,lágrima,اشک
