,Concept_ID,lv,ta
0,Auge::N,син,கண்
1,Auge::N,acs,கண்
2,Ohr::N,пель,காது
3,Ohr::N,auss,காது
4,Nase::N,ныр,மூக்கு
5,Nase::N,deguns,மூக்கு
6,Mund::N,вом,வாய்
7,Mund::N,mute,வாய்
8,Zahn::N,пинь,பல்
9,Zahn::N,zobs,பல்
10,Zunge::N,кыв,நாக்கு
11,Zunge::N,mēle,நாக்கு
12,Lippe::N,вом дор,உதடு
13,Lippe::N,lūpa,உதடு
14,Wange::N,бан,கன்னம்
15,Wange::N,vaigs,கன்னம்
16,Gesicht::N,чужӧм,முகம்
17,Gesicht::N,seja,முகம்
18,Gesicht::N,ģīmis,முகம்
19,Stirn::N,плеш,முன்னெற்றி
20,Stirn::N,кымӧс,முன்னெற்றி
21,Stirn::N,piere,முன்னெற்றி
22,Haar::N,си,முடி
23,Haar::N,юрси,முடி
24,Haar::N,mats,முடி
25,Schnurrbart::N,ус,மீசை
26,Schnurrbart::N,пыртсим,மீசை
27,Schnurrbart::N,ūsas,மீசை
28,Bart::N,тош,தாடி
29,Bart::N,bārda,தாடி
30,Kinn::N,тшӧка,கீழதாடை
31,Kinn::N,zods,கீழதாடை
32,Kinn::N,smakrs,கீழதாடை
33,Kiefer[Anatomie]::N,черлы,தாடை
34,Kiefer[Anatomie]::N,алака лы,தாடை
35,Kiefer[Anatomie]::N,вомкӧтш лы,தாடை
36,Kiefer[Anatomie]::N,žoklis,தாடை
37,Kehle::N,голя,தொண்டை
38,Kehle::N,rīkle,தொண்டை
39,Hals::N,сьылі,கழுத்து
40,Hals::N,kakls,கழுத்து
41,Genick::N,юрбӧр,கழுத்து
42,Genick::N,балябӧж,கழுத்து
43,Genick::N,sprands,கழுத்து
44,Kopf::N,юр,தலை
45,Kopf::N,galva,தலை
46,Rücken::N,мыш,முதுகு
47,Rücken::N,mugura,முதுகு
48,Bauch::N,рушку,வயிறு
49,Bauch::N,vēders,வயிறு
50,Nabel::N,гӧг,தொப்புள்
51,Nabel::N,naba,தொப்புள்
52,Busen::N,морӧс,மார்பகம்
53,Busen::N,krūts,மார்பகம்
54,Brust::N,морӧс, மார்பு
55,Brust::N,krūts, மார்பு
56,Schulter::N,пельпом,தோள்பட்டை
57,Schulter::N,plecs,தோள்பட்டை
58,Arm::N,ки,கரம்
59,Arm::N,roka,கரம்
60,Arm::N,delms,கரம்
61,Ellenbogen::N,гырддза,முழங்கை
62,Ellenbogen::N,elkonis,முழங்கை
63,Hand::N,ки,கை
64,Hand::N,roka,கை
65,Hand::N,plauksta,கை
66,Handfläche::N,ки пыдӧс,உள்ளங்கை
67,Handfläche::N,delna,உள்ளங்கை
68,Handfläche::N,plauksta,உள்ளங்கை
69,Finger::N,чунь,விரல்
70,Finger::N,pirksts,விரல்
71,Fingernagel::N,гыж,விரல் நகம்
72,Fingernagel::N,nags,விரல் நகம்
73,Nagel[Anatomie]::N,гыж,நகம்
74,Nagel[Anatomie]::N,nags,நகம்
75,Zeh::N,кок чунь,கால்விரல்
76,Zeh::N,pirksts,கால்விரல்
77,Fuß::N,кок,கால்
78,Fuß::N,kāja,கால்
79,Ferse::N,кокбӧр,குதிகால்
80,Ferse::N,papēdis,குதிகால்
81,Knie::N,пидзӧс,முழங்கால்
82,Knie::N,celis,முழங்கால்
83,Oberschenkel::N,лядьвей,தொடை
84,Oberschenkel::N,бек,தொடை
85,Oberschenkel::N,ciska,தொடை
86,Oberschenkel::N,augšstilbs,தொடை
87,Bein::N,кок,கால்
88,Bein::N,kāja,கால்
89,Körper::N,туша,உடல்
90,Körper::N,вывтыр,உடல்
91,Körper::N,miesa,உடல்
92,Körper::N,ķermenis,உடல்
93,Haut::N,ку,சருமம்
94,Haut::N,āda,சருமம்
95,Blut::N,вир,இரத்தம்
96,Blut::N,asins,இரத்தம்
97,Ader::N,сӧн,நாளம்
98,Ader::N,asinsvads,நாளம்
99,Sehne::N,вез,தசைநார்
100,Sehne::N,dzīsla,தசைநார்
101,Knochen::N,лы,எலுமபு
102,Knochen::N,kauls,எலுமபு
