,Concept_ID,mrj,ro
0,Auge::N,сӹнзӓ,ochi
1,Ohr::N,пӹлӹш,ureche
2,Nase::N,нер,nas
3,Mund::N,ышма,gură
4,Zahn::N,пӱ,dinte
5,Zunge::N,йӹлмӹ,limbă
6,Lippe::N,тӹрвӹ,buză
7,Wange::N,шӹргӹ,bucă
8,Wange::N,шӹргӹ,obraz
9,Gesicht::N,лицӓ,față
10,Gesicht::N,лицӓ,figură
11,Stirn::N,лепкӓ,frunte
12,Haar::N,ӱп,păr
13,Schnurrbart::N,öрш,mustață
14,Bart::N,пандаш,barbă
15,Kinn::N,онгылаш,bărbie
16,Kiefer[Anatomie]::N,пӱ арата,falcă
17,Kehle::N,логер,beregată
18,Hals::N,шӱ,gât
19,Genick::N,ланга,ceafă
20,Kopf::N,вуй,cap
21,Rücken::N,туп,dos
22,Rücken::N,туп,spate
23,Rücken::N,туп,spinare
24,Bauch::N,мӹшкӹр,burtă
25,Bauch::N,мӹшкӹр,pântece
26,Nabel::N,кӹлӹмдӹ,buric
27,Busen::N,цӹзӹ,sân
28,Brust::N,мел,piept
29,Schulter::N,ӹнгӹжӓ,umăr
30,Schulter::N,ӹнгӹжӓ,spate
31,Arm::N,кид,braț
32,Ellenbogen::N,кӹнервуй,cot
33,Hand::N,лапа,mână
34,Handfläche::N,кид лапа,palmă
35,Finger::N,парня,deget
36,Fingernagel::N,кӹч,unghie
37,Nagel[Anatomie]::N,кӹч,unghie
38,Zeh::N,парня,deget de la picior
39,Fuß::N,ял лапа,picior
40,Ferse::N,ялгавал,călcâi
41,Ferse::N,ял кавал,călcâi
42,Knie::N,пылвуй,genunchi
43,Oberschenkel::N,ӓрдӹ,coapsă
44,Bein::N,ял,picior
45,Körper::N,монгыр,corp
46,Haut::N,кавашты,piele
47,Blut::N,вӹр,sânge
48,Ader::N,вӹршӓр,vână
49,Ader::N,вӹршӓр,arteră
50,Sehne::N,кукшышӱн,tendon
51,Knochen::N,лу,os
52,Gehirn::N,вим,creier
53,Herz::N,шӱм,inimă
54,Magen::N,шӱм,stomac
55,Leber::N,мокш,ficat
56,Atem::N,шӱлӹш,răsuflare
57,Atem::N,шӱлӹш,respirație
58,Hunger::N,шужымаш,foame
59,Träne::N,сӹнзӓвӹд,lacrimă
60,Geschmack::N,тот,gust
61,Geruch::N,пыш,miros
62,Schlaf::N,ом,somn
63,Traum::N,ом,vis
64,Himmel::N,пӹлгом,cer
65,Sonne::N,кечӹ,soare
66,Mond::N,тӹлзӹ,lună
67,Stern::N,шӹдӹр,stea
68,Luft::N,юж,aer
69,Luft::N,воздух,aer
70,Wind::N,мардеж,vânt
71,Welle::N,ко,val
72,Welle::N,ко,undă
73,Welle::N,коэ,val
74,Welle::N,коэ,undă
75,Wasser::N,вӹд,apă
76,Stein::N,кӱ,piatră
77,Boden::N,рок,sol
78,Boden::N,рок,pământ
79,Erde::N,свет,pământ
80,Staub::N,пырак,praf
81,Rauch::N,шӹкш,fum
82,Funke::N,ип,scânteie
83,Funke::N,тылип,scânteie
84,Feuer::N,тыл,foc
85,Licht::N,соты,lumină
86,Licht::N,валгыды,lumină
87,Schatten::N,ӹмӹл,umbră
88,Wetter::N,игечӹ,timp
89,Wetter::N,игечӹ,vreme
90,Nebel::N,тӹтӹрӓ,ceață
91,Nebel::N,тӹтӹрӓ,negură
92,Wolke::N,пӹл,nor
93,Regen::N,юр,ploaie
94,Schnee::N,лым,zăpadă
95,Eis::N,и,gheață
96,Frost::N,ӱштӹ,ger
97,Kälte::N,ӱштӹ,frig
98,Hitze::N,шокшы,arșiță
99,Hitze::N,шокшы,căldură
100,Raureif::N,пöрш,chiciură
101,Regenbogen::N,шанавӹл,curcubeu
102,Donner::N,хӹдӹртӹш,tunet
103,Strömung::N,йогы,curent
104,Tropfen::N,капльы,picătură
105,Tropfen::N,капльык,picătură
106,Schaum::N,шонг,spumă
107,Schmutz::N,лявӹрӓ,murdărie
108,See::N,йӓр,lac
109,Sumpf::N,лӱкӹ,mlaștină
110,Moor::N,куп,bărăgan
111,Wiese::N,алык,fânaț
112,Wiese::N,алык,livadă
113,Wald::N,шӹргӹ,codru
114,Wald::N,шӹргӹ,pădure
115,Hügel::N,пӱгӹрикӓ,deal
116,Hügel::N,пӱгӹрикӓ,movilă
117,Anhöhe::N,кӱкшикӓ,deal
118,Anhöhe::N,кӱкшикӓ,ridicătură
119,Berg::N,кырык,munte
120,Gipfel::N,неркӓ,pisc
121,Höhle::N,ы́раж,peșteră
122,Abhang::N,полом,pantă
123,Abhang::N,полом,versant
124,Quelle::N,вӹдсӹнзӓ,izvor
125,Bach::N,ӓнгӹр,gârlă
126,Fluss::N,вӹд,râu
127,Fluss::N,вӹд,fluviu
128,Ufer::N,сир,mal
129,Ufer::N,сир,țărm
130,Küste::N,сир,coastă
131,Festland::N,мӱлӓндӹ,uscat
132,Meer::N,тангыж,mare
133,Bucht::N,вӹдъял,golf
134,Insel::N,острок,insulă
135,Blume::N,пеледӹш,floare
136,Gras::N,шуды,iarbă
137,Wurzel::N,важ,rădăcină
138,Baum::N,пушӓнгӹ,copac
139,Baum::N,пушӓнгӹ,arbore
140,Stamm::N,пушӓнгӹ тӹнг,tulpină
141,Rinde::N,каргыж,scoarță
142,Ast::N,укш,cracă
143,Ast::N,укш,creangă
144,Zweig::N,укш,ramură
145,Zweig::N,укш,creangă
146,Blatt::N,листӹ,frunză
147,Birke::N,куги,mesteacăn
148,Kiefer[Baum]::N,йӓктӹ,pin
149,Weide[Baum]::N,уа,salcie
150,Weide[Baum]::N,уа,răchită
151,Tanne::N,кож,brad
152,Horn::N,шур,corn
153,Feder::N,пын,pană
154,Fell::N,кавашты,piele
155,Flügel::N,шылдыр,aripă
156,Klaue::N,кӹч,gheară
157,Kralle::N,лапа,labă
158,Kralle::N,лапа,gheară
159,Schwanz::N,пач,coadă
160,Ei::N,мыны,ou
161,Nest::N,пӹжӓш,cuib
162,Bau::N,ыраж,bârlog
163,Bau::N,ыраж,vizuină
164,Tier::N,во́льык,animal
165,Herde::N,кӹтö,turmă
166,Herde::N,кӹтö,cireadă
167,Kuh::N,ышкал,vacă
168,Bulle::N,ӱшкӱж,taur
169,Pferd::N,имни,cal
170,Schaf::N,шарык,oaie
171,Schwein::N,сасна,porc
172,Hund::N,пи,câine
173,Katze::N,коти,pisică
174,Bär::N,мöскӓ,urs
175,Eichhörnchen::N,ур,veveriță
176,Elch::N,шарды,elan
177,Fuchs::N,рӹвӹж,vulpe
178,Hase::N,морен,iepure
179,Maus::N,каля,șoarece
180,Wolf::N,пирӹ,lup
181,Vogel::N,кек,pasăre
182,Schwarm::N,цуца,cârd
183,Huhn::N,цӹвӹ,găină
184,Hahn::N,ӓптӓн,cocoș
185,Gans::N,комбы,gâscă
186,Adler::N,кучкыж,vultur
187,Ente::N,лыды,rață
188,Eule::N,тымана,bufniță
189,Kranich::N,тырня,cocor
190,Kranich::N,тыртня,cocor
191,Krähe::N,лудыгарак,cioară
192,Kuckuck::N,куку,cuc
193,Schwan::N,йӱксӹ,lebădă
194,Fisch::N,кол,pește
195,Barsch::N,алангы,biban
196,Hecht::N,нуж,știucă
197,Hecht::N,нужгол,știucă
198,Schlange[Tier]::N,кӹшкы,șarpe
199,Wurm::N,шукш,vierme
200,Spinne::N,ӓнгӹремшӹ,păianjen
201,Ameise::N,кыткы,furnică
