,Concept_ID,he,br
0,Auge::N,עין,lagad
1,Ohr::N,אזן,skouarn
2,Nase::N,אף,fri
3,Nase::N,חטם,fri
4,Mund::N,פה,genoù
5,Zahn::N,שן,dant
6,Zunge::N,לשון,teod
7,Lippe::N,שפה,muzell
8,Wange::N,לחי,chot
9,Gesicht::N,פנים,dremm
10,Stirn::N,מצח,tal
11,Haar::N,שערה,blev
12,Schnurrbart::N,שפם,mourenn
13,Bart::N,זקן,barv
14,Kinn::N,סנטר,groñj
15,Kiefer[Anatomie]::N,לסת,javed
16,Kehle::N,גרון,gouzoug
17,Hals::N,צואר,gouzoug
18,Genick::N,ערף,choug
19,Kopf::N,ראש,penn
20,Rücken::N,גב,kein
21,Bauch::N,בטן,kof
22,Nabel::N,טבור,begel
23,Busen::N,שד,bronn
24,Brust::N,חזה,bruched
25,Schulter::N,כתף,skoaz
26,Arm::N,זרוע,brec'h
27,Ellenbogen::N,מרפק,ilin
28,Hand::N,יד,dorn
29,Handfläche::N,כף יד,palv
30,Finger::N,אצבע,biz
31,Fingernagel::N,צפרן,ivin
32,Nagel[Anatomie]::N,צפרן,ivin
33,Zeh::N,אצבע,biz-troad
34,Fuß::N,רגל,troad
35,Ferse::N,עקב,seul
36,Knie::N,ברך,glin
37,Oberschenkel::N,ירך,morzhed
38,Bein::N,רגל,gar
39,Körper::N,גוף,korf
40,Haut::N,עור,kroc'hen
41,Blut::N,דם,gwad
42,Ader::N,וריד,gwazhi
43,Sehne::N,גיד,stir
44,Knochen::N,עצם,askorn
45,Gehirn::N,מוח,empenn
46,Herz::N,לב,kalon
47,Magen::N,קבה,stomog
48,Leber::N,כבד,avu
49,Atem::N,נשימה,anal
50,Hunger::N,רעב,naon
51,Träne::N,דמעה,daer
52,Geschmack::N,טעם,blaz
53,Geruch::N,ריח,c'hwezh
54,Schlaf::N,שנה,kousked
55,Traum::N,חלום,hune
56,Himmel::N,שמים,oabl
57,Sonne::N,שמש,heol
58,Mond::N,ירח,loar
59,Stern::N,כוכב,steredenn
60,Luft::N,אויר,aer
61,Wind::N,רוח,avel
62,Welle::N,גל,houlenn
63,Wasser::N,מים,dour
64,Stein::N,אבן,maen
65,Boden::N,קרקע,tachenn
66,Erde::N,אדמה,douar
