,Concept_ID,mrj,bn
0,Auge::N,сӹнзӓ,চক্ষু
1,Ohr::N,пӹлӹш,কর্ণ
2,Nase::N,нер,নাক
3,Mund::N,ышма,মুখ
4,Zahn::N,пӱ,দাঁত
5,Zunge::N,йӹлмӹ,জিহবা
6,Lippe::N,тӹрвӹ,অধর
7,Wange::N,шӹргӹ,গণ্ড
8,Gesicht::N,лицӓ,মুখমণ্ডল
9,Stirn::N,лепкӓ,কপাল
10,Haar::N,ӱп,চুল
11,Schnurrbart::N,öрш,গোঁফ
12,Bart::N,пандаш,শ্মশ্রু
13,Kinn::N,онгылаш,চিবুক
14,Kiefer[Anatomie]::N,пӱ арата,চোয়াল
15,Kehle::N,логер,কণ্ঠ
16,Hals::N,шӱ,গল
17,Genick::N,ланга,ঘাড়
18,Kopf::N,вуй,মাথা
19,Rücken::N,туп,পৃষ্ঠ
20,Bauch::N,мӹшкӹр,উদর
21,Nabel::N,кӹлӹмдӹ,নাভি
22,Busen::N,цӹзӹ,স্তন
23,Brust::N,мел,বুক
24,Schulter::N,ӹнгӹжӓ,স্কন্ধ
25,Arm::N,кид,বাহু
26,Ellenbogen::N,кӹнервуй,কনুই
27,Hand::N,лапа,হাত
28,Handfläche::N,кид лапа,করতল
29,Finger::N,парня,আঙ্গুল
30,Fingernagel::N,кӹч,হাতের নখ
31,Nagel[Anatomie]::N,кӹч,নখ
32,Zeh::N,парня,আঙ্গুল
33,Fuß::N,ял лапа,পা
34,Ferse::N,ялгавал,গোড়ালি
35,Ferse::N,ял кавал,গোড়ালি
36,Knie::N,пылвуй,হাঁটু
37,Oberschenkel::N,ӓрдӹ,ঊরু
38,Bein::N,ял,পা
39,Körper::N,монгыр,দেহ
40,Haut::N,кавашты,ত্বক
41,Blut::N,вӹр,রক্ত
42,Ader::N,вӹршӓр,শিরা
43,Sehne::N,кукшышӱн,কণ্ডরা
44,Knochen::N,лу,অস্থি
45,Gehirn::N,вим,মস্তিষ্ক
46,Herz::N,шӱм,হৃৎপিণ্ড
47,Magen::N,шӱм,পাকস্থলী
48,Leber::N,мокш,যকৃৎ
49,Atem::N,шӱлӹш,শ্বাস
50,Hunger::N,шужымаш,ক্ষুধা
51,Träne::N,сӹнзӓвӹд,অশ্রু
52,Geschmack::N,тот,স্বাদ
53,Geruch::N,пыш,গন্ধ
54,Schlaf::N,ом,ঘুম
55,Traum::N,ом,স্বপ্ন
56,Himmel::N,пӹлгом,আকাশ
57,Sonne::N,кечӹ,সূর্য
58,Mond::N,тӹлзӹ,চন্দ্র
59,Stern::N,шӹдӹр,নক্ষত্র
60,Luft::N,юж,বায়ু
61,Luft::N,воздух,বায়ু
62,Wind::N,мардеж,বাতাস
63,Welle::N,ко,ঢেউ
64,Welle::N,ко,তরঙ্গ
65,Welle::N,коэ,ঢেউ
66,Welle::N,коэ,তরঙ্গ
67,Wasser::N,вӹд,জল
68,Stein::N,кӱ,ঢিল
69,Stein::N,кӱ,প্রস্তর
70,Boden::N,рок,ভূতল
71,Erde::N,свет,ভূমি
72,Staub::N,пырак,ধুলা
73,Rauch::N,шӹкш,ধোঁয়া
74,Funke::N,ип,স্ফুলিঙ্গ
75,Funke::N,тылип,স্ফুলিঙ্গ
76,Feuer::N,тыл,অগ্নি
77,Licht::N,соты,আলো
78,Licht::N,валгыды,আলো
79,Schatten::N,ӹмӹл,ছায়া
80,Wetter::N,игечӹ,আবহাওয়া
81,Nebel::N,тӹтӹрӓ,কুহেলিকা
82,Wolke::N,пӹл,মেঘ
83,Regen::N,юр,বৃষ্টি
84,Schnee::N,лым,তুষার
85,Eis::N,и,বরফ
86,Frost::N,ӱштӹ,তুষার
87,Kälte::N,ӱштӹ,শৈত্য
88,Hitze::N,шокшы,তাপ
89,Raureif::N,пöрш,তুহিন
90,Regenbogen::N,шанавӹл,রামধনু
91,Donner::N,хӹдӹртӹш,বজ্রধ্বনি
92,Strömung::N,йогы,স্রোত
93,Tropfen::N,капльы,ফোঁটা
94,Tropfen::N,капльык,ফোঁটা
95,Schaum::N,шонг,ফেনা
96,Schmutz::N,лявӹрӓ,ধুলা
97,See::N,йӓр,হ্রদ
98,Sumpf::N,лӱкӹ,জলা
99,Moor::N,куп,মাঠ
100,Wiese::N,алык,তৃণভূমি
101,Wald::N,шӹргӹ,বন
102,Hügel::N,пӱгӹрикӓ,পাহাড়
103,Anhöhe::N,кӱкшикӓ,টিলা
104,Berg::N,кырык,পর্বত
105,Gipfel::N,неркӓ,শীর্ষ
106,Höhle::N,ы́раж,গুহা
107,Abhang::N,полом,ঢাল
