,Concept_ID,zh,az
0,Auge::N,眼睛,göz
1,Ohr::N,耳朵,qulaq
2,Nase::N,鼻子,burun
3,Mund::N,嘴,ağız
4,Zahn::N,牙齿,diş
5,Zunge::N,舌头,dil
6,Lippe::N,嘴唇,dodaq
7,Wange::N,面颊,yanaq
8,Gesicht::N,脸,üz
9,Stirn::N,额,alın
10,Haar::N,头发,saç
11,Schnurrbart::N,髭须,bığ
12,Bart::N,胡子,saqqal
13,Kinn::N,下巴,çənə
14,Kiefer[Anatomie]::N,颌,çənə
15,Kehle::N,嗓子,boğaz
16,Hals::N,颈,boyun
17,Genick::N,后颈,ənsə
18,Kopf::N,头,baş
19,Rücken::N,背,bel
20,Bauch::N,肚子,qarın
21,Nabel::N,肚脐,göbək
22,Busen::N,胸脯,məmə
23,Brust::N,胸,döş
24,Schulter::N,肩膀,çiyin
25,Arm::N,臂膀,qol
26,Ellenbogen::N,肘,dirsək
27,Hand::N,手,əl
28,Handfläche::N,手掌,ovuc
29,Finger::N,手指,barmaq
30,Fingernagel::N,指甲,barmaq dırnağı
31,Nagel[Anatomie]::N,指甲,dırnak
32,Zeh::N,脚趾,ayaq barmağı
33,Fuß::N,脚,ayaq
34,Ferse::N,后跟,daban
35,Knie::N,膝,diz
36,Oberschenkel::N,大腿,bud
37,Bein::N,腿,qıç
38,Körper::N,身体,əndam
39,Haut::N,皮肤,dəri
40,Blut::N,血,qan
41,Ader::N,血管,damar
42,Sehne::N,腱,vətər
43,Knochen::N,骨,sümük
44,Gehirn::N,脑,beyin
45,Herz::N,心,ürək
46,Magen::N,胃,mədə
47,Leber::N,肝,qara ciyər
48,Atem::N,呼吸,nəfəs
49,Hunger::N,饿,aclıq
50,Träne::N,眼泪,göz yaşı
51,Geschmack::N,味道,tam
52,Geschmack::N,味道,ləzzət
53,Geruch::N,气味,qoxu
54,Schlaf::N,睡眠,yuxu
55,Traum::N,梦,röya
56,Himmel::N,天空,göy
57,Himmel::N,天空,səma
58,Sonne::N,太阳,günəş
59,Mond::N,月亮,ay
60,Stern::N,星,ulduz
61,Luft::N,空气,hava
62,Wind::N,风,yel
63,Wind::N,风,külək
64,Welle::N,波,dalğa
65,Wasser::N,水,su
66,Stein::N,石头,daş
67,Boden::N,地面,yer
68,Boden::N,地面,zəmin
69,Erde::N,地,yer torpaq
70,Staub::N,灰尘,toz
71,Rauch::N,烟,tüstü
72,Funke::N,火花,qığılcım
73,Feuer::N,火,od
74,Licht::N,光,işıq
75,Schatten::N,影子,kölgə
76,Wetter::N,天气,hava
77,Nebel::N,雾,duman
78,Wolke::N,云,bulud
79,Regen::N,雨,yağış
80,Regen::N,雨,yağmur
81,Schnee::N,雪,qar
82,Eis::N,冰,buz
83,Frost::N,霜冻,ayaz
84,Kälte::N,寒冷,soyuq
85,Hitze::N,炎热,coşğunluq
86,Raureif::N,霜,qırov
87,Regenbogen::N,虹,göy qurşağı
88,Donner::N,雷,göy gurultusu
89,Strömung::N,水流,axın
90,Tropfen::N,滴,damcı
91,Schaum::N,泡沫,köpük
92,Schmutz::N,赃物,çamır
93,See::N,湖,göl
94,Sumpf::N,沼泽,bataqlıq
95,Moor::N,沼泽,bataqlıq
96,Wiese::N,草地,çəmən
97,Wald::N,森林,meşə
98,Hügel::N,丘陵,təpə
99,Anhöhe::N,山丘,təpə
100,Berg::N,山,dağ
101,Gipfel::N,峰,zirvə
102,Höhle::N,洞穴,mağara
103,Abhang::N,斜坡,yamac
104,Quelle::N,泉,bulaq
105,Bach::N,溪,kiçik çay
106,Fluss::N,河流,çay
107,Ufer::N,岸,kənar
108,Küste::N,海岸,sahil
109,Festland::N,大陆,materik
110,Meer::N,海,dəniz
111,Bucht::N,海湾,körfəz
112,Insel::N,岛,ada
113,Blume::N,花,çiçək
114,Gras::N,草,ot
115,Wurzel::N,根,kök
116,Baum::N,树,ağac
117,Stamm::N,树干,gövdə
118,Rinde::N,树皮,qabıq
119,Ast::N,树枝,şax
120,Zweig::N,树枝,budaq
121,Blatt::N,叶子,yarpaq
122,Birke::N,桦木,tozağacı
123,Kiefer[Baum]::N,松树,şam
124,Weide[Baum]::N,柳树,söyüd
125,Tanne::N,冷杉,küknar
126,Horn::N,角,buynuz
127,Feder::N,羽毛,tük
128,Feder::N,羽毛,lələk
129,Fell::N,皮毛,xəz
130,Flügel::N,翅膀,qanad
131,Klaue::N,爪子,pəncə
132,Kralle::N,爪子,dırnaq
133,Schwanz::N,尾巴,quyruq
134,Ei::N,蛋,yumurta
135,Nest::N,巢,yuva
136,Bau::N,穴,yuva
137,Tier::N,动物,heyvan
138,Herde::N,群,sürü
139,Kuh::N,母牛,inək
140,Bulle::N,公牛,öküz
141,Pferd::N,马,at
142,Schaf::N,羊,qoyun
143,Schwein::N,猪,donuz
144,Hund::N,狗,it
145,Hund::N,狗,köpək
146,Katze::N,猫,pişik
147,Bär::N,熊,ayı
148,Eichhörnchen::N,松鼠,dələ
149,Elch::N,麋鹿,sığın
150,Fuchs::N,狐狸,tülkü
151,Hase::N,兔子,dovşan
152,Maus::N,老鼠,siçan
153,Wolf::N,狼,qurd
154,Vogel::N,鸟,quş
155,Schwarm::N,群,sürü
156,Huhn::N,鸡,toyuq
157,Hahn::N,公鸡,xoruz
158,Gans::N,鹅,qaz
159,Adler::N,鹰,qartal
160,Adler::N,鹰,qaraquş
161,Ente::N,鸭,ördək
162,Eule::N,猫头鹰,bayquş
163,Kranich::N,鹤,durna
164,Krähe::N,乌鸦,qarğa
165,Kuckuck::N,布谷鸟,ququ
166,Schwan::N,天鹅,qu quşu
167,Fisch::N,鱼,balıq
168,Barsch::N,鲈鱼,tar
169,Hecht::N,狗鱼,durnabalığı
170,Schlange[Tier]::N,蛇,ilan
171,Wurm::N,蠕虫,qurd
172,Spinne::N,蜘蛛,hörümçək
173,Ameise::N,蚂蚁,qarışqa
174,Laus::N,虱子,bit
175,Mücke::N,蚊子,ağcaqanad
176,Fliege::N,苍蝇,milçək
177,Schmetterling::N,蝴蝶,kəpənək
178,Beere::N,将果,gilə
179,Apfel::N,苹果,alma
180,Pilz::N,蘑菇,göbələk
181,Zwiebel::N,洋葱,soğan
182,Saat::N,种子,əkin
183,Korn::N,谷粒,taxıl
184,Heu::N,干草,quru ot
185,Schale::N,壳,qabıq
186,Grube::N,坑,çuxur
187,Falle::N,圈套,tələ
188,Falle::N,圈套,duzaq
189,Schlinge::N,活扣,ilmək
190,Spur::N,踪迹,iz
191,Asche::N,灰烬,kül
192,Dreck::N,污垢,kir
193,Eisen::N,铁,dəmir
194,Gold::N,金子,altun
195,Silber::N,银,gümüş
196,Kohle::N,煤,kömür
197,Glas::N,玻璃,şüşə
198,Lehm::N,粘土,gil
199,Lehm::N,粘土,palçıq
200,Sand::N,沙,qum
201,Mensch::N,人,adam
202,Mensch::N,人,insan
203,Mann::N,男子,kişi
204,Frau::N,妇女,qadın
