,Concept_ID,pt,cs
0,Auge::N,olho,oko
1,Ohr::N,orelha,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,pusa
4,Zahn::N,dente,zub
5,Zunge::N,língua,jazyk
6,Lippe::N,lábio,ret
7,Wange::N,face,tvář
8,Gesicht::N,cara,obličej
9,Gesicht::N,rosto,obličej
10,Stirn::N,testa,čelo
11,Haar::N,cabelo,vlas
12,Haar::N,cabelo,vlasy
13,Schnurrbart::N,bigode,kníry
14,Bart::N,barba,vousy
15,Kinn::N,queixo,brada
16,Kiefer[Anatomie]::N,maxila,čelist
17,Kiefer[Anatomie]::N,mandíbula,čelist
18,Kehle::N,garganta,hrdlo
19,Hals::N,colo,krk
20,Hals::N,pescoço,krk
21,Genick::N,nuca,týl
22,Kopf::N,cabeça,hlava
23,Rücken::N,dorso,záda
24,Rücken::N,dorso,hřbet
25,Rücken::N,costas,záda
26,Rücken::N,costas,hřbet
27,Bauch::N,ventre,břicho
28,Bauch::N,barriga,břicho
29,Nabel::N,umbigo,pupek
30,Busen::N,seio,ňadra
31,Brust::N,peito,prsa
32,Schulter::N,ombro,plece
33,Schulter::N,ombro,rameno
34,Arm::N,braço,ruka
35,Ellenbogen::N,cotovelo,loket
36,Hand::N,mão,ruka
37,Handfläche::N,palma,dlaň
38,Handfläche::N,palma da mão,dlaň
39,Finger::N,dedo,prst
40,Fingernagel::N,unha,nehet
41,Nagel[Anatomie]::N,unha,nehet
42,Zeh::N,dedo do pé,prst u nohy
43,Fuß::N,pé,noha
44,Ferse::N,calcanhar,pata
45,Knie::N,joelho,koleno
46,Oberschenkel::N,coxa,stehno
47,Bein::N,perna,noha
48,Körper::N,corpo,tělo
49,Haut::N,pele,kůže
50,Blut::N,sangue,krev
51,Ader::N,veia,céva
52,Sehne::N,tendão,šlacha
53,Knochen::N,osso,kost
54,Gehirn::N,cérebro,mozek
55,Herz::N,coração,srdce
56,Magen::N,estômago,žaludek
57,Leber::N,fígado,játra
58,Atem::N,fôlego,dech
59,Hunger::N,fome,hlad
60,Träne::N,lágrima,slza
61,Geschmack::N,gosto,vkus
62,Geruch::N,odor,vůně
63,Geruch::N,odor,zápach
64,Geruch::N,cheiro,vůně
65,Geruch::N,cheiro,zápach
66,Schlaf::N,sono,spánek
67,Traum::N,sonho,sen
68,Himmel::N,céu,nebe
69,Sonne::N,sol,slunce
70,Mond::N,lua,měsíc
71,Stern::N,estrela,hvězda
72,Luft::N,ar,vzduch
73,Wind::N,vento,vítr
74,Welle::N,onda,vlna
75,Wasser::N,água,voda
76,Stein::N,pedra,kámen
77,Boden::N,solo,půda
78,Erde::N,terra,země
79,Staub::N,pó,prach
80,Rauch::N,fumo,dým
81,Rauch::N,fumo,kouř
82,Funke::N,faísca,jiskra
83,Funke::N,centelha,jiskra
84,Feuer::N,fogo,oheň
85,Licht::N,luz,světlo
86,Schatten::N,sombra,stín
87,Wetter::N,tempo,počasí
88,Nebel::N,nevoeiro,mlha
89,Wolke::N,nuvem,mrak
90,Wolke::N,nuvem,oblak
91,Regen::N,chuva,déšť
92,Schnee::N,neve,sníh
93,Eis::N,gelo,led
94,Frost::N,gelo,mráz
95,Frost::N,geada,mráz
96,Kälte::N,frio,chlad
97,Hitze::N,ardor,horko
98,Raureif::N,geada,jinovatka
99,Regenbogen::N,arco-iris,duha
100,Donner::N,trovão,hrom
101,Strömung::N,corrente,proudění
102,Tropfen::N,gota,kapka
103,Schaum::N,espuma,pěna
104,Schmutz::N,sujidade,špína
105,Schmutz::N,imundície,špína
106,See::N,lago,jezero
107,Sumpf::N,charco,močál
108,Sumpf::N,charco,bažina
109,Sumpf::N,pântano,močál
110,Sumpf::N,pântano,bažina
111,Moor::N,pântano,bažina
112,Moor::N,pântano,slatina
113,Wiese::N,prado,louka
114,Wald::N,bosque,les
115,Wald::N,floresta,les
116,Hügel::N,colina,kopec
117,Anhöhe::N,alto,pahorek
118,Anhöhe::N,outeiro,pahorek
119,Berg::N,monte,hora
120,Berg::N,montanha,hora
121,Gipfel::N,pico,vrchol
122,Höhle::N,caverna,jeskyně
123,Abhang::N,encosta,svah
124,Abhang::N,encosta,stráň
125,Quelle::N,fonte,pramen
126,Bach::N,regato,potok
127,Bach::N,ribeiro,potok
128,Fluss::N,rio,řeka
129,Ufer::N,beira,břeh
130,Küste::N,costa,pobřeží
131,Festland::N,terra firme,souš
132,Festland::N,terra firme,pevnina
133,Meer::N,mar,moře
134,Bucht::N,baía,záliv
135,Bucht::N,baía,zátoka
136,Insel::N,ilha,ostrov
137,Blume::N,flor,květina
138,Gras::N,erva,tráva
139,Wurzel::N,raiz,kořen
140,Baum::N,árvore,strom
141,Stamm::N,tronco,kmen
142,Rinde::N,casca,kůra
143,Ast::N,ramo,větev
144,Zweig::N,galho,větev
145,Blatt::N,folha,lupen
146,Birke::N,bétula,bříza
147,Kiefer[Baum]::N,pinheiro,sosna
148,Kiefer[Baum]::N,pinheiro,borovice
149,Weide[Baum]::N,salgueiro,vrba
150,Tanne::N,abeto,jedle
151,Horn::N,corno,roh
152,Horn::N,chifre,roh
153,Feder::N,pena,pero
154,Fell::N,pele,srst
155,Flügel::N,asa,křídlo
156,Klaue::N,pata,dráp
157,Klaue::N,pata,pazneht
158,Kralle::N,unha,dráp
159,Kralle::N,garra,dráp
160,Schwanz::N,rabo,ocas
161,Schwanz::N,cauda,ocas
162,Ei::N,ovo,vejce
163,Nest::N,ninho,hnízdo
164,Bau::N,toca,nora
165,Bau::N,covil,nora
166,Tier::N,animal,zvíře
167,Herde::N,rebanho,stádo
168,Kuh::N,vaca,kráva
169,Bulle::N,touro,býk
170,Pferd::N,cavalo,kůň
171,Schaf::N,ovelha,ovce
172,Schwein::N,porco,vepř
173,Schwein::N,porco,prase
174,Hund::N,cão,pes
175,Katze::N,gata,kočka
176,Bär::N,urso,medvěd
177,Eichhörnchen::N,esquilo,veverka
178,Elch::N,alce,los
179,Fuchs::N,raposa,liška
180,Hase::N,lebre,zajíc
181,Maus::N,rato,myš
182,Wolf::N,lobo,vlk
183,Vogel::N,ave,pták
184,Vogel::N,pássaro,pták
185,Schwarm::N,bando,roj
186,Schwarm::N,bando,hejno
187,Schwarm::N,enxame,roj
188,Schwarm::N,enxame,hejno
189,Huhn::N,galinha,kuře
190,Huhn::N,galinha,slepice
191,Hahn::N,galo,kohout
192,Gans::N,ganso,husa
193,Adler::N,águia,orel
194,Ente::N,pata,kachna
195,Eule::N,mocho,sova
196,Eule::N,coruja,sova
197,Kranich::N,grou,jeřáb
198,Krähe::N,gralha,vrána
199,Kuckuck::N,cuco,kukačka
200,Schwan::N,cisne,labuť
201,Fisch::N,peixe,ryba
202,Barsch::N,perca,okoun
203,Hecht::N,lúcio,štika
204,Schlange[Tier]::N,serpente,had
205,Wurm::N,verme,červ
206,Spinne::N,aranha,pavouk
207,Ameise::N,formiga,mravenec
208,Laus::N,piolho,veš
209,Mücke::N,mosquito,komár
210,Fliege::N,mosca,moucha
211,Schmetterling::N,borboleta,motýl
212,Beere::N,bago,bobule
213,Apfel::N,maçã,jablko
214,Pilz::N,fungo,houba
215,Pilz::N,cogumelo,houba
216,Zwiebel::N,cebola,cibule
217,Saat::N,sementeira,osivo
218,Korn::N,grão,zrno
219,Heu::N,feno,seno
220,Schale::N,casca,slupka
221,Schale::N,casca,skořápka
222,Grube::N,cova,jáma
223,Grube::N,fossa,jáma
224,Falle::N,armadilha,past
225,Falle::N,armadilha,léčka
226,Schlinge::N,laço,smyčka
