,Concept_ID,ps,es
0,Auge::N,سترګه,ojo
1,Ohr::N,غوږ,oreja
2,Nase::N,پوزه,nariz
3,Mund::N,خوله,boca
4,Zahn::N,غاښ,diente
5,Zunge::N,جبه,lengua
6,Lippe::N,شونډه,labio
7,Wange::N,باړخو,mejilla
8,Gesicht::N,مخ,cara
9,Stirn::N,تندی,frente
10,Stirn::N,وچولی,frente
11,Haar::N,وېښته,cabello
12,Schnurrbart::N,برېت,bigote
13,Bart::N,ږیره,barba
14,Kinn::N,زنه,barbilla
15,Kiefer[Anatomie]::N,جامه,mandíbula
16,Kehle::N,غاړه,garganta
17,Hals::N,غاړه,cuello
18,Genick::N,ورمېږ,nuca
19,Genick::N,ورمېږ,cerviz
20,Kopf::N,سر,cabeza
21,Rücken::N,شا,espalda
22,Bauch::N,نس,vientre
23,Bauch::N,ګېډه,vientre
24,Nabel::N,نوم,ombligo
25,Busen::N,تی,pecho
26,Brust::N,سینه,pecho
27,Schulter::N,اوږه,hombro
28,Arm::N,لاس,brazo
29,Ellenbogen::N,څنګل,codo
30,Hand::N,لاس,mano
31,Handfläche::N,ورغوی,palma
32,Finger::N,ګوته,dedo
33,Fingernagel::N,نوک,uña
34,Nagel[Anatomie]::N,نوک,uña
35,Zeh::N,ګوته,dedo del pie
36,Fuß::N,پښه,pie
37,Ferse::N,پونده,talón
38,Knie::N,زنګون,rodilla
39,Oberschenkel::N,پتون,muslo
40,Bein::N,پښه,pierna
41,Körper::N,ځان,cuerpo
42,Haut::N,پوټکی,piel
43,Blut::N,وینه,sangre
44,Ader::N,رګ,vena
45,Sehne::N,پله,tendón
46,Knochen::N,هډوکی,hueso
47,Gehirn::N,ماغزه,cerebro
48,Gehirn::N,ماغزه,encéfalo
49,Herz::N,زړه,corazón
50,Magen::N,معده,estómago
51,Leber::N,ينه,hígado
52,Leber::N,ځیګر,hígado
53,Atem::N,نفس,aliento
54,Hunger::N,ولږه,hambre
55,Träne::N,اوښکه,lágrima
56,Geschmack::N,مزه,gusto
57,Geschmack::N,خوند,gusto
58,Geruch::N,بوی,olor
59,Schlaf::N,خوب,sueño
60,Traum::N,خوب,sueño
61,Traum::N,خوب,ensueño
62,Himmel::N,اسمان,cielo
63,Sonne::N,لمر,sol
64,Mond::N,سپوږمۍ,luna
65,Stern::N,ستوری,estrella
66,Luft::N,هوا,aire
67,Wind::N,ورښ,viento
68,Welle::N,موج,ola
69,Welle::N,موج,onda
70,Wasser::N,اوبه,agua
71,Stein::N,ډبره,piedra
72,Boden::N,مځکه,suelo
73,Erde::N,خاوره,tierra
74,Staub::N,ګرد,polvo
75,Staub::N,خاوره,polvo
76,Rauch::N,دود,humo
77,Rauch::N,لوګی,humo
78,Funke::N,سپرغۍ,chispa
79,Feuer::N,اور,fuego
80,Licht::N,رڼا,luz
81,Schatten::N,سیوری,sombra
82,Wetter::N,هوا,tiempo
83,Nebel::N,لړه,niebla
84,Wolke::N,ورېځ,nube
85,Regen::N,وریا,lluvia
86,Regen::N,باران,lluvia
87,Schnee::N,واوره,nieve
88,Eis::N,یخ,hielo
89,Eis::N,کنګل,hielo
90,Frost::N,یخ,helada
91,Kälte::N,ساړه,frío
92,Hitze::N,تودوخي,calor
93,Raureif::N,سپینه پرخه,escarcha
94,Regenbogen::N,بوډۍ ټال,arco iris
95,Regenbogen::N,سره زرغونه,arco iris
96,Donner::N,تالنده,trueno
97,Strömung::N,بهېدنه,corriente
98,Tropfen::N,قطره,gota
99,Tropfen::N,څاڅکی,gota
100,Schaum::N,ځګ,espuma
101,Schmutz::N,ناپاکي,suciedad
102,See::N,جهیل,lago
103,Sumpf::N,جبه,pantano
104,Moor::N,جبه,turbera
105,Wiese::N,چمن,prado
106,Wiese::N,چمن,pradera
107,Wiese::N,شنېلی,prado
108,Wiese::N,شنېلی,pradera
109,Wald::N,ځنګل,bosque
110,Hügel::N,تپه,colina
111,Anhöhe::N,غونډۍ,cerro
112,Berg::N,غ‍‍‍‍‍ر,monte
113,Berg::N,غ‍‍‍‍‍ر,montaña
114,Gipfel::N,څوکه,cima
115,Gipfel::N,څوکه,cumbre
116,Höhle::N,کاز,cueva
117,Höhle::N,کاز,caverna
118,Abhang::N,لمن,cuesta
119,Abhang::N,لمن,declive
120,Quelle::N,چینه,fuente
121,Quelle::N,چینه,manantial
122,Bach::N,واله,arroyo
123,Fluss::N,سیند,río
124,Ufer::N,غاړه,orilla
