,Concept_ID,mhr,hi
0,Auge::N,шинча́,आँख
1,Auge::N,шинча́,चक्षु
2,Ohr::N,пы́лыш,कान
3,Ohr::N,пы́лыш,कर्ण
4,Nase::N,нер,नाक
5,Nase::N,нер,नासा
6,Mund::N,умша́,मुख
7,Mund::N,умша́,मुँह
8,Zahn::N,пӱй,दंत
9,Zahn::N,пӱй,दाँत
10,Zunge::N,йы́лме,जीभ
11,Zunge::N,йы́лме,ज़बान
12,Zunge::N,йы́лме,जिह्वा
13,Lippe::N,тӱ́рвӧ,ओंठ
14,Lippe::N,тӱ́рвӧ,होंठ
15,Wange::N,шӱ́ргӧ,गाल
16,Wange::N,шӱ́ргӧ,कपोल
17,Gesicht::N,чури́й,मुँह
18,Gesicht::N,чури́й,चेहरा
19,Stirn::N,саҥга́,माथा
20,Stirn::N,саҥга́,मस्तक
21,Haar::N,ӱп,बाल
22,Schnurrbart::N,ӧ́рыш,मूँछें
23,Bart::N,понда́ш,दाढ़ी
24,Kinn::N,оҥыла́ш,चिबुक
25,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,जबड़ा
26,Kiefer[Anatomie]::N,пӱйората́,जबड़ा
27,Kehle::N,лога́р,गला
28,Hals::N,шӱй,गला
29,Hals::N,шӱй,गरदन
30,Genick::N,шӱйло́дыш,गरदन
31,Genick::N,шӱйло́дыш,ग्रीवा
32,Kopf::N,вуй,सिर
33,Kopf::N,вуй,शीर्ष
34,Rücken::N,туп,पीठ
35,Bauch::N,мӱ́шкыр,उदर
36,Nabel::N,кы́лымде,नाभि
37,Nabel::N,кы́лымде,ढोंढी
38,Busen::N,чы́зе,कुच
39,Busen::N,чы́зе,स्तन
40,Brust::N,оҥ,वक्ष
41,Schulter::N,ва́че,कंधा
42,Schulter::N,ва́че,स्कंध
43,Arm::N,кид,बाँह
44,Arm::N,кид,बाज़ू
45,Ellenbogen::N,кынерву́й,कुहनी
46,Hand::N,кид,हाथ
47,Hand::N,кид,हस्त
48,Hand::N,копа́,हाथ
49,Hand::N,копа́,हस्त
50,Handfläche::N,со́во,हथेली
51,Finger::N,парня́,उँगली
52,Finger::N,парня́,अँगुली
53,Fingernagel::N,кидкӱ́ч,नख
54,Fingernagel::N,кидкӱ́ч,नाख़ून
55,Fingernagel::N,парнягӱ́ч,नख
56,Fingernagel::N,парнягӱ́ч,नाख़ून
57,Nagel[Anatomie]::N,кӱч,नख
58,Nagel[Anatomie]::N,кӱч,नाख़ून
59,Zeh::N,йолварня́,उँगली
60,Zeh::N,йолварня́,पाँव की उँगली
61,Fuß::N,йол,चरण
62,Fuß::N,йол,पाँव
63,Fuß::N,йолкопа́,चरण
64,Fuß::N,йолкопа́,पाँव
65,Ferse::N,тага́н,एड़ी
66,Knie::N,пулву́й,जानु
67,Knie::N,пулву́й,घुटना
68,Oberschenkel::N,э́рде,उरु
69,Bein::N,йол,टाँग
