,Concept_ID,ga,ru
0,Auge::N,súil,глаз
1,Ohr::N,cluas,ухо
2,Nase::N,soc,нос
3,Mund::N,béal,рот
4,Zahn::N,fiacail,зуб
5,Zunge::N,teanga,язык
6,Lippe::N,liopa,губа
7,Wange::N,grua,щека
8,Wange::N,leiceann,щека
9,Gesicht::N,éadan,лицо
10,Gesicht::N,aghaidh,лицо
11,Stirn::N,baithis,лоб
12,Stirn::N,clár éadain,лоб
13,Haar::N,gruaig,волос
14,Haar::N,gruaig,волосы
15,Schnurrbart::N,croiméal,ус
16,Schnurrbart::N,croiméal,усы
17,Bart::N,féasóg,борода
18,Kinn::N,smig,подбородок
19,Kiefer[Anatomie]::N,giall,челюсть
20,Kehle::N,scornach,горло
21,Hals::N,muinéal,шея
22,Genick::N,baic,затылок
23,Kopf::N,ceann,голова
24,Rücken::N,droim,спина
25,Bauch::N,bolg,живот
26,Nabel::N,imleacán,пупок
27,Busen::N,cíoch,женская грудь
28,Brust::N,brollach,грудь
29,Schulter::N,gualainn,плечо
30,Arm::N,lámh,рука
31,Ellenbogen::N,uillinn,локоть
32,Hand::N,lámh,кисть
33,Handfläche::N,bos,ладонь
34,Finger::N,méar,палец
35,Fingernagel::N,ionga,ноготь
36,Nagel[Anatomie]::N,ionga,ноготь
37,Zeh::N,ladhar,палец
38,Fuß::N,cos,ступня
39,Fuß::N,troigh,ступня
40,Ferse::N,sáil,пята
41,Ferse::N,sáil,пятка
42,Knie::N,glúin,колено
43,Oberschenkel::N,ceathrú,бедро
44,Bein::N,cos,нога
45,Körper::N,corp,тело
46,Körper::N,colainn,тело
47,Haut::N,cneas,кожа
48,Haut::N,craiceann,кожа
49,Blut::N,fuil,кровь
50,Sehne::N,teannán,жила
51,Sehne::N,teannán,тетива
52,Sehne::N,teannán,сухожилие
53,Sehne::N,féitheog,жила
54,Sehne::N,féitheog,тетива
55,Sehne::N,féitheog,сухожилие
56,Knochen::N,cnámh,кость
57,Gehirn::N,inchinn,мозг
58,Herz::N,croí,сердце
59,Magen::N,bolg,желудок
60,Magen::N,goile,желудок
61,Leber::N,ae,печень
62,Atem::N,anáil,дух
63,Atem::N,anáil,дыхание
64,Hunger::N,ocras,голод
65,Träne::N,deoir,слеза
66,Geschmack::N,blas,вкус
67,Geruch::N,boladh,запах
68,Schlaf::N,suan,сон
69,Schlaf::N,codladh,сон
70,Traum::N,taibhreamh,сновидение
71,Himmel::N,spéir,небо
72,Sonne::N,grian,солнце
73,Mond::N,ré,луна
74,Mond::N,gealach,луна
75,Stern::N,rinn,звезда
76,Stern::N,réalta,звезда
77,Luft::N,aer,воздух
78,Wind::N,gaoth,ветер
79,Welle::N,tonn,волна
80,Wasser::N,uisce,вода
81,Stein::N,cloch,камень
82,Boden::N,talamh,почва
83,Erde::N,cré,земля
84,Erde::N,ithir,земля
85,Staub::N,dusta,пыль
86,Staub::N,deannach,пыль
87,Rauch::N,toit,дым
88,Rauch::N,deatach,дым
89,Funke::N,drithle,искра
90,Feuer::N,tine,огонь
